,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP,xG,xG/GP,HD G,HD Sh,HD Sh%,MD G,MD Sh,MD Sh%,LD G,LD Sh,LD Sh%,FOW,FOT,FOW%
284,Stephane Patry,C,ER,17.575,50,5,6,3,11,14,44,11.36,0.1,0.12,0.06,0.22,0.28,0.88,3.84,0.08,1,1,100.0,1,10,10.0,3,33,9.09,98,242,40.5
285,Jacob Golden,D,LDN,18.492,63,2,4,8,6,14,73,2.74,0.03,0.06,0.13,0.1,0.22,1.16,5.51,0.09,0,7,0.0,1,12,8.33,1,54,1.85,3,5,60.0
286,Anthony Tabak,LW,SBY,15.776,51,6,4,4,10,14,50,12.0,0.12,0.08,0.08,0.2,0.27,0.98,5.54,0.11,6,15,40.0,0,6,0.0,0,29,0.0,6,19,31.58
287,Nico Gross,D,OSH,17.638,58,4,8,2,12,14,53,7.55,0.07,0.14,0.03,0.21,0.24,0.91,3.47,0.06,1,2,50.0,0,3,0.0,3,48,6.25,0,1,0.0
288,Shane Collins,D,LDN,20.567,58,3,4,6,7,13,76,3.95,0.05,0.07,0.1,0.12,0.22,1.31,4.02,0.07,0,1,0.0,1,5,20.0,2,70,2.86,1,1,100.0
289,Ryan Martin,D,ER,18.256,53,2,3,8,5,13,39,5.13,0.04,0.06,0.15,0.09,0.25,0.74,2.47,0.05,0,3,0.0,1,5,20.0,1,31,3.23,0,0,0.0
290,Lev Starikov,D,WSR,16.994,66,5,3,5,8,13,81,6.17,0.08,0.05,0.08,0.12,0.2,1.23,3.55,0.05,0,3,0.0,2,4,50.0,3,74,4.05,0,0,0.0
291,Owen Gilhula,C,SBY,17.347,52,6,6,1,12,13,67,8.96,0.12,0.12,0.02,0.23,0.25,1.29,7.1,0.14,3,16,18.75,1,7,14.29,2,44,4.55,192,432,44.44
292,Connor Walters,D,HAM,20.28,56,3,6,4,9,13,60,5.0,0.05,0.11,0.07,0.16,0.23,1.07,1.94,0.03,0,0,0.0,0,0,0.0,3,60,5.0,0,2,0.0
293,Emmett Sproule,C,ER,16.493,56,5,6,2,11,13,47,10.64,0.09,0.11,0.04,0.2,0.23,0.84,4.98,0.09,0,9,0.0,1,6,16.67,4,32,12.5,1,13,7.69
294,Dawson Baker,RW,SBY,17.432,61,6,5,2,11,13,78,7.69,0.1,0.08,0.03,0.18,0.21,1.28,7.45,0.12,0,10,0.0,1,13,7.69,5,55,9.09,68,172,39.53
295,Richard Whittaker,LW,LDN,17.438,54,5,4,4,9,13,47,10.64,0.09,0.07,0.07,0.17,0.24,0.87,4.98,0.09,1,8,12.5,0,2,0.0,4,37,10.81,6,13,46.15
296,Mason Primeau,C,GUE,16.134,60,7,4,2,11,13,55,12.73,0.12,0.07,0.03,0.18,0.22,0.92,5.21,0.09,1,8,12.5,3,9,33.33,3,38,7.89,91,207,43.96
297,Kyle Heitzner,C,BAR,18.166,58,5,6,2,11,13,54,9.26,0.09,0.1,0.03,0.19,0.22,0.93,5.58,0.1,0,8,0.0,1,10,10.0,4,36,11.11,112,248,45.16
298,Zack Malik,D,SBY,17.117,32,0,10,2,10,12,34,0.0,0.0,0.31,0.06,0.31,0.38,1.06,1.36,0.04,0,1,0.0,0,0,0.0,0,33,0.0,0,0,0.0
299,Jonathan Yantsis,RW,KIT,18.385,59,5,4,3,9,12,44,11.36,0.08,0.07,0.05,0.15,0.2,0.75,6.57,0.11,3,10,30.0,1,8,12.5,1,26,3.85,2,9,22.22
300,Luke Bignell,C,BAR,16.866,56,7,2,3,9,12,48,14.58,0.12,0.04,0.05,0.16,0.21,0.86,5.59,0.1,2,7,28.57,3,9,33.33,2,32,6.25,217,555,39.1
301,Billy Constantinou,D,NIAG,16.477,45,3,5,4,8,12,42,7.14,0.07,0.11,0.09,0.18,0.27,0.93,2.31,0.05,0,2,0.0,0,1,0.0,3,39,7.69,2,2,100.0
302,Alex Turko,C,LDN,18.689,54,3,6,3,9,12,40,7.5,0.06,0.11,0.06,0.17,0.22,0.74,3.97,0.07,1,10,10.0,1,3,33.33,1,27,3.7,215,398,54.02
303,Nathan Staios,D,WSR,16.332,54,3,4,5,7,12,62,4.84,0.06,0.07,0.09,0.13,0.22,1.15,2.72,0.05,0,1,0.0,0,2,0.0,3,59,5.08,0,0,0.0
304,Kyle Langdon,C,NIAG,19.056,56,3,8,1,11,12,69,4.35,0.05,0.14,0.02,0.2,0.21,1.23,6.35,0.11,0,6,0.0,1,4,25.0,2,59,3.39,382,729,52.4
