,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP
732,Maxime Lacroix,LW,HAM,22.281,27,1,0,2,1,3,37,2.7,0.04,0.0,0.07,0.04,0.11,1.37
733,Todd Perry,D,TOR,22.757,27,1,0,2,1,3,17,5.88,0.04,0.0,0.07,0.04,0.11,0.63
734,Tim Conboy,D,ALB,27.486,37,0,1,2,1,3,47,0.0,0.0,0.03,0.05,0.03,0.08,1.27
735,Brandon Buck,LW,HOU,21.082,21,0,1,2,1,3,26,0.0,0.0,0.05,0.1,0.05,0.14,1.24
736,Jeff Petry,D,SPR,21.769,8,0,1,2,1,3,8,0.0,0.0,0.12,0.25,0.12,0.38,1.0
737,James Marcou,RW,WOR,21.572,4,1,0,2,1,3,7,14.29,0.25,0.0,0.5,0.25,0.75,1.75
738,Jay Leach,D,LOW,30.038,12,0,0,3,0,3,13,0.0,0.0,0.0,0.25,0.0,0.25,1.08
739,Dean McAmmond,C,LOW,36.253,6,1,1,1,2,3,4,25.0,0.17,0.17,0.17,0.33,0.5,0.67
740,Justin Braun,D,WOR,22.596,3,0,2,1,2,3,2,0.0,0.0,0.67,0.33,0.67,1.0,0.67
741,Alexandre Bolduc,C,MTB,24.222,13,2,0,1,2,3,22,9.09,0.15,0.0,0.08,0.15,0.23,1.69
742,Jeff Prough,LW,LOW,23.406,8,1,1,1,2,3,13,7.69,0.12,0.12,0.12,0.25,0.38,1.62
743,Tony Hrkac,C,HOU,43.193,17,0,2,1,2,3,26,0.0,0.0,0.12,0.06,0.12,0.18,1.53
744,Torrey Mitchell,C,WOR,24.625,5,1,1,1,2,3,9,11.11,0.2,0.2,0.2,0.4,0.6,1.8
745,Eric Neilson,RW,HAM,25.076,38,1,1,1,2,3,30,3.33,0.03,0.03,0.03,0.05,0.08,0.79
746,Dale Mitchell,RW,TOR,20.436,9,2,0,1,2,3,15,13.33,0.22,0.0,0.11,0.22,0.33,1.67
747,Adam Henrich,LW,SPR,25.657,5,2,0,1,2,3,16,12.5,0.4,0.0,0.2,0.4,0.6,3.2
748,Steven Kampfer,D,PRO,20.975,6,1,2,0,3,3,12,8.33,0.17,0.33,0.0,0.5,0.5,2.0
749,Chris McKelvie,RW,HFD,24.562,6,2,1,0,3,3,4,50.0,0.33,0.17,0.0,0.5,0.5,0.67
750,Ben Holmstrom,C,ADK,22.437,13,3,0,0,3,3,26,11.54,0.23,0.0,0.0,0.23,0.23,2.0
751,Nick Tarnasky,LW,RCH,24.805,5,3,0,0,3,3,7,42.86,0.6,0.0,0.0,0.6,0.6,1.4
752,Anton Klementyev,D,BRI,19.477,28,1,2,0,3,3,12,8.33,0.04,0.07,0.0,0.11,0.11,0.43
753,Ben Eaves,C,MIL,27.472,7,1,2,0,3,3,10,10.0,0.14,0.29,0.0,0.43,0.43,1.43
754,David Marshall,RW,LE,24.507,15,2,1,0,3,3,16,12.5,0.13,0.07,0.0,0.2,0.2,1.07
755,Jay Rosehill,LW,TOR,24.168,46,1,1,1,2,3,43,2.33,0.02,0.02,0.02,0.04,0.07,0.93
756,Patrick Bordeleau,LW,LE,23.483,60,1,2,0,3,3,21,4.76,0.02,0.03,0.0,0.05,0.05,0.35
