,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP,xG,xG/GP,HD G,HD Sh,HD Sh%,MD G,MD Sh,MD Sh%,LD G,LD Sh,LD Sh%,FOW,FOT,FOW%,Cluster
30,Jonah Gadjovich,LW,OS,16.926,66,14,2,8,16,24,175,8,0.21,0.03,0.12,0.24,0.36,2.65,17.3,0.26,3,20,15,5,31,16.13,6,124,4.84,4,10,40,0
31,Brady Gilmour,C,SAG,16.411,61,7,6,10,13,23,66,10.61,0.11,0.1,0.16,0.21,0.38,1.08,7.3,0.12,4,15,26.67,0,15,0,3,36,8.33,231,597,38.69,0
32,Riley Damiani,C,KIT,16.49,62,9,7,6,16,22,95,9.47,0.15,0.11,0.1,0.26,0.35,1.53,8.94,0.14,3,17,17.65,1,16,6.25,5,62,8.06,207,465,44.52,0
33,Kirill Maksimov,RW,SAG,16.291,54,6,8,7,14,21,72,8.33,0.11,0.15,0.13,0.26,0.39,1.33,6.79,0.13,2,11,18.18,1,16,6.25,3,45,6.67,2,4,50,0
34,Mac Hollowell,D,SSM,16.97,58,1,7,13,8,21,45,2.22,0.02,0.12,0.22,0.14,0.36,0.78,2.49,0.04,0,0,0,1,3,33.33,0,42,0,0,0,0,0
35,Cody Morgan,C,WSR/KGN,16.619,63,10,7,4,17,21,78,12.82,0.16,0.11,0.06,0.27,0.33,1.24,7.63,0.12,2,3,66.67,4,19,21.05,4,56,7.14,182,405,44.94,0
36,Aidan Dudas,C,OS,16.252,56,8,8,5,16,21,82,9.76,0.14,0.14,0.09,0.29,0.38,1.46,8.62,0.15,2,13,15.38,3,12,25,3,57,5.26,144,302,47.68,0
37,Giovanni Vallati,D,KIT,16.567,59,5,7,9,12,21,66,7.58,0.08,0.12,0.15,0.2,0.36,1.12,3.11,0.05,1,3,33.33,0,1,0,4,62,6.45,8,17,47.06,0
38,Serron Noel,RW,OSH,16.104,63,8,9,4,17,21,69,11.59,0.13,0.14,0.06,0.27,0.33,1.1,7.9,0.13,3,15,20,3,16,18.75,2,38,5.26,21,49,42.86,0
39,Owen Tippett,RW,MISS,16.578,48,15,1,4,16,20,96,15.62,0.31,0.02,0.08,0.33,0.42,2,9.14,0.19,5,12,41.67,5,16,31.25,5,68,7.35,9,12,75,0
40,Jamieson Rees,C,SAR,16.551,46,5,11,4,16,20,63,7.94,0.11,0.24,0.09,0.35,0.43,1.37,8.37,0.18,0,10,0,1,13,7.69,4,40,10,107,251,42.63,0
41,Matthew Struthers,C,OS,16.723,66,10,6,3,16,19,106,9.43,0.15,0.09,0.05,0.24,0.29,1.61,11.79,0.18,2,21,9.52,2,14,14.29,6,71,8.45,266,539,49.35,0
42,Sasha Chmelevski,C,OTT/SAR,16.269,34,11,7,1,18,19,67,16.42,0.32,0.21,0.03,0.53,0.56,1.97,7.51,0.22,1,8,12.5,2,10,20,8,49,16.33,191,353,54.11,0
43,Daniel D'Amico,C,WSR,16.638,59,12,6,1,18,19,63,19.05,0.2,0.1,0.02,0.31,0.32,1.07,6.53,0.11,3,15,20,3,8,37.5,6,40,15,5,11,45.45,0
44,Kirill Nizhnikov,RW,BAR,16.466,43,12,6,1,18,19,110,10.91,0.28,0.14,0.02,0.42,0.44,2.56,9.81,0.23,1,5,20,4,22,18.18,7,83,8.43,2,13,15.38,0
45,Cole Schwindt,RW,MISS,16.392,66,8,5,5,13,18,77,10.39,0.12,0.08,0.08,0.2,0.27,1.17,6.61,0.1,2,10,20,2,13,15.38,4,54,7.41,24,65,36.92,0
46,Joe Carroll,LW,SSM,16.619,53,9,6,3,15,18,58,15.52,0.17,0.11,0.06,0.28,0.34,1.09,5.62,0.11,1,5,20,3,11,27.27,5,42,11.9,64,118,54.24,0
47,Ethan Keppen,LW,FLNT,16.49,63,10,4,4,14,18,112,8.93,0.16,0.06,0.06,0.22,0.29,1.78,10.24,0.16,3,10,30,5,23,21.74,2,79,2.53,10,26,38.46,0
48,Tyler Angle,C,WSR,16.959,67,10,4,3,14,17,113,8.85,0.15,0.06,0.04,0.21,0.25,1.69,10.24,0.15,4,21,19.05,3,12,25,3,80,3.75,345,727,47.46,0
49,Sean Durzi,D,OS,16.901,45,10,4,2,14,16,61,16.39,0.22,0.09,0.04,0.31,0.36,1.36,4.96,0.11,0,5,0,2,7,28.57,8,49,16.33,0,0,0,0
50,Dennis Busby,D,FLNT,16.693,62,2,7,7,9,16,40,5,0.03,0.11,0.11,0.15,0.26,0.65,2.16,0.03,1,3,33.33,1,1,100,0,36,0,0,3,0,0
51,Connor McMichael,C,HAM/LDN,16.666,60,8,8,0,16,16,94,8.51,0.13,0.13,0,0.27,0.27,1.57,11.78,0.2,3,14,21.43,2,29,6.9,3,51,5.88,132,301,43.85,0
52,Keean Washkurak,C,MISS,16.082,61,6,5,4,11,15,78,7.69,0.1,0.08,0.07,0.18,0.25,1.28,8.85,0.15,1,12,8.33,1,16,6.25,4,50,8,156,363,42.98,0
53,Nathan Allensen,D,BAR,16.37,55,2,5,8,7,15,38,5.26,0.04,0.09,0.15,0.13,0.27,0.69,1.27,0.02,0,0,0,1,2,50,1,36,2.78,0,1,0,0
54,Thomas Harley,D,MISS,16.074,62,1,6,8,7,15,60,1.67,0.02,0.1,0.13,0.11,0.24,0.97,2.43,0.04,0,0,0,0,2,0,1,58,1.72,0,0,0,0
55,Liam Foudy,C,LDN,16.614,58,9,3,3,12,15,50,18,0.16,0.05,0.05,0.21,0.26,0.86,5.93,0.1,3,10,30,2,7,28.57,4,33,12.12,99,235,42.13,0
56,Connor Roberts,C,HAM,16.564,63,8,6,1,14,15,59,13.56,0.13,0.1,0.02,0.22,0.24,0.94,5.79,0.09,2,14,14.29,4,9,44.44,2,36,5.56,101,230,43.91,0
57,Peter Stratis,D,OTT,16.66,49,1,3,11,4,15,40,2.5,0.02,0.06,0.22,0.08,0.31,0.82,1.75,0.04,0,0,0,0,2,0,1,38,2.63,0,1,0,0
