,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP,FOW,FOT,FOW%
1191,Jacob Arsenault,D,CAP/MON,17.476,67,1,0,3,1,4,26,2.0,0.01,0.0,0.025,0.01,0.035,0.28,0,0,0.0
1192,Jake Primeau,D,MON/BAT,18.598,61,1,2,1,3,4,47,1.085,0.01,0.02,0.01,0.025,0.035,0.505,0,0,0.0
1193,Samuel Gauthier,LW,QUE,19.39,34,2,1,1,3,4,29,6.9,0.06,0.03,0.03,0.09,0.12,0.85,1,3,33.33
1194,Anthony Latina,RW,QUE,19.406,26,2,1,1,3,4,16,12.5,0.08,0.04,0.04,0.12,0.15,0.62,34,83,40.96
1195,Brandon Smith,D,GAT,17.531,39,0,4,0,4,4,15,0.0,0.0,0.1,0.0,0.1,0.1,0.38,0,0,0.0
1196,Matthew Cusson,RW,BLB/CHA/BAT,17.956,13,1,2,1,3,4,6,8.332,0.062,0.165,0.082,0.228,0.31,0.438,0,0,0.0
1197,Tyrone Sock,D,SNB/PEI,18.653,11,0,2,2,2,4,1,0.0,0.0,0.18,0.18,0.18,0.36,0.09,0,0,0.0
1198,Mike DiPaolo,D,CHA,19.688,51,0,2,2,2,4,37,0.0,0.0,0.04,0.04,0.04,0.08,0.73,2,5,40.0
1199,Casey Fox,C,MON,18.422,29,3,1,0,4,4,21,7.895,0.055,0.02,0.0,0.075,0.075,0.85,16,32,25.0
1200,Dane Phaneuf,D,PEI,17.627,39,0,2,2,2,4,14,0.0,0.0,0.05,0.05,0.05,0.1,0.36,0,0,0.0
1201,Alex Hazlehurst,C,SHE,18.046,23,2,2,0,4,4,14,14.29,0.09,0.09,0.0,0.17,0.17,0.61,8,33,24.24
1202,Danyck Calgaro,LW,CHI/VIC/BAC,17.889,66,1,2,1,3,4,57,1.562,0.01,0.025,0.015,0.032,0.048,0.712,5,21,24.302
1203,Pierrick Dube,RW,QUE,16.688,39,3,0,1,3,4,32,9.38,0.08,0.0,0.03,0.08,0.1,0.82,2,6,33.33
1204,Dakota Miskolczi,C,SHA/MON,18.259,11,2,1,1,3,4,14,14.29,0.18,0.09,0.09,0.27,0.36,1.27,0,4,0.0
1205,Benjamin Laliberte,RW,VIC/BAC,18.62,23,2,0,2,2,4,19,15.835,0.15,0.0,0.055,0.15,0.205,0.895,0,5,0.0
1206,Nathan Ouellet,RW,RIM,17.309,41,1,0,3,1,4,28,3.57,0.02,0.0,0.07,0.02,0.1,0.68,5,12,41.67
1207,Brendan Sibley,D,SNB,16.389,30,1,1,2,2,4,8,12.5,0.03,0.03,0.07,0.07,0.13,0.27,0,0,0.0
1208,Eric Eschweiler,RW,GAT,17.383,58,3,1,0,4,4,33,9.09,0.05,0.02,0.0,0.07,0.07,0.57,6,13,46.15
1209,Alex Lavoie,D,SHA/MON,17.602,19,1,1,2,2,4,8,12.5,0.05,0.05,0.11,0.11,0.21,0.42,0,0,0.0
1210,Guillaume Vien,D,BLB/BAT,17.656,44,0,1,3,1,4,25,0.0,0.0,0.015,0.045,0.015,0.06,0.44,1,1,50.0
1211,Nathan Cyr-Trottier,C,VDO,17.651,64,0,2,2,2,4,17,0.0,0.0,0.03,0.03,0.03,0.06,0.27,124,251,49.4
1212,Benjamin Thibeault,D,VIC,16.99,33,0,3,1,3,4,21,0.0,0.0,0.06,0.02,0.06,0.08,0.59,0,0,0.0
1213,Jacob Garon-Landry,D,BAT/BAC/GAT,18.371,31,1,0,3,1,4,19,1.315,0.01,0.0,0.028,0.01,0.038,0.175,0,0,0.0
1214,Tyler Smith,D,SNB,18.056,55,0,3,1,3,4,20,0.0,0.0,0.05,0.02,0.05,0.07,0.36,0,0,0.0
1215,Quinn Hanna,D,BLB/SHE,18.423,32,2,1,1,3,4,43,4.65,0.06,0.03,0.03,0.09,0.12,1.34,0,0,0.0
1216,Roddie Sandilands,D,SHA,18.256,25,0,4,0,4,4,18,0.0,0.0,0.16,0.0,0.16,0.16,0.72,0,0,0.0
1217,Carl-Olivier Dignard,LW,DRU,16.446,32,2,2,0,4,4,24,4.545,0.035,0.035,0.0,0.07,0.07,0.645,0,2,0.0
1218,William Leblanc,C,DRU,17.435,23,2,2,0,4,4,17,11.76,0.09,0.09,0.0,0.17,0.17,0.74,15,40,37.5
1219,Donovan Rehill,LW,QUE,16.909,30,1,2,1,3,4,6,16.67,0.03,0.07,0.03,0.1,0.13,0.2,0,0,0.0
1220,Zachary Evans-Renaud,D,GAT,19.56,14,2,2,0,4,4,23,8.7,0.14,0.14,0.0,0.29,0.29,1.64,0,0,0.0
1221,Silas Neeposh,D,VDO/CHI,19.614,57,2,1,1,3,4,23,8.7,0.04,0.02,0.02,0.05,0.07,0.4,0,0,0.0
1222,Nicolas Krammer,LW,BAT,18.93,24,1,1,2,2,4,35,2.86,0.04,0.04,0.08,0.08,0.17,1.46,2,11,18.18
1223,Joel Caron,RW,BLB/CAP,18.374,14,2,1,0,3,3,14,14.585,0.145,0.06,0.0,0.21,0.21,1.0,36,67,44.01
1224,Marc-Antoine Gagne,C,CHI,17.9,28,1,1,1,2,3,16,4.545,0.035,0.035,0.022,0.065,0.088,0.478,68,151,34.635
1225,Danil Dolgushkin,D,ROU,16.778,23,1,0,2,1,3,9,11.11,0.04,0.0,0.09,0.04,0.13,0.39,0,0,0.0
1226,Vincent Montreuil,RW,QUE,18.358,8,1,1,1,2,3,6,16.67,0.12,0.12,0.12,0.25,0.38,0.75,0,2,0.0
1227,Joey Brennan,C,GAT,17.375,3,2,1,0,3,3,5,40.0,0.67,0.33,0.0,1.0,1.0,1.67,4,8,50.0
1228,Brock Morrison,C,SNB,18.694,13,2,0,1,2,3,12,16.67,0.15,0.0,0.08,0.15,0.23,0.92,53,103,51.46
1229,Mitchell Robillard,LW,BLB,19.456,9,3,0,0,3,3,6,50.0,0.33,0.0,0.0,0.33,0.33,0.67,11,28,39.29
1230,Dylan McGuigan,C,SNB,19.664,11,1,2,0,3,3,11,9.09,0.09,0.18,0.0,0.27,0.27,1.0,43,85,50.59
1231,Daniil Sokolka,RW,CHI/BAT/BAC,17.646,18,1,2,0,3,3,12,8.33,0.06,0.11,0.0,0.17,0.17,0.67,0,1,0.0
1232,Felix Bergeron,RW,GAT,19.584,6,3,0,0,3,3,7,42.86,0.5,0.0,0.0,0.5,0.5,1.17,0,1,0.0
1233,Ryan Chiasson,RW,SHE/SNB,18.274,16,3,0,0,3,3,11,15.0,0.125,0.0,0.0,0.125,0.125,0.54,1,3,25.0
1234,Nick Gosse,RW,RIM,16.485,42,1,0,2,1,3,21,4.76,0.02,0.0,0.05,0.02,0.07,0.5,1,3,33.33
1235,Domenico Argento,D,HAL,17.116,35,0,2,1,2,3,18,0.0,0.0,0.05,0.025,0.05,0.07,0.46,0,0,0.0
1236,Nick Egan,D,BAT,18.596,13,0,3,0,3,3,12,0.0,0.0,0.23,0.0,0.23,0.23,0.92,0,0,0.0
1237,Cedric Chouinard,D,ROU,17.92,6,1,0,2,1,3,9,11.11,0.17,0.0,0.33,0.17,0.5,1.5,0,0,0.0
1238,Quintin Lisoway,C,BAT,19.842,20,2,0,1,2,3,29,6.9,0.1,0.0,0.05,0.1,0.15,1.45,113,189,59.79
1239,Raphael Girard,C,SHA,17.586,49,1,2,0,3,3,24,4.17,0.02,0.04,0.0,0.06,0.06,0.49,110,308,35.71
1240,Maxime Provencher,LW,VIC/GAT,18.136,16,0,2,1,2,3,10,0.0,0.0,0.12,0.06,0.12,0.19,0.62,3,4,75.0
1241,Jonathan Duchesne,D,CHA,19.59,41,0,0,3,0,3,30,0.0,0.0,0.0,0.07,0.0,0.07,0.73,1,1,100.0
1242,Nicolas Jones-Gagne,LW,BAC,17.123,33,1,2,0,3,3,13,7.69,0.03,0.06,0.0,0.09,0.09,0.39,3,5,60.0
1243,Johnny Foley,RW,CHA,17.427,14,2,1,0,3,3,15,13.33,0.14,0.07,0.0,0.21,0.21,1.07,1,2,50.0
1244,Lucas Lajoie,RW,SHA,17.646,19,1,0,2,1,3,14,7.14,0.05,0.0,0.11,0.05,0.16,0.74,3,9,33.33
1245,Gabriel Bettez,D,SNB/BAC,18.248,34,1,2,0,3,3,7,16.665,0.25,0.03,0.0,0.28,0.28,0.81,0,0,0.0
1246,Michael Gagnon,C,CHI,18.44,40,0,1,2,1,3,10,0.0,0.0,0.03,0.05,0.03,0.07,0.25,48,109,44.04
1247,Joachim Vachon,C,BAC/RIM,17.612,35,0,2,1,2,3,34,0.0,0.0,0.09,0.07,0.09,0.165,1.035,73,151,24.17
1248,Andrew Tessier,D,DRU,18.705,41,0,1,2,1,3,10,0.0,0.0,0.02,0.05,0.02,0.07,0.24,0,0,0.0
1249,Louis-Charles Lemay,C,CHI,17.506,26,1,1,1,2,3,14,7.14,0.04,0.04,0.04,0.08,0.12,0.54,26,65,40.0
1250,Mitch Graham,RW,DRU,18.199,12,2,0,1,2,3,11,18.18,0.17,0.0,0.08,0.17,0.25,0.92,2,5,40.0
1251,Justin Lazure,LW,CAP/MON,18.61,46,2,1,0,3,3,37,5.41,0.04,0.02,0.0,0.07,0.07,0.8,5,11,45.45
1252,Zach Beaton,LW,CAP/CHA,18.014,60,2,1,0,3,3,35,3.705,0.02,0.01,0.0,0.035,0.035,0.565,2,9,14.285
1253,Brandon Frattaroli,D,GAT,17.142,6,0,2,1,2,3,3,0.0,0.0,0.33,0.17,0.33,0.5,0.5,0,1,0.0
1254,Cody Drover,LW,MON,18.292,13,2,0,1,2,3,13,15.38,0.15,0.0,0.08,0.15,0.23,1.0,3,5,60.0
1255,Kody Clark,C,OTT,17.925,2,2,0,1,2,3,7,28.57,1.0,0.0,0.5,1.0,1.5,3.5,0,2,0.0
1256,Michael Thibault,D,RIM,16.291,5,1,0,2,1,3,7,14.29,0.2,0.0,0.4,0.2,0.6,1.4,0,0,0.0
1257,Braeden Virtue,D,QUE,16.646,27,0,0,3,0,3,19,0.0,0.0,0.0,0.11,0.0,0.11,0.7,0,0,0.0
1258,Charles Tremblay,C,CHI,16.912,24,0,2,1,2,3,22,0.0,0.0,0.08,0.04,0.08,0.12,0.92,13,24,54.17
1259,Riley MacRae,LW,MON,19.469,22,1,0,2,1,3,20,5.0,0.05,0.0,0.09,0.05,0.14,0.91,18,32,56.25
1260,Austen Keating,C,OTT,18.527,2,1,1,1,2,3,11,9.09,0.5,0.5,0.5,1.0,1.5,5.5,3,9,33.33
1261,Jean-Christoph Thivierge,D,DRU,18.141,34,0,1,2,1,3,19,0.0,0.0,0.03,0.06,0.03,0.09,0.56,0,0,0.0
1262,Rudy Sulmonte,RW,MON,19.576,12,2,0,1,2,3,22,9.09,0.17,0.0,0.08,0.17,0.25,1.83,1,1,100.0
1263,Eric Theander,RW,DRU,18.484,23,1,1,1,2,3,14,7.14,0.04,0.04,0.04,0.09,0.13,0.61,0,6,0.0
1264,Olivier Plourde,C,SHE/GAT,18.168,10,2,0,1,2,3,12,8.335,0.125,0.0,0.06,0.125,0.19,0.75,3,7,41.665
1265,Mathieu Blanchard,C,BAT,17.616,5,1,1,1,2,3,4,25.0,0.2,0.2,0.2,0.4,0.6,0.8,0,0,0.0
1266,Ryan McReynolds,RW,QUE,18.191,24,2,0,1,2,3,19,10.53,0.08,0.0,0.04,0.08,0.12,0.79,1,1,100.0
1267,Christian Wejse,C,BLB,17.783,23,2,0,1,2,3,17,11.76,0.09,0.0,0.04,0.09,0.13,0.74,115,189,60.85
1268,Simon Monette,D,CHI,17.595,64,0,2,1,2,3,39,0.0,0.0,0.02,0.01,0.02,0.03,0.565,1,1,50.0
1269,Liam Alcalde,LW,HAL/CHA,18.006,90,2,1,0,3,3,56,4.545,0.025,0.01,0.0,0.035,0.035,0.615,1,3,25.0
1270,Fraser Turner,D,GAT,19.505,25,1,1,1,2,3,14,7.14,0.04,0.04,0.04,0.08,0.12,0.56,0,0,0.0
1271,Simon Desmarais,D,QUE/CAP/ROU,17.985,66,0,1,2,1,3,13,0.0,0.0,0.01,0.02,0.01,0.03,0.17,0,2,0.0
1272,David Perklin,LW,SHA,18.538,17,2,1,0,3,3,14,14.29,0.12,0.06,0.0,0.18,0.18,0.82,0,0,0.0
1273,Nicholas Cardone,C,CHI,16.378,16,0,2,1,2,3,1,0.0,0.0,0.12,0.06,0.12,0.19,0.06,4,16,25.0
1274,Danny Chiasson,RW,SNB,18.976,6,1,0,2,1,3,11,9.09,0.17,0.0,0.33,0.17,0.5,1.83,5,9,55.56
1275,Nathael Roy,LW,SHE,16.776,13,1,2,0,3,3,21,3.125,0.06,0.125,0.0,0.19,0.19,1.5,7,14,25.0
1276,Jeremy Way-Gagnon,C,DRU,17.105,33,2,0,1,2,3,18,5.555,0.03,0.0,0.015,0.03,0.045,0.28,85,164,50.94
1277,Jonathan Fillion,D,SHA,18.559,5,1,2,0,3,3,6,8.335,0.125,0.625,0.0,0.75,0.75,0.75,0,0,0.0
1278,Philippe Venne,C,DRU/SHA,17.044,51,1,1,1,2,3,24,3.845,0.015,0.025,0.015,0.04,0.06,0.475,33,75,45.0
1279,Ludovic Beaupre,RW,CHI,19.48,28,0,2,1,2,3,4,0.0,0.0,0.07,0.04,0.07,0.11,0.14,0,0,0.0
1280,Mario Kurali,D,BAT,19.661,24,1,0,2,1,3,23,4.35,0.04,0.0,0.08,0.04,0.12,0.96,0,0,0.0
1281,Mathieu Boily,D,QUE/GAT/SHE,17.572,39,1,1,1,2,3,14,2.5,0.008,0.008,0.05,0.015,0.065,0.725,0,0,0.0
1282,Jacob Stewart,C,MON,16.34,18,0,1,1,1,2,6,0.0,0.0,0.06,0.06,0.06,0.11,0.33,35,84,41.67
1283,Jeremie Hebert,D,BAC,15.822,30,0,0,2,0,2,12,0.0,0.0,0.0,0.07,0.0,0.07,0.4,0,0,0.0
1284,Joshua Anderson,D,RIM,18.256,19,0,0,2,0,2,12,0.0,0.0,0.0,0.11,0.0,0.11,0.63,0,0,0.0
1285,Gabriel Vanier,C,BLB,19.467,4,1,0,1,1,2,7,14.29,0.25,0.0,0.25,0.25,0.5,1.75,0,0,0.0
1286,Thomas Caron,LW,QUE,17.046,14,0,1,1,1,2,3,0.0,0.0,0.07,0.07,0.07,0.14,0.21,0,1,0.0
1287,Olivier-Luc Hache,C,ROU,16.948,21,0,1,1,1,2,6,0.0,0.0,0.05,0.05,0.05,0.1,0.29,47,100,47.0
1288,Adam Gaudreau,D,VIC,17.717,24,0,1,1,1,2,7,0.0,0.0,0.04,0.04,0.04,0.08,0.29,0,0,0.0
1289,Matt Paul,D,CAP/SNB,17.608,19,0,2,0,2,2,18,0.0,0.0,0.25,0.0,0.25,0.25,1.297,0,0,0.0
1290,Nikita Okhotyuk,D,OTT,16.781,2,0,1,1,1,2,2,0.0,0.0,0.5,0.5,0.5,1.0,1.0,0,0,0.0
1291,Kolby Johnson,LW,SHE,19.346,41,1,1,0,2,2,37,2.7,0.02,0.02,0.0,0.05,0.05,0.9,0,4,0.0
1292,Zachary Ouellet,D,ROU,17.889,31,1,1,0,2,2,15,6.67,0.03,0.03,0.0,0.06,0.06,0.48,0,0,0.0
1293,Loic Jarry,D,VDO,17.189,41,1,0,1,1,2,14,7.14,0.02,0.0,0.02,0.02,0.05,0.34,0,0,0.0
1294,Philippe Fortin,D,VDO,17.673,24,1,1,0,2,2,4,25.0,0.04,0.04,0.0,0.08,0.08,0.17,0,0,0.0
1295,Colton McKenna,LW,MON,18.081,17,0,2,0,2,2,11,0.0,0.0,0.12,0.0,0.12,0.12,0.65,0,0,0.0
1296,Kyle Auger,D,MON,18.703,13,1,1,0,2,2,18,5.56,0.08,0.08,0.0,0.15,0.15,1.38,0,0,0.0
1297,Jacob Bernard,D,RIM,16.567,17,0,2,0,2,2,9,0.0,0.0,0.12,0.0,0.12,0.12,0.53,0,0,0.0
1298,Zachary Gladu,RW,VDO,19.653,17,1,1,0,2,2,15,6.67,0.06,0.06,0.0,0.12,0.12,0.88,0,4,0.0
1299,Samuel Bitten,C,OTT,17.487,2,2,0,0,2,2,3,66.67,1.0,0.0,0.0,1.0,1.0,1.5,11,24,45.83
1300,Zach McFadden,D,CHA,18.963,29,0,0,2,0,2,15,0.0,0.0,0.0,0.07,0.0,0.07,0.52,0,0,0.0
