,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP,xG,xG/GP,eTOI,eTOI/GP,eG/60,eA1/60,eA2/60,eP1/60,eP/60,eSh/60,exG/60,QoT TOI,QoC TOI,QoT GF%,QoC GF%,GF%Rel,GF%,GF,GA,HD G,HD Sh,HD Sh%,MD G,MD Sh,MD Sh%,LD G,LD Sh,LD Sh%,FOW,FOT,FOW%
363,Philippe Myers,D,ROU,16.638,46,0,3,1,3,4,26,0.0,0.0,0.07,0.02,0.07,0.09,0.57,0.67,0.01,581.6,12.64,0.0,0.31,0.1,0.31,0.41,2.68,0.07,17.43,16.61,54.41,48.04,10.0,60.0,21,14,0,0,0.0,0,0,0.0,0,26,0.0,0,0,0.0
364,Nicolas Leblond,RW,BAC,17.662,29,2,1,1,3,4,18,11.11,0.07,0.03,0.03,0.1,0.14,0.62,2.58,0.09,266.51,9.19,0.45,0.23,0.23,0.68,0.9,4.05,0.58,16.57,16.0,59.3,43.98,-0.78,60.0,6,4,0,1,0.0,2,3,66.67,0,14,0.0,0,1,0.0
365,Jake Primeau,D,BAT,19.097,55,1,2,1,3,4,46,2.17,0.02,0.04,0.02,0.05,0.07,0.84,1.58,0.03,946.27,17.2,0.06,0.13,0.06,0.19,0.25,2.92,0.1,16.89,18.39,39.5,52.74,-10.22,29.33,22,53,0,0,0.0,0,0,0.0,1,46,2.17,0,0,0.0
366,Brandon Smith,D,GAT,17.531,39,0,4,0,4,4,15,0.0,0.0,0.1,0.0,0.1,0.1,0.38,0.56,0.01,480.94,12.33,0.0,0.5,0.0,0.5,0.5,1.87,0.07,16.32,16.59,52.34,48.36,2.0,52.0,13,12,0,0,0.0,0,0,0.0,0,15,0.0,0,0,0.0
367,Bailey Webster,D,SNB,16.019,7,0,1,2,1,3,6,0.0,0.0,0.14,0.29,0.14,0.43,0.86,0.09,0.01,109.84,15.69,0.0,0.55,1.09,0.55,1.64,3.28,0.05,15.69,17.3,35.94,52.35,5.24,37.5,3,5,0,0,0.0,0,0,0.0,0,6,0.0,0,0,0.0
368,Lucas Lajoie,RW,SHA,17.646,19,1,0,2,1,3,14,7.14,0.05,0.0,0.11,0.05,0.16,0.74,1.91,0.1,196.74,10.35,0.3,0.0,0.61,0.3,0.91,4.27,0.58,16.95,16.75,40.73,46.92,-2.0,40.0,4,6,1,2,50.0,0,2,0.0,0,10,0.0,3,9,33.33
369,Michael Thibault,D,RIM,16.291,5,1,0,2,1,3,7,14.29,0.2,0.0,0.4,0.2,0.6,1.4,0.25,0.05,86.89,17.38,0.69,0.0,1.38,0.69,2.07,4.83,0.17,15.84,17.41,55.86,48.99,17.31,75.0,6,2,0,0,0.0,0,0,0.0,1,7,14.29,0,0,0.0
370,Felix Boucher,D,VIC,17.813,32,1,0,2,1,3,15,6.67,0.03,0.0,0.06,0.03,0.09,0.47,0.45,0.01,485.14,15.16,0.12,0.0,0.25,0.12,0.37,1.86,0.06,16.45,17.47,49.34,48.54,-11.57,37.5,15,25,0,0,0.0,0,1,0.0,1,14,7.14,0,0,0.0
371,Nathan Yetman,C,CHA,17.41,36,1,0,2,1,3,33,3.03,0.03,0.0,0.06,0.03,0.08,0.92,2.98,0.08,407.02,11.31,0.15,0.0,0.29,0.15,0.44,4.86,0.44,16.51,17.5,39.58,51.45,-31.29,13.79,4,25,0,5,0.0,0,4,0.0,1,24,4.17,52,111,46.85
372,Nicolas Latulippe,D,GAT/BAT,17.38,55,0,2,1,2,3,18,0.0,0.0,0.04,0.02,0.04,0.05,0.33,1.05,0.02,710.45,12.92,0.0,0.17,0.08,0.17,0.25,1.52,0.09,16.15,17.04,39.45,52.4,-18.37,26.19,11,31,0,2,0.0,0,0,0.0,0,16,0.0,0,0,0.0
