,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,G/GP,A1/GP,A2/GP,P1/GP,P/GP
134,Brogan O'Brien,C,PG,20.091,52,17,14,10,31,41,0.33,0.27,0.19,0.6,0.79
135,Nolan Foote,LW,KEL,16.794,50,13,13,14,26,40,0.26,0.26,0.28,0.52,0.8
136,Alex Overhardt,C,POR,20.666,70,15,13,12,28,40,0.21,0.19,0.17,0.4,0.57
137,Jarret Tyszka,D,SEA,18.506,70,8,15,17,23,40,0.11,0.21,0.24,0.33,0.57
138,Parker AuCoin,LW,TC,19.13,61,19,12,9,31,40,0.31,0.2,0.15,0.51,0.66
139,Dylan Plouffe,D,VAN,18.388,60,9,13,18,22,40,0.15,0.22,0.3,0.37,0.67
140,Luka Burzan,C,BDN/MJ,17.69,72,15,15,10,30,40,0.21,0.21,0.14,0.42,0.56
141,Jake Leschyshyn,C,REG,18.519,64,18,14,8,32,40,0.28,0.22,0.12,0.5,0.62
142,Dillon Hamaliuk,LW,SEA,16.876,72,15,8,16,23,39,0.21,0.11,0.22,0.32,0.54
143,Brayden Watts,LW,VAN,18.566,70,17,11,11,28,39,0.24,0.16,0.16,0.4,0.56
144,Libor Hajek,D,REG/SAS,19.612,58,12,13,14,25,39,0.21,0.22,0.24,0.43,0.67
145,Reese Johnson,RW,RD,19.185,72,23,10,6,33,39,0.32,0.14,0.08,0.46,0.54
146,Andrei Grishakov,LW,VIC/CGY,18.333,69,19,13,7,32,39,0.28,0.19,0.1,0.46,0.57
147,Luke Coleman,LW,CGY,19.018,72,15,18,6,33,39,0.21,0.25,0.08,0.46,0.54
148,Brodi Stuart,LW,KAM,17.517,70,16,10,12,26,38,0.23,0.14,0.17,0.37,0.54
149,Jake McGrew,RW,SPO,18.555,65,19,11,8,30,38,0.29,0.17,0.12,0.46,0.58
150,Zane Franklin,C,LET,18.694,67,14,13,11,27,38,0.21,0.19,0.16,0.4,0.57
151,Aaron Boyd,LW,PG,20.313,67,14,14,10,28,38,0.21,0.21,0.15,0.42,0.57
152,Alexander Alexeyev,D,RD,17.835,45,7,16,14,23,37,0.16,0.36,0.31,0.51,0.82
153,Nolan Kneen,D,KAM,18.486,68,7,16,14,23,37,0.1,0.24,0.21,0.34,0.54
154,Jake Elmer,RW,LET,18.708,70,18,6,13,24,37,0.26,0.09,0.19,0.34,0.53
155,Bryce Kindopp,RW,EVT,18.256,72,24,9,3,33,36,0.33,0.12,0.04,0.46,0.5
156,Zach Fischer,RW,MH/SPO,20.159,46,22,6,8,28,36,0.48,0.13,0.17,0.61,0.78
157,Josh Curtis,RW,PG,18.976,72,9,17,10,26,36,0.12,0.24,0.14,0.36,0.5
158,Nolan Reid,D,SPO,19.48,72,14,9,13,23,36,0.19,0.12,0.18,0.32,0.5
159,Vince Loschiavo,C,MJ/KTN,19.488,68,19,6,11,25,36,0.28,0.09,0.16,0.37,0.53
160,Brett Kemp,C,EDM,17.482,69,17,8,11,25,36,0.25,0.12,0.16,0.36,0.52
161,Jackson Leppard,LW,PG,17.66,68,15,14,7,29,36,0.22,0.21,0.1,0.43,0.53
162,Filip Kral,D,SPO,17.906,54,9,11,15,20,35,0.17,0.2,0.28,0.37,0.65
163,Tristen Nielsen,C,CGY,17.561,49,19,15,1,34,35,0.39,0.31,0.02,0.69,0.71
164,Jonathan Smart,D,REG/KTN,18.292,69,6,13,15,19,34,0.09,0.19,0.22,0.28,0.49
165,Jack Cowell,LW,KEL,18.374,71,10,10,14,20,34,0.14,0.14,0.2,0.28,0.48
166,Dawson Holt,C,VAN,18.579,65,12,12,10,24,34,0.18,0.18,0.15,0.37,0.52
167,Jaeger White,C,MH,19.453,68,10,16,8,26,34,0.15,0.24,0.12,0.38,0.5
168,Cole Reinhardt,LW,BDN,17.621,68,19,7,8,26,34,0.28,0.1,0.12,0.38,0.5
169,Igor Merezhko,D,LET,19.379,71,5,14,14,19,33,0.07,0.2,0.2,0.27,0.46
170,Tyler Preziuso,RW,MH,18.656,66,17,8,8,25,33,0.26,0.12,0.12,0.38,0.5
171,Keoni Texeira,D,POR,20.48,64,9,13,11,22,33,0.14,0.2,0.17,0.34,0.52
172,Vladislav Mikhalchuk,RW,PG,17.917,60,14,8,11,22,33,0.23,0.13,0.18,0.37,0.55
173,Carson Focht,C,TC/CGY,17.613,69,13,9,11,22,33,0.19,0.13,0.16,0.32,0.48
174,Brett Leason,RW,TC/PA,18.38,66,16,8,9,24,33,0.24,0.12,0.14,0.36,0.5
175,Milos Roman,C,VAN,17.859,39,10,8,14,18,32,0.26,0.21,0.36,0.46,0.82
176,Scott Walford,D,VIC,18.675,69,2,10,20,12,32,0.03,0.14,0.29,0.17,0.46
177,Josh Brook,D,MJ,18.248,45,3,13,16,16,32,0.07,0.29,0.36,0.36,0.71
178,Dawson Barteaux,D,RD,17.676,64,3,8,21,11,32,0.05,0.12,0.33,0.17,0.5
179,Jadon Joseph,C,LET,18.319,53,9,11,12,20,32,0.17,0.21,0.23,0.38,0.6
180,Jared Freadrich,D,VIC,19.535,71,12,8,12,20,32,0.17,0.11,0.17,0.28,0.45
181,Kaden Elder,C,SC,19.502,67,18,9,5,27,32,0.27,0.13,0.07,0.4,0.48
182,Max Martin,D,PA,18.144,72,8,14,10,22,32,0.11,0.19,0.14,0.31,0.44
183,Beck Malenstyn,LW,SC/CGY,19.612,42,17,13,2,30,32,0.4,0.31,0.05,0.71,0.76
184,Bradly Goethals,C,SAS,19.247,69,15,11,6,26,32,0.22,0.16,0.09,0.38,0.46
185,Martin Bodak,D,KTN,18.798,59,7,12,12,19,31,0.12,0.2,0.2,0.32,0.53
186,Jake Christiansen,D,EVT,18.01,72,6,13,12,19,31,0.08,0.18,0.17,0.26,0.43
187,Lane Zablocki,RW,LET/VIC/RD,18.719,65,12,12,7,24,31,0.18,0.18,0.11,0.37,0.48
188,Chaz Reddekopp,D,VIC,20.704,46,7,14,10,21,31,0.15,0.3,0.22,0.46,0.67
189,Ilijah Colina,C,POR/PG,17.575,66,11,10,10,21,31,0.17,0.15,0.15,0.32,0.47
190,Conner Chaulk,C,SC/CGY,20.323,56,16,10,5,26,31,0.29,0.18,0.09,0.46,0.55
191,Wyatte Wylie,D,EVT,17.87,72,6,9,16,15,31,0.08,0.12,0.22,0.21,0.43
192,Matt Barberis,D,VAN,19.655,56,3,14,13,17,30,0.05,0.25,0.23,0.3,0.54
193,Connor Zary,C,KAM,15.973,68,11,6,12,17,29,0.16,0.09,0.18,0.25,0.43
194,Robbie Holmes,LW,REG,18.152,68,16,6,7,22,29,0.24,0.09,0.1,0.32,0.43
195,Tyson Helgesen,D,SPO,20.266,72,6,11,12,17,29,0.08,0.15,0.17,0.24,0.4
196,Sean Montgomery,C,PA,19.527,72,12,12,5,24,29,0.17,0.17,0.07,0.33,0.4
197,Nick Henry,RW,REG,18.202,53,14,9,6,23,29,0.26,0.17,0.11,0.43,0.55
198,Kobe Mohr,LW,EDM,18.297,58,11,7,10,18,28,0.19,0.12,0.17,0.31,0.48
199,Schael Higson,D,BDN,19.349,71,5,8,15,13,28,0.07,0.11,0.21,0.18,0.39
