,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,G/GP,A1/GP,A2/GP,P1/GP,P/GP
750,Jonathan Jasper,D,KIT/PBO,19.44,124,2,8,15,10,25,0.02,0.065,0.12,0.08,0.205
751,Mike Schwindt,D,NIAG/SSM,19.413,135,1,6,18,7,25,0.005,0.04,0.135,0.05,0.185
752,Ben Dubois,LW,OS/OTT,19.999,93,13,8,4,21,25,0.145,0.09,0.045,0.235,0.285
753,Mike Baird,LW,NB,17.726,132,10,6,9,16,25,0.073,0.06,0.085,0.132,0.212
754,Tim Campbell,D,GUE,19.582,54,6,8,11,14,25,0.11,0.15,0.2,0.26,0.46
755,Daniel Zweep,LW,OS,19.649,169,14,6,5,20,25,0.082,0.032,0.028,0.115,0.138
756,Josh Jacobs,D,SAR,19.582,67,4,14,6,18,24,0.06,0.21,0.09,0.27,0.36
757,Alex Racino,LW,SBY/SAG,17.782,70,15,5,4,20,24,0.215,0.08,0.045,0.295,0.34
758,Ryan McGregor,C,SAR,16.627,58,11,8,5,19,24,0.19,0.14,0.09,0.33,0.41
759,Kris Grant,D,ER,17.809,108,4,10,10,14,24,0.035,0.095,0.09,0.13,0.22
760,Nicolas Hague,D,MISS,16.778,66,14,7,3,21,24,0.21,0.11,0.05,0.32,0.36
761,Tyler Hostetter,D,ER,19.625,36,6,11,6,17,23,0.17,0.31,0.17,0.47,0.64
762,Bryce Yetman,RW,PLY/SSM/FLNT,17.813,113,11,8,4,19,23,0.1,0.065,0.038,0.165,0.208
763,Jack Kuzmyk,D,OS/SAR/ER,18.214,171,2,8,13,10,23,0.015,0.05,0.078,0.065,0.14
764,Brady Gilmour,C,SAG,16.411,61,7,6,10,13,23,0.11,0.1,0.16,0.21,0.38
765,Scott  Teskey,RW,MISS/KIT,18.493,158,11,7,5,18,23,0.279,0.019,0.018,0.302,0.319
766,Jack Hidi,LW,LDN/HAM,19.972,78,10,10,3,20,23,0.155,0.1,0.04,0.255,0.295
767,Stephon Thorne,LW,BRA,20.343,61,11,6,5,17,22,0.18,0.1,0.08,0.28,0.36
768,Connor Jarvis,LW,BRA/NB,18.178,169,6,10,6,16,22,0.048,0.072,0.042,0.115,0.158
769,Derek Hartwick,D,SSM/BAR,18.926,116,1,10,11,11,22,0.005,0.08,0.09,0.09,0.18
770,Taylor Davis,D,OTT,18.564,117,5,7,10,12,22,0.038,0.062,0.09,0.1,0.19
771,Joe Underwood,D,SAG/BELV,20.666,50,4,6,12,10,22,0.08,0.12,0.24,0.2,0.44
772,John  Padulo,C,BAR,18.36,64,9,5,8,14,22,0.14,0.08,0.12,0.22,0.34
773,Adam Bignell,D,BELV,19.542,264,1,13,8,14,22,0.015,0.056,0.034,0.072,0.1
774,Alex Black,D,SAR,17.508,120,4,10,7,14,21,0.035,0.085,0.055,0.12,0.175
775,Julian Luciani,D,OTT/BELV/SAR,19.092,123,5,10,6,15,21,0.04,0.075,0.05,0.12,0.175
776,Dylan  King,LD,SSM,20.198,68,4,5,12,9,21,0.06,0.07,0.18,0.13,0.31
777,Jonathan Johansson,C,BRA,19.212,46,7,10,4,17,21,0.15,0.22,0.09,0.37,0.46
778,Curtis Crombeen,D,OS/PLY,18.839,94,3,9,9,12,21,0.012,0.148,0.078,0.16,0.24
779,Nikita Yazkov,LW,WSR,18.05,68,6,8,7,14,21,0.045,0.06,0.055,0.105,0.16
780,Mackenzie Braid,D,BAR/SBY/SSM/WSR,18.913,133,6,8,7,14,21,0.045,0.103,0.053,0.15,0.198
781,JC Campagna,LW,SAR/PBO,17.762,70,11,6,4,17,21,0.16,0.095,0.055,0.25,0.305
782,Graeme Brown,D,WSR/KGN,18.458,190,4,7,10,11,21,0.024,0.046,0.049,0.07,0.111
783,Brady Pataki,RW,SBY,16.45,122,11,8,2,19,21,0.09,0.065,0.02,0.16,0.17
784,Alex Di Carlo,D,PLY/FLNT,17.726,100,2,6,13,8,21,0.02,0.092,0.11,0.108,0.218
785,Riley Stillman,D,OSH,17.02,71,6,9,6,15,21,0.05,0.075,0.05,0.12,0.17
786,Ted Nichol,C,KGN,17.945,132,6,11,4,17,21,0.04,0.105,0.062,0.15,0.208
787,Logan Stanley,D,WSR,16.806,123,5,9,7,14,21,0.04,0.07,0.055,0.11,0.17
788,Jacob Friend,D,OS,17.633,62,4,4,13,8,21,0.035,0.035,0.12,0.075,0.195
789,Kirill Maksimov,RW,SAG,16.291,54,6,8,7,14,21,0.11,0.15,0.13,0.26,0.39
790,Drake Rymsha,C,LDN/OTT,16.61,94,8,8,5,16,21,0.085,0.085,0.06,0.175,0.235
791,Norm Ezekiel,RW,BAR,19.999,124,9,7,4,16,20,0.075,0.06,0.035,0.13,0.165
792,Brett Appio,LW,ER/OS,19.89,62,13,4,3,17,20,0.18,0.035,0.09,0.215,0.31
793,Gilbert Gabor,LW,OS,17.513,109,10,3,7,13,20,0.095,0.03,0.065,0.12,0.19
794,Mack Lemmon,RW,BELV/NIAG/KGN,18.8,167,10,4,6,14,20,0.03,0.109,0.019,0.14,0.159
795,Mitch Gaulton,D,ER/KGN,20.392,55,8,4,8,12,20,0.15,0.07,0.15,0.22,0.36
796,Daniel De Sousa,D,BELV/SAG/MISS,18.256,116,4,5,11,9,20,0.042,0.057,0.065,0.098,0.165
797,Carlos Amestoy,C,SAG,19.978,39,10,6,4,16,20,0.255,0.195,0.17,0.45,0.62
798,Rudy Sulmonte,RW,SSM,18.577,49,12,3,5,15,20,0.24,0.06,0.1,0.31,0.41
