,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP
289,Bobby Mazerolle,C,MON,16.792,31,2,2,2,4,6,18,11.11,0.06,0.06,0.06,0.13,0.19,0.58
290,Yan Moniqui,D,BAT,19.349,26,1,4,1,5,6,32,3.12,0.04,0.15,0.04,0.19,0.23,1.23
291,Maxime Robert,D,GAT/BAT/VDO,19.491,55,3,1,1,4,5,55,5.45,0.05,0.02,0.02,0.07,0.09,1.0
292,Nicolas Desilets,D,SHA,18.475,69,0,1,4,1,5,55,0.0,0.0,0.01,0.06,0.01,0.07,0.8
293,Joshua Hepditch,RW,MON,18.703,67,0,4,1,4,5,54,0.0,0.0,0.06,0.01,0.06,0.07,0.81
294,Pierre-Luc Leblond-Letourneau,D,BAC,18.281,62,2,1,2,3,5,25,8.0,0.03,0.02,0.03,0.05,0.08,0.4
295,Olivier Furlong,LW,BAC,17.054,43,1,2,2,3,5,41,2.44,0.02,0.05,0.05,0.07,0.12,0.95
296,Francois Bolduc,D,RIM,16.323,53,1,2,2,3,5,24,4.17,0.02,0.04,0.04,0.06,0.09,0.45
297,Erick Tremblay,D,RIM,16.874,68,1,2,2,3,5,33,3.03,0.01,0.03,0.03,0.04,0.07,0.49
298,Vincent Zaore-Vanie,D,CAP,17.476,45,0,3,2,3,5,35,0.0,0.0,0.07,0.04,0.07,0.11,0.78
299,Maxime Rousseau,D,GAT,17.148,44,2,1,2,3,5,15,13.33,0.05,0.02,0.05,0.07,0.11,0.34
300,Guillaume Trudel,D,VIC,19.603,61,0,3,2,3,5,67,0.0,0.0,0.05,0.03,0.05,0.08,1.1
301,Cole Fetzner,LW,VIC,17.495,43,1,3,1,4,5,8,12.5,0.02,0.07,0.02,0.09,0.12,0.19
302,James Pouliot,LW,HAL,15.77,40,4,0,1,4,5,28,14.29,0.1,0.0,0.03,0.1,0.12,0.7
303,Josef Fojtik,LW,VIC,19.009,18,4,1,0,5,5,29,13.79,0.22,0.06,0.0,0.28,0.28,1.61
304,Tristan Vauclair,C,ROU,18.585,23,1,4,0,5,5,24,4.17,0.04,0.17,0.0,0.22,0.22,1.04
305,Adam Blanchette,D,QUE,17.564,56,1,1,3,2,5,43,2.33,0.02,0.02,0.05,0.04,0.09,0.77
306,Vincent Duriau,D,GAT,19.759,40,1,1,2,2,4,30,3.33,0.03,0.03,0.05,0.05,0.1,0.75
307,Patrick Tessier,RW,CHI,19.239,59,1,1,2,2,4,30,3.33,0.02,0.02,0.03,0.03,0.07,0.51
308,Guillaume Veilleux,D,RIM,17.44,65,2,0,2,2,4,32,6.25,0.03,0.0,0.03,0.03,0.06,0.49
309,Philippe Searles,LW,GAT,17.46,11,1,1,2,2,4,5,20.0,0.09,0.09,0.18,0.18,0.36,0.45
310,Jean-Francois Roux,LW,PEI,18.952,47,1,1,2,2,4,19,5.26,0.02,0.02,0.04,0.04,0.09,0.4
311,Daniel Leblanc,D,ROU,18.18,32,1,2,1,3,4,13,7.69,0.03,0.06,0.03,0.09,0.12,0.41
312,Benoit Lessard,D,VDO/BAT,18.495,35,3,0,1,3,4,29,10.34,0.09,0.0,0.03,0.09,0.11,0.83
313,Jean-Philippe Cote,D,ROU,17.386,33,2,1,1,3,4,23,8.7,0.06,0.03,0.03,0.09,0.12,0.7
