,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,G/GP,A1/GP,A2/GP,P1/GP,P/GP
186,Milan Doczy,D,OS,19.634,63,4,6,17,10,27,0.06,0.1,0.27,0.16,0.43
187,Ryan Strome,C,BAR/NIAG,16.181,61,8,13,6,21,27,0.13,0.21,0.1,0.34,0.44
188,Brock Beukeboom,D,SSM,17.457,66,7,12,7,19,26,0.11,0.18,0.11,0.29,0.39
189,Marc Zanetti,D,OTT,18.325,68,4,10,12,14,26,0.06,0.15,0.18,0.21,0.38
190,Tyler Hostetter,D,ER,18.626,59,2,14,10,16,26,0.03,0.24,0.17,0.27,0.44
191,Corey Durocher,LW,KGN,17.295,66,15,8,3,23,26,0.23,0.12,0.05,0.35,0.39
192,Jake Carrick,RW,SSM,19.012,63,14,6,6,20,26,0.22,0.1,0.1,0.32,0.41
193,Corey Bureau,RW,MISS,18.399,64,9,11,6,20,26,0.14,0.17,0.09,0.31,0.41
194,Grant McGee,RW,OS,20.277,46,14,7,4,21,25,0.3,0.15,0.09,0.46,0.54
195,Matt  Petgrave,D,NIAG,17.629,67,6,8,11,14,25,0.09,0.12,0.16,0.21,0.37
196,Ian Watters,LW,BRA,17.72,57,9,7,9,16,25,0.16,0.12,0.16,0.28,0.44
197,Kalle Ekelund,RD,LDN,19.143,68,5,8,12,13,25,0.07,0.12,0.18,0.19,0.37
198,Colin Behenna,C,BAR,18.278,55,7,13,5,20,25,0.13,0.24,0.09,0.36,0.45
199,Zac Rinaldo,LW,BAR/LDN,19.253,60,10,13,2,23,25,0.17,0.22,0.03,0.38,0.42
200,Leo Jenner,D,PLY,20.219,67,7,8,9,15,24,0.1,0.12,0.13,0.22,0.36
201,Ben O'Quinn,C,SAR,18.36,47,10,7,7,17,24,0.21,0.15,0.15,0.36,0.51
202,Brett Flemming,D,MISS,18.552,68,1,12,11,13,24,0.01,0.18,0.16,0.19,0.35
203,Roman Berdnikov,RW,OS,17.161,38,9,9,6,18,24,0.24,0.24,0.16,0.47,0.63
204,Calvin  de Haan,LD,OSH,18.355,34,5,13,6,18,24,0.15,0.38,0.18,0.53,0.71
205,Brandon Alderson,RW,SAR,17.649,67,13,7,4,20,24,0.19,0.1,0.06,0.3,0.36
206,Michael Curtis,LW,BELV,16.636,67,19,3,2,22,24,0.28,0.04,0.03,0.33,0.36
207,Erik Gudbranson,D,KGN,17.69,41,2,12,9,14,23,0.05,0.29,0.22,0.34,0.56
208,Adam Sedlak,RD,PBO,17.985,60,5,7,11,12,23,0.08,0.12,0.18,0.2,0.38
209,Zack MacQueen,C,SAR,18.048,63,11,6,6,17,23,0.17,0.1,0.1,0.27,0.37
