,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP
62,Jeremy Gouchie,C,MTL,19.895,133,44,42,34,86,120,330,13.285,0.33,0.315,0.255,0.65,0.9,2.48
63,Michael Beaudry,C,RIM/ROU/VDO,18.64,200,36,49,35,85,120,368,9.567,0.205,0.292,0.208,0.495,0.702,2.015
64,Alexandre Mallet,C,RIM/ROU,18.566,193,53,39,27,92,119,327,16.258,0.328,0.248,0.175,0.575,0.747,1.852
65,Olivier Archambault,LW,VDO/DRU,17.828,168,49,45,25,94,119,325,14.745,0.32,0.31,0.128,0.625,0.758,2.18
66,Xavier Ouellet,D,MTL/BLB,17.381,173,31,40,48,71,119,399,7.49,0.208,0.248,0.275,0.455,0.728,2.468
67,Morgan Ellis,D,CAP/SHA,18.626,185,27,42,48,69,117,403,6.668,0.172,0.24,0.278,0.412,0.692,2.47
68,Denis Kindl,C,GAT/MTL/CAP,18.364,190,57,32,27,89,116,396,14.008,0.298,0.165,0.145,0.465,0.61,2.142
69,Yannick Veilleux,RW,SHA,17.811,182,49,36,30,85,115,405,11.53,0.312,0.202,0.195,0.512,0.708,2.428
70,Samuel Morneau,LW,VDO/GAT/PEI,20.095,122,60,30,23,90,113,461,13.05,0.5,0.255,0.19,0.755,0.945,3.795
71,Viktor Hertzberg,RW,CAP/MTL/BLB,19.648,117,48,33,32,81,113,312,14.86,0.46,0.152,0.138,0.612,0.752,3.122
72,Nicolas Larocque-Marcoux,D,SHA/VDO,19.056,175,45,37,30,82,112,343,13.072,0.283,0.225,0.188,0.508,0.695,2.098
73,Jean-Philippe Mathieu,D,PEI/DRU/RIM,19.711,173,28,52,31,80,111,272,9.732,0.162,0.352,0.175,0.515,0.69,1.605
74,Logan Shaw,RW,CAP/QUE,18.194,195,55,40,16,95,111,482,10.88,0.292,0.225,0.08,0.518,0.6,2.67
75,Mikael Tam,D,QUE,19.64,186,44,35,32,79,111,451,9.678,0.23,0.21,0.155,0.44,0.595,2.498
76,Guillaume Goulet,RW,VIC/BAC,19.416,118,61,31,19,92,111,412,14.955,0.52,0.26,0.16,0.78,0.94,3.49
77,Tomas Filippi,RW,QUE/BAC,18.865,122,46,32,31,78,109,354,13.165,0.38,0.265,0.255,0.64,0.89,2.905
78,Marc-Olivier Brouillard,RW,DRU,17.833,134,38,48,23,86,109,384,7.755,0.252,0.298,0.145,0.55,0.695,2.738
79,Trevor Parkes,RW,MTL,18.844,126,60,29,20,89,109,386,15.535,0.48,0.23,0.16,0.71,0.87,3.085
80,Marc-Olivier Mimar,RW,BAC/BAT,19.1,132,44,36,29,80,109,327,12.312,0.29,0.275,0.185,0.56,0.75,2.322
81,Jakub Culek,LW,RIM,18.271,173,33,44,32,77,109,333,9.73,0.205,0.268,0.182,0.47,0.652,2.07
82,Mathieu Gagnon,D,GAT/SHA/CHI,18.428,248,22,55,31,77,108,343,6.391,0.101,0.217,0.121,0.313,0.434,1.382
83,Kirill Kabanov,RW,MON/LEW/SHA,18.416,111,42,38,26,80,106,297,14.285,0.392,0.358,0.24,0.752,0.992,2.738
84,Cameron Critchlow,LW,BAT/LEW/HAL,18.993,197,44,35,26,79,105,352,12.465,0.242,0.192,0.145,0.432,0.582,1.902
85,Devon MacAusland,C,MON,19.566,175,47,31,26,78,104,432,11.067,0.268,0.178,0.145,0.442,0.587,2.522
86,Nicolas Chouinard,RW,MTL,19.325,127,50,33,20,83,103,427,11.66,0.39,0.26,0.16,0.65,0.805,3.35
87,Andre Bouvet-Morrissette,RW,DRU,19.638,128,55,25,22,80,102,349,15.22,0.435,0.195,0.175,0.625,0.8,2.745
88,Ryan Bourque,LW,QUE,19.2,93,45,30,27,75,102,264,17.075,0.48,0.32,0.29,0.8,1.09,2.82
89,Steven Anthony,LW,SNB,18.989,122,41,32,28,73,101,287,14.26,0.34,0.26,0.23,0.6,0.825,2.35
90,Philippe Lefebvre,LW,DRU/MTL,19.046,126,45,35,21,80,101,370,12.295,0.355,0.28,0.165,0.635,0.8,2.915
91,Rock Regimbald,C,CHI/GAT,18.605,192,31,42,28,73,101,235,13.982,0.192,0.228,0.16,0.422,0.585,1.312
92,Raphael Bussieres,LW,MON/BAC,17.11,166,45,27,28,72,100,322,14.045,0.295,0.175,0.17,0.47,0.64,2.068
93,David Gilbert,C,QUE/BAT,19.098,114,52,22,25,74,99,401,12.96,0.465,0.19,0.225,0.655,0.875,3.545
94,Adam Janosik,D,GAT,18.271,174,22,47,30,69,99,283,7.395,0.125,0.288,0.175,0.412,0.588,1.7
95,Matthew Hobbs,D,PEI/VIC,19.766,196,28,39,30,67,97,291,8.745,0.138,0.2,0.145,0.338,0.483,1.498
96,Philippe Paradis,LW,SHA/PEI,19.202,122,47,26,24,73,97,363,12.97,0.385,0.215,0.2,0.6,0.8,2.98
97,Jessyko Bernard,RW,HAL/ROU/PEI,19.681,175,50,22,24,72,96,295,16.375,0.288,0.138,0.185,0.428,0.612,1.71
98,Kevin Gagne,D,SNB,18.67,190,19,39,38,58,96,298,6.945,0.105,0.208,0.198,0.315,0.505,1.565
99,Nicolas Deschamps,LW,MON/CHI,19.691,64,39,33,24,72,96,200,19.5,0.61,0.52,0.38,1.12,1.5,3.12
100,Konrad Abeltshauser,D,HAL,18.284,163,21,47,28,68,96,366,6.0,0.13,0.32,0.182,0.452,0.633,2.33
101,Maximilien Le Sieur,RW,SHA/CAP,18.216,188,42,24,29,66,95,329,13.505,0.25,0.12,0.155,0.368,0.528,1.782
102,Francis Meilleur,D,CAP/MTL,19.487,135,14,38,43,52,95,269,5.36,0.105,0.28,0.32,0.385,0.705,1.995
103,Steve Lebel,C,CHI,18.348,198,41,28,26,69,95,376,10.728,0.21,0.165,0.138,0.372,0.512,2.072
104,Darcy Ashley,RW,HAL,18.068,125,42,36,16,78,94,294,14.255,0.335,0.29,0.13,0.625,0.755,2.355
105,Gleason Fournier,D,RIM,18.52,115,25,30,39,55,94,245,10.285,0.215,0.265,0.34,0.48,0.815,2.125
106,Jarrad Struthers,LW,PEI/RIM,19.638,132,51,30,13,81,94,359,14.285,0.385,0.23,0.095,0.615,0.71,2.725
107,Gabriel Dumont,RW,DRU,18.944,62,51,26,16,77,93,324,15.74,0.82,0.42,0.26,1.24,1.5,5.23
108,Christophe Losier,C,ROU/BAT,19.642,162,39,35,18,74,92,266,15.505,0.258,0.242,0.103,0.502,0.605,1.65
109,Peter Sakaris,RW,SHA,18.55,94,40,29,23,69,92,229,19.255,0.455,0.31,0.26,0.77,1.03,2.405
110,Cory MacIntosh,LW,CAP,18.589,179,35,34,23,69,92,333,10.582,0.198,0.185,0.115,0.382,0.498,1.868
111,Luke Adam,C,CAP,19.245,56,49,27,14,76,90,275,17.82,0.88,0.48,0.25,1.36,1.61,4.91
112,Alexandre Grenier,RW,QUE/HAL/DRU,18.666,97,34,39,16,73,89,191,11.767,0.227,0.42,0.11,0.647,0.757,1.283
113,Nicolas Deslauriers,D,ROU/GAT,19.062,113,22,39,27,61,88,347,6.54,0.205,0.36,0.23,0.565,0.795,3.09
114,Lukas Cingel,RW,BAC,18.441,131,36,31,21,67,88,317,11.405,0.275,0.23,0.16,0.51,0.67,2.42
115,Garrett Clarke,LW,HAL/BAT/SHA/GAT,18.114,157,21,31,36,52,88,303,7.072,0.14,0.205,0.24,0.345,0.585,1.998
116,Travis McIsaac,C,VIC/PEI,20.067,136,37,31,20,68,88,324,11.395,0.27,0.225,0.145,0.5,0.65,2.38
117,Simon Despres,D,SNB,18.638,110,22,35,31,57,88,294,7.55,0.21,0.32,0.28,0.53,0.81,2.715
118,Dmitri Kugryshev,RW,QUE,19.658,66,29,41,17,70,87,208,13.94,0.44,0.62,0.26,1.06,1.32,3.15
119,Stephen MacAulay,RW,SNB,18.654,174,38,27,22,65,87,227,16.402,0.225,0.16,0.138,0.385,0.518,1.378
120,Mirko Hoefflin,C,QUE/BAT,18.742,113,32,30,25,62,87,270,11.82,0.285,0.27,0.225,0.55,0.77,2.385
121,Jean-Francois Leblanc,C,VDO/BAC,17.786,188,33,28,25,61,86,220,13.368,0.158,0.125,0.132,0.283,0.418,1.122
122,Vincent Barnard,D,GAT/QUE,19.81,164,36,24,26,60,86,359,7.672,0.17,0.17,0.178,0.342,0.52,2.33
123,Gabriel Desjardins,LW,HAL/QUE,18.098,171,40,28,18,68,86,393,10.928,0.262,0.17,0.108,0.428,0.535,2.318
124,Mikhail Grigorenko,C,QUE,17.334,59,40,24,21,64,85,196,20.41,0.68,0.41,0.36,1.08,1.44,3.32
125,Olivier Dame-Malka,D,BAT/LEW,19.796,128,25,28,32,53,85,361,6.79,0.195,0.22,0.25,0.415,0.665,2.82
126,Francis Beauvillier,LW,LEW/RIM,17.148,185,46,22,17,68,85,350,13.198,0.268,0.112,0.085,0.38,0.473,2.022
127,Travis Randell,RW,HAL,19.886,204,34,32,19,66,85,413,7.58,0.148,0.14,0.085,0.29,0.372,1.848
128,Mike Hoffman,C,SNB,19.809,56,46,25,14,71,85,265,17.36,0.82,0.45,0.25,1.27,1.52,4.73
129,Alexandre Durette,RW,RIM/BAC/VDO,18.788,190,41,26,17,67,84,299,12.835,0.22,0.145,0.115,0.372,0.49,1.615
130,Loik Poudrier,C,MTL/SHA,18.44,182,39,32,12,71,83,339,11.958,0.23,0.195,0.07,0.422,0.492,1.93
131,William Carrier,LW,CAP,16.237,127,35,25,22,60,82,302,10.665,0.27,0.19,0.165,0.46,0.63,2.35
132,Alex Noel,RW,GAT/VDO/PEI,18.44,171,33,31,18,64,82,303,10.442,0.182,0.178,0.103,0.362,0.46,1.775
133,Billy Lacasse,LW,LEW/CHI,19.911,122,36,28,18,64,82,308,11.72,0.295,0.23,0.15,0.525,0.67,2.525
134,Josh Currie,C,PEI,18.129,169,48,20,13,68,81,381,12.428,0.308,0.118,0.085,0.43,0.512,2.385
135,Mathieu Brisebois,D,LEW/ROU,18.662,146,20,33,28,53,81,214,7.3,0.14,0.228,0.198,0.368,0.562,1.467
136,Adam Polasek,D,PEI,18.68,127,20,37,23,57,80,249,8.235,0.155,0.295,0.18,0.45,0.63,1.97
137,Nicholas Petersen,RW,SNB,20.304,59,39,23,17,62,79,179,21.79,0.66,0.39,0.29,1.05,1.34,3.03
138,Samuel Groulx,D,VIC/QUE,19.717,128,22,27,30,49,79,228,9.675,0.17,0.215,0.23,0.385,0.615,1.78
139,Martin Frk,RW,HAL,17.444,96,38,27,14,65,79,260,15.695,0.41,0.275,0.15,0.685,0.83,2.66
140,Raphael Pouliot,LW,SHA/MTL/BLB,19.668,196,41,21,17,62,79,342,12.172,0.245,0.138,0.102,0.382,0.485,1.935
141,Pier-Antoine Dion,LW,CAP/MTL/DRU/PEI,19.642,158,46,20,13,66,79,331,13.745,0.28,0.128,0.05,0.405,0.46,2.008
