,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP,xG,xG/GP,HD G,HD Sh,HD Sh%,MD G,MD Sh,MD Sh%,LD G,LD Sh,LD Sh%,FOW,FOT,FOW%
414,Anthony Tabak,LW,SBY/SAR,16.276,103,7,12,7,19,26,105,6.91,0.07,0.115,0.07,0.185,0.25,1.02,4.565,0.09,6,20,20.0,0,14,0.0,1,71,1.19,156,363,37.59
415,Aiden  Jamieson,D,SBY,20.482,66,3,13,10,16,26,70,4.29,0.05,0.2,0.15,0.24,0.39,1.06,4.76,0.07,2,4,50.0,0,4,0.0,1,62,1.61,1,2,50.0
416,Liam Dunda,LW,SBY,19.001,65,10,8,8,18,26,101,9.9,0.15,0.12,0.12,0.28,0.4,1.55,9.69,0.15,3,14,21.43,1,11,9.09,6,76,7.89,23,86,26.74
417,Igor Larionov,RW,WSR,19.561,40,6,11,8,17,25,51,7.69,0.095,0.17,0.22,0.265,0.485,1.36,3.485,0.185,2,10,12.5,1,9,8.335,3,32,6.0,95,184,50.99
418,Dalton Duhart,C/LW,LDN/BAR,17.157,91,13,7,5,20,25,73,16.76,0.13,0.075,0.045,0.205,0.25,0.765,3.355,0.07,4,12,40.0,3,10,16.665,6,51,11.615,226,479,50.92
419,Jordan Frasca,LW,WSR,16.697,63,10,8,7,18,25,76,11.82,0.13,0.11,0.065,0.245,0.31,1.09,4.105,0.115,4,11,41.665,1,15,3.335,5,50,5.95,225,484,39.035
420,Nikita Okhotyuk,D,OTT,17.28,98,6,9,10,15,25,139,4.925,0.055,0.1,0.1,0.155,0.26,1.445,2.9,0.06,0,2,0.0,2,7,50.0,4,130,3.39,1,1,50.0
421,Conor Ali,D,SBY/KGN/HAM,18.772,153,0,12,13,12,25,75,0.0,0.0,0.08,0.105,0.08,0.182,0.488,0.92,0.018,0,1,0.0,0,4,0.0,0,70,0.0,1,3,50.0
422,Kurtis Henry,D,ER,17.921,102,6,8,11,14,25,82,6.395,0.055,0.075,0.105,0.13,0.235,0.775,1.325,0.025,0,0,0.0,0,3,0.0,6,79,6.63,0,0,0.0
423,Kaleb Pearson,RW,OS,18.251,56,11,9,5,20,25,95,11.58,0.2,0.16,0.09,0.36,0.45,1.7,8.04,0.14,4,8,50.0,1,16,6.25,6,71,8.45,13,21,61.9
424,Grayson Ladd,D,WSR/KIT,17.042,100,2,8,14,10,24,61,2.565,0.02,0.08,0.145,0.105,0.25,0.615,0.72,0.015,0,1,0.0,0,0,0.0,2,60,2.63,0,0,0.0
425,Quinn Yule,LW,OTT,17.942,105,12,9,3,21,24,106,8.657,0.095,0.073,0.018,0.168,0.185,1.055,3.582,0.075,4,18,17.208,4,15,16.52,4,73,4.312,3,19,11.908
426,Ryan Martin,D,ER,18.507,137,5,5,14,10,24,96,4.692,0.04,0.035,0.095,0.073,0.17,0.72,1.808,0.035,0,7,0.0,2,6,55.0,3,83,3.372,0,1,0.0
427,Erik Cermak,LW,PBO,17.539,58,8,9,7,17,24,65,12.31,0.14,0.16,0.12,0.29,0.41,1.12,6.85,0.12,3,9,33.33,4,17,23.53,1,39,2.56,175,348,50.29
428,Jan Jenik,C,HAM,17.999,20,10,8,6,18,24,62,16.13,0.5,0.4,0.3,0.9,1.2,3.1,7.24,0.36,2,14,14.29,6,20,30.0,2,28,7.14,132,295,44.75
429,Jacob Tortora,RW,BAR,19.143,33,16,7,1,23,24,100,16.0,0.48,0.21,0.03,0.7,0.73,3.03,12.22,0.37,5,15,33.33,5,19,26.32,6,66,9.09,19,32,59.38
430,Hakon Nilsen,D,FLNT,19.862,164,4,7,13,11,24,141,4.215,0.028,0.042,0.082,0.07,0.153,0.875,1.82,0.03,0,2,0.0,0,4,0.0,4,135,4.417,0,0,0.0
431,Tom Hedberg,D,BAR,17.101,56,4,11,9,15,24,78,5.13,0.07,0.2,0.16,0.27,0.43,1.39,4.14,0.07,0,1,0.0,1,3,33.33,3,74,4.05,1,2,50.0
432,Bobby Dow,RW,PBO,18.861,63,12,5,7,17,24,93,12.9,0.19,0.08,0.11,0.27,0.38,1.48,11.1,0.18,4,21,19.05,2,13,15.38,6,59,10.17,17,54,31.48
433,Daniel Walker,LW,NB,18.58,128,13,4,7,17,24,214,6.025,0.13,0.038,0.048,0.167,0.215,1.898,7.305,0.188,1,28,2.778,3,47,7.442,9,139,6.255,25,55,49.52
434,Cole Cameron,D,OS/KIT/NB,19.604,185,2,6,16,8,24,167,1.065,0.01,0.032,0.09,0.038,0.132,0.985,2.352,0.04,0,3,0.0,0,8,0.0,2,156,1.168,1,7,5.0
