,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,G/GP,A1/GP,A2/GP,P1/GP,P/GP
255,Garet Hunt,LW,VAN,19.921,62,7,3,8,10,18,0.11,0.05,0.13,0.16,0.29
256,Theran Yeo,D,BRN,19.743,47,5,5,8,10,18,0.11,0.11,0.17,0.21,0.38
257,Mike Berube,D,VAN,19.321,72,5,4,9,9,18,0.07,0.06,0.12,0.12,0.25
258,Dylan Hood,RW,KEL,17.29,63,10,6,2,16,18,0.16,0.1,0.03,0.25,0.29
259,Jarrett Toll,D,TRI,18.662,64,5,6,6,11,17,0.08,0.09,0.09,0.17,0.27
260,Keith Aulie,D,BRN,18.262,72,5,5,7,10,17,0.07,0.07,0.1,0.14,0.24
261,Cass Mappin,LW,RDR,16.737,64,5,4,8,9,17,0.08,0.06,0.12,0.14,0.27
262,Keith Seabrook,D,CGY,19.119,59,4,2,11,6,17,0.07,0.03,0.19,0.1,0.29
263,Ryan Howse,LW,CWK,16.195,54,10,4,3,14,17,0.19,0.07,0.06,0.26,0.31
264,Matt Strueby,C,REG,17.985,65,7,7,3,14,17,0.11,0.11,0.05,0.22,0.26
265,Linden Vey,C,M.H,16.165,48,8,7,2,15,17,0.17,0.15,0.04,0.31,0.35
266,Cody Eakin,C,S.C,16.312,55,11,4,2,15,17,0.2,0.07,0.04,0.27,0.31
267,Shayne Wiebe,LW,KAM,17.643,66,9,6,2,15,17,0.14,0.09,0.03,0.23,0.26
268,Radek Meidl,LW,TRI,18.804,26,8,2,6,10,16,0.31,0.08,0.23,0.38,0.62
269,Walker Wintoneak,RW,SAS,18.308,53,9,4,3,13,16,0.17,0.08,0.06,0.25,0.3
270,Marcus Watson,C,P.G,18.659,60,6,7,3,13,16,0.1,0.12,0.05,0.22,0.27
271,Mike Piluso,LW,VAN,16.934,48,8,7,1,15,16,0.17,0.15,0.02,0.31,0.33
272,Eric Mestery,D,TRI,17.301,71,2,7,7,9,16,0.03,0.1,0.1,0.13,0.23
273,Sasha Golin,RW,KAM,19.316,71,5,5,6,10,16,0.07,0.07,0.08,0.14,0.23
274,Cody Carlson,D,M.H,16.329,49,2,5,9,7,16,0.04,0.1,0.18,0.14,0.33
275,Michael Proudley,LW,CWK,18.407,52,6,5,5,11,16,0.12,0.1,0.1,0.21,0.31
276,Brett Ward,D,M.J,18.924,71,2,3,11,5,16,0.03,0.04,0.15,0.07,0.23
277,Brad Riege,C,M.J/P.G,18.495,61,8,4,4,12,16,0.13,0.07,0.07,0.2,0.26
278,Zach Sim,D,KTN/M.H/P.A,19.343,63,3,9,4,12,16,0.05,0.14,0.06,0.19,0.25
279,Mike Gauthier,D,KAM/P.A,20.474,71,3,6,6,9,15,0.04,0.08,0.08,0.13,0.21
280,David Robinson,LW,CWK,17.605,71,7,2,6,9,15,0.1,0.03,0.08,0.13,0.21
281,Carter Smith,RW,RDR,19.425,43,7,7,1,14,15,0.16,0.16,0.02,0.33,0.35
282,Blaine Tendler,D,P.A,17.564,46,1,6,8,7,15,0.02,0.13,0.17,0.15,0.33
283,James Henry,LW,VAN,16.515,46,7,3,5,10,15,0.15,0.07,0.11,0.22,0.33
284,J-P Szaszkiewicz,LW,EDM,19.327,65,5,5,5,10,15,0.08,0.08,0.08,0.15,0.23
285,Curtis Kelner,LW,SPO,19.571,53,6,6,3,12,15,0.11,0.11,0.06,0.23,0.28
286,James Dobrowolski,LW,P.A,17.632,66,6,6,3,12,15,0.09,0.09,0.05,0.18,0.23
287,Ian Barteaux,D,KTN,19.13,71,1,8,6,9,15,0.01,0.11,0.08,0.13,0.21
288,Andy Smith,C,P.A,18.434,43,7,4,4,11,15,0.16,0.09,0.09,0.26,0.35
289,Del Cowan,LW,BRN,18.459,57,8,5,2,13,15,0.14,0.09,0.04,0.23,0.26
290,Jan Dalecky,LW,S.C,17.517,62,6,6,3,12,15,0.1,0.1,0.05,0.19,0.24
291,Ashton Hewson,LW,P.A,19.54,62,6,5,4,11,15,0.1,0.08,0.06,0.18,0.24
292,Martin  Filo,RW,M.J,18.286,51,7,4,3,11,14,0.14,0.08,0.06,0.22,0.27
293,Travis Bobbee,D,LET/POR,17.695,65,7,0,7,7,14,0.11,0.0,0.11,0.11,0.22
294,Lucas Alexiuk,D,LET/POR,18.497,58,0,7,7,7,14,0.0,0.12,0.12,0.12,0.24
295,Ryan Funk,D,SAS,18.506,68,2,3,9,5,14,0.03,0.04,0.13,0.07,0.21
296,Graham Potuer,D,EVT,19.573,64,3,6,5,9,14,0.05,0.09,0.08,0.14,0.22
297,Brandon Lockerby,D,EDM,19.576,36,7,4,3,11,14,0.19,0.11,0.08,0.31,0.39
298,Shayne Neigum,LW,EDM,17.471,62,5,6,3,11,14,0.08,0.1,0.05,0.18,0.23
299,Tyler Schmidt,D,TRI,17.424,66,2,6,6,8,14,0.03,0.09,0.09,0.12,0.21
300,Brett Leffler,RW,REG,18.325,56,9,2,3,11,14,0.16,0.04,0.05,0.2,0.25
301,Cody Smuk,LW,CWK,18.347,60,4,6,4,10,14,0.07,0.1,0.07,0.17,0.23
