,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP,xG,xG/GP,HD G,HD Sh,HD Sh%,MD G,MD Sh,MD Sh%,LD G,LD Sh,LD Sh%,FOW,FOT,FOW%
308,Danial Singer,RW,NIAG,17.597,65.0,13.0,10.0,4.0,23.0,27.0,136.0,9.56,0.2,0.15,0.06,0.35,0.42,2.09,14.51,0.22,6.0,22.0,27.27,5.0,24.0,20.83,2.0,90.0,2.22,4.0,9.0,44.44
309,Barrett Hayton,C,SSM,16.269,63.0,9.0,12.0,6.0,21.0,27.0,97.0,9.28,0.14,0.19,0.1,0.33,0.43,1.54,10.08,0.16,2.0,14.0,14.29,2.0,12.0,16.67,5.0,71.0,7.04,154.0,305.0,50.49
310,Liam Stevens,LW,GUE,16.898,127.0,14.0,7.0,6.0,21.0,27.0,127.0,11.14,0.11,0.055,0.045,0.165,0.21,0.995,6.51,0.105,2.0,18.0,8.335,5.0,20.0,25.0,7.0,89.0,7.9,16.0,38.0,42.5
311,Zachary Roberts,LW,OS,16.616,71.0,11.0,11.0,4.0,22.0,26.0,83.0,11.85,0.13,0.175,0.075,0.305,0.38,1.1,3.925,0.105,1.0,9.0,5.555,2.0,11.0,12.5,8.0,63.0,13.395,37.0,78.0,53.08
312,C.J. Clarke,RW,PBO/FLNT,17.101,109.0,10.0,13.0,3.0,23.0,26.0,139.0,5.87,0.09,0.115,0.025,0.21,0.235,1.265,7.1,0.13,1.0,15.0,4.545,5.0,14.0,22.725,4.0,110.0,3.405,6.0,21.0,29.09
313,Stephen Gibson,D,MISS,19.037,133.0,7.0,7.0,12.0,14.0,26.0,145.0,4.81,0.055,0.055,0.09,0.105,0.195,1.09,2.5,0.035,0.0,1.0,0.0,1.0,1.0,50.0,6.0,143.0,4.085,0.0,2.0,0.0
314,Keaton Middleton,D,SAG,18.095,130.0,5.0,11.0,9.0,16.0,25.0,165.0,2.86,0.04,0.085,0.07,0.125,0.195,1.275,3.68,0.06,0.0,5.0,0.0,0.0,2.0,0.0,5.0,158.0,3.005,1.0,1.0,50.0
315,Ondrej Machala,LW,NIAG,17.679,56.0,8.0,8.0,9.0,16.0,25.0,120.0,6.67,0.14,0.14,0.16,0.29,0.45,2.14,11.97,0.21,3.0,12.0,25.0,1.0,17.0,5.88,4.0,91.0,4.4,32.0,80.0,40.0
316,Damien Giroux,C,SAG,16.537,53.0,8.0,6.0,11.0,14.0,25.0,68.0,11.76,0.15,0.11,0.21,0.26,0.47,1.28,8.86,0.17,1.0,17.0,5.88,1.0,14.0,7.14,6.0,37.0,16.22,138.0,304.0,45.39
317,Alexandre Renaud,LW,OSH/SAR,19.551,64.0,13.0,7.0,5.0,20.0,25.0,92.0,14.13,0.2,0.11,0.08,0.31,0.39,1.44,10.47,0.16,2.0,15.0,13.33,4.0,14.0,28.57,7.0,63.0,11.11,35.0,68.0,51.47
318,Alex Di Carlo,D,FLNT/OSH,18.976,115.0,3.0,7.0,14.0,10.0,24.0,140.0,2.745,0.03,0.065,0.125,0.085,0.21,1.195,2.17,0.04,0.0,1.0,0.0,0.0,1.0,0.0,3.0,138.0,2.805,0.0,0.0,0.0
319,Brady Hinz,RW,SAR,16.37,61.0,5.0,14.0,5.0,19.0,24.0,63.0,7.94,0.08,0.23,0.08,0.31,0.39,1.03,6.6,0.11,4.0,7.0,57.14,0.0,14.0,0.0,1.0,42.0,2.38,225.0,508.0,44.29
