"#","Name","Pos","Team","Age","GP","G","A1","A2","P1","P","G/GP","A1/GP","A2/GP","P1/GP","P/GP"
"","Josh MacDonald","RW","PBO","20.474","63","29","14","9","43","52","0.46","0.22","0.14","0.68","0.83"
"","Slater Doggett","C","WSR","20.203","57","25","18","8","43","51","0.44","0.32","0.14","0.75","0.89"
"","Brandon Robinson","LW","KIT","18.924","62","25","17","12","42","54","0.4","0.27","0.19","0.68","0.87"
"","Nick Betz","RW","ER","19.163","60","22","20","12","42","54","0.37","0.33","0.2","0.7","0.9"
"","Gabe  Guertler","C","SSM","19.371","67","27","14","16","41","57","0.4","0.21","0.24","0.61","0.85"
"","Daniel  Milne","LW","OS","20.48","66","22","19","5","41","46","0.33","0.29","0.08","0.62","0.7"
"","Jordan Subban","D","BELV","19.538","63","25","15","12","40","52","0.4","0.24","0.19","0.63","0.83"
"","David Miller","C","SSM/KIT","17.972","70","21","19","8","40","48","0.3","0.27","0.11","0.57","0.69"
"","Zachary Senyshyn","RW","SSM","17.462","66","26","14","5","40","45","0.39","0.21","0.08","0.61","0.68"
"","Eric  Cornel","RW","PBO","18.429","66","14","25","13","39","52","0.21","0.38","0.2","0.59","0.79"
"","Jordan Maletta","C","NIAG","19.379","68","24","15","13","39","52","0.35","0.22","0.19","0.57","0.76"
"","Lawson  Crouse","LW","KGN","17.23","56","29","10","12","39","51","0.52","0.18","0.21","0.7","0.91"
"","Anthony DiFruscia","RW","NIAG","19.406","68","26","13","12","39","51","0.38","0.19","0.18","0.57","0.75"
"","Bradley  Latour","LW","OSH","19.007","68","22","17","11","39","50","0.32","0.25","0.16","0.57","0.74"
"","Hunter Smith","RW","OSH","19.012","57","23","16","10","39","49","0.4","0.28","0.18","0.68","0.86"
"","Spencer Watson","RW","KGN","18.391","41","20","19","9","39","48","0.49","0.46","0.22","0.95","1.17"
"","Nikita Korostelev","RW","SAR","17.599","55","24","14","15","38","53","0.44","0.25","0.27","0.69","0.96"
