"#","Name","Pos","Team","Age","GP","G","A1","A2","P1","P","G/GP","A1/GP","A2/GP","P1/GP","P/GP","eTOI","eTOI/GP","eG/60","eA1/60","eA2/60","eP1/60","eP/60","QoT TOI","QoC TOI","QoT GF%","QoC GF%","GF%Rel","GF%","GF","GA"
"","Travis Konecny","RW","OTT","17.514","60","21","17","6","38","44","0.35","0.28","0.1","0.63","0.73","897.13","14.95","1.4","1.14","0.4","2.54","2.94","14.89","14.07","49.32","51.84","6.57","51.38","56","53"
"","Nick Paul","LW","NB","19.491","58","26","12","6","38","44","0.45","0.21","0.1","0.66","0.76","812.57","14.01","1.92","0.89","0.44","2.81","3.25","15.25","14.04","54.68","50.15","13.69","60.71","51","33"
"","Nick Moutrey","RW","NB/SAG","19.228","62","18","20","5","38","43","0.29","0.32","0.08","0.61","0.69","897.03","14.47","1.2","1.34","0.33","2.54","2.88","14.63","13.9","49.26","51.08","13.72","57.94","62","45"
"","Nick Betz","RW","ER","19.163","60","18","19","11","37","48","0.3","0.32","0.18","0.62","0.8","778.9","12.98","1.39","1.46","0.85","2.85","3.7","14.66","13.87","61.93","48.66","8.82","65.66","65","34"
"","Jimmy Lodge","RW","MISS/SAG","19.532","58","22","14","10","36","46","0.38","0.24","0.17","0.62","0.79","884.39","15.25","1.49","0.95","0.68","2.44","3.12","14.5","13.74","44.91","49.75","20.29","55.96","61","48"
"","Kevin  Labanc","RW","BAR","18.76","68","11","25","9","36","45","0.16","0.37","0.13","0.53","0.66","911.07","13.4","0.72","1.65","0.59","2.37","2.96","14.02","14.09","53.29","48.38","5.38","56.19","59","46"
"","Justin  Bailey","RW","SSM/KIT","19.209","57","20","16","7","36","43","0.35","0.28","0.12","0.63","0.75","760.93","13.35","1.58","1.26","0.55","2.84","3.39","14.45","13.85","55.44","49.84","-5.79","56.04","51","40"
"","Zachary Senyshyn","RW","SSM","17.462","66","23","13","2","36","38","0.35","0.2","0.03","0.55","0.58","721.25","10.93","1.91","1.08","0.17","2.99","3.16","13.74","13.43","63.46","47.05","5.29","69.23","54","24"
"","Tobias Lindberg","LW","OSH","19.152","67","23","12","13","35","48","0.34","0.18","0.19","0.52","0.72","827.13","12.35","1.67","0.87","0.94","2.54","3.48","13.95","13.85","66.48","47.06","6.33","72.5","58","22"
"","Jared McCann","C","SSM","18.292","56","19","16","12","35","47","0.34","0.29","0.21","0.62","0.84","771.82","13.78","1.48","1.24","0.93","2.72","3.65","14.25","14.0","63.75","46.95","-1.54","64.15","68","38"
"","Blake Speers","RW","SSM","17.701","57","15","20","5","35","40","0.26","0.35","0.09","0.61","0.7","699.16","12.27","1.29","1.72","0.43","3.0","3.43","14.11","13.77","63.32","47.96","-2.08","63.22","55","32"
"","Dante Salituro","RW","OTT","17.832","68","21","13","11","34","45","0.31","0.19","0.16","0.5","0.66","940.5","13.83","1.34","0.83","0.7","2.17","2.87","14.63","13.98","49.39","51.34","4.23","51.92","54","50"
"","Erik Bradford","C","OS/OTT","19.907","69","17","17","8","34","42","0.25","0.25","0.12","0.49","0.61","1023.72","14.84","1.0","1.0","0.47","1.99","2.46","14.72","13.98","49.97","52.18","-5.42","45.38","54","65"
"","Brendan  Perlini","LW","NIAG","18.385","43","20","14","8","34","42","0.47","0.33","0.19","0.79","0.98","602.33","14.01","1.99","1.39","0.8","3.39","4.18","14.41","14.07","55.57","49.35","7.81","61.9","52","32"
"","Josh MacDonald","RW","PBO","20.474","63","22","12","6","34","40","0.35","0.19","0.1","0.54","0.63","857.93","13.62","1.54","0.84","0.42","2.38","2.8","14.36","13.93","44.38","52.32","9.98","49.47","47","48"
"","Ryan Kujawinski","C","NB/KGN","19.464","61","25","9","6","34","40","0.41","0.15","0.1","0.56","0.66","883.09","14.48","1.7","0.61","0.41","2.31","2.72","15.53","14.05","53.88","50.47","13.28","61.8","55","34"
"","Jason Dickinson","C","GUE","19.201","56","15","18","12","33","45","0.27","0.32","0.21","0.59","0.8","862.77","15.41","1.04","1.25","0.83","2.29","3.13","14.9","13.99","50.8","50.83","-1.06","50.91","56","54"
"","Matt Mistele","LW","OSH/PLY","18.913","60","24","9","6","33","39","0.4","0.15","0.1","0.55","0.65","779.63","12.99","1.85","0.69","0.46","2.54","3.0","14.07","14.05","51.79","49.0","8.4","62.5","55","33"
"","Sonny Milano","LW","PLY","18.344","50","14","19","5","33","38","0.28","0.38","0.1","0.66","0.76","795.67","15.91","1.06","1.43","0.38","2.49","2.87","13.88","13.92","46.83","48.71","11.0","48.84","42","44"
"","Mike Amadio","C","NB","18.341","68","13","19","8","32","40","0.19","0.28","0.12","0.47","0.59","959.21","14.11","0.81","1.19","0.5","2.0","2.5","14.95","13.98","54.05","49.56","12.8","61.46","59","37"
"","Kyle  Platzer","C","OS","19.535","68","21","11","4","32","36","0.31","0.16","0.06","0.47","0.53","945.24","13.9","1.33","0.7","0.25","2.03","2.29","14.21","14.15","52.27","52.29","9.43","56.99","53","40"
"","Zach Nastasiuk","RW","OS","19.464","64","14","17","7","31","38","0.22","0.27","0.11","0.48","0.59","924.83","14.45","0.91","1.1","0.45","2.01","2.47","14.31","14.16","52.2","52.28","7.37","54.74","52","43"
"","Eric  Cornel","RW","PBO","18.429","66","13","18","6","31","37","0.2","0.27","0.09","0.47","0.56","962.49","14.58","0.81","1.12","0.37","1.93","2.31","14.32","14.23","43.8","53.3","2.59","44.04","48","61"
"","Cole Cassels","C","OSH","19.368","54","13","17","12","30","42","0.24","0.31","0.22","0.56","0.78","754.43","13.97","1.03","1.35","0.95","2.39","3.34","14.16","14.27","67.37","48.6","2.55","67.09","53","26"
"","Jean Dupuy","C","SSM","19.943","54","18","12","12","30","42","0.33","0.22","0.22","0.56","0.78","641.35","11.88","1.68","1.12","1.12","2.81","3.93","13.64","13.45","63.23","45.77","14.92","76.32","58","18"
"","Bradley  Latour","LW","OSH","19.007","68","17","13","10","30","40","0.25","0.19","0.15","0.44","0.59","833.28","12.25","1.22","0.94","0.72","2.16","2.88","14.26","14.12","66.61","47.82","0.86","68.35","54","25"
"","Michael  McCarron","RW","LDN/OSH","19.527","56","13","17","8","30","38","0.23","0.3","0.14","0.54","0.68","706.44","12.61","1.1","1.44","0.68","2.55","3.23","14.42","14.2","61.96","48.64","-5.45","62.16","46","28"
"","Ryan MacInnis","C","KIT","18.585","67","13","17","7","30","37","0.19","0.25","0.1","0.45","0.55","988.64","14.76","0.79","1.03","0.42","1.82","2.25","14.43","14.11","51.9","52.3","-0.49","49.51","51","52"
"","Lucas Venuto","RW","WSR/MISS","20.43","68","18","12","6","30","36","0.26","0.18","0.09","0.44","0.53","874.9","12.87","1.23","0.82","0.41","2.06","2.47","14.22","13.89","43.61","51.89","9.93","47.37","45","50"
"","Slater Doggett","C","WSR","20.203","57","17","13","5","30","35","0.3","0.23","0.09","0.53","0.61","833.18","14.62","1.22","0.94","0.36","2.16","2.52","13.82","14.0","42.52","53.62","8.3","46.15","48","56"
"","Robby Fabbri","C","GUE","18.648","30","16","14","2","30","32","0.53","0.47","0.07","1.0","1.07","481.44","16.05","1.99","1.74","0.25","3.74","3.99","15.44","14.24","50.77","50.04","6.48","53.85","35","30"
"","Gabe  Guertler","C","SSM","19.371","67","21","8","15","29","44","0.31","0.12","0.22","0.43","0.66","799.65","11.94","1.58","0.6","1.13","2.18","3.3","13.82","13.73","63.75","47.24","2.16","67.02","63","31"
"","Matt  Rupert","LW","LDN","20.288","61","19","10","10","29","39","0.31","0.16","0.16","0.48","0.64","734.39","12.04","1.55","0.82","0.82","2.37","3.19","14.41","14.01","59.23","48.83","11.44","63.75","51","29"
"","Billy  Jenkins","LW","NIAG","20.02","68","13","16","10","29","39","0.19","0.24","0.15","0.43","0.57","838.98","12.34","0.93","1.14","0.72","2.07","2.79","13.93","14.01","54.31","48.99","0.39","53.54","53","46"
"","Daniel Nikandrov","C","SAR","19.614","68","11","18","8","29","37","0.16","0.26","0.12","0.43","0.54","897.56","13.2","0.74","1.2","0.53","1.94","2.47","14.45","13.75","49.92","51.61","0.62","50.0","54","54"
"","Nikita Korostelev","RW","SAR","17.599","55","20","9","6","29","35","0.36","0.16","0.11","0.53","0.64","695.74","12.65","1.72","0.78","0.52","2.5","3.02","14.43","13.98","51.17","50.85","11.57","58.97","46","32"
"","Hayden Hodgson","RW","SAR","18.538","59","20","9","4","29","33","0.34","0.15","0.07","0.49","0.56","782.91","13.27","1.53","0.69","0.31","2.22","2.53","14.42","13.78","48.8","50.96","-2.69","46.39","45","52"
"","Nick  Ritchie","LW","SSM/PBO","18.779","48","17","11","12","28","40","0.35","0.23","0.25","0.58","0.83","659.49","13.74","1.55","1.0","1.09","2.55","3.64","14.66","13.99","53.84","49.46","-5.23","55.95","47","37"
"","Bryan Moore","LW","SSM","20.31","59","16","12","10","28","38","0.27","0.2","0.17","0.47","0.64","690.29","11.7","1.39","1.04","0.87","2.43","3.3","13.93","13.71","63.04","46.38","3.48","67.95","53","25"
"","Josh Sterk","C","LDN/OSH","19.661","60","16","12","9","28","37","0.27","0.2","0.15","0.47","0.62","784.12","13.07","1.22","0.92","0.69","2.14","2.83","13.7","13.76","60.93","47.77","11.68","64.44","58","32"
"","Brandon Robinson","LW","KIT","18.924","62","16","12","6","28","34","0.26","0.19","0.1","0.45","0.55","791.06","12.76","1.21","0.91","0.46","2.12","2.58","14.54","13.95","49.95","50.81","13.13","59.46","44","30"
"","Daniel  Milne","LW","OS","20.48","66","17","11","4","28","32","0.26","0.17","0.06","0.42","0.48","924.41","14.01","1.1","0.71","0.26","1.82","2.08","14.07","14.02","50.04","51.29","-9.07","45.65","42","50"
"","Conor McGlynn","C","KGN","19.242","67","15","13","1","28","29","0.22","0.19","0.01","0.42","0.43","865.33","12.92","1.04","0.9","0.07","1.94","2.01","15.43","13.79","50.77","50.05","15.55","61.11","44","28"
"","Jordan Subban","D","BELV","19.538","63","16","11","8","27","35","0.25","0.17","0.13","0.43","0.56","1172.17","18.61","0.82","0.56","0.41","1.38","1.79","13.79","14.15","49.73","50.71","-0.48","49.21","62","64"
"","Jordan Maletta","C","NIAG","19.379","68","16","11","7","27","34","0.24","0.16","0.1","0.4","0.5","798.14","11.74","1.2","0.83","0.53","2.03","2.56","13.7","13.99","52.98","48.9","1.59","54.44","49","41"
"","Nicholas Baptiste","RW","ER/SBY","19.116","53","15","11","9","26","35","0.28","0.21","0.17","0.49","0.66","750.79","14.17","1.2","0.88","0.72","2.08","2.8","14.68","13.79","56.11","50.81","3.87","55.45","56","45"
