"#","Name","Pos","Team","Age","GP","G","A1","A2","P1","P","G/GP","A1/GP","A2/GP","P1/GP","P/GP","eTOI","eTOI/GP","eG/60","eA1/60","eA2/60","eP1/60","eP/60","QoT TOI","QoC TOI","QoT GF%","QoC GF%","GF%Rel","GF%","GF","GA"
"","Roland McKeown","D","KGN","18.653","65","6","4","12","10","22","0.09","0.06","0.18","0.15","0.34","1220.06","18.77","0.3","0.2","0.59","0.49","1.08","14.61","14.06","51.37","50.45","3.47","54.21","58","49"
"","Thomas Schemitsch","D","OS","17.887","68","8","2","11","10","21","0.12","0.03","0.16","0.15","0.31","1151.59","16.94","0.42","0.1","0.57","0.52","1.09","13.01","13.84","50.17","52.27","-9.69","45.28","48","58"
"","Justin Lemcke","D","BELV","17.586","64","7","3","8","10","18","0.11","0.05","0.12","0.16","0.28","1111.43","17.37","0.38","0.16","0.43","0.54","0.97","13.32","13.8","48.61","50.02","-2.97","47.32","53","59"
"","Julius  Bergman","D","LDN","18.87","60","6","4","7","10","17","0.1","0.07","0.12","0.17","0.28","944.99","15.75","0.38","0.25","0.44","0.63","1.08","12.95","13.72","56.41","49.69","0.02","52.53","52","47"
"","Johnny Corneil","LW","NIAG","17.082","52","4","6","7","10","17","0.08","0.12","0.13","0.19","0.33","517.9","9.96","0.46","0.7","0.81","1.16","1.97","13.46","13.67","52.51","49.07","-9.09","44.68","21","26"
"","Jonathan Laser","D","BAR","20.08","68","1","9","6","10","16","0.01","0.13","0.09","0.15","0.24","961.55","14.14","0.06","0.56","0.37","0.62","1.0","13.25","14.06","53.8","48.26","3.06","54.84","51","42"
"","Jacob Middleton","D","OTT","18.703","64","1","9","5","10","15","0.02","0.14","0.08","0.16","0.23","1099.15","17.17","0.05","0.49","0.27","0.55","0.82","13.93","13.94","50.03","51.02","8.68","53.98","61","52"
"","Mason Kohn","LW","KIT","17.369","52","7","3","4","10","14","0.13","0.06","0.08","0.19","0.27","581.22","11.18","0.72","0.31","0.41","1.03","1.45","13.91","13.7","50.37","50.03","-2.59","48.94","23","24"
"","Jacob Ringuette","D","SAG","20.285","65","5","5","4","10","14","0.08","0.08","0.06","0.15","0.22","1065.0","16.38","0.28","0.28","0.23","0.56","0.79","13.18","13.81","43.89","52.27","4.53","44.92","53","65"
"","Justin Brack","C","OS","18.612","57","3","7","3","10","13","0.05","0.12","0.05","0.18","0.23","587.71","10.31","0.31","0.71","0.31","1.02","1.33","13.44","13.85","49.34","51.11","3.89","53.33","24","21"
"","Josh Maguire","LW","PBO","18.21","68","5","5","3","10","13","0.07","0.07","0.04","0.15","0.19","733.25","10.78","0.41","0.41","0.25","0.82","1.06","13.64","13.85","42.32","51.55","-8.19","35.94","23","41"
"","Jacob Harris","C","SBY","19.617","53","5","5","3","10","13","0.09","0.09","0.06","0.19","0.25","667.66","12.6","0.45","0.45","0.27","0.9","1.17","13.68","13.91","33.59","53.13","-2.49","29.33","22","53"
"","Patrick Fellows","LW","ER","17.246","60","4","6","2","10","12","0.07","0.1","0.03","0.17","0.2","512.42","8.54","0.47","0.7","0.23","1.17","1.41","13.01","12.89","56.1","47.62","-0.66","60.53","23","15"
"","Drake Rymsha","C","LDN","16.11","62","5","5","2","10","12","0.08","0.08","0.03","0.16","0.19","556.87","8.98","0.54","0.54","0.22","1.08","1.29","12.93","12.98","51.77","48.71","-10.1","45.24","19","23"
"","Travis Wood","LW","ER/SBY","18.815","54","5","5","2","10","12","0.09","0.09","0.04","0.19","0.22","560.42","10.38","0.54","0.54","0.21","1.07","1.28","13.31","13.31","39.55","50.98","7.03","44.23","23","29"
"","Connor Sills","RW","PLY","19.321","67","8","2","1","10","11","0.12","0.03","0.01","0.15","0.16","739.18","11.03","0.65","0.16","0.08","0.81","0.89","13.59","13.86","44.12","50.06","-15.79","32.31","21","44"
"","Andrew Ming","LW","BELV","18.256","56","1","9","1","10","11","0.02","0.16","0.02","0.18","0.2","561.99","10.04","0.11","0.96","0.11","1.07","1.17","13.46","13.2","44.69","47.63","-16.33","34.15","14","27"
"","Aaron Haydon","D","NIAG","18.692","60","6","3","8","9","17","0.1","0.05","0.13","0.15","0.28","941.98","15.7","0.38","0.19","0.51","0.57","1.08","13.15","14.11","54.01","49.95","-7.43","48.18","53","57"
"","Connor Boland","D","SSM/PBO","19.795","61","2","7","7","9","16","0.03","0.11","0.11","0.15","0.26","1018.06","16.69","0.12","0.41","0.41","0.53","0.94","13.62","13.92","52.88","49.13","-0.36","56.56","69","53"
"","Matt  Spencer","D","PBO","17.479","67","4","5","6","9","15","0.06","0.07","0.09","0.13","0.22","1091.33","16.29","0.22","0.27","0.33","0.49","0.82","13.49","14.13","44.01","51.61","-3.28","40.37","44","65"
"","Noah Carroll","D","GUE","16.786","62","2","7","6","9","15","0.03","0.11","0.1","0.15","0.24","913.83","14.74","0.13","0.46","0.39","0.59","0.98","14.23","13.79","49.51","50.75","4.94","53.93","48","41"
"","Zach Bratina","LW","NB","18.692","30","5","4","5","9","14","0.17","0.13","0.17","0.3","0.47","366.91","12.23","0.82","0.65","0.82","1.47","2.29","14.73","13.66","53.36","48.35","-12.71","47.06","16","18"
"","Jeff Corbett","D","SBY","19.987","65","3","6","5","9","14","0.05","0.09","0.08","0.14","0.22","1103.58","16.98","0.16","0.33","0.27","0.49","0.76","12.93","13.73","32.18","52.69","-0.86","30.16","38","88"
"","Brody Silk","LW","SBY","19.792","57","8","1","4","9","13","0.14","0.02","0.07","0.16","0.23","722.79","12.68","0.66","0.08","0.33","0.75","1.08","14.03","13.99","33.0","52.51","-7.81","23.53","20","65"
"","Matthew Kreis","LW","BAR","17.123","56","3","6","2","9","11","0.05","0.11","0.04","0.16","0.2","498.12","8.89","0.36","0.72","0.24","1.08","1.32","12.82","13.55","51.53","48.81","1.6","51.35","19","18"
"","Michael Pezzetta","C","SBY","16.51","61","5","4","2","9","11","0.08","0.07","0.03","0.15","0.18","694.03","11.38","0.43","0.35","0.17","0.78","0.95","13.09","13.09","32.81","52.46","0.57","30.43","21","48"
"","Christopher Paquette","C","NIAG","16.471","54","5","4","2","9","11","0.09","0.07","0.04","0.17","0.2","460.88","8.53","0.65","0.52","0.26","1.17","1.43","13.22","13.09","50.16","49.98","-9.14","47.06","16","18"
"","Zach  Grzelewski","LW","LDN","17.383","36","4","5","2","9","11","0.11","0.14","0.06","0.25","0.31","359.51","9.99","0.67","0.83","0.33","1.5","1.84","13.05","13.39","51.46","49.51","3.85","58.82","20","14"
"","James McEwan","C","GUE","17.503","45","3","6","1","9","10","0.07","0.13","0.02","0.2","0.22","399.79","8.88","0.45","0.9","0.15","1.35","1.5","12.52","13.01","44.73","50.9","-9.71","42.86","12","16"
"","Brady Pataki","RW","SBY","15.951","58","6","3","1","9","10","0.1","0.05","0.02","0.16","0.17","577.76","9.96","0.62","0.31","0.1","0.93","1.04","13.02","12.96","32.09","49.93","5.6","36.0","18","32"
"","Danny Vanderwiel","LW","PLY","19.576","41","6","3","0","9","9","0.15","0.07","0.0","0.22","0.22","423.19","10.32","0.85","0.43","0.0","1.28","1.28","13.78","13.97","42.58","51.1","-8.06","41.94","13","18"
"","Zach Poirier","RW","NB","16.345","60","8","1","0","9","9","0.13","0.02","0.0","0.15","0.15","577.76","9.63","0.83","0.1","0.0","0.93","0.93","14.3","13.6","51.54","47.6","-10.15","43.59","17","22"
"","Marcus McIvor","D","NB","20.323","68","2","6","14","8","22","0.03","0.09","0.21","0.12","0.32","1340.53","19.71","0.09","0.27","0.63","0.36","0.98","13.99","13.89","53.52","49.69","4.79","55.47","76","61"
"","Bobby MacIntyre","LW","MISS","18.018","59","3","5","11","8","19","0.05","0.08","0.19","0.14","0.32","651.21","11.04","0.28","0.46","1.01","0.74","1.75","13.67","13.56","39.07","49.52","-1.14","40.32","25","37"
"","Alex Lintuniemi","D","OTT","18.979","58","5","3","8","8","16","0.09","0.05","0.14","0.14","0.28","1049.34","18.09","0.29","0.17","0.46","0.46","0.91","13.68","13.97","50.76","51.08","-1.3","48.7","56","59"
"","Santino Centorame","D","OS","18.382","66","2","6","7","8","15","0.03","0.09","0.11","0.12","0.23","945.01","14.32","0.13","0.38","0.44","0.51","0.95","13.91","14.13","52.29","52.42","11.31","58.44","45","32"
"","Jacob Busch","RW","OSH/OS","18.182","67","6","2","5","8","13","0.09","0.03","0.07","0.12","0.19","638.31","9.53","0.56","0.19","0.47","0.75","1.22","13.15","13.48","53.02","50.09","5.51","58.14","25","18"
"","Tyler  Ganly","D","SSM","19.486","38","2","6","5","8","13","0.05","0.16","0.13","0.21","0.34","577.49","15.2","0.21","0.62","0.52","0.83","1.35","13.31","13.91","63.88","48.84","-12.78","56.92","37","28"
"","Michael Turner","LW","OSH","18.979","41","6","2","4","8","12","0.15","0.05","0.1","0.2","0.29","388.15","9.47","0.93","0.31","0.62","1.24","1.85","13.26","13.27","65.98","46.72","3.7","69.57","16","7"
"","Stefan LeBlanc","D","MISS","18.5","64","5","3","4","8","12","0.08","0.05","0.06","0.12","0.19","1163.3","18.18","0.26","0.15","0.21","0.41","0.62","13.19","13.87","42.1","51.98","4.3","43.65","55","71"
"","Aleksandar Mikulovich","D","NIAG","18.207","58","4","4","3","8","11","0.07","0.07","0.05","0.14","0.19","823.89","14.2","0.29","0.29","0.22","0.58","0.8","12.84","13.43","53.16","49.39","-0.01","52.33","45","41"
"","Jeffrey Gilligan","C","OS","18.399","58","6","2","3","8","11","0.1","0.03","0.05","0.14","0.19","585.02","10.09","0.62","0.21","0.31","0.82","1.13","12.98","13.59","49.58","51.38","-15.6","37.21","16","27"
"","Ben Hawerchuk","LW","BAR","16.471","59","4","4","1","8","9","0.07","0.07","0.02","0.14","0.15","500.46","8.48","0.48","0.48","0.12","0.96","1.08","12.07","13.18","50.72","46.9","-20.3","34.29","12","23"
"","Daniil Vertiy","LW","WSR","15.842","49","3","5","1","8","9","0.06","0.1","0.02","0.16","0.18","491.52","10.03","0.37","0.61","0.12","0.98","1.1","13.55","13.27","40.57","50.91","-0.15","40.91","18","26"
"","Cory Genovese","D","ER","19.921","60","4","3","8","7","15","0.07","0.05","0.13","0.12","0.25","933.68","15.56","0.26","0.19","0.51","0.45","0.96","13.42","13.65","60.57","47.53","1.6","61.32","65","41"
"","Chris  Martenet","D","LDN","17.972","64","6","1","8","7","15","0.09","0.02","0.12","0.11","0.23","883.85","13.81","0.41","0.07","0.54","0.48","1.02","12.69","13.57","53.9","48.28","-8.3","48.84","42","44"
"","Phil Baltisberger","D","GUE","18.84","55","3","4","6","7","13","0.05","0.07","0.11","0.13","0.24","1009.98","18.36","0.18","0.24","0.36","0.42","0.77","14.35","14.14","51.21","51.84","-4.92","46.55","54","62"
"","Dmitrii Sergeev","D","KIT","18.473","54","4","3","6","7","13","0.07","0.06","0.11","0.13","0.24","923.51","17.1","0.26","0.19","0.39","0.45","0.84","13.46","13.96","51.11","49.36","6.58","55.81","48","38"
"","Liam Maaskant","D","KIT","20.518","62","3","4","5","7","12","0.05","0.06","0.08","0.11","0.19","926.24","14.94","0.19","0.26","0.32","0.45","0.78","13.43","13.81","50.64","52.3","2.2","51.9","41","38"
"","David Zeppieri","C","SBY","17.61","61","1","6","5","7","12","0.02","0.1","0.08","0.11","0.2","637.63","10.45","0.09","0.56","0.47","0.66","1.13","13.21","13.38","31.79","51.49","-8.7","22.95","14","47"
"","Alex Yuill","D","BELV","19.305","67","3","4","4","7","11","0.04","0.06","0.06","0.1","0.16","1159.95","17.31","0.16","0.21","0.21","0.36","0.57","14.0","14.12","49.27","50.78","-4.12","46.15","54","63"
"","Brian Brosnan","D","NIAG","19.401","53","3","4","3","7","10","0.06","0.08","0.06","0.13","0.19","734.68","13.86","0.25","0.33","0.25","0.57","0.82","13.12","14.16","53.59","51.69","-9.62","45.33","34","41"
"","Cliff Pu","C","LDN/OSH","16.285","41","4","3","2","7","9","0.1","0.07","0.05","0.17","0.22","379.34","9.25","0.63","0.47","0.32","1.11","1.42","12.81","12.96","54.63","48.52","-7.21","48.28","14","15"
"","Vincent Scognamiglio","LW","PLY","18.037","64","5","2","2","7","9","0.08","0.03","0.03","0.11","0.14","525.85","8.22","0.57","0.23","0.23","0.8","1.03","13.74","13.9","43.68","50.82","-4.54","40.0","12","18"
"","Yannick Rathgeb","D","PLY","18.894","34","1","6","2","7","9","0.03","0.18","0.06","0.21","0.26","596.79","17.55","0.1","0.6","0.2","0.7","0.9","13.0","13.78","45.36","50.58","6.62","48.39","30","32"
"","Quentin Maksimovich","C","ER","18.462","65","5","2","2","7","9","0.08","0.03","0.03","0.11","0.14","587.31","9.04","0.51","0.2","0.2","0.72","0.92","13.36","13.35","58.4","48.73","-23.05","41.67","20","28"
"","Cameron Lizotte","D","PBO","17.06","67","2","5","1","7","8","0.03","0.07","0.01","0.1","0.12","998.24","14.9","0.12","0.3","0.06","0.42","0.48","13.67","13.92","43.77","52.65","-0.68","41.3","38","54"
"","Nicholas Caamano","RW","PLY","16.022","64","3","4","1","7","8","0.05","0.06","0.02","0.11","0.12","594.8","9.29","0.3","0.4","0.1","0.71","0.81","13.61","13.32","44.53","47.99","-11.51","33.33","14","28"
"","Ryan Foss","LW","WSR/GUE","18.634","50","4","3","0","7","7","0.08","0.06","0.0","0.14","0.14","492.4","9.85","0.49","0.37","0.0","0.85","0.85","13.39","13.66","43.28","49.91","-15.31","36.36","16","28"
"","Ben Harpur","D","BAR/GUE","19.675","57","1","5","11","6","17","0.02","0.09","0.19","0.11","0.3","1009.29","17.71","0.06","0.3","0.65","0.36","1.01","13.57","13.81","51.21","51.24","1.03","51.4","55","52"
"","C.J. Garcia","D","BAR/GUE","18.615","55","3","3","9","6","15","0.05","0.05","0.16","0.11","0.27","903.4","16.43","0.2","0.2","0.6","0.4","1.0","13.56","13.98","51.9","49.33","-1.42","52.0","52","48"
"","Dominik Masin","D","PBO","18.621","48","4","2","7","6","13","0.08","0.04","0.15","0.12","0.27","832.94","17.35","0.29","0.14","0.5","0.43","0.94","13.59","13.98","43.95","53.63","0.13","44.32","39","49"
"","Charley Graaskamp","C","SSM/SBY","18.623","60","4","2","6","6","12","0.07","0.03","0.1","0.1","0.2","582.48","9.71","0.41","0.21","0.62","0.62","1.24","13.41","13.5","41.2","48.71","-3.04","44.23","23","29"
"","Chadd Bauman","D","BAR/GUE","19.105","63","3","3","6","6","12","0.05","0.05","0.1","0.1","0.19","786.15","12.48","0.23","0.23","0.46","0.46","0.92","12.75","13.39","49.19","49.16","-5.56","45.16","28","34"
"","Taylor Davis","D","OTT","19.313","53","2","4","6","6","12","0.04","0.08","0.11","0.11","0.23","865.22","16.32","0.14","0.28","0.42","0.42","0.83","13.35","13.53","49.49","48.74","9.43","54.55","48","40"
"","Jesse Saban","D","ER/BELV","17.668","50","1","5","5","6","11","0.02","0.1","0.1","0.12","0.22","712.28","14.25","0.08","0.42","0.42","0.51","0.93","13.05","13.16","54.52","46.81","-1.66","51.52","34","32"
"","Matt Hotchkiss","LW","GUE","16.605","63","4","2","5","6","11","0.06","0.03","0.08","0.1","0.17","611.91","9.71","0.39","0.2","0.49","0.59","1.08","13.9","13.71","47.61","50.94","-16.63","36.73","18","31"
"","Blake Clarke","LW","SAG","18.642","31","3","3","4","6","10","0.1","0.1","0.13","0.19","0.32","395.13","12.75","0.46","0.46","0.61","0.91","1.52","13.83","13.75","43.63","49.84","-13.7","28.89","13","32"
"","Garrett McFadden","D","GUE","17.068","56","1","5","4","6","10","0.02","0.09","0.07","0.11","0.18","799.25","14.27","0.08","0.38","0.3","0.45","0.75","13.69","13.82","48.57","49.15","-4.11","47.5","38","42"
"","Jonah Gadjovich","LW","OS","15.926","60","4","2","3","6","9","0.07","0.03","0.05","0.1","0.15","529.13","8.82","0.45","0.23","0.34","0.68","1.02","12.81","13.41","49.4","50.57","-6.92","45.16","14","17"
"","Hayden Verbeek","C","SSM","16.912","51","3","3","3","6","9","0.06","0.06","0.06","0.12","0.18","423.92","8.31","0.42","0.42","0.42","0.85","1.27","13.49","13.49","62.61","48.03","-2.32","65.52","19","10"
"","Keaton Middleton","D","SAG","16.594","61","2","4","2","6","8","0.03","0.07","0.03","0.1","0.13","878.54","14.4","0.14","0.27","0.14","0.41","0.55","13.04","13.52","42.46","52.42","-4.1","40.45","36","53"
"","Josh Coyle","C","PBO","17.137","56","3","3","2","6","8","0.05","0.05","0.04","0.11","0.14","464.47","8.29","0.39","0.39","0.26","0.78","1.03","13.39","13.34","41.42","50.01","6.74","48.0","12","13"
"","Doug Blaisdell","D","KIT","17.566","66","2","4","1","6","7","0.03","0.06","0.02","0.09","0.11","1014.26","15.37","0.12","0.24","0.06","0.35","0.41","12.93","13.71","50.98","53.2","-17.91","38.2","34","55"
"","John  Warren","LW","LDN","17.679","27","5","1","1","6","7","0.19","0.04","0.04","0.22","0.26","317.92","11.77","0.94","0.19","0.19","1.13","1.32","13.29","13.24","51.66","48.35","-25.6","38.89","14","22"
"","Jack Hidi","LW","LDN","19.472","23","5","1","1","6","7","0.22","0.04","0.04","0.26","0.3","251.56","10.94","1.19","0.24","0.24","1.43","1.67","13.02","13.59","48.45","49.18","-14.93","40.74","11","16"
"","Mark Manchurek","D","WSR","18.098","34","3","3","0","6","6","0.09","0.09","0.0","0.18","0.18","348.68","10.26","0.52","0.52","0.0","1.03","1.03","13.93","12.99","41.45","47.46","3.96","47.83","11","12"
"","Nevin Guy","D","OTT","19.264","68","0","5","10","5","15","0.0","0.07","0.15","0.07","0.22","1203.61","17.7","0.0","0.25","0.5","0.25","0.75","13.42","13.84","49.53","51.39","-4.28","46.51","60","69"
"","Medric Mercier","D","SSM","17.911","46","4","1","8","5","13","0.09","0.02","0.17","0.11","0.28","654.43","14.23","0.37","0.09","0.73","0.46","1.19","12.83","13.33","63.5","44.87","-5.84","65.15","43","23"
"","Jonathan Duchesne","D","OTT/SBY","18.59","60","2","3","7","5","12","0.03","0.05","0.12","0.08","0.2","901.54","15.03","0.13","0.2","0.47","0.33","0.8","12.79","13.51","34.46","51.74","-3.49","30.85","29","65"
"","Greg DiTomaso","D","MISS/SAG","18.511","65","2","3","7","5","12","0.03","0.05","0.11","0.08","0.18","956.22","14.71","0.13","0.19","0.44","0.31","0.75","12.85","13.67","40.71","49.57","7.9","46.81","44","50"
"","Josh Carrick","D","BAR","18.642","37","3","2","7","5","12","0.08","0.05","0.19","0.14","0.32","474.66","12.83","0.38","0.25","0.88","0.63","1.52","12.22","13.62","51.67","46.09","-15.1","45.24","19","23"
"","Tyler MacArthur","D","OS","17.309","63","0","5","6","5","11","0.0","0.08","0.1","0.08","0.17","843.24","13.38","0.0","0.36","0.43","0.36","0.78","13.41","13.68","50.37","51.57","-9.95","44.44","28","35"
"","Gianluca Curcuruto","D","PLY","20.553","40","0","5","5","5","10","0.0","0.12","0.12","0.12","0.25","628.05","15.7","0.0","0.48","0.48","0.48","0.96","13.06","13.89","43.79","48.69","-11.46","41.07","23","33"
"","Brandon Prophet","D","BAR/SAG","18.284","66","3","2","5","5","10","0.05","0.03","0.08","0.08","0.15","895.81","13.57","0.2","0.13","0.33","0.33","0.67","12.13","13.59","50.11","47.75","-8.89","43.9","36","46"
"","Marcus Crawford","D","SAG","17.487","58","2","3","5","5","10","0.03","0.05","0.09","0.09","0.17","876.53","15.11","0.14","0.21","0.34","0.34","0.68","13.66","13.95","44.2","50.82","5.87","47.87","45","49"
"","Michael Webster","D","BAR","19.313","62","1","4","4","5","9","0.02","0.06","0.06","0.08","0.15","928.74","14.98","0.06","0.26","0.26","0.32","0.58","12.79","13.66","53.53","47.47","10.35","60.64","57","37"
"","Francesco  Vilardi","C","PLY","18.683","68","3","2","4","5","9","0.04","0.03","0.06","0.07","0.13","799.68","11.76","0.23","0.15","0.3","0.38","0.68","13.36","13.79","43.8","49.92","-14.24","33.78","25","49"
"","Alex Black","D","SAR","17.008","63","1","4","4","5","9","0.02","0.06","0.06","0.08","0.14","855.88","13.59","0.07","0.28","0.28","0.35","0.63","12.94","13.54","49.19","50.11","-10.68","42.17","35","48"
"","Evan de Haan","D","OTT/SBY","19.582","54","2","3","4","5","9","0.04","0.06","0.07","0.09","0.17","925.06","17.13","0.13","0.19","0.26","0.32","0.58","13.62","13.92","45.31","53.44","-13.44","36.56","34","59"
"","Patrick Sanvido","D","WSR","18.215","59","3","2","4","5","9","0.05","0.03","0.07","0.08","0.15","972.63","16.49","0.19","0.12","0.25","0.31","0.56","13.32","13.88","43.34","51.64","-3.82","39.64","44","67"
"","Joel Wigle","RW","ER/LDN","20.584","30","1","4","3","5","8","0.03","0.13","0.1","0.17","0.27","290.4","9.68","0.21","0.83","0.62","1.03","1.65","13.57","13.45","53.82","50.98","-22.44","38.46","10","16"
"","Graeme Brown","D","WSR","18.333","65","2","3","3","5","8","0.03","0.05","0.05","0.08","0.12","994.46","15.3","0.12","0.18","0.18","0.3","0.48","13.17","13.76","42.41","53.52","0.38","42.99","46","61"
"","Bryce Yetman","RW","PLY","17.564","29","4","1","2","5","7","0.14","0.03","0.07","0.17","0.24","349.53","12.05","0.69","0.17","0.34","0.86","1.2","13.72","13.65","44.58","52.13","2.78","41.67","15","21"
"","Jared Walsh","D","MISS","18.33","53","3","2","1","5","6","0.06","0.04","0.02","0.09","0.11","829.9","15.66","0.22","0.14","0.07","0.36","0.43","13.55","13.74","42.13","52.07","-8.86","35.37","29","53"
"","Jaden Lindo","RW","OS","18.678","49","4","1","1","5","6","0.08","0.02","0.02","0.1","0.12","459.82","9.38","0.52","0.13","0.13","0.65","0.78","13.13","13.67","48.12","49.42","-11.66","40.0","12","18"
"","Dylan Di Perna","D","KIT","18.388","53","3","2","1","5","6","0.06","0.04","0.02","0.09","0.11","660.02","12.45","0.27","0.18","0.09","0.45","0.55","12.5","13.16","48.85","51.11","-1.42","48.89","22","23"
"","David Sherman","LW","NB","16.332","30","3","2","1","5","6","0.1","0.07","0.03","0.17","0.2","265.11","8.84","0.68","0.45","0.23","1.13","1.36","14.38","13.13","52.38","49.08","-5.37","46.67","7","8"
"","Tait Seguin","LW","LDN","19.488","47","1","4","1","5","6","0.02","0.09","0.02","0.11","0.13","468.96","9.98","0.13","0.51","0.13","0.64","0.77","13.44","13.16","52.0","49.9","-11.53","43.9","18","23"
"","Mac Hollowell","D","SSM","15.97","11","2","3","1","5","6","0.18","0.27","0.09","0.45","0.55","161.79","14.71","0.74","1.11","0.37","1.85","2.23","12.56","13.54","64.39","49.07","-13.75","56.25","9","7"
"","Marcus Dickerson","RW","MISS","16.646","43","3","2","0","5","5","0.07","0.05","0.0","0.12","0.12","382.32","8.89","0.47","0.31","0.0","0.78","0.78","13.07","13.53","36.55","49.53","-7.52","32.0","8","17"
"","Mike Baird","LW","NB","17.476","53","5","0","0","5","5","0.09","0.0","0.0","0.09","0.09","477.39","9.01","0.63","0.0","0.0","0.63","0.63","14.11","13.89","50.63","49.57","-15.89","40.74","11","16"
"","Jalen Chatfield","D","WSR","18.333","60","0","4","12","4","16","0.0","0.07","0.2","0.07","0.27","1010.59","16.84","0.0","0.24","0.71","0.24","0.95","13.73","14.06","43.92","52.64","6.06","44.92","53","65"
"","Will Petschenig","D","OSH","19.614","45","3","1","8","4","12","0.07","0.02","0.18","0.09","0.27","693.1","15.4","0.26","0.09","0.69","0.35","1.04","13.2","13.94","66.79","47.87","-12.23","60.29","41","27"
"","Zachary Core","D","SAR","18.393","63","1","3","5","4","9","0.02","0.05","0.08","0.06","0.14","930.84","14.78","0.06","0.19","0.32","0.26","0.58","13.55","13.82","49.54","50.22","-4.52","47.0","47","53"
"","Marc Stevens","C","GUE","18.541","68","3","1","5","4","9","0.04","0.01","0.07","0.06","0.13","616.92","9.07","0.29","0.1","0.49","0.39","0.88","13.52","13.24","45.63","53.0","-9.08","42.22","19","26"
"","Liam Murray","D","WSR","17.216","63","3","1","5","4","9","0.05","0.02","0.08","0.06","0.14","878.01","13.94","0.21","0.07","0.34","0.27","0.62","13.13","13.6","41.69","50.73","0.72","44.58","37","46"
"","Damian Bourne","LW","MISS","18.593","55","1","3","4","4","8","0.02","0.05","0.07","0.07","0.15","642.1","11.67","0.09","0.28","0.37","0.37","0.75","13.9","13.73","40.43","52.82","-24.4","22.03","13","46"
"","Tyler  Sensky","D","PLY","17.547","54","0","4","2","4","6","0.0","0.07","0.04","0.07","0.11","636.94","11.8","0.0","0.38","0.19","0.38","0.57","13.16","13.61","44.85","49.04","9.3","50.0","22","22"
"","Liam Dunda","LW","OS/PLY","17.0","53","1","3","2","4","6","0.02","0.06","0.04","0.08","0.11","496.43","9.37","0.12","0.36","0.24","0.48","0.73","12.93","13.57","45.12","47.37","-9.5","42.11","16","22"
"","Adam McPhail","RW","SAG","17.44","50","2","2","2","4","6","0.04","0.04","0.04","0.08","0.12","427.36","8.55","0.28","0.28","0.28","0.56","0.84","12.83","12.97","39.04","50.78","-12.17","29.03","9","22"
"","Nick Pastorious","RW","BAR","18.352","45","3","1","2","4","6","0.07","0.02","0.04","0.09","0.13","368.89","8.2","0.49","0.16","0.33","0.65","0.98","11.88","12.9","48.64","45.36","-1.94","52.0","13","12"
"","Austin Clapham","D","SBY","17.186","56","1","3","2","4","6","0.02","0.05","0.04","0.07","0.11","681.66","12.17","0.09","0.26","0.18","0.35","0.53","13.09","13.1","31.87","51.93","4.02","33.93","19","37"
"","Adrian Carbonara","RW","BAR","17.512","39","2","2","1","4","5","0.05","0.05","0.03","0.1","0.13","287.46","7.37","0.42","0.42","0.21","0.83","1.04","12.11","13.28","48.22","47.52","-12.26","40.0","6","9"
"","Cullen Mercer","C","PLY","17.372","68","0","4","1","4","5","0.0","0.06","0.01","0.06","0.07","646.7","9.51","0.0","0.37","0.09","0.37","0.46","13.47","13.67","43.76","51.42","-22.5","25.53","12","35"
"","Ted Nichol","C","KGN","17.695","59","1","3","1","4","5","0.02","0.05","0.02","0.07","0.08","565.37","9.58","0.11","0.32","0.11","0.42","0.53","14.11","13.6","44.24","53.51","-23.99","29.41","10","24"
"","Maurizio Colella","LW","BELV","17.487","57","2","2","1","4","5","0.04","0.04","0.02","0.07","0.09","499.97","8.77","0.24","0.24","0.12","0.48","0.6","13.38","13.21","44.83","50.42","-21.41","29.03","9","22"
"","Conor  Cummins","D","SBY","18.607","66","1","3","1","4","5","0.02","0.05","0.02","0.06","0.08","1056.07","16.0","0.06","0.17","0.06","0.23","0.28","12.79","13.68","31.93","52.74","-0.56","30.09","34","79"
"","Logan DeNoble","C","PBO","16.918","20","1","3","1","4","5","0.05","0.15","0.05","0.2","0.25","200.95","10.05","0.3","0.9","0.3","1.19","1.49","13.71","13.42","40.96","46.26","12.46","46.67","7","8"
"","Ryan Heeps","C","OS","17.624","35","2","2","0","4","4","0.06","0.06","0.0","0.11","0.11","296.72","8.48","0.4","0.4","0.0","0.81","0.81","12.62","12.96","50.83","52.6","-2.06","47.06","8","9"
"","Matt McCartney","C","PBO","19.521","43","0","4","0","4","4","0.0","0.09","0.0","0.09","0.09","401.88","9.35","0.0","0.6","0.0","0.6","0.6","13.41","13.57","44.46","51.95","-10.63","35.71","10","18"
"","Artur Tyanulin","RW","OTT","17.651","13","1","3","0","4","4","0.08","0.23","0.0","0.31","0.31","150.37","11.57","0.4","1.2","0.0","1.6","1.6","14.6","13.48","49.29","53.88","10.42","56.25","9","7"
"","Cody Caron","RW","NIAG/KGN","18.3","64","1","3","0","4","4","0.02","0.05","0.0","0.06","0.06","650.14","10.16","0.09","0.28","0.0","0.37","0.37","13.75","13.45","48.07","52.1","-23.98","28.0","14","36"
"","Dylan McDonald","C","OTT","17.594","26","2","2","0","4","4","0.08","0.08","0.0","0.15","0.15","253.22","9.74","0.47","0.47","0.0","0.95","0.95","13.88","13.26","48.45","50.17","-14.58","31.82","7","15"
