,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP,xG,xG/GP,eTOI,eTOI/GP,eG/60,eA1/60,eA2/60,eP1/60,eP/60,eSh/60,exG/60,QoT TOI,QoC TOI,QoT GF%,QoC GF%,GF%Rel,GF%,GF,GA,HD G,HD Sh,HD Sh%,MD G,MD Sh,MD Sh%,LD G,LD Sh,LD Sh%,FOW,FOT,FOW%
102,Joey Keane,D,BAR/BAR/LDN,18.706,113,10,16,23,26,49,199,4.86,0.085,0.14,0.2,0.225,0.42,1.76,5.075,0.09,940.525,16.55,0.31,0.495,0.715,0.795,1.515,6.39,0.325,13.815,14.07,57.045,49.395,5.34,59.795,132,87,0,1,0.0,1,11,8.335,9,187,4.555,0,0,0.0
103,Cam Hillis,C,GUE,17.726,93,15,20,14,35,49,115,13.395,0.165,0.2,0.15,0.365,0.515,1.235,6.17,0.13,637.705,13.495,0.745,0.88,0.67,1.625,2.3,5.52,0.585,15.43,14.215,48.48,51.025,-4.22,44.555,71,87,6,23,26.135,3,23,7.895,6,69,9.41,562,1108,51.76
104,Taylor Raddysh,RW,SSM/ER,19.573,58,23,20,6,43,49,139,16.55,0.4,0.34,0.1,0.74,0.84,2.4,19.36,0.33,858.46,14.8,1.61,1.4,0.42,3.01,3.42,9.72,1.35,15.57,14.61,56.4,50.91,7.65,59.63,65,44,6,29,20.69,6,23,26.09,11,87,12.64,29,56,51.79
105,Danial Singer,RW,NIAG/ER,19.096,108,25,12,11,37,48,192,13.195,0.24,0.11,0.095,0.355,0.455,1.825,10.675,0.2,651.26,12.33,1.175,0.55,0.485,1.725,2.21,8.87,0.985,14.37,14.38,49.785,50.455,2.985,50.345,67,65,7,31,23.635,7,41,17.26,11,120,8.99,2,6,37.5
106,Danil Antropov,LW,OSH,17.236,112,19,19,10,38,48,125,15.6,0.17,0.175,0.085,0.345,0.43,1.13,8.145,0.145,669.755,11.98,0.85,0.86,0.45,1.71,2.15,5.615,0.73,13.995,13.955,52.255,48.1,-3.77,50.315,75,74,6,24,25.175,6,24,24.445,7,77,9.68,13,29,43.18
107,Andrei Svechnikov,RW,BAR,17.473,44,30,14,4,44,48,119,25.21,0.68,0.32,0.09,1.0,1.09,2.7,14.88,0.34,637.79,14.5,2.82,1.32,0.38,4.14,4.52,11.19,1.4,15.65,14.5,57.02,49.77,9.31,67.86,57,27,6,18,33.33,8,27,29.63,16,74,21.62,11,26,42.31
108,Mitchell Hoelscher,LW/C,OTT,18.135,120,16,16,15,32,47,151,10.85,0.135,0.13,0.13,0.265,0.395,1.255,8.4,0.135,654.515,10.925,0.74,0.72,0.72,1.465,2.18,6.885,0.76,13.955,13.875,55.69,49.1,5.42,61.11,73,49,4,31,14.09,4,30,12.5,8,90,9.005,576,1043,55.115
109,Hayden Verbeek,C,SSM,19.913,67,24,11,12,35,47,142,16.9,0.36,0.16,0.18,0.52,0.7,2.12,18.2,0.27,904.92,13.51,1.59,0.73,0.8,2.32,3.12,9.42,1.21,14.36,13.85,62.53,49.36,-2.87,61.22,60,38,12,27,44.44,2,28,7.14,10,87,11.49,464,919,50.49
110,Nicholas Caamano,RW,HAM/FLNT,19.023,64,18,20,9,38,47,186,9.68,0.28,0.31,0.14,0.59,0.73,2.91,22.89,0.36,927.07,14.49,1.16,1.29,0.58,2.46,3.04,12.04,1.48,14.79,14.23,49.93,49.88,6.36,55.66,59,47,8,39,20.51,4,39,10.26,6,108,5.56,15,35,42.86
111,Kyle MacLean,C,OSH,18.882,99,13,20,14,33,47,146,9.325,0.135,0.2,0.145,0.335,0.475,1.46,7.365,0.145,590.16,11.905,0.675,1.01,0.72,1.685,2.405,7.37,0.75,13.955,14.155,52.075,48.34,0.725,53.995,67,57,3,19,15.48,6,29,20.715,4,98,4.78,288,560,51.96
112,Alec Regula,D,LDN,17.609,118,12,13,21,25,46,152,7.935,0.1,0.115,0.18,0.215,0.395,1.315,4.855,0.085,999.835,16.92,0.36,0.4,0.64,0.76,1.405,4.675,0.295,13.98,14.17,57.02,48.74,2.195,57.675,122,90,2,9,25.0,2,11,14.285,8,132,6.095,2,3,50.0
113,Daniel D'Amico,C,WSR,17.138,114,23,15,8,38,46,153,15.54,0.205,0.13,0.075,0.335,0.41,1.36,7.645,0.135,686.605,12.11,1.005,0.65,0.325,1.65,1.975,6.58,0.655,14.105,13.965,49.885,51.685,-2.705,49.61,64,71,6,27,22.255,7,28,30.955,10,98,10.325,27,58,46.13
114,Robert Thomas,C,HAM/LDN,18.207,49,14,20,12,34,46,74,18.92,0.29,0.41,0.24,0.69,0.94,1.51,9.86,0.2,754.19,15.39,1.11,1.59,0.95,2.7,3.66,5.89,0.78,15.9,14.16,56.72,48.85,10.6,64.77,57,31,2,11,18.18,5,19,26.32,7,44,15.91,432,754,57.29
115,Brandon Coe,RW,NB,16.29,116,20,14,12,34,46,129,15.55,0.175,0.12,0.105,0.295,0.4,1.115,6.945,0.12,695.345,12.09,0.865,0.605,0.52,1.47,1.985,5.57,0.6,14.175,13.825,46.585,51.325,-1.74,45.805,66,81,6,27,21.7,6,22,25.835,8,80,10.055,16,40,39.06
116,Jonathan Yantsis,RW,KIT,18.885,112,26,12,7,38,45,173,13.965,0.24,0.11,0.065,0.35,0.41,1.59,10.485,0.19,642.785,11.635,1.105,0.545,0.33,1.65,1.98,7.545,0.935,13.725,13.68,47.365,48.225,5.3,53.535,62,56,13,44,32.64,6,29,18.155,7,100,5.98,4,18,22.22
117,Alex Gritz,C,ER,17.5,113,20,8,17,28,45,163,12.165,0.175,0.065,0.15,0.245,0.395,1.455,8.55,0.15,683.065,12.0,0.88,0.33,0.755,1.21,1.965,7.3,0.76,14.03,13.705,45.825,48.925,1.9,47.515,68,78,8,27,29.26,5,41,12.685,7,95,7.07,478,1069,44.695
118,Zachary Magwood,C,BAR,19.401,65,19,18,8,37,45,105,18.1,0.29,0.28,0.12,0.57,0.69,1.62,12.44,0.19,787.91,12.12,1.45,1.37,0.61,2.82,3.43,8.0,0.95,13.89,13.86,58.14,48.03,3.44,60.64,57,37,5,18,27.78,3,18,16.67,11,69,15.94,34,70,48.57
119,Nicolas Mattinen,D,HAM/FLNT/HAM/OSH,20.032,119,15,9,21,24,45,262,5.715,0.13,0.075,0.18,0.205,0.385,2.215,4.915,0.085,1136.565,19.125,0.405,0.24,0.56,0.645,1.205,6.945,0.26,13.635,14.08,45.08,51.61,9.3,50.16,131,131,1,5,12.5,1,7,16.665,13,250,5.215,0,2,0.0
120,Tyler Tucker,D,BAR,18.042,113,6,18,21,24,45,198,2.95,0.055,0.16,0.185,0.215,0.4,1.76,4.68,0.085,955.505,16.935,0.19,0.565,0.655,0.755,1.415,6.225,0.29,13.49,14.24,55.72,50.455,1.78,55.995,115,89,0,6,0.0,1,9,10.0,5,183,2.675,0,1,0.0
121,Tim Gettinger,LW,SSM,19.423,66,20,14,11,34,45,186,10.75,0.3,0.21,0.17,0.52,0.68,2.82,21.14,0.32,952.75,14.44,1.26,0.88,0.69,2.14,2.83,11.71,1.33,14.19,13.92,62.46,49.82,1.98,64.42,67,37,5,22,22.73,4,27,14.81,11,137,8.03,28,51,54.9
122,Noel Hoefenmayer,D,OTT,19.191,118,13,17,14,30,44,185,7.095,0.11,0.145,0.12,0.26,0.38,1.61,5.5,0.095,998.075,16.97,0.395,0.515,0.43,0.915,1.335,5.645,0.335,13.98,14.195,57.255,51.4,1.955,57.51,118,91,1,1,50.0,3,14,21.11,9,170,5.315,1,2,25.0
123,Nolan Hutcheson,LW,SBY,17.721,113,21,15,7,36,43,200,10.5,0.19,0.14,0.06,0.335,0.395,1.785,10.415,0.185,618.735,10.98,1.045,0.755,0.335,1.805,2.14,9.745,1.01,13.55,13.955,50.38,50.915,1.25,51.61,57,54,7,33,20.555,3,42,6.52,11,125,8.875,8,24,32.855
124,Sam Bitten,C,OTT,17.986,121,15,19,9,34,43,114,13.55,0.125,0.165,0.075,0.29,0.36,0.94,7.16,0.12,651.67,10.865,0.695,0.885,0.415,1.58,1.99,5.225,0.655,13.895,13.775,54.97,48.805,-3.52,53.97,68,58,4,21,20.19,1,34,2.94,10,59,17.56,269,633,41.025
125,Michael Little,LW,MISS/MISS/PBO,18.066,113,19,13,11,32,43,193,9.795,0.16,0.125,0.1,0.285,0.385,1.745,9.415,0.17,663.04,11.815,0.835,0.61,0.51,1.445,1.955,8.82,0.855,14.725,13.955,47.84,50.785,-0.405,46.205,64,74,7,24,28.32,8,27,27.84,4,142,2.82,85,174,48.9
126,Billy Moskal,C,LDN,17.984,119,14,19,10,33,43,139,9.89,0.125,0.17,0.085,0.29,0.37,1.19,6.975,0.12,662.435,11.14,0.66,0.89,0.445,1.55,2.005,6.425,0.65,14.005,14.125,55.09,49.3,-2.905,53.65,67,58,3,25,9.375,2,24,7.145,9,90,10.03,840,1391,60.275
127,Max Grondin,C,SAG/SAG/PBO,17.7,117,22,16,5,38,43,174,12.685,0.195,0.135,0.04,0.32,0.36,1.5,9.905,0.17,682.94,11.595,1.0,0.68,0.205,1.68,1.875,7.82,0.875,13.945,13.93,47.475,50.97,-2.775,45.045,60,71,4,39,11.145,4,25,15.0,14,110,12.665,599,1091,55.395
128,Kole Sherwood,RW,KIT,20.647,57,23,15,4,38,42,155,14.84,0.4,0.26,0.07,0.67,0.74,2.72,20.56,0.36,862.29,15.13,1.6,1.04,0.28,2.64,2.92,10.79,1.43,15.09,14.38,54.82,49.86,11.55,61.0,61,39,1,14,7.14,10,33,30.3,12,108,11.11,82,162,50.62
129,Matt Brassard,D,OSH/NIAG/OSH,19.604,117,12,15,15,27,42,269,4.44,0.1,0.12,0.13,0.225,0.355,2.335,5.89,0.105,1056.605,17.99,0.34,0.4,0.435,0.745,1.18,7.82,0.335,13.38,14.305,53.375,49.475,1.77,54.245,118,100,0,3,0.0,1,7,16.665,11,259,4.21,0,2,0.0
130,Travis Barron,LW,OTT,19.08,67,17,19,6,36,42,175,9.71,0.25,0.28,0.09,0.54,0.63,2.61,20.0,0.3,1157.99,17.28,0.88,0.98,0.31,1.87,2.18,9.07,1.04,14.89,14.4,48.19,51.89,0.82,48.7,75,79,8,32,25.0,2,36,5.56,7,107,6.54,158,329,48.02
131,Giovanni Vallati,D,KIT/OSH,18.066,120,7,17,18,24,42,108,6.39,0.06,0.145,0.145,0.205,0.355,0.91,2.895,0.045,926.38,15.425,0.24,0.575,0.57,0.805,1.375,3.54,0.19,13.695,14.155,53.625,48.975,-3.715,52.71,103,92,0,2,0.0,1,7,12.5,6,99,6.04,0,0,0.0
132,Justin Murray,D,BAR/SAG/BAR,19.566,114,11,15,15,26,41,211,5.26,0.1,0.13,0.13,0.23,0.36,1.855,4.645,0.085,954.36,16.7,0.355,0.475,0.475,0.825,1.3,6.675,0.29,13.35,14.145,56.035,50.055,-3.155,56.875,121,92,2,6,37.5,1,9,8.335,8,196,4.105,0,1,0.0
