"#","Name","Pos","Team","Age","GP","G","A1","A2","P1","P","Sh","Sh%","G/GP","A1/GP","A2/GP","P1/GP","P/GP","Sh/GP","xG","xG/GP","HD G","HD Sh","HD Sh%","MD G","MD Sh","MD Sh%","LD G","LD Sh","LD Sh%","FOW","FOT","FOW%"
"","Jacob Perreault","RW","SAR","16.419","52","27","9","13","36","49","132","20.45","0.52","0.17","0.25","0.69","0.94","2.54","10.93","0.21","6","15","40.0","3","17","17.65","18","100","18.0","6","12","50.0"
"","Christopher Paquette","C","PBO","20.471","55","24","12","4","36","40","165","14.55","0.44","0.22","0.07","0.65","0.73","3.0","15.13","0.28","6","11","54.55","6","28","21.43","12","126","9.52","734","1276","57.52"
"","Nathan Dunkley","LW","LDN","18.53","54","21","14","12","35","47","131","16.03","0.39","0.26","0.22","0.65","0.87","2.43","20.3","0.38","9","35","25.71","4","32","12.5","8","64","12.5","154","275","56.0"
"","Albert Michnac","LW","SAG","19.91","55","16","19","11","35","46","129","12.4","0.29","0.35","0.2","0.64","0.84","2.35","12.47","0.23","3","8","37.5","4","13","30.77","9","108","8.33","63","111","56.76"
"","Noel Hoefenmayer","D","OTT","19.691","54","14","20","18","34","52","160","8.75","0.26","0.37","0.33","0.63","0.96","2.96","9.82","0.18","0","0","0.0","3","12","25.0","11","148","7.43","1","2","50.0"
"","Aidan Dudas","C","OS","18.251","56","22","12","14","34","48","169","13.02","0.39","0.21","0.25","0.61","0.86","3.02","19.86","0.35","5","19","26.32","1","28","3.57","16","122","13.11","361","738","48.92"
"","Blake Murray","C","SBY","17.197","53","26","8","9","34","43","132","19.7","0.49","0.15","0.17","0.64","0.81","2.49","16.85","0.32","7","20","35.0","8","26","30.77","11","86","12.79","283","528","53.6"
"","Cole Tymkin","RW","LDN","19.447","49","19","15","8","34","42","81","23.46","0.39","0.31","0.16","0.69","0.86","1.65","10.43","0.21","12","22","54.55","5","18","27.78","2","41","4.88","0","1","0.0"
"","MacKenzie Entwistle","RW","GUE/HAM","19.174","44","21","13","7","34","41","134","15.67","0.48","0.3","0.16","0.77","0.93","3.05","16.81","0.38","4","36","11.11","5","22","22.73","12","76","15.79","258","541","47.69"
"","Nicolas Mattinen","D","HAM/OSH","20.532","57","16","17","19","33","52","177","9.04","0.28","0.3","0.33","0.58","0.91","3.11","9.79","0.17","3","8","37.5","1","8","12.5","12","161","7.45","2","5","40.0"
"","Nick Robertson","C","PBO","17.011","41","21","12","11","33","44","139","15.11","0.51","0.29","0.27","0.8","1.07","3.39","10.62","0.26","5","8","62.5","2","15","13.33","14","116","12.07","11","29","37.93"
"","Nando Eggenberger","LW","OSH","18.941","48","21","12","9","33","42","106","19.81","0.44","0.25","0.19","0.69","0.88","2.21","13.03","0.27","8","27","29.63","4","22","18.18","9","57","15.79","14","20","70.0"
"","Damien Giroux","C","SAG","18.536","54","23","10","8","33","41","99","23.23","0.43","0.19","0.15","0.61","0.76","1.83","13.57","0.25","8","29","27.59","7","27","25.93","8","43","18.6","314","678","46.31"
"","Adam Timleck","RW","PBO","20.551","52","19","14","8","33","41","138","13.77","0.37","0.27","0.15","0.63","0.79","2.65","13.81","0.27","3","14","21.43","6","22","27.27","10","102","9.8","6","11","54.55"
"","Maksim Sushko","LW","OS","19.595","52","15","18","8","33","41","133","11.28","0.29","0.35","0.15","0.63","0.79","2.56","15.91","0.31","3","13","23.08","5","23","21.74","7","97","7.22","3","6","50.0"
"","Sean Josling","RW","SAR","19.486","52","15","18","8","33","41","137","10.95","0.29","0.35","0.15","0.63","0.79","2.63","16.17","0.31","2","21","9.52","4","23","17.39","9","93","9.68","4","26","15.38"
"","Daniel D'Amico","C","WSR","17.638","56","21","11","12","32","44","129","16.28","0.38","0.2","0.21","0.57","0.79","2.3","14.44","0.26","6","19","31.58","6","31","19.35","9","79","11.39","26","57","45.61"
"","Danil Antropov","LW","OSH","17.736","55","13","19","12","32","44","91","14.29","0.24","0.35","0.22","0.58","0.8","1.65","11.97","0.22","4","17","23.53","7","23","30.43","2","51","3.92","9","19","47.37"
"","Will Cuylle","LW","WSR","16.373","52","23","9","3","32","35","156","14.74","0.44","0.17","0.06","0.62","0.67","3.0","15.04","0.29","8","27","29.63","3","30","10.0","12","99","12.12","29","63","46.03"
"","Jason Willms","C","BAR","19.601","55","14","18","3","32","35","154","9.09","0.25","0.33","0.05","0.58","0.64","2.8","19.54","0.36","5","36","13.89","3","22","13.64","6","96","6.25","686","1198","57.26"
"","Adam McMaster","C","NB/OS","18.558","57","14","17","13","31","44","109","12.84","0.25","0.3","0.23","0.54","0.77","1.91","8.86","0.16","1","8","12.5","1","14","7.14","12","87","13.79","229","524","43.7"
"","Adam Boqvist","D","LDN","18.084","41","15","16","13","31","44","116","12.93","0.37","0.39","0.32","0.76","1.07","2.83","7.26","0.18","3","5","60.0","1","3","33.33","11","108","10.19","0","0","0.0"
"","Jean-Luc Foudy","C","WSR","16.343","52","6","25","11","31","42","91","6.59","0.12","0.48","0.21","0.6","0.81","1.75","9.29","0.18","1","13","7.69","1","20","5.0","4","58","6.9","80","208","38.46"
"","David Levin","LW","SBY","18.998","43","18","13","11","31","42","157","11.46","0.42","0.3","0.26","0.72","0.98","3.65","14.07","0.33","2","11","18.18","5","28","17.86","11","118","9.32","206","369","55.83"
"","Eric Uba","RW","FLNT","17.744","57","18","13","9","31","40","139","12.95","0.32","0.23","0.16","0.54","0.7","2.44","9.62","0.17","1","10","10.0","4","15","26.67","13","114","11.4","72","150","48.0"
"","Jordan Sambrook","D","SSM","20.43","54","15","16","9","31","40","155","9.68","0.28","0.3","0.17","0.57","0.74","2.87","9.47","0.18","4","8","50.0","2","9","22.22","9","138","6.52","0","0","0.0"
"","Cedric Ralph","LW","GUE","19.65","55","14","17","8","31","39","82","17.07","0.25","0.31","0.15","0.56","0.71","1.49","11.58","0.21","3","18","16.67","4","21","19.05","7","43","16.28","88","146","60.27"
"","Ben Hawerchuk","LW","BAR","20.471","50","22","9","6","31","37","159","13.84","0.44","0.18","0.12","0.62","0.74","3.18","17.2","0.34","4","26","15.38","4","23","17.39","14","110","12.73","112","254","44.09"
"","Matej Pekar","C","BAR","18.596","33","14","17","5","31","36","111","12.61","0.42","0.52","0.15","0.94","1.09","3.36","11.08","0.34","5","21","23.81","3","18","16.67","6","72","8.33","26","59","44.07"
"","Nolan Hutcheson","LW","SBY","18.221","52","18","13","4","31","35","119","15.13","0.35","0.25","0.08","0.6","0.67","2.29","12.3","0.24","6","24","25.0","5","28","17.86","7","67","10.45","11","27","40.74"
"","Kody Clark","RW","OTT","18.924","47","14","16","10","30","40","123","11.38","0.3","0.34","0.21","0.64","0.85","2.62","12.21","0.26","3","18","16.67","1","17","5.88","10","88","11.36","18","42","42.86"
"","DJ Busdeker","RW","SAG","18.974","53","14","16","8","30","38","133","10.53","0.26","0.3","0.15","0.57","0.72","2.51","16.11","0.3","1","21","4.76","4","30","13.33","9","82","10.98","89","174","51.15"
"","Ryan Roth","RW","SSM","18.155","55","19","11","6","30","36","87","21.84","0.35","0.2","0.11","0.55","0.65","1.58","9.84","0.18","3","18","16.67","2","13","15.38","14","56","25.0","13","21","61.9"
"","Thomas Harley","D","MISS","17.074","55","10","19","17","29","46","120","8.33","0.18","0.35","0.31","0.53","0.84","2.18","6.52","0.12","1","6","16.67","0","4","0.0","9","110","8.18","0","0","0.0"
"","Kade Landry","D","HAM","19.371","55","6","23","17","29","46","88","6.82","0.11","0.42","0.31","0.53","0.84","1.6","4.36","0.08","0","1","0.0","0","2","0.0","6","85","7.06","0","0","0.0"
"","Mitch Eliot","D","SAR","20.605","56","15","14","15","29","44","174","8.62","0.27","0.25","0.27","0.52","0.79","3.11","9.49","0.17","1","6","16.67","1","6","16.67","13","162","8.02","1","3","33.33"
"","Giovanni Vallati","D","OSH","18.566","57","10","19","11","29","40","93","10.75","0.18","0.33","0.19","0.51","0.7","1.63","5.25","0.09","0","2","0.0","1","5","20.0","9","86","10.47","1","1","100.0"
"","Shane Bulitka","C","SBY","19.187","54","16","13","9","29","38","74","21.62","0.3","0.24","0.17","0.54","0.7","1.37","8.02","0.15","5","14","35.71","3","13","23.08","8","47","17.02","211","415","50.84"
"","Liam Kirk","LW","PBO","18.7","50","19","10","4","29","33","140","13.57","0.38","0.2","0.08","0.58","0.66","2.8","12.39","0.25","5","18","27.78","3","21","14.29","11","101","10.89","7","20","35.0"
"","Alexey Toropchenko","RW","GUE","19.226","50","15","13","6","28","34","167","8.98","0.3","0.26","0.12","0.56","0.68","3.34","21.52","0.43","7","40","17.5","3","22","13.64","5","105","4.76","6","10","60.0"
"","Evan Bouchard","D","LDN","18.905","31","8","19","8","27","35","133","6.02","0.26","0.61","0.26","0.87","1.13","4.29","9.13","0.29","1","3","33.33","0","2","0.0","7","128","5.47","0","0","0.0"
"","Ryan Cranford","RW","KGN","20.436","54","14","13","7","27","34","180","7.78","0.26","0.24","0.13","0.5","0.63","3.33","15.83","0.29","5","18","27.78","2","23","8.7","7","139","5.04","32","76","42.11"
"","Petr Cajka","C","ER","17.761","50","19","8","5","27","32","120","15.83","0.38","0.16","0.1","0.54","0.64","2.4","11.7","0.23","4","16","25.0","6","24","25.0","9","80","11.25","223","554","40.25"
"","Jamieson Rees","C","SAR","17.55","34","10","17","4","27","31","98","10.2","0.29","0.5","0.12","0.79","0.91","2.88","11.41","0.34","3","17","17.65","3","21","14.29","4","60","6.67","146","294","49.66"
"","Keegan Stevenson","RW","GUE","17.706","52","17","10","3","27","30","81","20.99","0.33","0.19","0.06","0.52","0.58","1.56","10.73","0.21","7","25","28.0","5","20","25.0","5","36","13.89","3","4","75.0"
"","Oliver Castleman","LW","NIAG","19.001","48","16","11","3","27","30","85","18.82","0.33","0.23","0.06","0.56","0.62","1.77","9.13","0.19","5","12","41.67","3","14","21.43","8","59","13.56","6","9","66.67"
"","Tyler Tullio","RW","OSH","16.447","49","13","13","8","26","34","108","12.04","0.27","0.27","0.16","0.53","0.69","2.2","9.52","0.19","4","14","28.57","2","22","9.09","7","72","9.72","7","21","33.33"
"","Billy Moskal","C","LDN","18.484","54","11","15","6","26","32","88","12.5","0.2","0.28","0.11","0.48","0.59","1.63","9.56","0.18","5","20","25.0","2","17","11.76","4","51","7.84","606","1001","60.54"
"","Macauley Carson","LW","SBY","19.513","50","11","15","5","26","31","129","8.53","0.22","0.3","0.1","0.52","0.62","2.58","17.7","0.35","3","31","9.68","5","25","20.0","3","73","4.11","439","816","53.8"
"","Matt Brassard","D","NIAG/OSH","20.104","51","10","15","18","25","43","177","5.65","0.2","0.29","0.35","0.49","0.84","3.47","9.75","0.19","1","3","33.33","1","3","33.33","8","171","4.68","0","2","0.0"
"","Keean Washkurak","C","MISS","17.082","53","12","13","13","25","38","110","10.91","0.23","0.25","0.25","0.47","0.72","2.08","12.19","0.23","7","29","24.14","2","18","11.11","3","63","4.76","377","772","48.83"
