,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP,FOW,FOT,FOW%
91,Louick Marcotte,LW,PEI,18.188,127,39,19,18,58,76,261,14.51,0.31,0.15,0.14,0.46,0.6,2.06,66,180,40.31
92,Valentin Zykov,RW,BAC,17.339,67,40,18,17,58,75,248,16.13,0.6,0.27,0.25,0.87,1.12,3.7,4,9,44.44
93,Brent Andrews,C,HAL,19.154,128,28,26,21,54,75,263,11.45,0.215,0.2,0.16,0.42,0.58,2.03,1298,2277,57.02
94,Alex Micallef,D,BLB/PEI,19.675,122,27,22,25,49,74,260,10.675,0.225,0.185,0.205,0.405,0.61,2.115,1,2,25.0
95,Jerome Gauthier-Leduc,D,RIM,19.127,62,28,30,16,58,74,262,10.69,0.45,0.48,0.26,0.94,1.19,4.23,1,1,100.0
96,Samuel Henley,C,VDO,18.642,121,35,25,12,60,72,228,15.14,0.295,0.21,0.1,0.5,0.605,1.905,57,134,40.58
97,Andre Bouvet-Morrissette,RW,DRU,20.137,63,39,16,17,55,72,231,16.88,0.62,0.25,0.27,0.87,1.14,3.67,283,481,58.84
98,Sebastien Sylvestre,C,CHI,18.44,100,31,28,13,59,72,201,12.65,0.25,0.255,0.105,0.51,0.61,1.775,482,985,50.005
99,Marek Hrivik,LW,MON,20.05,54,29,29,12,58,70,238,12.18,0.54,0.54,0.22,1.07,1.3,4.41,67,160,41.88
100,Gabriel Bourret,D,CHI/GAT,19.434,132,10,32,28,42,70,222,4.54,0.075,0.245,0.21,0.315,0.53,1.68,0,0,0.0
101,Ryan Culkin,D,QUE,18.251,127,11,29,30,40,70,195,6.38,0.085,0.225,0.23,0.315,0.545,1.515,0,3,0.0
102,Benjamin Casavant,LW,VDO,20.649,57,34,20,15,54,69,164,20.73,0.6,0.35,0.26,0.95,1.21,2.88,29,60,48.33
103,Maxim Lamarche,D,BAC,19.68,123,13,24,31,37,68,216,5.785,0.11,0.2,0.265,0.31,0.575,1.81,0,2,0.0
104,Raphael Lafontaine,C,GAT/BAT,17.282,136,32,19,17,51,68,282,10.965,0.235,0.14,0.125,0.375,0.5,2.075,828,1789,44.885
105,Tomas Jurco,RW,SNB,18.714,48,30,21,17,51,68,186,16.13,0.62,0.44,0.35,1.06,1.42,3.88,8,16,50.0
