,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP
455,Samuel Collard,D,RIM,17.753,1,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
456,Jeremy McKinnon,D,HAL,18.599,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
457,Felix-Antoine Poulin,D,BAC,16.006,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
458,Alexandre Kelemen,D,SHA,19.018,2,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.5
459,Alex Bourassa,LW,SHA,16.813,2,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0
460,Christophe Jutras,D,SHA,18.892,1,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,2.0
461,Ashton Bernard,LW,ROU,16.608,26,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.08
462,Brent Clarke,LW,SNL,20.28,12,0,0,0,0,0,12,0.0,0.0,0.0,0.0,0.0,0.0,1.0
463,Marc-Andre Boudreau,D,CHI,16.764,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
464,Kelan Herr,D,MON,18.418,15,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.13
465,Francis Touchette,C,GAT,19.697,1,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
466,Evan Watts,D,CAP,16.603,4,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
467,Matt Boyle,D,MON,17.547,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
468,Brandon Greenside,D,MON,16.797,9,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.33
469,Adam Clow,LW,BAT,19.62,36,0,0,0,0,0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.25
470,Luc Melanson,D,SNB,18.002,5,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.6
471,Tommy Legault,D,RIM,17.865,67,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
472,Jevin MacLellan,D,GAT,19.165,5,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.2
473,Maxime Gravelle,C,GAT,19.127,4,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
