,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP,xG,xG/GP,eTOI,eTOI/GP,eG/60,eA1/60,eA2/60,eP1/60,eP/60,eSh/60,exG/60,QoT TOI,QoC TOI,QoT GF%,QoC GF%,GF%Rel,GF%,GF,GA,HD G,HD Sh,HD Sh%,MD G,MD Sh,MD Sh%,LD G,LD Sh,LD Sh%,FOW,FOT,FOW%
485,Guillaume Vien,D,BLB/BAT,18.155,34,0,1,3,1,4,23,0.0,0.0,0.03,0.09,0.03,0.12,0.68,0.94,0.03,516.06,15.18,0.0,0.12,0.35,0.12,0.47,2.67,0.11,16.08,17.1,45.28,51.29,7.99,42.86,15,20,0,0,0.0,0,2,0.0,0,21,0.0,0,0,0.0
486,Johnatan Legault,D,ROU,17.766,53,0,3,1,3,4,24,0.0,0.0,0.06,0.02,0.06,0.08,0.45,1.4,0.03,583.1,11.0,0.0,0.31,0.1,0.31,0.41,2.47,0.14,17.1,17.56,60.92,51.49,-5.51,57.14,12,9,0,0,0.0,0,2,0.0,0,22,0.0,1,1,100.0
487,Marc-Antoine Germain,LW,ROU,18.667,44,1,3,0,4,4,23,4.35,0.02,0.07,0.0,0.09,0.09,0.52,2.5,0.06,419.05,9.52,0.14,0.43,0.0,0.57,0.57,3.29,0.36,16.74,16.55,48.09,51.32,11.61,59.09,13,9,1,4,25.0,0,1,0.0,0,18,0.0,0,0,0.0
488,Matthew Nosella,D,CAP,19.176,62,3,1,0,4,4,36,8.33,0.05,0.02,0.0,0.06,0.06,0.58,1.78,0.03,896.63,14.46,0.2,0.07,0.0,0.27,0.27,2.41,0.12,17.57,17.36,52.47,49.74,-3.26,50.0,38,38,1,1,100.0,2,3,66.67,0,32,0.0,0,1,0.0
489,Donovan Rehill,LW,QUE,16.909,30,1,2,1,3,4,6,16.67,0.03,0.07,0.03,0.1,0.13,0.2,0.72,0.02,267.31,8.91,0.22,0.45,0.22,0.67,0.9,1.35,0.16,15.81,16.8,43.72,48.92,-14.42,38.46,5,8,0,1,0.0,0,0,0.0,1,5,20.0,0,0,0.0
490,Simon Fortier,RW,DRU,19.658,27,1,3,0,4,4,28,3.57,0.04,0.11,0.0,0.15,0.15,1.04,2.14,0.08,370.62,13.73,0.16,0.49,0.0,0.65,0.65,4.53,0.35,18.41,18.94,42.54,55.91,-33.96,20.59,7,27,0,2,0.0,0,4,0.0,1,22,4.55,3,8,37.5
491,Julien Proulx,LW,VIC/RIM/VDO,19.175,87,1,2,1,3,4,41,3.125,0.01,0.02,0.01,0.035,0.045,0.48,2.095,0.05,390.195,8.965,0.075,0.145,0.075,0.22,0.295,3.19,0.325,16.125,16.56,51.075,49.425,-10.46,42.485,14,19,0,7,0.0,0,3,0.0,1,31,4.545,1,4,16.665
492,Logan Johnston,LW,SHE,16.816,59,0,3,1,3,4,19,0.0,0.0,0.05,0.02,0.05,0.07,0.32,1.36,0.02,526.82,8.93,0.0,0.34,0.11,0.34,0.46,2.16,0.15,16.82,15.69,44.84,48.49,-0.84,45.45,10,12,0,0,0.0,0,2,0.0,0,17,0.0,0,2,0.0
493,William Leblanc,C,DRU,17.435,23,2,2,0,4,4,17,11.76,0.09,0.09,0.0,0.17,0.17,0.74,1.83,0.08,254.54,11.07,0.47,0.47,0.0,0.94,0.94,4.01,0.43,16.82,16.78,38.07,49.56,2.98,44.44,8,10,0,2,0.0,0,3,0.0,2,12,16.67,15,40,37.5
494,Felix Meunier,LW,VIC,16.304,7,1,3,0,4,4,6,16.67,0.14,0.43,0.0,0.57,0.57,0.86,0.58,0.08,74.27,10.61,0.81,2.42,0.0,3.23,3.23,4.85,0.47,18.44,16.47,56.42,34.48,41.22,80.0,4,1,0,1,0.0,0,0,0.0,1,5,20.0,21,50,42.0
