,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP,xG,xG/GP,HD G,HD Sh,HD Sh%,MD G,MD Sh,MD Sh%,LD G,LD Sh,LD Sh%,FOW,FOT,FOW%
379,Jack Wismer,RW,FLNT,17.558,67,8,7,2,15,17,102,7.84,0.12,0.1,0.03,0.22,0.25,1.52,14.36,0.21,2,19,10.53,4,23,17.39,2,60,3.33,92,253,36.36
380,Matyas Svoboda,LW,PBO,18.203,96,10,3,4,13,17,83,10.895,0.095,0.025,0.045,0.12,0.165,0.84,5.015,0.095,5,15,30.68,0,16,0.0,5,52,8.66,3,8,37.5
381,Jonathan Yantsis,RW,KIT,17.886,83,8,5,4,13,17,62,14.015,0.1,0.055,0.045,0.16,0.205,0.75,4.1,0.09,4,13,31.665,1,10,6.25,3,39,9.615,2,9,11.11
382,Nick Deakin-Poot,C,GUE,18.132,54,7,5,4,12,16,52,6.73,0.065,0.05,0.28,0.115,0.395,0.5,2.935,0.055,3,14,10.715,2,7,14.285,2,31,3.225,81,181,22.625
383,Dennis Busby,D,FLNT,17.192,64,2,7,7,9,16,40,2.5,0.015,0.055,0.055,0.075,0.13,0.325,1.08,0.015,1,3,16.665,1,1,50.0,0,36,0.0,0,3,0.0
384,Jesse Barwell,LW,SAG,19.357,63,6,7,3,13,16,88,6.82,0.1,0.11,0.05,0.21,0.25,1.4,8.61,0.14,1,9,11.11,1,14,7.14,4,65,6.15,271,547,49.54
385,Aidan McFarland,LW,MISS,17.949,71,8,7,1,15,16,111,3.705,0.06,0.05,0.005,0.11,0.12,1.18,4.9,0.085,3,11,13.635,2,18,5.555,3,82,1.9,13,28,23.215
386,Chris  Martenet,D,LDN/OTT,19.973,55,5,5,6,10,16,57,8.77,0.09,0.09,0.11,0.18,0.29,1.04,2.23,0.04,1,1,100.0,1,2,50.0,3,54,5.56,0,0,0.0
387,Richard Whittaker,LW,LDN,16.938,65,6,6,4,12,16,54,12.465,0.09,0.125,0.035,0.22,0.255,0.755,2.85,0.08,1,9,6.25,0,2,0.0,5,43,13.74,6,13,23.075
388,Liam Stevens,LW,GUE,17.899,68,8,4,4,12,16,72,30.0,0.18,0.03,0.03,0.21,0.24,0.795,3.275,0.075,0,6,0.0,4,13,62.5,4,53,3.845,9,18,25.0
