,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP,xG,xG/GP,HD G,HD Sh,HD Sh%,MD G,MD Sh,MD Sh%,LD G,LD Sh,LD Sh%,FOW,FOT,FOW%
556,Cole Resnick,LW,OSH,12.603,73,4,3,4,7,11,59,2.613,0.027,0.027,0.033,0.053,0.09,0.457,1.553,0.04,2,9,9.523,0,7,0.0,2,43,1.753,99,266,24.707
557,Cameron Supryka,D,PBO/HAM/PBO,10.922,51,1,6,3,7,10,39,1.11,0.007,0.047,0.023,0.053,0.077,0.607,0.363,0.023,0,0,0.0,0,1,0.0,1,38,1.11,0,0,0.0
558,Luke Drewitt,LW,KGN,10.978,47,2,6,2,8,10,22,18.333,0.063,0.05,0.017,0.113,0.13,0.273,0.737,0.023,0,3,0.0,1,6,33.333,1,13,2.777,104,192,18.057
559,Justin Pringle,LW,KGN,34.046,88,6,3,1,9,10,82,22.27,0.16999999999999998,0.07,0.02,0.24,0.26,1.71,7.17,0.16,1,5,33.33,3,15,50.0,2,62,16.67,12,23,124.50999999999999
560,Jacob Collins,D,FLNT,37.813,122,5,4,1,9,10,154,6.23,0.09000000000000001,0.07,0.02,0.15,0.16,2.52,12.32,0.2,1,7,33.33,1,18,10.0,3,129,4.35,199,420,83.93
561,Tyler Nother,D,WSR,18.604,64,1,5,4,6,10,38,2.63,0.02,0.08,0.06,0.09,0.16,0.59,1.85,0.03,0,1,0.0,0,3,0.0,1,34,2.94,0,1,0.0
562,Reid Valade,RW,KIT,16.507,48,3,4,3,7,10,57,5.26,0.06,0.08,0.06,0.15,0.21,1.19,4.8,0.1,1,7,14.29,0,12,0.0,2,38,5.26,10,15,66.67
563,Owen Lane,LW,SBY,17.665,43,5,3,2,8,10,49,10.2,0.12,0.07,0.05,0.19,0.23,1.14,5.18,0.12,2,8,25.0,0,9,0.0,3,32,9.38,1,2,50.0
564,Jacob Ball,LW,NB,36.329,46,4,4,2,8,10,47,8.89,0.1,0.1,0.05,0.19,0.24,1.57,3.77,0.13,0,3,0.0,0,2,0.0,4,42,9.76,110,292,87.22999999999999
565,John Parker-Jones,RW,PBO,11.96,71,3,5,2,8,10,65,3.037,0.027,0.05,0.017,0.077,0.097,0.62,1.377,0.037,2,5,13.333,0,5,0.0,1,55,1.077,2,5,33.333
