,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP,xG,xG/GP,eTOI,eTOI/GP,eG/60,eA1/60,eA2/60,eP1/60,eP/60,eSh/60,exG/60,QoT TOI,QoC TOI,QoT GF%,QoC GF%,GF%Rel,GF%,GF,GA,HD G,HD Sh,HD Sh%,MD G,MD Sh,MD Sh%,LD G,LD Sh,LD Sh%,FOW,FOT,FOW%
298,Charlie Roy,D,BLB,17.265,54,1,3,5,4,9,36,2.78,0.02,0.06,0.09,0.07,0.17,0.67,1.22,0.02,952.0,17.63,0.06,0.19,0.32,0.25,0.57,2.27,0.08,17.47,18.11,56.51,52.53,-22.09,39.77,35,53,0,1,0.0,0,0,0.0,1,35,2.86,0,0,0.0
299,Andrew Abou-Assaly,LW,GAT,18.328,34,2,2,5,4,9,23,8.7,0.06,0.06,0.15,0.12,0.26,0.68,2.67,0.08,382.18,11.24,0.31,0.31,0.78,0.63,1.41,3.61,0.42,17.57,17.3,52.28,49.14,11.12,58.06,18,13,0,3,0.0,1,6,16.67,1,14,7.14,14,33,42.42
300,Jack Van Boekel,D,SNB,18.571,48,0,3,6,3,9,59,0.0,0.0,0.06,0.12,0.06,0.19,1.23,2.81,0.06,904.48,18.84,0.0,0.2,0.4,0.2,0.6,3.91,0.19,16.41,17.83,51.77,52.49,-21.23,35.05,34,63,0,1,0.0,0,6,0.0,0,52,0.0,0,0,0.0
301,Cameron Yarwood,D,VIC,20.46,16,0,5,4,5,9,26,0.0,0.0,0.31,0.25,0.31,0.56,1.62,1.24,0.08,358.95,22.43,0.0,0.84,0.67,0.84,1.5,4.35,0.21,17.92,17.41,53.3,48.99,12.42,58.97,23,16,0,0,0.0,0,2,0.0,0,24,0.0,0,0,0.0
302,Gabryel Paquin-Boudreau,LW,CHI,19.565,7,2,6,1,8,9,17,11.76,0.29,0.86,0.14,1.14,1.29,2.43,2.65,0.38,124.21,17.74,0.97,2.9,0.48,3.86,4.35,8.21,1.28,20.42,17.68,50.47,49.77,40.0,80.0,12,3,1,6,16.67,0,1,0.0,1,10,10.0,1,1,100.0
303,Olivier Schingh-Gomez,D,BLB,16.98,46,2,4,3,6,9,32,6.25,0.04,0.09,0.07,0.13,0.2,0.7,0.58,0.01,723.24,15.72,0.17,0.33,0.25,0.5,0.75,2.65,0.05,17.19,18.11,56.53,52.5,-13.27,46.55,27,31,0,0,0.0,0,0,0.0,2,32,6.25,0,0,0.0
304,Julien Carignan-Labbe,D,DRU,17.588,65,2,5,2,7,9,69,2.9,0.03,0.08,0.03,0.11,0.14,1.06,2.11,0.03,1215.98,18.71,0.1,0.25,0.1,0.35,0.44,3.4,0.1,16.81,18.12,43.4,53.64,-18.06,30.51,36,82,1,1,100.0,0,2,0.0,1,66,1.52,0,0,0.0
305,Julien Tessier,C,SNB,16.458,41,3,4,2,7,9,37,8.11,0.07,0.1,0.05,0.17,0.22,0.9,3.98,0.1,479.53,11.7,0.38,0.5,0.25,0.88,1.13,4.63,0.5,17.66,16.65,50.42,48.15,-18.86,37.5,15,25,0,8,0.0,2,5,40.0,1,24,4.17,3,11,27.27
306,Alexandre Leclerc,D,CHI/BAT,20.559,55,2,5,2,7,9,63,3.17,0.04,0.09,0.04,0.13,0.16,1.15,1.97,0.04,1203.64,21.88,0.1,0.25,0.1,0.35,0.45,3.14,0.1,17.42,18.87,42.38,55.93,-21.23,24.48,35,108,0,0,0.0,0,1,0.0,2,62,3.23,0,0,0.0
307,Kevin Laliberte,D,DRU,18.213,64,0,4,4,4,8,62,0.0,0.0,0.06,0.06,0.06,0.12,0.97,2.55,0.04,1144.46,17.88,0.0,0.21,0.21,0.21,0.42,3.25,0.13,16.61,17.85,44.91,52.17,-7.33,38.53,42,67,0,3,0.0,0,1,0.0,0,58,0.0,0,0,0.0
