"#","Name","Pos","Team","Age","GP","G","A1","A2","P1","P","G/GP","A1/GP","A2/GP","P1/GP","P/GP"
"","Patrick Fellows","LW","ER","17.246","60","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Darren Raddysh","D","ER","18.547","60","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","TJ Fergus","D","ER","17.476","45","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Quentin Maksimovich","C","ER","18.462","65","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Trent Fox","LW","ER/BELV","17.167","64","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Nick Betz","RW","ER","19.163","60","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Cole Mayo","D","ER/SBY","17.657","56","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Connor McDavid","C","ER","17.67","47","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Cameron Lizotte","D","PBO","17.06","67","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Matthew Timms","D","PBO","16.345","49","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Dominik Masin","D","PBO","18.621","48","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Anthony Stefano","LW","WSR/PBO","18.697","62","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Josh MacDonald","RW","PBO","20.474","63","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Eric  Cornel","RW","PBO","18.429","66","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Matt McCartney","C","PBO","19.521","43","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Steven Lorentz","C","PBO","18.423","59","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Greg  Betzold","LW","PBO","19.516","49","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Josh Maguire","LW","PBO","18.21","68","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Stephen Nosad","RW","BAR/PBO","19.639","61","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Jonathan Ang","C","PBO","16.622","59","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Hunter Garlent","C","PBO","19.612","52","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Connor Boland","D","SSM/PBO","19.795","61","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Michael Clarke","C","PBO","20.381","58","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Josh Coyle","C","PBO","17.137","56","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Matt  Spencer","D","PBO","17.479","67","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Evan McEneny","D","KGN","20.318","68","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Chad Duchesne","D","KGN","19.294","66","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Shawn Tessier","D","KGN","18.349","41","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Ryan Verbeek","LW","KGN","18.286","47","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Jarkko Parikka","D","KGN","17.024","68","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Ryan Kujawinski","C","NB/KGN","19.464","61","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Robert Polesello","LW","KGN","20.471","38","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Roland McKeown","D","KGN","18.653","65","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Samuel Schutt","LW","KGN","20.425","65","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Ted Nichol","C","KGN","17.695","59","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Lawson  Crouse","LW","KGN","17.23","56","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Mack Lemmon","RW","KGN","19.675","5","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Conor McGlynn","C","KGN","19.242","67","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Juho Lammikko","C","KGN","18.629","64","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Reagan O'Grady","D","KGN/SBY","15.751","54","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Corey Pawley","LW","KGN","19.699","67","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Spencer Watson","RW","KGN","18.391","41","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Rocky Kaura","D","BAR","17.427","29","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Jonathan Laser","D","BAR","20.08","68","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Josh Carrick","D","BAR","18.642","37","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","C.J. Garcia","D","BAR/GUE","18.615","55","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Joseph Blandisi","C","BAR","20.162","68","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Nick Pastorious","RW","BAR","18.352","45","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Kevin  Labanc","RW","BAR","18.76","68","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Matthew Kreis","LW","BAR","17.123","56","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
