"#","Name","Pos","Team","Age","GP","G","A1","A2","P1","P","Sh","Sh%","G/GP","A1/GP","A2/GP","P1/GP","P/GP","Sh/GP","xG","xG/GP","eTOI","eTOI/GP","eG/60","eA1/60","eA2/60","eP1/60","eP/60","eSh/60","exG/60","QoT TOI","QoC TOI","QoT GF%","QoC GF%","GF%Rel","GF%","GF","GA","HD G","HD Sh","HD Sh%","MD G","MD Sh","MD Sh%","LD G","LD Sh","LD Sh%","FOW","FOT","FOW%"
"","Austin Osmanski","D","PBO","20.378","54","3","3","8","6","14","75","4.0","0.06","0.06","0.15","0.11","0.26","1.39","2.63","0.05","845.56","15.66","0.21","0.21","0.57","0.43","0.99","5.32","0.19","13.22","14.01","47.58","50.57","0.26","48.24","41","44","1","2","50.0","0","2","0.0","2","71","2.82","0","0","0.0"
"","Mason Millman","D","SAG","17.161","51","1","5","7","6","13","47","2.13","0.02","0.1","0.14","0.12","0.25","0.92","1.71","0.03","757.81","14.86","0.08","0.4","0.55","0.48","1.03","3.72","0.14","13.52","14.04","56.15","49.73","-0.38","55.0","44","36","0","3","0.0","1","2","50.0","0","42","0.0","0","2","0.0"
"","Colton Kammerer","D","SAR","16.901","48","2","4","6","6","12","47","4.26","0.04","0.08","0.12","0.12","0.25","0.98","1.71","0.04","646.4","13.47","0.19","0.37","0.56","0.56","1.11","4.36","0.16","12.89","13.45","46.93","48.89","9.24","54.29","38","32","0","2","0.0","2","3","66.67","0","42","0.0","1","2","50.0"
"","Isaak Phillips","D","SBY","16.964","53","2","4","5","6","11","53","3.77","0.04","0.08","0.09","0.11","0.21","1.0","1.81","0.03","787.12","14.85","0.15","0.3","0.38","0.46","0.84","4.04","0.14","12.8","14.06","58.88","49.36","-6.96","55.0","44","36","0","2","0.0","0","3","0.0","2","48","4.17","0","0","0.0"
"","Alex Turko","C","LDN","19.688","53","3","3","5","6","11","48","6.25","0.06","0.06","0.09","0.11","0.21","0.91","4.13","0.08","511.0","9.64","0.35","0.35","0.59","0.7","1.29","5.64","0.49","14.1","14.47","61.15","48.17","-12.61","50.0","23","23","1","5","20.0","0","9","0.0","2","34","5.88","72","138","52.17"
"","Andrew Perrott","D","LDN/OS","17.06","39","2","4","5","6","11","40","5.0","0.05","0.1","0.13","0.15","0.28","1.03","1.34","0.03","571.31","14.65","0.21","0.42","0.53","0.63","1.16","4.2","0.14","12.8","13.82","52.14","46.89","-10.84","44.64","25","31","0","0","0.0","1","2","50.0","1","38","2.63","0","0","0.0"
"","Jack Hanley","D","GUE","20.406","35","3","3","4","6","10","39","7.69","0.09","0.09","0.11","0.17","0.29","1.11","1.17","0.03","610.93","17.46","0.29","0.29","0.39","0.59","0.98","3.83","0.11","13.58","14.2","52.23","49.36","-19.14","41.77","33","46","0","0","0.0","0","0","0.0","3","39","7.69","0","0","0.0"
"","Navrin Mutter","LW","HAM","17.503","54","3","3","4","6","10","39","7.69","0.06","0.06","0.07","0.11","0.19","0.72","3.53","0.07","570.24","10.56","0.32","0.32","0.42","0.63","1.05","4.1","0.37","13.76","13.88","42.37","50.37","-10.06","35.71","20","36","1","7","14.29","1","6","16.67","1","26","3.85","3","6","50.0"
"","Jack Duff","D","ER","18.645","53","0","6","4","6","10","65","0.0","0.0","0.11","0.08","0.11","0.19","1.23","2.31","0.04","880.33","16.61","0.0","0.41","0.27","0.41","0.68","4.43","0.16","13.74","14.12","46.86","49.83","6.13","50.52","49","48","0","2","0.0","0","2","0.0","0","61","0.0","0","0","0.0"
"","Jack Thompson","D","SBY","16.493","38","3","3","3","6","9","47","6.38","0.08","0.08","0.08","0.16","0.24","1.24","1.36","0.04","448.33","11.8","0.4","0.4","0.4","0.8","1.2","6.29","0.18","12.88","13.92","60.93","50.3","13.77","73.33","22","8","0","1","0.0","0","0","0.0","3","46","6.52","1","3","33.33"
"","Reid Valade","RW","KIT","16.507","47","2","4","3","6","9","51","3.92","0.04","0.09","0.06","0.13","0.19","1.09","3.9","0.08","556.46","11.84","0.22","0.43","0.32","0.65","0.97","5.5","0.42","14.33","13.92","41.88","50.15","-9.03","37.93","22","36","0","5","0.0","0","11","0.0","2","35","5.71","10","15","66.67"
"","Jacob Golden","D","ER/LDN","19.491","48","2","4","3","6","9","38","5.26","0.04","0.08","0.06","0.12","0.19","0.79","2.92","0.06","710.74","14.81","0.17","0.34","0.25","0.51","0.76","3.21","0.25","13.05","13.86","54.66","47.43","-8.04","50.68","37","36","0","6","0.0","1","5","20.0","1","27","3.7","0","0","0.0"
"","Cole Resnick","LW","OSH","19.404","49","4","2","2","6","8","50","8.0","0.08","0.04","0.04","0.12","0.16","1.02","3.63","0.07","402.51","8.21","0.6","0.3","0.3","0.89","1.19","7.45","0.54","12.64","13.56","51.87","49.48","-12.02","43.48","10","13","2","7","28.57","0","5","0.0","2","38","5.26","79","213","37.09"
"","Daniel Walker","LW","NB","19.33","37","5","1","2","6","8","71","7.04","0.14","0.03","0.05","0.16","0.22","1.92","6.96","0.19","445.24","12.03","0.67","0.13","0.27","0.81","1.08","9.57","0.94","13.87","13.34","43.81","51.18","-18.27","32.5","13","27","0","8","0.0","2","16","12.5","3","47","6.38","7","11","63.64"
"","David Maier","D","NB","18.675","42","1","5","2","6","8","28","3.57","0.02","0.12","0.05","0.14","0.19","0.67","1.03","0.02","472.15","11.24","0.13","0.64","0.25","0.76","1.02","3.56","0.13","14.29","13.82","47.86","53.38","15.46","58.06","18","13","0","2","0.0","0","0","0.0","1","26","3.85","0","0","0.0"
"","Brendan Sellan","LW","ER","17.643","49","3","3","2","6","8","46","6.52","0.06","0.06","0.04","0.12","0.16","0.94","3.96","0.08","514.76","10.51","0.35","0.35","0.23","0.7","0.93","5.36","0.46","14.19","13.77","44.59","49.19","-18.93","30.61","15","34","0","8","0.0","3","11","27.27","0","27","0.0","3","12","25.0"
"","Lleyton Moore","D","NIAG","16.548","28","2","4","2","6","8","31","6.45","0.07","0.14","0.07","0.21","0.29","1.11","1.05","0.04","467.16","16.68","0.26","0.51","0.26","0.77","1.03","3.98","0.14","13.1","13.67","58.73","47.59","1.73","69.23","36","16","1","1","100.0","0","2","0.0","1","28","3.57","0","1","0.0"
"","Tyson Foerster","C","BAR","16.657","50","4","1","8","5","13","41","9.76","0.08","0.02","0.16","0.1","0.26","0.82","2.96","0.06","470.9","9.42","0.51","0.13","1.02","0.64","1.66","5.22","0.38","12.78","13.62","49.58","48.54","8.28","57.14","20","15","1","3","33.33","1","7","14.29","2","31","6.45","36","90","40.0"
"","Carter Robertson","D","OS","18.667","54","2","3","8","5","13","70","2.86","0.04","0.06","0.15","0.09","0.24","1.3","2.61","0.05","814.18","15.08","0.15","0.22","0.59","0.37","0.96","5.16","0.19","13.76","14.08","47.21","52.51","-9.44","38.96","30","47","0","0","0.0","0","4","0.0","2","66","3.03","0","0","0.0"
"","Christopher Cameron","D","BAR","19.3","52","0","5","7","5","12","51","0.0","0.0","0.1","0.13","0.1","0.23","0.98","1.3","0.03","794.22","15.27","0.0","0.38","0.53","0.38","0.91","3.85","0.1","12.71","13.9","51.07","50.32","-3.35","48.0","36","39","0","0","0.0","0","1","0.0","0","50","0.0","0","0","0.0"
"","Liam Van Loon","LW","HAM","17.079","41","3","2","7","5","12","44","6.82","0.07","0.05","0.17","0.12","0.29","1.07","4.04","0.1","410.83","10.02","0.44","0.29","1.02","0.73","1.75","6.43","0.59","14.04","14.11","44.31","48.94","12.72","54.29","19","16","1","10","10.0","0","9","0.0","2","25","8.0","7","14","50.0"
"","Donovan Sebrango","D","KIT","16.674","47","2","3","5","5","10","31","6.45","0.04","0.06","0.11","0.11","0.21","0.66","1.27","0.03","734.15","15.62","0.16","0.25","0.41","0.41","0.82","2.53","0.1","13.54","14.1","43.07","50.08","-1.75","43.59","34","44","0","1","0.0","1","3","33.33","1","27","3.7","0","0","0.0"
"","Ryan Martin","D","ER","19.256","45","3","2","5","5","10","40","7.5","0.07","0.04","0.11","0.11","0.22","0.89","1.95","0.04","751.73","16.71","0.24","0.16","0.4","0.4","0.8","3.19","0.16","13.75","14.1","46.67","48.96","0.19","48.31","43","46","1","5","20.0","0","0","0.0","2","35","5.71","0","1","0.0"
