,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP
894,Derian Plouffe,F,TOR,23.666,1,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,2.0
895,Etienne Boutet,D,STK,26.289,2,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0
896,Alex Breton,D,BEL,21.197,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
897,Johno May,F,SD,24.915,1,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,2.0
898,Michael Brodzinski,D,SJ,23.302,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
899,John McCarron,RW,STK,26.415,1,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,2.0
900,Scott Pooley,RW,TOR,24.469,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
901,Vasily Glotov,C,ROC,21.03,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
902,Zack Stortini,RW,CHA,33.011,19,0,0,0,0,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.42
903,Josh Anderson,D,COL,20.047,1,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
904,Mike Szmatula,C,UTI/STK,26.098,4,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.75
905,Spencer Naas,LW,TEX,23.217,10,0,0,0,0,0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.9
906,Noah Juulsen,D,LAV,21.454,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
907,Bryan Moore,LW,GR,24.31,2,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0
908,Stepan Falkovsky,D,IA,21.742,5,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.2
909,Drew Melanson,LW,HFD,23.68,5,0,0,0,0,0,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0
910,Michael Fora,D,CHA,22.878,1,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
911,Kale Kessy,LW,COL/MB,25.78,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
912,Travis Howe,RW,TUC,24.595,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
913,Michael Doherty,LW,PRO/BNG,25.068,6,0,0,0,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.67
914,Bobby Sanguinetti,D,CHA,30.544,14,0,0,0,0,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.57
915,Colby McAuley,RW,SJ,22.3,2,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.5
916,Mike Cornell,D,BRI,30.511,1,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
917,Nic Pierog,F,PRO,25.454,2,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.5
918,Pascal Laberge,C,LV,20.436,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
919,Travis Brown,D,SA,24.504,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
920,Zac Lynch,C,HFD,26.503,2,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0
921,Christian Dvorak,C,TUC,22.618,2,0,0,0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,3.0
922,Brett McKenzie,LW,PRO,21.512,3,0,0,0,0,0,5,0.0,0.0,0.0,0.0,0.0,0.0,1.67
923,Nikita Popugaev,LW,BNG,19.82,5,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.6
924,Samuel Morin,D,LV,23.179,2,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0
925,Alex Overhardt,C,MIL,21.665,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
926,Logan Roe,D,MB,26.714,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
927,Greg Wolfe,C,BNG,28.392,2,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.5
928,Jalen Smereck,D,TUC,21.665,6,0,0,0,0,0,8,0.0,0.0,0.0,0.0,0.0,0.0,1.33
929,Marcus Hogstrom,D,STK,29.49,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
930,J.C. Campagna,F,CHI,25.263,1,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,2.0
931,Christian Djoos,D,HER,24.11,2,0,0,0,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,2.0
932,Kevin Lough,D,CHI,26.533,2,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,1.5
933,Zach Tolkinen,D,HFD,28.8,8,0,0,0,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.5
934,Justin Taylor,C,SA,29.6,1,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,2.0
935,Steven Iacobellis,F,SA,25.071,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
936,Josh MacDonald,F,LV,24.474,8,0,0,0,0,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.62
937,Frank Hora,D,LV,22.289,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
