,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP,xG,xG/GP,HD G,HD Sh,HD Sh%,MD G,MD Sh,MD Sh%,LD G,LD Sh,LD Sh%,FOW,FOT,FOW%
287,Holden Wale,D,SSM,18.133,55,3,3,7,6,13,62,4.84,0.05,0.05,0.13,0.11,0.24,1.13,3.38,0.06,1,6,16.67,0,4,0.0,2,52,3.85,0,0,0.0
288,Griffin Wilson,C,OS,17.295,55,4,4,5,8,13,49,8.16,0.07,0.07,0.09,0.15,0.24,0.89,3.67,0.07,1,2,50.0,1,5,20.0,2,42,4.76,139,335,41.49
289,Jack Thompson,D,SBY,16.493,43,4,4,5,8,13,72,5.56,0.09,0.09,0.12,0.19,0.3,1.67,2.96,0.07,0,1,0.0,0,1,0.0,4,70,5.71,2,4,50.0
290,Hayden Fowler,RW,ER,16.975,18,4,5,3,9,12,24,16.67,0.22,0.28,0.17,0.5,0.67,1.33,2.07,0.12,0,4,0.0,0,5,0.0,4,15,26.67,100,205,48.78
291,Emmett Serensits,D,SBY,18.689,53,3,3,6,6,12,72,4.17,0.06,0.06,0.11,0.11,0.23,1.36,1.98,0.04,0,1,0.0,1,1,100.0,2,70,2.86,0,0,0.0
292,Andrew Perrott,D,LDN/OS,17.06,43,2,4,6,6,12,43,4.65,0.05,0.09,0.14,0.14,0.28,1.0,1.44,0.03,0,0,0.0,1,2,50.0,1,41,2.44,0,0,0.0
293,Mathew Hill,D,BAR,17.375,56,2,1,9,3,12,31,6.45,0.04,0.02,0.16,0.05,0.21,0.55,0.79,0.01,1,1,100.0,0,0,0.0,1,30,3.33,0,0,0.0
294,Isaak Phillips,D,SBY,16.964,58,3,4,5,7,12,68,4.41,0.05,0.07,0.09,0.12,0.21,1.17,2.73,0.05,0,3,0.0,0,3,0.0,3,62,4.84,0,0,0.0
295,Kyle Harris,C,FLNT,17.427,58,6,4,2,10,12,90,6.67,0.1,0.07,0.03,0.17,0.21,1.55,9.91,0.17,1,18,5.56,3,20,15.0,2,52,3.85,186,464,40.09
296,Sam Rhodes,C,BAR,18.571,58,8,2,2,10,12,65,12.31,0.14,0.03,0.03,0.17,0.21,1.12,5.48,0.09,1,6,16.67,5,15,33.33,2,44,4.55,18,59,30.51
297,Daniel Bukac,D,NIAG,19.382,44,3,4,5,7,12,55,5.45,0.07,0.09,0.11,0.16,0.27,1.25,2.0,0.05,0,1,0.0,1,2,50.0,2,52,3.85,0,1,0.0
298,Quinn Yule,LW,OTT,18.692,44,6,5,1,11,12,51,11.76,0.14,0.11,0.02,0.25,0.27,1.16,4.92,0.11,3,11,27.27,1,7,14.29,2,33,6.06,2,12,16.67
299,Jaromir Pytlik,RW,SSM,16.972,16,7,1,4,8,12,28,25.0,0.44,0.06,0.25,0.5,0.75,1.75,3.37,0.21,2,6,33.33,3,7,42.86,2,15,13.33,1,2,50.0
300,Dennis Busby,D,FLNT,18.692,19,0,8,4,8,12,44,0.0,0.0,0.42,0.21,0.42,0.63,2.32,2.25,0.12,0,1,0.0,0,2,0.0,0,41,0.0,1,1,100.0
301,Trenton Bourque,D,OS,20.263,52,4,4,4,8,12,79,5.06,0.08,0.08,0.08,0.15,0.23,1.52,3.25,0.06,0,0,0.0,1,4,25.0,3,75,4.0,1,2,50.0
302,Kirill Nizhnikov,RW,SBY,18.464,20,4,7,1,11,12,31,12.9,0.2,0.35,0.05,0.55,0.6,1.55,2.22,0.11,0,1,0.0,1,6,16.67,3,24,12.5,2,6,33.33
303,Anthony Tabak,LW,SAR/SBY,16.775,52,1,8,3,9,12,55,1.82,0.02,0.15,0.06,0.17,0.23,1.06,3.59,0.07,0,5,0.0,0,8,0.0,1,42,2.38,150,344,43.6
304,Chad Denault,RW,PBO,18.412,58,6,6,0,12,12,41,14.63,0.1,0.1,0.0,0.21,0.21,0.71,3.55,0.06,3,8,37.5,3,8,37.5,0,25,0.0,2,8,25.0
305,Brendan Sellan,LW,ER,17.643,54,3,5,3,8,11,62,4.84,0.06,0.09,0.06,0.15,0.2,1.15,5.69,0.11,0,9,0.0,3,17,17.65,0,36,0.0,8,17,47.06
306,Ashton Reesor,D,SAR,17.673,57,2,3,6,5,11,37,5.41,0.04,0.05,0.11,0.09,0.19,0.65,1.12,0.02,0,1,0.0,0,3,0.0,2,33,6.06,0,0,0.0
307,Jake Gravelle,D,HAM,18.374,56,3,3,5,6,11,70,4.29,0.05,0.05,0.09,0.11,0.2,1.25,2.35,0.04,0,1,0.0,0,0,0.0,3,69,4.35,0,0,0.0
308,Adam Varga,RW,MISS,17.273,53,4,7,0,11,11,81,4.94,0.08,0.13,0.0,0.21,0.21,1.53,5.79,0.11,0,9,0.0,1,8,12.5,3,64,4.69,2,4,50.0
309,Blake McConville,RW,SBY,18.451,43,2,6,3,8,11,30,6.67,0.05,0.14,0.07,0.19,0.26,0.7,2.23,0.05,0,3,0.0,1,4,25.0,1,23,4.35,4,9,44.44
310,Jack Hanley,D,GUE,20.406,39,3,4,4,7,11,46,6.52,0.08,0.1,0.1,0.18,0.28,1.18,1.61,0.04,0,0,0.0,0,2,0.0,3,44,6.82,0,0,0.0
311,Andrew Bruder,C,NIAG,18.081,41,4,5,2,9,11,46,8.7,0.1,0.12,0.05,0.22,0.27,1.12,3.82,0.09,1,8,12.5,1,8,12.5,2,30,6.67,81,176,46.02
312,Luke Beamish,D,ER,18.251,23,2,5,4,7,11,20,10.0,0.09,0.22,0.17,0.3,0.48,0.87,1.15,0.05,0,1,0.0,2,3,66.67,0,16,0.0,0,0,0.0
313,Navrin Mutter,LW,HAM,17.503,59,4,3,4,7,11,43,9.3,0.07,0.05,0.07,0.12,0.19,0.73,3.92,0.07,2,8,25.0,1,7,14.29,1,28,3.57,5,10,50.0
314,Mike Petizian,LW,KIT,17.566,49,4,5,1,9,10,51,7.84,0.08,0.1,0.02,0.18,0.2,1.04,4.94,0.1,1,3,33.33,0,17,0.0,3,31,9.68,36,70,51.43
315,Jackson Doherty,LW,OS,18.065,57,4,4,2,8,10,53,7.55,0.07,0.07,0.04,0.14,0.18,0.93,4.82,0.08,1,7,14.29,2,7,28.57,1,39,2.56,2,9,22.22
316,Ryan Martin,D,ER,19.256,50,3,2,5,5,10,44,6.82,0.06,0.04,0.1,0.1,0.2,0.88,2.19,0.04,0,4,0.0,1,1,100.0,2,39,5.13,0,1,0.0
