,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP,xG,xG/GP,HD G,HD Sh,HD Sh%,MD G,MD Sh,MD Sh%,LD G,LD Sh,LD Sh%,FOW,FOT,FOW%
718,Zachary Gladu,RW,VDO,39.306,34,1,1,0,2,2,15,7.14,0.06,0.06,0.0,0.12,0.12,0.8799999999999999,1.36,0.08,1,4,25.0,0,1,0.0,0,10,0.0,0,4,0.0
719,Dennis Golovatchev,LW,KGN,35.138000000000005,100,1,1,0,2,2,28,3.57,0.02,0.02,0.0,0.04,0.04,0.56,2.1,0.04,0,1,0.0,0,4,0.0,1,23,4.35,47,128,37.01
720,Kallaway Mercer,LW,KGN,32.33,72,2,0,0,2,2,23,8.7,0.06,0.0,0.0,0.06,0.06,0.64,2.05,0.06,0,3,0.0,1,7,14.29,1,13,7.69,10,25,40.0
721,Riley MacRae,LW,MON,38.938,44,0,0,2,0,2,18,0.0,0.0,0.0,0.09,0.0,0.09,0.82,1.94,0.09,0,3,0.0,0,3,0.0,0,12,0.0,10,19,52.63
722,Yanic Crete,C,OTT,32.718,28,0,2,0,2,2,10,0.0,0.0,0.14,0.0,0.14,0.14,0.71,0.7,0.05,0,1,0.0,0,0,0.0,0,9,0.0,24,38,63.16
723,Steven Grant,LW,GUE,34.711999999999996,18,0,1,1,1,2,2,0.0,0.0,0.11,0.11,0.11,0.22,0.22,0.17,0.02,0,1,0.0,0,0,0.0,0,1,0.0,0,1,0.0
724,Luke Evangelista,RW,LDN,33.128,50,0,0,2,0,2,13,0.0,0.0,0.0,0.08,0.0,0.08,0.52,1.09,0.04,0,4,0.0,0,1,0.0,0,8,0.0,1,1,100.0
725,Ethan Sims,C,NIAG,33.37,8,0,0,2,0,2,0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
726,N Barke,LW,SAR,4035.406,12,1,0,1,1,2,3,33.33,0.17,0.0,0.17,0.17,0.33,0.5,0.42,0.07,0,0,0.0,1,2,50.0,0,1,0.0,2,3,66.67
727,David Vaysberg,LW,SHA,33.501999999999995,16,0,1,0,1,1,0,0.0,0.0,0.12,0.0,0.12,0.12,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,5,20.0
728,Egor Kurbatov,LW,VIC,36.666,36,1,0,0,1,1,14,7.14,0.06,0.0,0.0,0.06,0.06,0.78,1.78,0.1,0,1,0.0,1,4,25.0,0,9,0.0,8,29,28.57
729,David Fontaine,RW,BLB,34.711999999999996,10,0,1,0,1,1,2,0.0,0.0,0.2,0.0,0.2,0.2,0.4,0.09,0.02,0,0,0.0,0,0,0.0,0,2,0.0,0,0,0.0
730,Dominic Cormier,LW,RIM,36.278,20,1,0,0,1,1,5,20.0,0.1,0.0,0.0,0.1,0.1,0.5,0.19,0.02,0,0,0.0,0,0,0.0,1,5,20.0,0,1,0.0
731,Lucas Reeves,LW,GAT,8.702,14,0,1,0,1,1,2,0.0,0.0,0.025,0.0,0.025,0.025,0.088,0.015,0.008,0,0,0.0,0,0,0.0,0,2,0.0,1,7,1.786
732,Brock MacLeod,C,CHA,36.88,4,0,1,0,1,1,1,0.0,0.0,0.5,0.0,0.5,0.5,0.5,0.27,0.13,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0
733,Callan Christner,LW,MISS,33.54,26,0,0,1,0,1,2,0.0,0.0,0.0,0.08,0.0,0.08,0.15,0.15,0.01,0,0,0.0,0,0,0.0,0,2,0.0,0,0,0.0
734,Nicholas Blachman,RW,RIM,38.861999999999995,16,1,0,0,1,1,5,20.0,0.12,0.0,0.0,0.12,0.12,0.62,0.57,0.07,0,0,0.0,0,1,0.0,1,4,25.0,0,1,0.0
735,Eric Eschweiler,RW,SBY,38.764,18,0,0,1,0,1,10,0.0,0.0,0.0,0.11,0.0,0.11,1.11,0.82,0.09,0,3,0.0,0,0,0.0,0,7,0.0,1,2,50.0
736,Jesse Dick,C,OTT,34.694,12,1,0,0,1,1,4,25.0,0.17,0.0,0.0,0.17,0.17,0.67,0.35,0.06,1,1,100.0,0,0,0.0,0,3,0.0,1,3,33.33
737,Ethan Cardwell,RW,SAG,32.088,12,1,0,0,1,1,5,20.0,0.17,0.0,0.0,0.17,0.17,0.83,0.46,0.08,0,1,0.0,0,1,0.0,1,3,33.33,1,2,50.0
738,Ben McFarlane,RW,GUE,32.204,16,0,1,0,1,1,6,0.0,0.0,0.12,0.0,0.12,0.12,0.75,0.18,0.02,0,0,0.0,0,0,0.0,0,6,0.0,6,24,25.0
739,Marc-Antoine Gagne,C,CHI,37.302,30,0,1,0,1,1,8,0.0,0.0,0.07,0.0,0.07,0.07,0.53,0.94,0.06,0,0,0.0,0,2,0.0,0,6,0.0,35,67,52.24
740,Nathan MacMillan,LW,HAL,4.156,6,0,1,0,1,1,0,0.0,0.0,0.041,0.0,0.041,0.041,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
741,Anthony Wojcik,LW,QUE,38.6,18,1,0,0,1,1,8,12.5,0.11,0.0,0.0,0.11,0.11,0.89,0.82,0.09,0,1,0.0,0,2,0.0,1,5,20.0,0,1,0.0
742,Simon Lefebvre,RW,SHE,37.23,36,0,0,1,0,1,13,0.0,0.0,0.0,0.06,0.0,0.06,0.72,1.58,0.09,0,4,0.0,0,4,0.0,0,5,0.0,0,1,0.0
743,Gavin Hart,C,HAL,8.425,12,1,0,0,1,1,5,3.125,0.031,0.0,0.0,0.031,0.031,0.188,0.028,0.008,0,0,0.0,0,1,0.0,1,4,4.166,0,0,0.0
744,Dylan L'Italien,LW,BAC,4.553,24,0,0,1,0,1,8,0.0,0.0,0.0,0.01,0.0,0.01,0.084,0.06,0.005,0,0,0.0,0,2,0.0,0,6,0.0,0,0,0.0
745,Samuel Gaumond,C,RIM,37.242,22,0,0,1,0,1,8,0.0,0.0,0.0,0.09,0.0,0.09,0.73,0.49,0.04,0,1,0.0,0,0,0.0,0,7,0.0,23,50,46.0
746,Nicholas Beauvilliers,C,DRU,4.19,6,1,0,0,1,1,3,4.166,0.041,0.0,0.0,0.041,0.041,0.125,0.05,0.016,0,0,0.0,1,2,6.25,0,1,0.0,0,2,0.0
747,Charles Farmer,RW,VDO,9.571,10,0,0,1,0,1,2,0.0,0.0,0.0,0.041,0.0,0.041,0.084,0.031,0.01,0,1,0.0,0,0,0.0,0,1,0.0,0,0,0.0
748,Christian Clark,C,SNB,4.65,30,0,1,0,1,1,10,0.0,0.0,0.009,0.0,0.009,0.009,0.084,0.11,0.008,0,3,0.0,0,2,0.0,0,5,0.0,0,0,0.0
749,Logan Camp,RW,BAC,4.132,44,1,0,0,1,1,5,2.5,0.006,0.0,0.0,0.006,0.006,0.029,0.049,0.002,0,0,0.0,0,1,0.0,1,4,3.125,2,3,8.334
