"#","Name","Pos","Team","Age","GP","G","A1","A2","P1","P","Sh","Sh%","G/GP","A1/GP","A2/GP","P1/GP","P/GP","Sh/GP","xG","xG/GP","HD G","HD Sh","HD Sh%","MD G","MD Sh","MD Sh%","LD G","LD Sh","LD Sh%","FOW","FOT","FOW%"
"","Barrett Hayton","C","SSM","16.269","63","9","12","6","21","27","97","9.28","0.14","0.19","0.1","0.33","0.43","1.54","10.08","0.16","2","14","14.29","2","12","16.67","5","71","7.04","154","305","50.49"
"","C.J. Clarke","RW","PBO/FLNT","17.602","56","9","12","3","21","24","95","9.47","0.16","0.21","0.05","0.38","0.43","1.7","10.93","0.2","1","11","9.09","5","11","45.45","3","73","4.11","4","10","40.0"
"","Ty Dellandrea","C","FLNT","16.154","57","13","8","3","21","24","103","12.62","0.23","0.14","0.05","0.37","0.42","1.81","11.99","0.21","2","17","11.76","5","24","20.83","6","62","9.68","271","554","48.92"
"","Eemeli Rasanen","D","KGN","17.531","66","6","14","19","20","39","90","6.67","0.09","0.21","0.29","0.3","0.59","1.36","4.73","0.07","0","1","0.0","1","2","50.0","5","87","5.75","0","0","0.0"
"","Justin Lemcke","D","HAM","19.587","66","9","11","17","20","37","139","6.47","0.14","0.17","0.26","0.3","0.56","2.11","6.25","0.09","3","6","50.0","0","1","0.0","6","132","4.55","0","0","0.0"
"","Gustav  Bouramman","D","SSM","19.642","66","2","18","16","20","36","90","2.22","0.03","0.27","0.24","0.3","0.55","1.36","5.89","0.09","1","2","50.0","0","5","0.0","1","83","1.2","5","9","55.56"
"","Nathan Dunkley","LW","KGN","16.531","58","6","14","11","20","31","81","7.41","0.1","0.24","0.19","0.34","0.53","1.4","11.58","0.2","1","15","6.67","3","21","14.29","2","45","4.44","321","607","52.88"
"","Jason Willms","C","BAR","17.602","68","13","7","3","20","23","116","11.21","0.19","0.1","0.04","0.29","0.34","1.71","14.86","0.22","5","25","20.0","2","23","8.7","6","68","8.82","534","1025","52.1"
"","Nick McHugh","LW","KIT","17.588","58","13","7","3","20","23","67","19.4","0.22","0.12","0.05","0.34","0.4","1.16","9.14","0.16","3","15","20.0","3","16","18.75","7","36","19.44","15","31","48.39"
"","Luke Kirwan","LW","FLNT","18.979","31","14","6","2","20","22","93","15.05","0.45","0.19","0.06","0.65","0.71","3.0","9.92","0.32","2","8","25.0","7","18","38.89","5","67","7.46","9","12","75.0"
"","Sam Harding","C","KGN","19.461","68","8","12","2","20","22","85","9.41","0.12","0.18","0.03","0.29","0.32","1.25","8.98","0.13","5","18","27.78","0","11","0.0","3","56","5.36","667","1140","58.51"
"","Colton White","D","SSM","19.371","64","6","13","12","19","31","115","5.22","0.09","0.2","0.19","0.3","0.48","1.8","8.83","0.14","0","3","0.0","1","5","20.0","5","107","4.67","0","1","0.0"
"","Otto Makinen","C","SSM","18.322","68","7","12","11","19","30","78","8.97","0.1","0.18","0.16","0.28","0.44","1.15","9.75","0.14","5","17","29.41","0","14","0.0","2","47","4.26","346","683","50.66"
