"#","Name","Pos","Team","Age","GP","G","A1","A2","P1","P","Sh","Sh%","G/GP","A1/GP","A2/GP","P1/GP","P/GP","Sh/GP"
"","Ronnie Attard","LD","TC","18.492","50","8","2","5","10","15","81","9.88","0.16","0.04","0.1","0.2","0.3","1.62"
"","Dalton Hunter","LW","DBQ/YNG","19.97","52","9","1","5","10","15","91","9.89","0.17","0.02","0.1","0.19","0.29","1.75"
"","Matyas Svoboda","F","SC","18.703","29","6","4","3","10","13","47","12.77","0.21","0.14","0.1","0.34","0.45","1.62"
"","Alex Vlasic","LD","USA","16.28","34","4","6","3","10","13","40","10.0","0.12","0.18","0.09","0.29","0.38","1.18"
"","Joey Cipollone","RW","TC","18.18","60","5","5","3","10","13","95","5.26","0.08","0.08","0.05","0.17","0.22","1.58"
"","Braden Costello","LW","DM","17.402","56","8","2","2","10","12","73","10.96","0.14","0.04","0.04","0.18","0.21","1.3"
"","Ryan Leibold","C","SC","18.867","60","7","3","2","10","12","73","9.59","0.12","0.05","0.03","0.17","0.2","1.22"
"","Michael Joyaux","RD","YNG","20.586","58","1","8","14","9","23","91","1.1","0.02","0.14","0.24","0.16","0.4","1.57"
"","Jacob Nordqvist","RD","FGO/MAD","19.59","51","3","6","5","9","14","52","5.77","0.06","0.12","0.1","0.18","0.27","1.02"
"","Travis Mitchell","D","OMA/MUS","17.807","56","4","5","5","9","14","84","4.76","0.07","0.09","0.09","0.16","0.25","1.5"
"","Cam York","LD","USA","16.375","33","3","6","5","9","14","40","7.5","0.09","0.18","0.15","0.27","0.42","1.21"
"","Mattias Samuelsson","LD","USA","17.506","23","4","5","5","9","14","37","10.81","0.17","0.22","0.22","0.39","0.61","1.61"
"","Jack Malone","RW","YNG","16.923","52","3","6","5","9","14","40","7.5","0.06","0.12","0.1","0.17","0.27","0.77"
"","Josh Bohlin","C","CR","17.597","50","2","7","4","9","13","78","2.56","0.04","0.14","0.08","0.18","0.26","1.56"
"","Kyle Looft","LD","CR","19.22","58","2","7","3","9","12","45","4.44","0.03","0.12","0.05","0.16","0.21","0.78"
"","Kevin Lombardi","RW","CR","19.094","53","6","3","2","9","11","69","8.7","0.11","0.06","0.04","0.17","0.21","1.3"
"","Todd Goehring","RW","CHI","20.189","26","5","4","1","9","10","36","13.89","0.19","0.15","0.04","0.35","0.38","1.38"
"","CJ Walker","RW","CHI/DM","18.401","48","4","5","1","9","10","46","8.7","0.08","0.1","0.02","0.19","0.21","0.96"
"","Dalton Messina","C","CR/YNG","19.467","36","4","5","1","9","10","39","10.26","0.11","0.14","0.03","0.25","0.28","1.08"
"","Keaton Pehrson","RD","TC","18.766","58","5","4","0","9","9","77","6.49","0.09","0.07","0.0","0.16","0.16","1.33"
"","Hank Sorensen","RD","WAT","19.28","48","5","3","14","8","22","90","5.56","0.1","0.06","0.29","0.17","0.46","1.88"
"","Drew Helleson","RD","USA","16.474","34","2","6","10","8","18","32","6.25","0.06","0.18","0.29","0.24","0.53","0.94"
"","Bode Wilde","RD","USA","17.643","25","3","5","8","8","16","59","5.08","0.12","0.2","0.32","0.32","0.64","2.36"
"","Jackson Charlesworth","RD","GB","20.496","57","3","5","6","8","14","69","4.35","0.05","0.09","0.11","0.14","0.25","1.21"
"","Michael Ferrandino","RD","WAT","17.498","58","0","8","6","8","14","60","0.0","0.0","0.14","0.1","0.14","0.24","1.03"
"","Egor Afanasyev","LW","MUS","16.644","45","6","2","6","8","14","52","11.54","0.13","0.04","0.13","0.18","0.31","1.16"
"","Zach Dubinsky","LW","LIN","17.506","53","3","5","6","8","14","71","4.23","0.06","0.09","0.11","0.15","0.26","1.34"
"","Austen Long","RW","LIN","19.582","39","6","2","4","8","12","39","15.38","0.15","0.05","0.1","0.21","0.31","1.0"
"","Paul Maust","F","GB","19.231","46","4","4","3","8","11","34","11.76","0.09","0.09","0.07","0.17","0.24","0.74"
"","Cole Guttman","C","DBQ","18.445","17","6","2","3","8","11","30","20.0","0.35","0.12","0.18","0.47","0.65","1.76"
"","Jack Summers","LD","TC","18.33","58","1","7","3","8","11","63","1.59","0.02","0.12","0.05","0.14","0.19","1.09"
"","Jack DeBoer","C","USA","17.079","25","5","3","3","8","11","20","25.0","0.2","0.12","0.12","0.32","0.44","0.8"
"","Randy Hernandez","RW","SC","18.675","45","3","5","2","8","10","41","7.32","0.07","0.11","0.04","0.18","0.22","0.91"
"","Charlie Dovorany","C","TC","18.519","19","5","3","2","8","10","25","20.0","0.26","0.16","0.11","0.42","0.53","1.32"
"","Jamie Armstrong","LW","CIL","19.108","27","6","2","2","8","10","30","20.0","0.22","0.07","0.07","0.3","0.37","1.11"
"","Sammy Walker","RW","SC","18.276","17","2","6","1","8","9","33","6.06","0.12","0.35","0.06","0.47","0.53","1.94"
"","Corson Green","RD","SF/CIL","18.536","49","2","6","1","8","9","44","4.55","0.04","0.12","0.02","0.16","0.18","0.9"
"","Matt Miller","RW","SC","18.032","54","5","3","1","8","9","50","10.0","0.09","0.06","0.02","0.15","0.17","0.93"
"","Harrison Roy","C","CR","17.662","52","4","4","1","8","9","79","5.06","0.08","0.08","0.02","0.15","0.17","1.52"
"","Jake Johnson","LD","CR","19.091","51","1","6","11","7","18","48","2.08","0.02","0.12","0.22","0.14","0.35","0.94"
"","Ryan Siedem","LD","USA","16.553","34","3","4","7","7","14","28","10.71","0.09","0.12","0.21","0.21","0.41","0.82"
"","Nate Clurman","RD","TC/DM/SC","19.357","57","1","6","6","7","13","51","1.96","0.02","0.11","0.11","0.12","0.23","0.89"
"","Andrew Petrillo","RD","YNG/CIL","19.513","55","2","5","5","7","12","65","3.08","0.04","0.09","0.09","0.13","0.22","1.18"
"","Brian Chambers","RW","CR","19.146","30","4","3","5","7","12","26","15.38","0.13","0.1","0.17","0.23","0.4","0.87"
"","Danny DiGrande","RW","WAT/GB","20.113","48","4","3","4","7","11","57","7.02","0.08","0.06","0.08","0.15","0.23","1.19"
"","Will Schlagenhauf","LW","MUS","18.927","31","3","4","3","7","10","18","16.67","0.1","0.13","0.1","0.23","0.32","0.58"
"","Samuel Salonen","RW","YNG/SC","17.484","44","5","2","3","7","10","56","8.93","0.11","0.05","0.07","0.16","0.23","1.27"
"","Hayden Rowan","C","SC","18.648","46","2","5","3","7","10","66","3.03","0.04","0.11","0.07","0.15","0.22","1.43"
"","Cam Reagan","D","OMA","20.241","50","3","4","3","7","10","79","3.8","0.06","0.08","0.06","0.14","0.2","1.58"
"","Jake Gingell","LD","YNG","20.592","50","3","4","2","7","9","43","6.98","0.06","0.08","0.04","0.14","0.18","0.86"
"","Gianfranco Cassaro","LD","YNG","18.464","36","2","5","2","7","9","61","3.28","0.06","0.14","0.06","0.19","0.25","1.69"
"","Tony Malinowski","LD","TC/DM","17.92","46","1","6","2","7","9","24","4.17","0.02","0.13","0.04","0.15","0.2","0.52"
"","Brady Smith","RD","CIL","17.082","49","3","4","0","7","7","39","7.69","0.06","0.08","0.0","0.14","0.14","0.8"
"","Nate Knoepke","LD","SC","18.44","38","0","6","8","6","14","49","0.0","0.0","0.16","0.21","0.16","0.37","1.29"
"","Colin Ugbekile","LD","DM","17.977","50","1","5","7","6","13","44","2.27","0.02","0.1","0.14","0.12","0.26","0.88"
"","Blake Evennou","RD","TC/MUS","19.187","55","3","3","7","6","13","59","5.08","0.05","0.05","0.13","0.11","0.24","1.07"
"","Adam Samuelsson","LD","USA","17.235","26","2","4","6","6","12","16","12.5","0.08","0.15","0.23","0.23","0.46","0.62"
"","Sebastian Dirven","LD","CIL","19.234","56","2","4","5","6","11","60","3.33","0.04","0.07","0.09","0.11","0.2","1.07"
"","Hunter Lellig","RD","WAT","18.601","53","4","2","5","6","11","65","6.15","0.08","0.04","0.09","0.11","0.21","1.23"
"","Tyler Weiss","LW","USA","17.701","22","3","3","5","6","11","33","9.09","0.14","0.14","0.23","0.27","0.5","1.5"
"","Hunter Carrick","D","OMA/MUS","17.117","49","3","3","5","6","11","42","7.14","0.06","0.06","0.1","0.12","0.22","0.86"
"","Nico Appendino","D","DM","18.621","23","2","4","4","6","10","18","11.11","0.09","0.17","0.17","0.26","0.43","0.78"
"","William MacKinnon","LD","DM","17.424","57","2","4","4","6","10","56","3.57","0.04","0.07","0.07","0.11","0.18","0.98"
"","Chase McLane","C","TC","17.399","48","1","5","4","6","10","64","1.56","0.02","0.1","0.08","0.12","0.21","1.33"
"","Case McCarthy","RD","USA","16.039","22","2","4","3","6","9","23","8.7","0.09","0.18","0.14","0.27","0.41","1.05"
"","Michael Schumacher","LD","MAD","18.582","56","0","6","3","6","9","55","0.0","0.0","0.11","0.05","0.11","0.16","0.98"
"","Nicholas Granowicz","F","CR","19.469","28","3","3","3","6","9","42","7.14","0.11","0.11","0.11","0.21","0.32","1.5"
"","Liam Dennison","LD","YNG","18.604","45","2","4","2","6","8","31","6.45","0.04","0.09","0.04","0.13","0.18","0.69"
"","Hunter Johannes","LW","CHI/FGO/LIN","19.146","43","3","3","2","6","8","56","5.36","0.07","0.07","0.05","0.14","0.19","1.3"
"","Luke Manning","C","DM","18.426","58","4","2","2","6","8","66","6.06","0.07","0.03","0.03","0.1","0.14","1.14"
"","Roman Kinal","LD","DBQ","19.157","51","1","5","2","6","8","55","1.82","0.02","0.1","0.04","0.12","0.16","1.08"
"","Marko Reifenberger","C","SF/CIL","18.656","54","1","5","2","6","8","71","1.41","0.02","0.09","0.04","0.11","0.15","1.31"
"","Jake Pivonka","C","USA","17.547","25","5","1","2","6","8","52","9.62","0.2","0.04","0.08","0.24","0.32","2.08"
"","TJ Walsh","LW","CR","17.38","32","2","4","2","6","8","29","6.9","0.06","0.12","0.06","0.19","0.25","0.91"
"","Bartek Bison","F","FGO","19.475","35","3","3","1","6","7","43","6.98","0.09","0.09","0.03","0.17","0.2","1.23"
"","Ikya Sushko","RD","CR","19.716","54","1","5","1","6","7","44","2.27","0.02","0.09","0.02","0.11","0.13","0.81"
"","Nolan Sullivan","LW","MUS","18.308","59","3","3","1","6","7","68","4.41","0.05","0.05","0.02","0.1","0.12","1.15"
"","Viktor Bovbel","F","DBQ","19.289","28","4","2","0","6","6","39","10.26","0.14","0.07","0.0","0.21","0.21","1.39"
"","Spencer Stastney","LD","USA","17.698","23","1","4","10","5","15","17","5.88","0.04","0.17","0.43","0.22","0.65","0.74"
"","Michael Underwood","RD","GB","19.193","59","1","4","7","5","12","78","1.28","0.02","0.07","0.12","0.08","0.2","1.32"
"","Atte Tuliara","RD","LIN","19.551","51","3","2","6","5","11","35","8.57","0.06","0.04","0.12","0.1","0.22","0.69"
"","Julian Kislin","RD","YNG","18.314","31","3","2","6","5","11","43","6.98","0.1","0.06","0.19","0.16","0.35","1.39"
"","Mike Koster","D","TC","16.425","21","2","3","5","5","10","18","11.11","0.1","0.14","0.24","0.24","0.48","0.86"
"","Jesper Peltonen","LD","OMA","19.272","56","4","1","4","5","9","56","7.14","0.07","0.02","0.07","0.09","0.16","1.0"
"","Carter Randklev","F","FGO","17.862","14","2","3","4","5","9","28","7.14","0.14","0.21","0.29","0.36","0.64","2.0"
"","Andy Carroll","LD","GB","20.603","42","2","3","3","5","8","46","4.35","0.05","0.07","0.07","0.12","0.19","1.1"
"","Grant Anderson","D","OMA/GB","18.002","46","2","3","3","5","8","47","4.26","0.04","0.07","0.07","0.11","0.17","1.02"
"","Chris Lipe","RD","DM","17.813","55","1","4","2","5","7","29","3.45","0.02","0.07","0.04","0.09","0.13","0.53"
"","Jonathan McDonald","LD","FGO","19.253","47","1","4","2","5","7","44","2.27","0.02","0.09","0.04","0.11","0.15","0.94"
"","Michael Bevilacqua","RD","GB","20.359","59","1","4","2","5","7","68","1.47","0.02","0.07","0.03","0.08","0.12","1.15"
"","Noah Weber","LW","TC","19.582","26","2","3","2","5","7","18","11.11","0.08","0.12","0.08","0.19","0.27","0.69"
