,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,G/GP,A1/GP,A2/GP,P1/GP,P/GP
600,Jeff Rayman,D,TC/VAN,20.058,65,3,1,0,4,4,0.05,0.02,0.0,0.06,0.06
601,Trevor Longo,D,MH,17.397,22,0,3,1,3,4,0.0,0.14,0.05,0.14,0.18
602,Jake Neighbours,LW,EDM,15.466,11,0,3,1,3,4,0.0,0.27,0.09,0.27,0.36
603,Kjell Kjemhus,LW,REG/REG/PG,15.952,31,2,2,0,4,4,0.035,0.035,0.0,0.07,0.07
604,Brian Harris,C,EDM,18.203,54,3,1,0,4,4,0.12,0.01,0.0,0.13,0.13
605,Tylor Ludwar,D,KAM,17.51,72,1,1,2,2,4,0.01,0.01,0.035,0.02,0.055
606,Brandon Machado,C,SAS,16.94,62,1,2,1,3,4,0.01,0.015,0.01,0.025,0.035
607,Mike MacLean,RW,SEA,19.187,38,2,0,2,2,4,0.05,0.0,0.05,0.05,0.11
608,Devan Harrison,D,KAM,17.192,54,1,2,1,3,4,0.01,0.02,0.01,0.03,0.04
609,Cal Babych,RW,EVT/VAN,19.658,15,2,2,0,4,4,0.13,0.13,0.0,0.27,0.27
610,Chantz Petruic,C,MJ,17.265,55,0,1,3,1,4,0.0,0.02,0.05,0.02,0.07
611,Luke Gingras,C,SAS,18.434,15,2,1,0,3,3,0.13,0.07,0.0,0.2,0.2
612,Connor Bowie,C,PG,16.433,10,2,0,1,2,3,0.2,0.0,0.1,0.2,0.3
613,Chance Adrian,LW,PG,17.832,40,1,1,1,2,3,0.03,0.03,0.03,0.05,0.07
614,River Fahey,C,RD,16.321,26,1,2,0,3,3,0.04,0.08,0.0,0.12,0.12
615,Kyle Pow,D,KEL,17.514,36,0,3,0,3,3,0.0,0.08,0.0,0.08,0.08
616,Jack Sander,D,PG,17.375,62,2,1,0,3,3,0.03,0.02,0.0,0.05,0.05
617,Jake Hobson,D,POR/SC/SC,17.628,54,0,2,1,2,3,0.0,0.02,0.01,0.02,0.035
618,Bryan Allbee,D,SEA,19.182,33,0,2,1,2,3,0.0,0.06,0.03,0.06,0.09
