"#","Name","Pos","Team","Age","GP","G","A1","A2","P1","P","G/GP","A1/GP","A2/GP","P1/GP","P/GP"
"","Adam Beckman","C","SPO","17.35","55","25","13","9","38","47","0.45","0.24","0.16","0.69","0.85"
"","Brett Kemp","C","MH/EDM","18.481","57","27","11","9","38","47","0.47","0.19","0.16","0.67","0.82"
"","Milos Roman","C","VAN","18.859","50","22","16","7","38","45","0.44","0.32","0.14","0.76","0.9"
"","Kaid Oliver","LW","VIC","18.642","55","25","13","6","38","44","0.45","0.24","0.11","0.69","0.8"
"","Reese Johnson","RW","RD","20.184","55","21","17","4","38","42","0.38","0.31","0.07","0.69","0.76"
"","Connor Zary","C","KAM","16.972","50","18","19","13","37","50","0.36","0.38","0.26","0.74","1.0"
"","Tyler Preziuso","RW","MH","19.655","58","20","17","9","37","46","0.34","0.29","0.16","0.64","0.79"
"","Nolan Yaremko","LW","TC","20.332","55","21","15","15","36","51","0.38","0.27","0.27","0.65","0.93"
"","Reece Newkirk","C","POR","17.566","58","21","15","13","36","49","0.36","0.26","0.22","0.62","0.84"
"","Jake Gricius","C","POR","18.924","58","22","14","12","36","48","0.38","0.24","0.21","0.62","0.83"
"","Jake Kryski","C","CGY","20.523","41","19","17","10","36","46","0.46","0.41","0.24","0.88","1.12"
"","Bowen Byram","D","VAN","17.257","56","21","14","20","35","55","0.38","0.25","0.36","0.62","0.98"
"","Nolan Volcan","LW","SEA","20.2","48","19","15","12","34","46","0.4","0.31","0.25","0.71","0.96"
"","Jaeger White","RW","KTN","20.452","55","23","11","11","34","45","0.42","0.2","0.2","0.62","0.82"
"","Andrej Kukuca","RW","SEA","18.837","51","21","12","14","33","47","0.41","0.24","0.27","0.65","0.92"
"","Austin Pratt","RW","REG","19.13","57","22","11","12","33","45","0.39","0.19","0.21","0.58","0.79"
"","Eric Florchuk","C","SAS","18.681","58","20","13","10","33","43","0.34","0.22","0.17","0.57","0.74"
"","Ryan Chyzowski","C","MH","18.339","55","19","14","8","33","41","0.35","0.25","0.15","0.6","0.75"
"","Cameron Hausinger","RW","RD/KTN","19.675","54","17","16","6","33","39","0.31","0.3","0.11","0.61","0.72"
"","Calen Addison","D","LET","18.429","56","9","23","22","32","54","0.16","0.41","0.39","0.57","0.96"
"","Quinn Benjafield","RW","EDM","20.616","44","12","20","11","32","43","0.27","0.45","0.25","0.73","0.98"
"","Riley Sawchuk","C","TC","19.497","54","16","16","11","32","43","0.3","0.3","0.2","0.59","0.8"
"","Vladislav Mikhalchuk","RW","PG","18.916","57","21","11","10","32","42","0.37","0.19","0.18","0.56","0.74"
"","Orrin Centazzo","LW","KAM","18.412","54","13","19","9","32","41","0.24","0.35","0.17","0.59","0.76"
"","Jadon Joseph","C","LET/VAN/REG","19.319","56","16","16","6","32","38","0.29","0.29","0.11","0.57","0.68"
"","Luc Smith","C","KAM/SPO","20.652","52","24","7","13","31","44","0.46","0.13","0.25","0.6","0.85"
"","Jake McGrew","RW","SPO","19.554","48","23","8","11","31","42","0.48","0.17","0.23","0.65","0.88"
"","Jeff de Wit","C","RD","20.507","54","24","7","6","31","37","0.44","0.13","0.11","0.57","0.69"
"","Connor Gutenberg","C","BDN","19.031","55","13","17","10","30","40","0.24","0.31","0.18","0.55","0.73"
"","Krystof Hrabik","C","TC","18.976","50","14","16","9","30","39","0.28","0.32","0.18","0.6","0.78"
"","Wyatte Wylie","D","EVT","18.87","57","8","22","8","30","38","0.14","0.39","0.14","0.53","0.67"
"","Carson Focht","C","CGY","18.612","56","16","13","13","29","42","0.29","0.23","0.23","0.52","0.75"
"","Luke Toporowski","LW","SPO","17.427","54","16","13","10","29","39","0.3","0.24","0.19","0.54","0.72"
"","Carter Souch","LW","EDM","16.882","58","9","20","8","29","37","0.16","0.34","0.14","0.5","0.64"
"","Aliaksei Protas","C","PA","17.69","51","10","19","6","29","35","0.2","0.37","0.12","0.57","0.69"
"","Luke Coleman","LW","CGY","20.017","56","18","11","6","29","35","0.32","0.2","0.11","0.52","0.62"
"","Jermaine Loewen","LW","KAM","20.658","46","21","8","4","29","33","0.46","0.17","0.09","0.63","0.72"
"","Ty Smith","D","SPO","18.478","46","6","22","31","28","59","0.13","0.48","0.67","0.61","1.28"
"","Jett Woo","D","MJ","18.136","49","11","17","20","28","48","0.22","0.35","0.41","0.57","0.98"
"","Nolan Kneen","D","KAM/SAS","19.486","48","6","22","16","28","44","0.12","0.46","0.33","0.58","0.92"
"","D-Jay Jerome","RW","VIC","18.861","56","21","7","10","28","38","0.38","0.12","0.18","0.5","0.68"
"","Nolan Reid","D","SPO","20.48","55","13","15","10","28","38","0.24","0.27","0.18","0.51","0.69"
"","Sean Richards","LW","EVT/SEA","19.751","48","15","13","9","28","37","0.31","0.27","0.19","0.58","0.77"
"","Cole Reinhardt","LW","BDN","18.621","55","18","10","7","28","35","0.33","0.18","0.13","0.51","0.64"
"","Kody McDonald","C","PA/VIC","20.441","52","16","12","7","28","35","0.31","0.23","0.13","0.54","0.67"
"","Ethan McIndoe","LW","SPO","19.152","55","13","15","6","28","34","0.24","0.27","0.11","0.51","0.62"
"","Jake Christiansen","D","EVT","19.009","56","12","15","14","27","41","0.21","0.27","0.25","0.48","0.73"
"","Brett Davis","RW","RD/KTN","19.291","52","17","10","14","27","41","0.33","0.19","0.27","0.52","0.79"
"","Seth Jarvis","C","POR","16.619","53","15","12","7","27","34","0.28","0.23","0.13","0.51","0.64"
"","Brandon Cutler","LW","VIC","18.697","56","10","17","5","27","32","0.18","0.3","0.09","0.48","0.57"
"","Ethan Browne","C","PG","17.367","53","8","19","2","27","29","0.15","0.36","0.04","0.51","0.55"
"","Egor Zamula","D","CGY","18.462","50","10","16","18","26","44","0.2","0.32","0.36","0.52","0.88"
"","Lassi Thomson","D","KEL","17.974","56","16","10","10","26","36","0.29","0.18","0.18","0.46","0.64"
"","Josh Maser","LW","PG","19.658","50","22","4","7","26","33","0.44","0.08","0.14","0.52","0.66"
"","Max Patterson","RW","EVT/SC","18.719","54","14","11","12","25","37","0.26","0.2","0.22","0.46","0.69"
"","Brayden Watts","LW","VAN","19.565","52","12","13","8","25","33","0.23","0.25","0.15","0.48","0.63"
"","Andrew Fyten","RW","EDM/SC","19.924","51","15","10","8","25","33","0.29","0.2","0.16","0.49","0.65"
"","Ben McCartney","LW","BDN","17.175","55","18","7","7","25","32","0.33","0.13","0.13","0.45","0.58"
"","Jared Dmytriw","RW","VAN","20.277","54","14","11","7","25","32","0.26","0.2","0.13","0.46","0.59"
"","Sasha Mutala","RW","TC","17.361","52","15","10","6","25","31","0.29","0.19","0.12","0.48","0.6"
"","Alexander Alexeyev","D","RD","18.834","41","8","16","16","24","40","0.2","0.39","0.39","0.59","0.98"
"","Riley Sutter","RW","EVT","18.892","38","14","10","15","24","39","0.37","0.26","0.39","0.63","1.03"
"","Ozzy Wiesblatt","RW","PA","16.521","54","13","11","8","24","32","0.24","0.2","0.15","0.44","0.59"
"","Josh Williams","RW","MH/EDM","17.523","57","12","12","7","24","31","0.21","0.21","0.12","0.42","0.54"
"","Brad Ginnell","C","KTN","18.199","56","12","12","7","24","31","0.21","0.21","0.12","0.43","0.55"
"","Lane Gilliss","LW","POR","18.957","58","13","11","4","24","28","0.22","0.19","0.07","0.41","0.48"
"","Brodi Stuart","LW","KAM","18.516","55","17","7","3","24","27","0.31","0.13","0.05","0.44","0.49"
"","Jared Freadrich","D","POR","20.534","57","10","13","18","23","41","0.18","0.23","0.32","0.4","0.72"
"","Scott Walford","D","VIC","19.675","54","9","14","18","23","41","0.17","0.26","0.33","0.43","0.76"
"","Conner McDonald","D","EDM","19.294","58","17","6","14","23","37","0.29","0.1","0.24","0.4","0.64"
"","Chase Wouters","C","SAS","18.601","58","14","9","10","23","33","0.24","0.16","0.17","0.4","0.57"
"","Gianni Fairbrother","D","EVT","17.958","53","9","14","10","23","33","0.17","0.26","0.19","0.43","0.62"
"","Isaac Johnson","LW","TC","19.642","31","12","11","9","23","32","0.39","0.35","0.29","0.74","1.03"
"","Alec Zawatsky","LW","SC/MJ","18.752","54","14","9","3","23","26","0.26","0.17","0.06","0.43","0.48"
"","Chris Douglas","RW","RD","18.193","55","12","11","3","23","26","0.22","0.2","0.05","0.42","0.47"
"","Brayden Pachal","D","PA","19.064","56","13","9","19","22","41","0.23","0.16","0.34","0.39","0.73"
"","Linus Nassen","D","MH","20.351","52","5","17","19","22","41","0.1","0.33","0.37","0.42","0.79"
"","Max Martin","D","PA","19.143","54","6","16","15","22","37","0.11","0.3","0.28","0.41","0.69"
"","Oleg Zaytsev","C","RD","17.687","53","11","11","13","22","35","0.21","0.21","0.25","0.42","0.66"
"","Cole Moberg","D","PG","17.911","55","11","11","11","22","33","0.2","0.2","0.2","0.4","0.6"
"","Vladimir Alistrov","LW","EDM","17.588","52","9","13","9","22","31","0.17","0.25","0.17","0.42","0.6"
"","Justin Sourdif","C","VAN","16.479","52","17","5","9","22","31","0.33","0.1","0.17","0.42","0.6"
"","Logan Barlage","C","LET","17.673","57","12","10","7","22","29","0.21","0.18","0.12","0.39","0.51"
"","Ridly Greig","C","BDN","16.104","51","11","11","6","22","28","0.22","0.22","0.12","0.43","0.55"
"","Phillip Schultz","C","VIC","18.144","48","13","9","4","22","26","0.27","0.19","0.08","0.46","0.54"
"","Aaron Hyman","D","REG/TC","20.408","56","10","11","23","21","44","0.18","0.2","0.41","0.38","0.79"
"","Igor Martynov","LW","VIC","19.655","49","9","12","14","21","35","0.18","0.24","0.29","0.43","0.71"
"","Tristen Nielsen","C","VAN/CGY","18.56","45","10","11","7","21","28","0.22","0.24","0.16","0.47","0.62"
"","Spencer Moe","C","PA","18.689","56","7","14","6","21","27","0.12","0.25","0.11","0.38","0.48"
"","Linden McCorrister","LW","BDN","20.477","38","13","8","5","21","26","0.34","0.21","0.13","0.55","0.68"
"","Justin Nachbaur","LW","PA","18.533","55","15","6","2","21","23","0.27","0.11","0.04","0.38","0.42"
"","Sergei Sapego","D","PA","18.938","48","8","12","16","20","36","0.17","0.25","0.33","0.42","0.75"
"","Tarun Fizer","RW","VIC","17.542","56","11","9","11","20","31","0.2","0.16","0.2","0.36","0.55"
"","Kyle Crnkovic","LW","SAS","16.594","42","9","11","7","20","27","0.21","0.26","0.17","0.48","0.64"
"","Dillon Hamaliuk","LW","SEA","17.876","31","11","9","6","20","26","0.35","0.29","0.19","0.65","0.84"
"","Martin Bodak","D","KTN","19.798","53","10","10","4","20","24","0.19","0.19","0.08","0.38","0.45"
"","Ty Kolle","C","LET/REG/POR","18.429","53","13","7","3","20","23","0.25","0.13","0.06","0.38","0.43"
"","Zach Wytinck","D","BDN","19.486","53","4","15","17","19","36","0.08","0.28","0.32","0.36","0.68"
"","Martin Lang","RW","KAM","17.0","52","10","9","10","19","29","0.19","0.17","0.19","0.37","0.56"
"","Ethan Regnier","RW","SC","18.018","55","8","11","8","19","27","0.15","0.2","0.15","0.35","0.49"
"","Martin Fasko-Rudas","LW","EVT","18.098","54","11","8","7","19","26","0.2","0.15","0.13","0.35","0.48"
"","Bryan Lockner","RW","MH","18.448","53","9","10","6","19","25","0.17","0.19","0.11","0.36","0.47"
"","Jaydon Dureau","LW","POR","17.651","57","12","7","6","19","25","0.21","0.12","0.11","0.33","0.44"
"","Cole Muir","C","KTN","17.583","56","11","8","5","19","24","0.2","0.14","0.09","0.34","0.43"
"","Josh Tarzwell","C","RD","18.601","55","7","12","4","19","23","0.13","0.22","0.07","0.35","0.42"
"","Sergei Alkhimov","LW","REG","17.525","55","11","8","2","19","21","0.2","0.15","0.04","0.35","0.38"
"","Ryan Schoettler","D","PG","19.143","57","4","14","10","18","28","0.07","0.25","0.18","0.32","0.49"
"","Connor Bouchard","C","TC","17.506","55","7","11","10","18","28","0.13","0.2","0.18","0.33","0.51"
"","Jaret Anderson-Dolan","C","SPO","19.009","20","9","9","7","18","25","0.45","0.45","0.35","0.9","1.25"
"","Jakin Smallwood","C","KTN","17.649","55","10","8","5","18","23","0.18","0.15","0.09","0.33","0.42"
"","Mason Mannek","C","POR","18.432","58","10","8","4","18","22","0.17","0.14","0.07","0.31","0.38"
"","Riley Krane","LW","REG","18.642","52","12","6","2","18","20","0.23","0.12","0.04","0.35","0.38"
"","Joona Kiviniemi","RW","SC","16.745","49","14","4","0","18","18","0.29","0.08","0.0","0.37","0.37"
"","Kristian Roykas Marthinsen","LW","SAS","19.05","52","11","6","8","17","25","0.21","0.12","0.15","0.33","0.48"
"","Jackson Leppard","LW","PG","18.659","56","9","8","8","17","25","0.16","0.14","0.14","0.3","0.45"
"","Elijah Brown","C","MH","18.694","44","11","6","7","17","24","0.25","0.14","0.16","0.39","0.55"
"","Brandon Schuldhaus","D","SAS/MJ","20.559","53","5","12","7","17","24","0.09","0.23","0.13","0.32","0.45"
"","Carson Miller","C","PA/VIC","18.596","58","12","5","6","17","23","0.21","0.09","0.1","0.29","0.4"
"","Matthew Robertson","D","EDM","17.52","42","6","11","6","17","23","0.14","0.26","0.14","0.4","0.55"
"","Dino Kambeitz","RW","VIC","18.64","55","8","9","6","17","23","0.15","0.16","0.11","0.31","0.42"
"","Robbie Holmes","LW","EVT/REG","19.152","39","10","7","4","17","21","0.26","0.18","0.1","0.44","0.54"
"","Owen Hardy","LW","VAN","19.587","56","9","8","4","17","21","0.16","0.14","0.07","0.3","0.38"
"","Carter Chorney","RW","SC/SPO","17.605","49","12","5","4","17","21","0.24","0.1","0.08","0.35","0.43"
"","Liam Kindree","RW","KEL","18.703","41","7","9","12","16","28","0.17","0.22","0.29","0.39","0.68"
"","Dylan Plouffe","D","VAN","19.387","52","5","11","11","16","27","0.1","0.21","0.21","0.31","0.52"
"","Simon Kubicek","D","SEA","16.74","52","9","7","9","16","25","0.17","0.13","0.17","0.31","0.48"
"","Keltie Jeri-Leon","RW","LET/SEA","18.656","53","8","8","7","16","23","0.15","0.15","0.13","0.3","0.43"
"","Kaedan Korczak","D","KEL","17.627","57","3","13","7","16","23","0.05","0.23","0.12","0.28","0.4"
"","Josh Curtis","RW","PG","19.976","57","12","4","7","16","23","0.21","0.07","0.12","0.28","0.4"
"","David Kope","RW","EDM","17.931","54","10","6","4","16","20","0.19","0.11","0.07","0.3","0.37"
"","Michal Kvasnica","LW","POR","18.412","57","8","8","4","16","20","0.14","0.14","0.07","0.28","0.35"
"","Zak Smith","LW","RD","17.309","54","10","6","3","16","19","0.19","0.11","0.06","0.3","0.35"
"","Connor McClennon","LW","KTN","16.225","34","8","8","3","16","19","0.24","0.24","0.09","0.47","0.56"
"","Reece Vitelli","RW","EVT","17.197","55","7","9","2","16","18","0.13","0.16","0.04","0.29","0.33"
"","Cael Zimmerman","C","CGY","17.66","56","7","8","10","15","25","0.12","0.14","0.18","0.27","0.45"
"","Filip Kral","D","SPO","18.905","35","6","9","10","15","25","0.17","0.26","0.29","0.43","0.71"
"","Brendan De Jong","D","POR","20.482","44","6","9","9","15","24","0.14","0.2","0.2","0.34","0.55"
"","Henrik Rybinski","LW","MH/SEA","17.221","36","5","10","8","15","23","0.14","0.28","0.22","0.42","0.64"
"","Joel Lakusta","D","PG","20.228","48","5","10","8","15","23","0.1","0.21","0.17","0.31","0.48"
"","Tristen Robins","C","SAS","16.833","58","7","8","7","15","22","0.12","0.14","0.12","0.26","0.38"
"","Scott Atkinson","C","EDM","18.191","54","9","6","7","15","22","0.17","0.11","0.13","0.28","0.41"
"","Riley McKay","LW","SAS","19.527","58","12","3","6","15","21","0.21","0.05","0.1","0.26","0.36"
"","Jake Neighbours","LW","EDM","16.466","37","8","7","5","15","20","0.22","0.19","0.14","0.41","0.54"
"","Keenan Taphorn","RW","MJ/KTN","18.7","54","13","2","5","15","20","0.24","0.04","0.09","0.28","0.37"
"","Dawson Holt","C","VAN","19.579","44","6","9","4","15","19","0.14","0.2","0.09","0.34","0.43"
"","Josh Prokop","RW","CGY","18.626","53","6","9","4","15","19","0.11","0.17","0.08","0.28","0.36"
"","Duncan Pierce","RW","REG","18.404","44","7","8","3","15","18","0.16","0.18","0.07","0.34","0.41"
"","Tanner Nagel","RW","SC","20.633","52","10","5","3","15","18","0.19","0.1","0.06","0.29","0.35"
"","Andrei Pavlenko","RW","EDM","18.443","48","7","8","2","15","17","0.15","0.17","0.04","0.31","0.35"
"","Jaxan Kaluski","LW","SEA","19.387","57","6","9","2","15","17","0.11","0.16","0.04","0.26","0.3"
"","Noah Boyko","C","LET","16.047","49","7","8","0","15","15","0.14","0.16","0.0","0.31","0.31"
"","Connor Horning","D","SC","17.347","55","6","8","11","14","25","0.11","0.15","0.2","0.25","0.45"
"","Ben King","RW","SC","16.337","39","5","9","9","14","23","0.13","0.23","0.23","0.36","0.59"
"","Clay Hanus","D","POR","17.476","58","5","9","9","14","23","0.09","0.16","0.16","0.24","0.4"
"","Luke Zazula","D","KAM","18.328","50","3","11","7","14","21","0.06","0.22","0.14","0.28","0.42"
"","Schael Higson","D","BDN/KEL","20.348","38","4","10","6","14","20","0.11","0.26","0.16","0.37","0.53"
"","Logan Christensen","C","MH/SAS","19.675","57","6","8","6","14","20","0.11","0.14","0.11","0.25","0.35"
"","Kobe Mohr","LW","KAM","19.297","54","6","8","6","14","20","0.11","0.15","0.11","0.26","0.37"
"","Braden Schneider","D","BDN","16.986","46","8","6","5","14","19","0.17","0.13","0.11","0.3","0.41"
"","Cross Hanas","LW","POR","16.693","57","7","7","5","14","19","0.12","0.12","0.09","0.25","0.33"
"","Matthew Culling","C","SC","17.501","55","8","6","4","14","18","0.15","0.11","0.07","0.25","0.33"
"","Ethan O'Rourke","RW","SC","19.554","54","10","4","4","14","18","0.19","0.07","0.07","0.26","0.33"
"","Alex Morozoff","LW","RD","17.295","55","8","6","1","14","15","0.15","0.11","0.02","0.25","0.27"
"","Samuel Huo","C","SEA/TC","17.175","52","5","9","1","14","15","0.1","0.17","0.02","0.27","0.29"
"","Dawson Barteaux","D","RD","18.675","55","6","7","14","13","27","0.11","0.13","0.25","0.24","0.49"
"","Igor Merezhko","D","LET","20.378","45","4","9","13","13","26","0.09","0.2","0.29","0.29","0.58"
"","Ethan Cap","D","EDM","18.412","57","5","8","9","13","22","0.09","0.14","0.16","0.23","0.39"
"","Liam Keeler","C","EDM","17.662","55","8","5","6","13","19","0.15","0.09","0.11","0.24","0.35"
"","Payton Mount","RW","SEA","16.655","46","5","8","5","13","18","0.11","0.17","0.11","0.28","0.39"
"","Jarret Tyszka","D","SEA","19.505","30","6","7","5","13","18","0.2","0.23","0.17","0.43","0.6"
"","Caiden Daley","C","BDN","18.61","56","5","8","2","13","15","0.09","0.14","0.04","0.23","0.27"
"","Nikita Sedov","D","REG","17.364","57","0","13","2","13","15","0.0","0.23","0.04","0.23","0.26"
"","Jackson Berezowski","RW","EVT","16.589","54","10","3","1","13","14","0.19","0.06","0.02","0.24","0.26"
"","Davis Murray","LW","KTN","18.99","55","9","4","1","13","14","0.16","0.07","0.02","0.24","0.25"
"","Sahvan Khaira","D","EVT","20.701","56","3","9","13","12","25","0.05","0.16","0.23","0.21","0.45"
"","Vladislav Yeryomenko","D","CGY","19.398","51","2","10","13","12","25","0.04","0.2","0.25","0.24","0.49"
"","Dallas Hines","D","VAN/KTN","20.608","51","7","5","8","12","20","0.14","0.1","0.16","0.24","0.39"
"","Sebastian Streu","LW","REG","18.815","29","7","5","7","12","19","0.24","0.17","0.24","0.41","0.66"
"","Dalton Hamaliuk","D","MJ","20.488","53","3","9","6","12","18","0.06","0.17","0.11","0.23","0.34"
"","Montana Onyebuchi","D","KAM","18.522","53","5","7","6","12","18","0.09","0.13","0.11","0.23","0.34"
"","Lukas Svejkovsky","RW","VAN","16.811","55","6","6","6","12","18","0.11","0.11","0.11","0.22","0.33"
"","Tyler Carpendale","LW","SEA","18.637","49","6","6","6","12","18","0.12","0.12","0.12","0.24","0.37"
"","Hayden Ostir","RW","MH","19.195","39","9","3","5","12","17","0.23","0.08","0.13","0.31","0.44"
"","Daniil Stepanov","C","MJ","17.673","55","6","6","3","12","15","0.11","0.11","0.05","0.22","0.27"
"","Tate Popple","C","MJ","18.536","36","10","2","3","12","15","0.28","0.06","0.08","0.33","0.42"
"","Baron Thompson","RW","BDN","19.571","54","6","6","2","12","14","0.11","0.11","0.04","0.22","0.26"
"","Kyrell Sopotyk","LW","KAM","16.846","51","9","3","2","12","14","0.18","0.06","0.04","0.24","0.27"
"","Mark Liwiski","C","KEL","17.104","52","8","4","2","12","14","0.15","0.08","0.04","0.23","0.27"
"","Jake Lee","D","SEA","17.175","56","4","7","13","11","24","0.07","0.12","0.23","0.2","0.43"
"","Quinn Schmiemann","D","KAM","17.148","45","5","6","10","11","21","0.11","0.13","0.22","0.24","0.47"
"","Daemon Hunt","D","MJ","16.337","44","4","7","7","11","18","0.09","0.16","0.16","0.25","0.41"
"","Ryan Peckford","LW","MJ","19.535","20","8","3","5","11","16","0.4","0.15","0.25","0.55","0.8"
"","Jack Finley","C","SPO","16.036","50","8","3","5","11","16","0.16","0.06","0.1","0.22","0.32"
"","Logan Nijhoff","LW","REG","17.23","53","5","6","4","11","15","0.09","0.11","0.08","0.21","0.28"
"","Matej Toman","LW","PG","17.665","55","5","6","4","11","15","0.09","0.11","0.07","0.2","0.27"
"","Luke Ormsby","RW","EVT/MJ","19.584","53","6","5","4","11","15","0.11","0.09","0.08","0.21","0.28"
"","Arshdeep Bains","LW","RD","17.681","50","6","5","3","11","14","0.12","0.1","0.06","0.22","0.28"
"","Blake Stevenson","RW","TC","17.673","31","8","3","3","11","14","0.26","0.1","0.1","0.35","0.45"
"","Zachary Cox","C","LET","19.571","55","10","1","2","11","13","0.18","0.02","0.04","0.2","0.24"
"","Tyson Upper","LW","PG","16.729","56","5","6","2","11","13","0.09","0.11","0.04","0.2","0.23"
"","Emil Malysjev","D","SAS","17.375","56","3","7","8","10","18","0.05","0.12","0.14","0.18","0.32"
"","Rhett Rhinehart","D","PG","16.8","57","3","7","8","10","18","0.05","0.12","0.14","0.18","0.32"
"","Jackson Shepard","LW","LET","18.547","55","3","7","7","10","17","0.05","0.13","0.13","0.18","0.31"
"","Mitchell Prowse","D","VIC","18.27","56","3","7","7","10","17","0.05","0.12","0.12","0.18","0.3"
