,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP,xG,xG/GP,eTOI,eTOI/GP,eG/60,eA1/60,eA2/60,eP1/60,eP/60,eSh/60,exG/60,QoT TOI,QoC TOI,QoT GF%,QoC GF%,GF%Rel,GF%,GF,GA,HD G,HD Sh,HD Sh%,MD G,MD Sh,MD Sh%,LD G,LD Sh,LD Sh%,FOW,FOT,FOW%
490,Landon Quinney,RW,SNB,18.888,62,3,6,4,9,13,46,6.39,0.05,0.09,0.065,0.145,0.21,0.78,2.315,0.08,345.605,11.2,0.27,0.51,0.335,0.78,1.115,4.125,0.41,16.49,17.17,46.495,51.585,-20.53,32.965,18,36,0,5,0.0,0,6,0.0,3,35,8.33,102,229,48.425
491,Tristan DeJong,D,MON,18.478,53,2,7,4,9,13,45,4.44,0.04,0.13,0.08,0.17,0.25,0.85,1.27,0.02,856.35,16.16,0.14,0.49,0.28,0.63,0.91,3.15,0.09,17.08,17.36,51.7,46.7,-7.46,48.1,38,41,0,1,0.0,1,1,100.0,1,43,2.33,0,1,0.0
492,Roddie Sandilands,D,SHA/CAP/SHA,18.756,73,2,8,3,10,13,57,2.565,0.02,0.12,0.03,0.14,0.175,0.765,0.675,0.015,667.465,18.155,0.065,0.405,0.1,0.47,0.575,2.53,0.06,16.18,17.995,39.375,53.695,-15.85,25.48,41,115,1,1,50.0,0,0,0.0,1,56,1.315,0,0,0.0
493,Feliks Morozov,RW,VIC,18.525,45,6,5,2,11,13,53,11.32,0.13,0.11,0.04,0.24,0.29,1.18,4.81,0.11,566.1,12.58,0.64,0.53,0.21,1.17,1.38,5.62,0.51,17.98,17.59,48.76,50.2,1.82,50.0,22,22,3,7,42.86,0,9,0.0,3,37,8.11,0,4,0.0
494,Kevin Lamontagne,RW,BAC,17.189,31,5,6,2,11,13,27,18.52,0.16,0.19,0.06,0.35,0.42,0.87,2.47,0.08,346.23,11.17,0.87,1.04,0.35,1.91,2.25,4.68,0.43,16.96,17.34,47.95,48.5,17.28,66.67,16,8,2,2,100.0,1,2,50.0,2,23,8.7,2,4,50.0
495,Zachary Beauregard,C,CHA,17.566,54,5,3,5,8,13,52,9.62,0.09,0.06,0.09,0.15,0.24,0.96,5.09,0.09,641.12,11.87,0.47,0.28,0.47,0.75,1.22,4.87,0.48,17.25,17.8,50.92,50.77,-8.02,46.15,24,28,2,8,25.0,1,10,10.0,2,34,5.88,179,439,40.77
496,Nicolas Latulippe,D,VIC,20.381,48,3,4,5,7,12,53,5.66,0.06,0.08,0.1,0.15,0.25,1.1,2.07,0.04,963.15,20.07,0.19,0.25,0.31,0.44,0.75,3.3,0.13,17.63,18.08,52.47,53.59,-25.25,34.26,37,71,1,1,100.0,0,0,0.0,2,52,3.85,0,0,0.0
497,Christophe Farmer,RW,CHI,17.607,31,6,5,1,11,12,27,22.22,0.19,0.16,0.03,0.35,0.39,0.87,2.46,0.08,411.04,13.26,0.88,0.73,0.15,1.61,1.75,3.94,0.36,17.33,17.11,49.38,47.01,2.88,51.43,18,17,2,9,22.22,0,3,0.0,4,15,26.67,1,4,25.0
498,Kody Gagnon,D,CHI/MON,19.702,51,3,4,5,7,12,56,5.36,0.06,0.08,0.1,0.14,0.24,1.1,3.15,0.06,948.83,18.6,0.19,0.25,0.32,0.44,0.76,3.54,0.2,17.35,17.42,42.86,53.7,-12.16,36.26,33,58,0,0,0.0,1,2,50.0,2,54,3.7,0,1,0.0
499,Charlie Roy,D,BLB/SHA,19.766,69,3,6,3,9,12,73,2.24,0.025,0.14,0.115,0.16,0.28,1.125,1.14,0.04,689.045,21.6,0.07,0.375,0.305,0.445,0.75,3.125,0.115,16.92,18.36,48.1,54.11,-13.59,38.515,57,77,0,0,0.0,0,0,0.0,3,73,2.24,0,0,0.0
