,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP,xG,xG/GP,HD G,HD Sh,HD Sh%,MD G,MD Sh,MD Sh%,LD G,LD Sh,LD Sh%,FOW,FOT,FOW%
144,Filip Hronek,D,SAG,18.87,59,14,23,23,37,60,235,5.96,0.24,0.39,0.39,0.63,1.02,3.98,17.04,0.29,1,12,8.33,1,10,10.0,12,213,5.63,5,14,35.71
145,Max Jones,LW,LDN/LDN/KGN,38.153000000000006,64,36,20,4,56,60,237,30.35,1.13,0.62,0.12,1.74,1.86,7.42,33.59,1.05,7,35,38.33,8,49,32.99,21,153,27.57,6,12,140.0
146,Adam Timleck,RW,PBO,38.102999999999994,105,28,21,11,49,60,279,21.22,0.56,0.43000000000000005,0.22,1.0,1.21,5.300000000000001,32.58,0.6100000000000001,4,21,42.86,8,63,24.17,16,195,17.72,2,7,58.33
147,Cam Hillis,C,GUE,17.227,60,20,25,14,45,59,105,19.05,0.33,0.42,0.23,0.75,0.98,1.75,12.89,0.21,6,18,33.33,5,24,20.83,9,63,14.29,490,977,50.15
148,Brady Lyle,D,NB/OS/NB,35.557,121,15,24,20,39,59,240,11.91,0.24000000000000002,0.4,0.32999999999999996,0.64,0.97,3.95,14.04,0.23,4,8,100.0,1,9,14.29,10,223,8.68,0,1,0.0
149,Logan Stanley,D,WSR/KIT,37.616,96,19,20,20,39,59,263,13.14,0.36,0.43000000000000005,0.39,0.78,1.18,5.46,13.52,0.27,1,7,16.67,3,7,60.0,15,249,11.36,0,0,0.0
150,Ryan McGregor,C,SAR,36.258,115,27,19,13,46,59,218,24.79,0.48,0.33999999999999997,0.24,0.8200000000000001,1.06,3.83,30.69,0.54,7,41,35.26,9,58,30.18,11,119,17.59,581,1190,92.89
151,Riley Damiani,C,KIT,33.98,126,28,19,12,47,59,267,20.520000000000003,0.44999999999999996,0.3,0.19,0.74,0.9299999999999999,4.22,30.130000000000003,0.47000000000000003,9,45,39.08,6,47,22.38,13,175,15.14,603,1325,90.57
152,Sean Josling,RW,SAR,35.973,128,32,16,11,48,59,261,23.950000000000003,0.49,0.24,0.16999999999999998,0.74,0.91,4.07,28.93,0.45,11,37,58.49,10,42,42.96,11,182,12.07,22,62,68.78999999999999
153,Ryan Mantha,D,NIAG,20.244,65,17,22,19,39,58,317,5.36,0.26,0.34,0.29,0.6,0.89,4.88,18.6,0.29,0,6,0.0,1,14,7.14,16,297,5.39,1,2,50.0
154,Pavel Gogolev,RW,PBO,34.144999999999996,119,35,13,10,48,58,249,23.97,0.54,0.21,0.16999999999999998,0.76,0.9199999999999999,4.02,24.59,0.39999999999999997,8,27,42.11,11,36,57.14,16,186,15.56,7,25,31.82
155,Ben Hawerchuk,LW,BAR,37.945,109,27,18,13,45,58,250,21.700000000000003,0.49,0.33,0.24,0.8200000000000001,1.06,4.6,29.59,0.55,6,42,29.75,5,36,30.0,16,172,18.61,585,1401,84.41
156,Matthew Philip,C,NIAG,35.59,113,27,22,9,49,58,258,20.759999999999998,0.48,0.38,0.16,0.8600000000000001,1.01,4.64,24.72,0.43,6,33,42.849999999999994,12,36,66.66,9,189,9.27,458,884,104.25
157,Michael Cramarossa,LW,HAM,20.313,67,21,19,17,40,57,134,15.67,0.31,0.28,0.25,0.6,0.85,2.0,19.56,0.29,8,27,29.63,4,20,20.0,9,87,10.34,8,19,42.11
158,Cordell James,C,OS/BAR,20.255,64,34,13,10,47,57,176,19.32,0.53,0.2,0.16,0.73,0.89,2.75,26.25,0.41,8,34,23.53,11,34,32.35,15,108,13.89,769,1453,52.92
159,Anthony Stefano,LW,BAR,20.699,62,22,25,9,47,56,174,12.64,0.35,0.4,0.15,0.76,0.9,2.81,19.09,0.31,6,30,20.0,6,24,25.0,10,120,8.33,56,126,44.44
160,Gera Poddubnyi,C,ER,35.541,130,27,15,14,42,56,260,20.25,0.42000000000000004,0.22999999999999998,0.21,0.65,0.8600000000000001,4.0,25.64,0.4,8,34,53.33,5,35,29.71,14,191,13.989999999999998,556,1158,95.33
161,Jeff King,D,SAR,20.561999999999998,66,13,22,21,35,56,127,10.24,0.2,0.33,0.32,0.53,0.85,1.92,9.34,0.14,0,6,0.0,2,11,18.18,11,110,10.0,1,3,33.33
162,Curtis Douglas,C,BAR/WSR/BAR,34.057,119,26,15,14,41,55,208,22.28,0.41000000000000003,0.24000000000000002,0.23,0.64,0.87,3.3200000000000003,25.869999999999997,0.41000000000000003,10,45,35.56,7,32,42.22,9,131,13.6,311,674,92.31
163,Justin Murray,D,BAR,37.134,128,8,23,24,31,55,249,6.2299999999999995,0.13,0.36,0.38,0.49,0.86,3.91,14.52,0.22,1,9,20.0,0,11,0.0,7,229,6.0,4,7,150.0
164,Liam Foudy,C,LDN,34.227000000000004,123,33,13,9,46,55,185,35.78,0.53,0.2,0.14,0.73,0.88,2.94,23.89,0.38,8,42,45.62,7,31,49.4,18,112,29.839999999999996,220,492,89.21000000000001
165,Kyle Pettit,C,ER,20.658,66,26,19,9,45,54,114,22.81,0.39,0.29,0.14,0.68,0.82,1.73,16.03,0.24,9,25,36.0,8,31,25.81,9,58,15.52,677,1142,59.28
166,Kirill Nizhnikov,RW,BAR/BAR/SBY,33.931,106,22,21,11,43,54,282,16.72,0.44000000000000006,0.38,0.18,0.8200000000000001,1.0,5.29,26.54,0.5,4,17,45.0,7,43,32.47,11,222,11.309999999999999,17,53,52.88
167,Jake Henderson,RW,KIT/KIT/NB,40.179,132,19,21,14,40,54,242,15.19,0.28,0.32,0.21000000000000002,0.6,0.8200000000000001,3.65,24.9,0.37,7,34,35.58,1,33,4.76,11,175,12.54,98,260,75.3
168,Jaden Peca,RW,BAR,35.825,120,17,24,13,41,54,149,17.82,0.27,0.39,0.21,0.66,0.85,2.43,15.25,0.25,2,23,11.76,3,23,25.4,12,103,16.9,9,39,50.45
169,Dmitri Samorukov,D,GUE,35.503,129,15,19,20,34,54,262,11.11,0.24,0.29000000000000004,0.31,0.53,0.8500000000000001,4.08,13.32,0.21000000000000002,2,6,120.0,1,10,14.29,12,246,9.540000000000001,1,3,100.0
