,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP
407,Bode Wilde,RD,USA,17.144,59,6,6,10,12,22,113,5.32,0.105,0.115,0.19,0.22,0.41,1.975
408,Evan Wisocky,C,YNG,18.492,57,10,7,5,17,22,92,10.87,0.18,0.12,0.09,0.3,0.39,1.61
409,Brian Hawkinson,RW,TC,19.18,109,9,6,7,15,22,119,7.35,0.08,0.055,0.065,0.135,0.2,1.085
410,Will Zmolek,LD,CR,18.914,102,2,7,13,9,22,66,2.5,0.025,0.075,0.13,0.095,0.235,0.685
411,Veli-Matti Tiuraniemi,LD,DBQ,19.25,53,3,4,15,7,22,50,6.0,0.06,0.08,0.28,0.13,0.42,0.94
412,Greg Printz,LW,CHI/OMA,18.369,40,9,8,5,17,22,88,10.23,0.23,0.2,0.12,0.42,0.55,2.2
413,Matt Steeves,RW,MUS,18.949,58,14,7,1,21,22,125,11.2,0.24,0.12,0.02,0.36,0.38,2.16
414,Alex Vlasic,LD,USA,16.78,51,6,10,6,16,22,58,10.555,0.12,0.21,0.135,0.32,0.455,1.12
415,Gleb Murtazin,F,GB,17.887,38,10,8,4,18,22,70,14.29,0.26,0.21,0.11,0.47,0.58,1.84
416,Caleb Rule,RW,TC/CIL/LIN,19.082,77,13,5,4,18,22,127,8.79,0.165,0.06,0.05,0.23,0.28,1.64
417,Aleksi Peltonen,F,OMA,19.772,44,9,8,5,17,22,43,17.045,0.19,0.17,0.105,0.36,0.465,0.94
418,Ethan Frisch,D,GB,17.379,53,2,9,10,11,21,81,1.585,0.025,0.21,0.175,0.235,0.405,1.455
419,Scott Perunovich,LD,CR,18.078,56,6,10,5,16,21,61,9.84,0.11,0.18,0.09,0.29,0.38,1.09
420,Benito Posa,F,MUS/MUS/CIL/GB,19.164,76,9,7,5,16,21,64,12.885,0.115,0.095,0.065,0.21,0.275,0.845
421,Braden Costello,LW,DM/DM/GB,17.402,99,12,5,4,17,21,115,15.08,0.173,0.087,0.08,0.263,0.34,1.14
422,Johnny McDermott,C,TC,20.337,60,7,11,3,18,21,85,8.24,0.12,0.18,0.05,0.3,0.35,1.42
423,Paul DeNaples,RD,SF,18.49,110,9,9,3,18,21,123,8.625,0.085,0.085,0.025,0.16,0.19,1.115
424,Sam Huff,RW/F,WAT/GB,19.511,64,10,6,5,16,21,96,9.5,0.14,0.095,0.06,0.235,0.29,1.435
425,Michael Karow,LD,YNG,17.744,58,4,9,8,13,21,106,3.77,0.07,0.16,0.14,0.22,0.36,1.83
426,Josh Boyer,C,MAD,18.941,43,9,5,6,14,20,119,7.56,0.21,0.12,0.14,0.33,0.47,2.77
427,Carter Randklev,F,FGO,17.862,36,5,7,8,12,20,70,4.76,0.093,0.133,0.16,0.23,0.387,1.333
428,Jordan Steinmetz,LW,SC,19.68,42,8,8,4,16,20,60,13.33,0.19,0.19,0.1,0.38,0.48,1.43
429,Mike Kesselring,RD,DM/FGO,18.673,47,4,8,8,12,20,85,4.71,0.09,0.17,0.17,0.26,0.43,1.81
430,Colby Ambrosio,C,TC,16.107,40,11,4,5,15,20,80,13.75,0.28,0.1,0.12,0.38,0.5,2.0
431,Christoffer Bjork,F,MUS/FGO,18.916,41,5,7,8,12,20,55,9.09,0.12,0.17,0.2,0.29,0.49,1.34
432,Matthew Thomson,LW,CR/YNG,18.856,56,13,3,4,16,20,115,11.3,0.23,0.05,0.07,0.29,0.36,2.05
433,Blake Bride,F,SF,20.4,43,9,5,6,14,20,58,15.52,0.21,0.12,0.14,0.33,0.47,1.35
434,Michael Maloney,RW,TC/OMA/CIL,19.576,60,8,6,6,14,20,84,9.52,0.13,0.1,0.1,0.23,0.33,1.4
435,Tyler Paquette,RW,DM,16.996,87,9,9,2,18,20,90,9.72,0.105,0.105,0.02,0.205,0.235,1.04
436,Grant Anderson,D,OMA/GB/OMA,18.502,89,6,8,6,14,20,101,5.835,0.065,0.095,0.07,0.16,0.225,1.14
437,Chris Lipe,RD,DM/DBQ,18.312,99,3,8,9,11,20,74,3.945,0.035,0.08,0.1,0.115,0.215,0.775
438,Billy Jerry,RW,MAD,18.818,58,12,5,3,17,20,83,14.46,0.21,0.09,0.05,0.29,0.34,1.43
439,Eetu Selanne,C,MAD,18.842,55,6,8,6,14,20,59,10.17,0.11,0.15,0.11,0.25,0.36,1.07
440,Connor Ford,RW,SC,18.61,52,9,6,5,15,20,78,11.54,0.17,0.12,0.1,0.29,0.38,1.5
441,Tommy Apap,LW,YNG,20.551,58,4,8,8,12,20,73,5.48,0.07,0.14,0.14,0.21,0.34,1.26
442,Grant Gabriele,D,WAT,19.414,34,4,6,10,10,20,58,6.9,0.12,0.18,0.29,0.29,0.59,1.71
443,Grant Meyer,F,FGO,20.488,49,9,6,5,15,20,78,11.54,0.18,0.12,0.1,0.31,0.41,1.59
444,Zach Berzolla,RD,MUS,18.303,59,4,3,13,7,20,86,4.65,0.07,0.05,0.22,0.12,0.34,1.46
445,Max Johnson,F,SF,18.347,58,11,5,4,16,20,106,10.38,0.19,0.09,0.07,0.28,0.34,1.83
