"#","Name","GP","ROW","GF%","GF","GA","GD","SF%","SF","SA","SD","Sh%","Sv%","PDO","xGF%","xGF","xGA","xGD","xSh%","xSv%","xPDO","GFAX","GFAX/30","GSAX","GSAX/30","HD GF","HD GA","HD GD","HD GF%","HD SF","HD SA","HD SD","HD SF%","HD Sh%","HD Sv%","MD GF","MD GA","MD GD","MD GF%","MD SF","MD SA","MD SD","MD SF%","MD Sh%","MD Sv%","LD GF","LD GA","LD GD","LD GF%","LD SF","LD SA","LD SD","LD SF%","LD Sh%","LD Sv%"
"","Sarnia Sting","58","22","48.12","231","249","-18","50.57","1904","1861","43","11.9","0.869","98.8","48.92","175.05","182.75","-7.71","9.22","0.901","99.37","50.954","0.805","-60.247","-0.974","42","69","-27","37.84","217","252","-35","46.27","19.35","0.729","47","59","-12","44.34","262","310","-48","45.8","17.94","0.81","142","121","21","53.99","1425","1299","126","52.31","9.65","0.91"
"","Kitchener Rangers","56","26","47.65","193","212","-19","49.07","1724","1789","-65","10.94","0.886","99.58","48.11","153.84","165.9","-12.06","8.95","0.907","99.62","34.158","0.596","-36.096","-0.609","46","56","-10","45.1","217","237","-20","47.8","20.83","0.767","54","48","6","52.94","266","226","40","54.07","20.3","0.795","93","108","-15","46.27","1241","1326","-85","48.34","7.19","0.923"
"","Windsor Spitfires","58","23","47.59","188","207","-19","49.11","1788","1853","-65","10.46","0.897","100.12","48.03","167.2","180.95","-13.75","9.36","0.901","99.5","19.795","0.332","-9.047","-0.148","45","48","-3","48.39","241","273","-32","46.89","18.67","0.836","42","53","-11","44.21","274","307","-33","47.16","15.33","0.83","101","106","-5","48.79","1273","1273","0","50.0","7.86","0.925"
"","Hamilton Bulldogs","58","24","47.1","211","237","-26","51.14","1910","1825","85","10.72","0.874","98.16","52.5","185.75","168.07","17.68","9.76","0.907","100.51","18.254","0.288","-59.929","-0.99","53","72","-19","42.4","261","233","28","52.83","19.69","0.694","43","48","-5","47.25","247","235","12","51.24","17.41","0.799","115","117","-2","49.57","1402","1357","45","50.82","7.87","0.919"
"","Owen Sound Attack","57","26","46.48","185","213","-28","53.21","2008","1766","242","8.62","0.882","96.86","52.67","171.84","154.41","17.43","8.61","0.912","99.84","0.164","0.002","-52.593","-0.896","36","41","-5","46.75","150","203","-53","42.49","22.45","0.802","38","52","-14","42.22","259","222","37","53.85","14.67","0.773","111","120","-9","48.05","1599","1341","258","54.39","6.36","0.913"
"","Peterborough Petes","56","23","46.45","190","219","-29","48.02","1791","1939","-148","10.16","0.892","99.32","43.17","142.25","187.22","-44.97","7.98","0.903","98.28","38.754","0.652","-21.782","-0.339","36","63","-27","36.36","160","288","-128","35.71","20.51","0.789","42","44","-2","48.84","207","256","-49","44.71","20.29","0.835","112","112","0","50.0","1424","1395","29","50.51","7.54","0.923"
"","North Bay Battalion","56","25","46.04","186","218","-32","44.95","1696","2077","-381","10.76","0.897","100.48","44.57","148.29","184.43","-36.14","8.76","0.911","99.86","33.714","0.598","-28.57","-0.414","49","42","7","53.85","220","227","-7","49.22","22.27","0.819","37","47","-10","44.05","188","263","-75","41.69","19.25","0.824","100","129","-29","43.67","1288","1587","-299","44.8","7.55","0.92"
"","Erie Otters","56","18","43.72","188","242","-54","48.73","1702","1791","-89","10.78","0.868","97.61","48.0","153.2","165.93","-12.74","9.03","0.907","99.73","29.802","0.527","-69.067","-1.161","44","49","-5","47.31","213","195","18","52.21","20.66","0.753","46","65","-19","41.44","275","284","-9","49.19","16.73","0.774","98","128","-30","43.36","1214","1312","-98","48.06","7.69","0.906"
"","Flint Firebirds","59","11","36.38","179","313","-134","43.2","1728","2272","-544","10.15","0.868","96.91","39.59","148.73","226.93","-78.2","8.63","0.899","98.58","26.272","0.457","-72.071","-0.958","46","68","-22","40.35","199","282","-83","41.37","22.73","0.767","42","80","-38","34.43","253","360","-107","41.27","16.27","0.778","91","165","-74","35.55","1276","1630","-354","43.91","6.99","0.905"
"","Kingston Frontenacs","58","12","32.99","127","258","-131","43.25","1555","2040","-485","7.87","0.878","95.7","41.55","126.89","178.53","-51.64","8.19","0.912","99.39","-4.888","-0.095","-68.472","-1.012","22","55","-33","28.57","119","214","-95","35.74","18.49","0.754","24","45","-21","34.78","196","243","-47","44.65","12.24","0.815","81","158","-77","33.89","1240","1583","-343","43.92","6.15","0.905"
