"#","Name","Pos","Team","Age","GP","G","A1","A2","P1","P","G/GP","A1/GP","A2/GP","P1/GP","P/GP"
"","Nick Merkley","C","KEL","19.316","63","23","33","7","56","63","0.37","0.52","0.11","0.89","1.0"
"","Steven  Owre","C","MH","20.236","71","26","29","33","55","88","0.37","0.41","0.46","0.77","1.24"
"","Brandon Hagel","LW","RD","18.054","65","31","24","17","55","72","0.48","0.37","0.26","0.85","1.11"
"","Keanu Yamamoto","RW","SPO","20.304","72","27","28","14","55","69","0.38","0.39","0.19","0.76","0.96"
"","Dominic Zwerger","LW","EVT","20.167","67","28","26","21","54","75","0.42","0.39","0.31","0.81","1.12"
"","Ryley Lindgren","C","LET/SC","20.655","72","27","27","19","54","73","0.38","0.38","0.26","0.75","1.01"
"","Hudson Elynuik","C","SPO","18.927","64","28","26","17","54","71","0.44","0.41","0.27","0.84","1.11"
"","Davis Koch","RW","EDM","18.259","72","21","33","16","54","70","0.29","0.46","0.22","0.75","0.97"
"","Ty Lewis","LW","BDN","18.533","70","30","24","14","54","68","0.43","0.34","0.2","0.77","0.97"
"","Stelio Mattheos","C","BDN","17.257","69","26","28","7","54","61","0.38","0.41","0.1","0.78","0.88"
"","Mark Rassell","LW","MH","19.546","72","36","18","7","54","61","0.5","0.25","0.1","0.75","0.85"
"","Nick Henry","RW","REG","17.202","72","35","18","28","53","81","0.49","0.25","0.39","0.74","1.12"
"","Jansen Harkins","C","PG","19.316","64","21","32","19","53","72","0.33","0.5","0.3","0.83","1.12"
"","Calvin Thurkauf","LW","KEL","19.22","60","33","20","17","53","70","0.55","0.33","0.28","0.88","1.17"
"","Keegan Iverson","RW","POR","20.447","55","26","27","16","53","69","0.47","0.49","0.29","0.96","1.25"
"","Max Gerlach","RW","MH","18.451","72","34","19","9","53","62","0.47","0.26","0.12","0.74","0.86"
"","Noah Gregor","C","MJ","18.136","52","27","26","8","53","61","0.52","0.5","0.15","1.02","1.17"
"","Austin Wagner","LW","REG","19.231","64","30","22","14","52","66","0.47","0.34","0.22","0.81","1.03"
"","Ethan Bear","D","SEA","19.223","67","28","23","19","51","70","0.42","0.34","0.28","0.76","1.04"
"","Radovan Bondra","LW","PG/VAN","19.634","62","32","18","13","50","63","0.52","0.29","0.21","0.81","1.02"
"","Collin Shirley","LW","KAM","20.501","70","28","22","12","50","62","0.4","0.31","0.17","0.71","0.89"
"","Tyler Coulter","LW","BDN","20.014","66","30","19","14","49","63","0.45","0.29","0.21","0.74","0.95"
"","Zach Fischer","RW","MH","19.16","62","34","15","14","49","63","0.55","0.24","0.23","0.79","1.02"
"","Beck Malenstyn","LW","CGY","18.612","70","32","17","7","49","56","0.46","0.24","0.1","0.7","0.8"
"","Garrett Pilon","C","KAM","18.426","67","20","28","17","48","65","0.3","0.42","0.25","0.72","0.97"
"","Dante Hannoun","C","VIC","18.122","72","25","23","16","48","64","0.35","0.32","0.22","0.67","0.89"
"","Evan Polei","LW","RD","20.573","69","32","16","13","48","61","0.46","0.23","0.19","0.7","0.88"
"","Keegan Kolesar","RW","SEA","19.439","54","26","22","12","48","60","0.48","0.41","0.22","0.89","1.11"
"","Vince Loschiavo","C","KTN","18.489","68","29","19","9","48","57","0.43","0.28","0.13","0.71","0.84"
"","Mathew Barzal","C","SEA","19.308","41","10","37","32","47","79","0.24","0.9","0.78","1.15","1.93"
"","Lane Pederson","C","SC","19.116","62","25","22","18","47","65","0.4","0.35","0.29","0.76","1.05"
"","Joachim Blichfeld","LW","POR","18.166","63","28","19","11","47","58","0.44","0.3","0.17","0.75","0.92"
"","John Dahlstrom","RW","MH","19.647","63","30","17","11","47","58","0.48","0.27","0.17","0.75","0.92"
"","Ryan Hughes","C","POR","17.139","70","27","20","10","47","57","0.39","0.29","0.14","0.67","0.81"
"","Jesse Shynkaruk","C","SAS","20.359","58","31","16","9","47","56","0.53","0.28","0.16","0.81","0.97"
"","Matt Alfaro","C","LET/KTN","20.11","61","25","21","14","46","60","0.41","0.34","0.23","0.75","0.98"
"","Kyle Olson","C","TC","17.487","72","20","26","11","46","57","0.28","0.36","0.15","0.64","0.79"
"","Tyler Soy","C","VIC","19.595","44","25","21","9","46","55","0.57","0.48","0.2","1.05","1.25"
"","Colton Kroeker","C","LET/KTN","19.65","70","18","27","14","45","59","0.26","0.39","0.2","0.64","0.84"
"","Colby McAuley","LW","PG","20.302","68","26","19","10","45","55","0.38","0.28","0.15","0.66","0.81"
"","Michael Rasmussen","C","TC","17.416","50","32","13","10","45","55","0.64","0.26","0.2","0.9","1.1"
"","Brennan Menell","D","LET","19.313","70","12","32","25","44","69","0.17","0.46","0.36","0.63","0.99"
"","Jordy Bellerive","C","LET","17.375","70","27","17","12","44","56","0.39","0.24","0.17","0.63","0.8"
"","Lane Zablocki","RW","REG/RD","17.72","64","28","16","11","44","55","0.44","0.25","0.17","0.69","0.86"
"","Trey Fix-Wolansky","RW","EDM","17.309","70","24","20","10","44","54","0.34","0.29","0.14","0.63","0.77"
"","Jakob Stukel","LW","CGY","19.529","70","23","21","9","44","53","0.33","0.3","0.13","0.63","0.76"
"","Egor Babenko","LW","LET","19.609","66","24","19","12","43","55","0.36","0.29","0.18","0.65","0.83"
"","Jordan Topping","LW","TC","19.157","43","28","15","10","43","53","0.65","0.35","0.23","1.0","1.23"
"","Juuso Valimaki","LD","TC","17.944","60","19","23","19","42","61","0.32","0.38","0.32","0.7","1.02"
"","Austin Glover","C","RD/PA","20.668","69","22","20","16","42","58","0.32","0.29","0.23","0.61","0.84"
"","Vladislav Lukin","RW","TC","19.642","63","26","15","18","41","59","0.41","0.24","0.29","0.65","0.94"
"","Glenn Gawdin","C","SC","19.477","52","26","14","18","40","58","0.5","0.27","0.35","0.77","1.12"
"","Ty Ronning","RW","VAN","18.905","68","25","15","13","40","53","0.37","0.22","0.19","0.59","0.78"
"","David Quenneville","D","MH","18.511","49","23","16","21","39","60","0.47","0.33","0.43","0.8","1.22"
"","James Malm","C","VAN","17.227","69","20","19","11","39","50","0.29","0.28","0.16","0.57","0.72"
"","Tomas Soustal","C","KEL","19.582","49","18","21","8","39","47","0.37","0.43","0.16","0.8","0.96"
"","Parker Wotherspoon","LD","TC","19.061","69","10","28","27","38","65","0.14","0.41","0.39","0.55","0.94"
"","Brad Morrison","C","PG","19.697","61","21","17","14","38","52","0.34","0.28","0.23","0.62","0.85"
"","Tanner Jeannot","LW","MJ","19.3","71","19","19","14","38","52","0.27","0.27","0.2","0.54","0.73"
"","Adam  Musil","C","RD","19.475","56","19","19","11","38","49","0.34","0.34","0.2","0.68","0.88"
"","Thomas Foster","C","MJ/VAN","20.469","68","22","16","10","38","48","0.32","0.24","0.15","0.56","0.71"
"","Tanner Kaspick","C","BDN","18.631","49","19","19","7","38","45","0.39","0.39","0.14","0.78","0.92"
"","Clayton Kirichenko","D","MH","20.548","72","12","25","26","37","63","0.17","0.35","0.36","0.51","0.88"
"","Aaron  Irving","D","EVT/EDM","20.537","71","18","19","21","37","58","0.25","0.27","0.3","0.52","0.82"
"","Josh Mahura","D","REG/RD","18.366","73","17","20","16","37","53","0.23","0.27","0.22","0.51","0.73"
"","Simon  Stransky","LW","PA","18.735","57","22","15","11","37","48","0.39","0.26","0.19","0.65","0.84"
"","Sami Moilanen","RW","SEA","17.649","70","21","16","6","37","43","0.3","0.23","0.09","0.53","0.61"
"","Kody McDonald","C","PG","18.443","68","17","19","13","36","49","0.25","0.28","0.19","0.53","0.72"
"","Tyler Benson","LW","VAN","18.506","33","11","25","6","36","42","0.33","0.76","0.18","1.09","1.27"
"","Caleb Jones","D","POR","19.278","63","9","26","27","35","62","0.14","0.41","0.43","0.56","0.98"
"","James Hamblin","C","MH","17.388","69","23","12","12","35","47","0.33","0.17","0.17","0.51","0.68"
"","Jake Kryski","C","KEL/CGY","18.525","71","20","15","9","35","44","0.28","0.21","0.13","0.49","0.62"
"","Curtis Miske","LW","SPO/PA","19.661","61","20","15","9","35","44","0.33","0.25","0.15","0.57","0.72"
"","Carsen Twarynski","LW","KEL/CGY","18.809","64","17","18","8","35","43","0.27","0.28","0.12","0.55","0.67"
"","Quinn Benjafield","RW","KAM","18.618","69","16","19","7","35","42","0.23","0.28","0.1","0.51","0.61"
"","Jared Bethune","LW","PG","19.653","72","22","12","15","34","49","0.31","0.17","0.21","0.47","0.68"
"","Matt Fonteyne","LW","EVT","18.793","64","20","14","11","34","45","0.31","0.22","0.17","0.53","0.7"
"","Scott Eansor","C","SEA","20.701","40","18","16","4","34","38","0.45","0.4","0.1","0.85","0.95"
"","Kevin Davis","D","EVT","19.508","72","9","24","26","33","59","0.12","0.33","0.36","0.46","0.82"
"","Colton Bobyk","D","RD","20.499","70","6","27","17","33","50","0.09","0.39","0.24","0.47","0.71"
"","Filip Ahl","LW","REG","19.261","54","28","5","15","33","48","0.52","0.09","0.28","0.61","0.89"
"","Parker Kelly","RW","PA","17.342","72","21","12","10","33","43","0.29","0.17","0.14","0.46","0.6"
"","Alexander True","C","SEA","19.165","66","25","8","7","33","40","0.38","0.12","0.11","0.5","0.61"
"","Cavin Leth","LW","SEA/PA","20.43","68","23","9","7","32","39","0.34","0.13","0.1","0.47","0.57"
"","Tyler Robertson","LW","EDM","19.957","66","15","17","4","32","36","0.23","0.26","0.06","0.48","0.55"
"","Cal Foote","D","KEL","17.758","71","6","25","25","31","56","0.08","0.35","0.35","0.44","0.79"
"","Dillon Dube","C","KEL","18.158","40","20","11","24","31","55","0.5","0.28","0.6","0.78","1.38"
"","Rodney Southam","RW","KEL","20.102","71","19","12","14","31","45","0.27","0.17","0.2","0.44","0.63"
"","Nolan Volcan","LW","SEA","18.202","64","16","15","13","31","44","0.25","0.23","0.2","0.48","0.69"
"","Parker AuCoin","LW","TC","18.13","72","21","10","12","31","43","0.29","0.14","0.17","0.43","0.6"
"","Donovan Neuls","C","SEA","18.894","72","14","17","10","31","41","0.19","0.24","0.14","0.43","0.57"
"","Jake Leschyshyn","C","REG","17.52","47","17","14","9","31","40","0.36","0.3","0.19","0.66","0.85"
"","Evan Weinger","RW","POR","19.412","62","20","11","7","31","38","0.32","0.18","0.11","0.5","0.61"
"","Nolan Patrick","C","BDN","17.991","33","20","10","16","30","46","0.61","0.3","0.48","0.91","1.39"
"","Nick Chyzowski","C","KAM","19.286","72","16","14","12","30","42","0.22","0.19","0.17","0.42","0.58"
"","Josh Paterson","C","SAS","17.651","72","17","13","7","30","37","0.24","0.18","0.1","0.42","0.51"
"","Artyom Minulin","D","SC","17.958","70","8","21","21","29","50","0.11","0.3","0.3","0.41","0.71"
"","Keoni Texeira","D","POR","19.48","72","12","17","16","29","45","0.17","0.24","0.22","0.4","0.62"
"","Riley Sutter","RW","EVT","16.893","67","20","9","9","29","38","0.3","0.13","0.13","0.43","0.57"
"","Alec Baer","C","LET/VAN","19.059","69","15","14","9","29","38","0.22","0.2","0.13","0.42","0.55"
"","Mason McCarty","RW","SAS","19.636","45","21","8","8","29","37","0.47","0.18","0.18","0.64","0.82"
"","Max Lajoie","D","SC","18.861","68","7","21","14","28","42","0.1","0.31","0.21","0.41","0.62"
"","Jordy Stallard","C","CGY/PA","18.993","40","14","14","9","28","37","0.35","0.35","0.23","0.7","0.93"
"","Reid  Gardiner","RW","KEL","20.658","28","18","10","9","28","37","0.64","0.36","0.32","1.0","1.32"
"","Vladimir Bobylev","C","VIC","19.412","38","9","19","8","28","36","0.24","0.5","0.21","0.74","0.95"
"","Nolan Foote","LW","KEL","15.795","52","19","9","7","28","35","0.37","0.17","0.13","0.54","0.67"
"","Austin Pratt","RW","RD","17.131","70","16","12","6","28","34","0.23","0.17","0.09","0.4","0.49"
"","Brett Davis","RW","LET/KTN","17.293","59","18","10","5","28","33","0.31","0.17","0.08","0.47","0.56"
"","Colton Veloso","RW","POR","19.22","71","18","10","4","28","32","0.25","0.14","0.06","0.39","0.45"
"","Dylan Coghlan","RD","TC","18.571","71","15","12","26","27","53","0.21","0.17","0.37","0.38","0.75"
"","Jake Bean","D","CGY","18.27","43","8","19","18","27","45","0.19","0.44","0.42","0.63","1.05"
"","Regan Nagy","RW","VIC","19.349","69","18","9","14","27","41","0.26","0.13","0.2","0.39","0.59"
"","Mark Kastelic","C","CGY","17.517","67","13","14","8","27","35","0.19","0.21","0.12","0.4","0.52"
"","Noah Juulsen","D","EVT","19.456","49","12","14","8","26","34","0.24","0.29","0.16","0.53","0.69"
"","Michael Farren","RW","SAS","16.408","63","8","18","4","26","30","0.13","0.29","0.06","0.41","0.48"
"","Henri Jokiharju","D","POR","17.249","71","9","16","23","25","48","0.13","0.23","0.32","0.35","0.68"
"","Chase Harrison","D","REG","19.929","67","6","19","23","25","48","0.09","0.28","0.34","0.37","0.72"
"","Cale Fleury","D","KTN","17.824","70","11","14","13","25","38","0.16","0.2","0.19","0.36","0.54"
"","Ryan Bowen","RW","LET/MJ","17.766","58","11","14","11","25","36","0.19","0.24","0.19","0.43","0.62"
"","Yan Khomenko","RW","MJ/PG","18.462","68","15","10","6","25","31","0.22","0.15","0.09","0.37","0.46"
"","Alex Overhardt","C","POR","19.666","68","14","11","6","25","31","0.21","0.16","0.09","0.37","0.46"
"","Eetu Tuulola","RW","EVT","18.5","62","18","7","6","25","31","0.29","0.11","0.1","0.4","0.5"
"","Connor Dewar","C","EVT","17.224","71","14","11","5","25","30","0.2","0.15","0.07","0.35","0.42"
"","Ryan Graham","LW","SC/SAS","20.362","32","13","12","3","25","28","0.41","0.38","0.09","0.78","0.88"
"","Josh Brook","D","MJ","17.249","69","8","16","16","24","40","0.12","0.23","0.23","0.35","0.58"
"","Connor Gutenberg","C","BDN","17.033","66","13","11","13","24","37","0.2","0.17","0.2","0.36","0.56"
"","Andrei Grishakov","LW","CGY","17.334","70","11","13","11","24","35","0.16","0.19","0.16","0.34","0.5"
"","Riley Woods","LW","REG/SPO","18.226","62","12","12","9","24","33","0.19","0.19","0.15","0.39","0.53"
"","Colton Kehler","RW","EDM","19.22","67","18","6","9","24","33","0.27","0.09","0.13","0.36","0.49"
"","Devon Skoleski","C","EVT","19.001","65","14","10","9","24","33","0.22","0.15","0.14","0.37","0.51"
"","Luke Coleman","LW","CGY/PA","18.018","73","14","10","4","24","28","0.19","0.14","0.05","0.33","0.38"
"","Luka Burzan","C","MJ","16.69","66","14","10","3","24","27","0.21","0.15","0.05","0.36","0.41"
"","Chaz Reddekopp","D","VIC","19.705","51","10","13","20","23","43","0.2","0.25","0.39","0.45","0.84"
"","Ryan Peckford","C","VIC","17.536","45","13","10","11","23","34","0.29","0.22","0.24","0.51","0.76"
"","Devante Stephens","D","KEL","19.702","67","13","10","11","23","34","0.19","0.15","0.16","0.34","0.51"
"","Brogan O'Brien","C","PG","19.091","70","9","14","10","23","33","0.13","0.2","0.14","0.33","0.47"
"","Kaden Elder","C","SC","18.503","67","15","8","4","23","27","0.22","0.12","0.06","0.34","0.4"
"","Sergey Zborovskiy","D","REG","19.565","63","7","15","18","22","40","0.11","0.24","0.29","0.35","0.63"
"","Bryton Sayers","D","SAS","20.595","72","7","15","10","22","32","0.1","0.21","0.14","0.31","0.44"
"","Wyatt Sloboshan","C","REG/SPO/SAS","19.642","68","11","11","9","22","31","0.16","0.16","0.13","0.32","0.46"
"","Calvin Spencer","RW","SC/VAN","20.545","66","16","6","7","22","29","0.24","0.09","0.11","0.33","0.44"
"","Kolten Olynek","LW","SAS/PA","20.589","67","14","8","7","22","29","0.21","0.12","0.1","0.33","0.43"
"","Lucas Johansen","D","KEL","18.831","68","6","15","19","21","40","0.09","0.22","0.28","0.31","0.59"
"","Kale Clague","D","BDN","18.281","48","5","16","19","21","40","0.1","0.33","0.4","0.44","0.83"
"","Max Martin","D","PG/PA","17.145","69","8","13","12","21","33","0.12","0.19","0.17","0.3","0.48"
"","Brendan Guhle","D","PG/PA","19.132","47","15","6","12","21","33","0.32","0.13","0.26","0.45","0.7"
"","Josh Curtis","RW","PG","17.977","67","9","12","9","21","30","0.13","0.18","0.13","0.31","0.45"
"","Tim Vanstone","RW","PA","20.51","68","12","9","9","21","30","0.18","0.13","0.13","0.31","0.44"
"","Jared Dmytriw","RW","VIC","18.278","59","15","6","5","21","26","0.25","0.1","0.08","0.36","0.44"
"","Ethan McIndoe","LW","SPO","17.153","67","17","4","5","21","26","0.25","0.06","0.07","0.31","0.39"
"","Calen Addison","D","LET","16.43","63","9","11","13","20","33","0.14","0.17","0.21","0.32","0.52"
"","Jared Freadrich","D","REG/RD","18.536","67","7","13","11","20","31","0.1","0.19","0.16","0.3","0.46"
"","Graham Millar","RW","EVT/EDM","20.679","48","12","8","10","20","30","0.25","0.17","0.21","0.42","0.62"
"","Kyle Topping","C","KEL","16.827","59","14","6","9","20","29","0.24","0.1","0.15","0.34","0.49"
"","Colby Sissons","D","SC","18.667","63","6","14","8","20","28","0.1","0.22","0.13","0.32","0.44"
"","Sean Montgomery","C","PA","18.527","69","13","7","3","20","23","0.19","0.1","0.04","0.29","0.33"
"","Matt Sozanski","D","MJ","20.458","63","3","16","17","19","36","0.05","0.25","0.27","0.3","0.57"
"","Tyson Helgesen","D","SPO","19.267","72","8","11","10","19","29","0.11","0.15","0.14","0.26","0.4"
"","Justin  Almeida","C","MJ/PG","17.607","70","11","8","9","19","28","0.16","0.11","0.13","0.27","0.4"
"","Cole Fonstad","LW","PA","16.395","69","11","8","7","19","26","0.16","0.12","0.1","0.28","0.38"
"","Aaron Boyd","LW","PG","19.313","70","9","10","5","19","24","0.13","0.14","0.07","0.27","0.34"
"","Sean Richards","LW","EVT","17.753","67","8","11","4","19","23","0.12","0.16","0.06","0.28","0.34"
"","Luc Smith","C","REG/KAM","18.653","61","12","7","3","19","22","0.2","0.11","0.05","0.31","0.36"
"","Nolan Yaremko","LW","TC","18.333","67","8","11","3","19","22","0.12","0.16","0.04","0.28","0.33"
"","Turner Ottenbreit","D","SEA","19.187","71","7","11","14","18","32","0.1","0.15","0.2","0.25","0.45"
"","James Shearer","D","BDN","19.231","65","8","10","13","18","31","0.12","0.15","0.2","0.28","0.48"
"","Ryan Jevne","RW","MH","18.44","72","9","9","10","18","28","0.12","0.12","0.14","0.25","0.39"
"","Conner Chaulk","C","SC","19.324","65","10","8","5","18","23","0.15","0.12","0.08","0.28","0.35"
"","Matt Revel","C","POR/KAM","20.389","42","9","9","3","18","21","0.21","0.21","0.07","0.43","0.5"
"","Eli Zummack","C","SPO","16.485","50","9","9","3","18","21","0.18","0.18","0.06","0.36","0.42"
"","Jake Christiansen","D","EVT","17.011","72","6","12","1","18","19","0.08","0.17","0.01","0.25","0.26"
"","Joe Gatenby","D","KAM","19.338","71","7","10","21","17","38","0.1","0.14","0.3","0.24","0.54"
"","Tyler Mrkonjic","RW","CGY","20.559","72","8","9","12","17","29","0.11","0.12","0.17","0.24","0.4"
"","Logan Christensen","C","SAS","17.676","72","11","6","10","17","27","0.15","0.08","0.14","0.24","0.38"
"","Micheal Zipp","D","CGY","19.987","71","4","13","9","17","26","0.06","0.18","0.13","0.24","0.37"
"","Dawson Davidson","D","REG/KAM","18.443","72","5","12","8","17","25","0.07","0.17","0.11","0.24","0.35"
"","Ondrej Vala","D","KAM","18.426","60","10","7","8","17","25","0.17","0.12","0.13","0.28","0.42"
"","Johnny Wesley","RW","VAN","19.332","47","11","6","7","17","24","0.23","0.13","0.15","0.36","0.51"
"","Branden Klatt","LW","MJ/EDM","17.906","71","7","10","5","17","22","0.1","0.14","0.07","0.24","0.31"
"","Carter Folk","LW","VIC","20.553","68","7","10","1","17","18","0.1","0.15","0.01","0.25","0.26"
"","Ty Smith","D","SPO","16.479","66","5","11","19","16","35","0.08","0.17","0.29","0.24","0.53"
"","Austin Strand","D","SEA/RD","19.576","74","9","7","16","16","32","0.12","0.09","0.22","0.22","0.43"
"","Scott Walford","D","VIC","17.676","60","6","10","14","16","30","0.1","0.17","0.23","0.27","0.5"
"","Brady Reagan","D","LET/CGY","19.089","68","7","9","11","16","27","0.1","0.13","0.16","0.24","0.4"
"","Conner McDonald","D","KAM/EDM","17.295","67","8","8","11","16","27","0.12","0.12","0.16","0.24","0.4"
"","Matt Barberis","D","VAN","18.656","48","10","6","9","16","25","0.21","0.12","0.19","0.33","0.52"
"","Ondrej Najman","C","SPO","18.626","65","5","11","9","16","25","0.08","0.17","0.14","0.25","0.38"
"","Brendan De Jong","D","POR","18.484","72","8","8","8","16","24","0.11","0.11","0.11","0.22","0.33"
"","Vojtech Budik","D","PA","18.629","56","1","15","8","16","24","0.02","0.27","0.14","0.29","0.43"
"","Jett Woo","D","MJ","16.137","65","5","11","6","16","22","0.08","0.17","0.09","0.25","0.34"
"","Dylan Plouffe","D","VAN","17.388","61","4","12","5","16","21","0.07","0.2","0.08","0.26","0.34"
"","Chase Wouters","C","SAS","16.603","54","6","10","5","16","21","0.11","0.19","0.09","0.3","0.39"
"","Nic Holowko","LW","KAM/PA","19.223","66","7","9","4","16","20","0.11","0.14","0.06","0.24","0.3"
"","Matthew Wedman","C","SEA","17.312","48","6","10","4","16","20","0.12","0.21","0.08","0.33","0.42"
"","Arthur Miller","LW","SC","19.302","65","7","9","3","16","19","0.11","0.14","0.05","0.25","0.29"
"","Noah Philp","C","KTN","18.043","65","8","8","3","16","19","0.12","0.12","0.05","0.25","0.29"
"","Jordan Henderson","D","MH/SPO/SAS","19.475","61","6","9","12","15","27","0.1","0.15","0.2","0.25","0.44"
"","Vladislav Yeryomenko","D","CGY","17.399","62","6","9","10","15","25","0.1","0.15","0.16","0.24","0.4"
"","Ryan Vandervlis","C","LET","18.317","60","8","7","9","15","24","0.13","0.12","0.15","0.25","0.4"
"","Will Warm","D","EDM","17.402","67","9","6","9","15","24","0.13","0.09","0.13","0.22","0.36"
"","Jack Flaman","C","VAN","19.42","71","15","0","7","15","22","0.21","0.0","0.1","0.21","0.31"
"","Tyler Preziuso","RW","MH","17.657","71","5","10","7","15","22","0.07","0.14","0.1","0.21","0.31"
"","Carson Miller","C","PA","16.597","46","7","8","4","15","19","0.15","0.17","0.09","0.33","0.41"
"","Hayden Ostir","RW","SPO","17.197","52","8","7","4","15","19","0.15","0.13","0.08","0.29","0.37"
"","Dawson Martin","LW","RD/CGY","18.623","67","10","5","2","15","17","0.15","0.07","0.03","0.22","0.25"
"","Maxwell James","LW","TC","19.425","39","8","7","2","15","17","0.21","0.18","0.05","0.38","0.44"
"","Tanner Nagel","RW","LET","18.634","72","10","5","1","15","16","0.14","0.07","0.01","0.21","0.22"
"","Jonathan Smart","D","REG/KEL","17.293","67","3","11","14","14","28","0.04","0.16","0.21","0.21","0.42"
"","Kobe Mohr","LW","EDM","17.298","68","6","8","10","14","24","0.09","0.12","0.15","0.21","0.35"
"","Sam Ruopp","D","PG","20.285","55","4","10","10","14","24","0.07","0.18","0.18","0.25","0.44"
"","Alexander Alexeyev","D","RD","16.835","41","4","10","7","14","21","0.1","0.24","0.17","0.34","0.51"
"","Akash Bains","LW","RD","17.58","65","8","6","7","14","21","0.12","0.09","0.11","0.22","0.32"
"","Brendan Semchuk","RW","VAN","17.566","63","8","6","6","14","20","0.13","0.1","0.1","0.22","0.32"
"","Taylor Ross","LW","SPO","18.568","60","7","7","5","14","19","0.12","0.12","0.08","0.23","0.32"
"","Ethan Price","RW","VIC","19.661","70","8","6","4","14","18","0.11","0.09","0.06","0.2","0.26"
"","Brett Leason","RW","TC","17.38","68","8","6","4","14","18","0.12","0.09","0.06","0.21","0.26"
"","Jermaine Loewen","LW","KAM","18.659","66","6","8","3","14","17","0.09","0.12","0.05","0.21","0.26"
"","Riley Stotts","LW","SC","16.696","52","9","5","2","14","16","0.17","0.1","0.04","0.27","0.31"
"","Jeff de Wit","C","REG/RD","18.508","66","9","5","2","14","16","0.14","0.08","0.03","0.21","0.24"
"","Markson Bechtold","C","SPO/SAS","20.474","33","8","6","1","14","15","0.24","0.18","0.03","0.42","0.45"
