"#","Name","Pos","Team","Age","GP","G","A1","A2","P1","P","Sh","Sh%","G/GP","A1/GP","A2/GP","P1/GP","P/GP","Sh/GP","xG","xG/GP","eTOI","eTOI/GP","eG/60","eA1/60","eA2/60","eP1/60","eP/60","eSh/60","exG/60","QoT TOI","QoC TOI","QoT GF%","QoC GF%","GF%Rel","GF%","GF","GA","HD G","HD Sh","HD Sh%","MD G","MD Sh","MD Sh%","LD G","LD Sh","LD Sh%","FOW","FOT","FOW%"
"","Graham Dickerson","RW","KIT","17.569","30","0","0","0","0","0","16","0.0","0.0","0.0","0.0","0.0","0.0","0.53","1.43","0.05","244.0","8.13","0.0","0.0","0.0","0.0","0.0","3.93","0.35","13.21","13.63","37.82","49.0","-28.61","20.0","3","12","0","3","0.0","0","4","0.0","0","9","0.0","0","2","0.0"
"","Dawson McKinney","C","OSH","16.23","2","0","0","0","0","0","1","0.0","0.0","0.0","0.0","0.0","0.0","0.5","0.01","0.01","15.12","7.56","0.0","0.0","0.0","0.0","0.0","3.97","0.06","12.69","13.88","47.89","56.53","-38.46","0.0","0","1","0","0","0.0","0","0","0.0","0","1","0.0","0","2","0.0"
"","Matthew Papais","LW","GUE","2017.703","4","0","0","0","0","0","5","0.0","0.0","0.0","0.0","0.0","0.0","1.25","0.49","0.12","39.3","9.82","0.0","0.0","0.0","0.0","0.0","7.63","0.75","14.24","13.37","48.91","51.91","-50.0","0.0","0","3","0","1","0.0","0","1","0.0","0","3","0.0","0","0","0.0"
"","Felix-Antoine Tourigny","C","OTT","18.618","5","0","0","0","0","0","1","0.0","0.0","0.0","0.0","0.0","0.0","0.2","0.12","0.02","31.62","6.32","0.0","0.0","0.0","0.0","0.0","1.9","0.22","14.0","12.12","65.49","47.71","-64.0","0.0","0","1","0","0","0.0","0","0","0.0","0","1","0.0","13","34","38.24"
"","Carson Whitson","RW","MISS","16.63","7","0","0","0","0","0","1","0.0","0.0","0.0","0.0","0.0","0.0","0.14","0.05","0.01","44.73","6.39","0.0","0.0","0.0","0.0","0.0","1.34","0.07","12.12","14.6","41.16","57.23","-47.06","0.0","0","1","0","0","0.0","0","0","0.0","0","1","0.0","0","0","0.0"
"","Owen Saye","RW","SAR","16.693","3","0","0","0","0","0","1","0.0","0.0","0.0","0.0","0.0","0.0","0.33","0.07","0.02","25.06","8.35","0.0","0.0","0.0","0.0","0.0","2.39","0.17","13.66","13.2","44.28","49.34","-50.0","0.0","0","3","0","0","0.0","0","0","0.0","0","1","0.0","0","0","0.0"
"","Dylan D'Agostino","LW","HAM","18.15","22","0","0","0","0","0","2","0.0","0.0","0.0","0.0","0.0","0.0","0.09","0.05","0.0","150.4","6.84","0.0","0.0","0.0","0.0","0.0","0.8","0.02","12.89","13.02","38.0","47.59","-27.82","14.29","1","6","0","0","0.0","0","0","0.0","0","2","0.0","2","6","33.33"
"","Kalvyn Watson","RW","SSM","16.337","1","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-50.0","0.0","0","0","0","0","0.0","0","0","0.0","0","0","0.0","0","0","0.0"
"","Nolan DeGurse","LW","SAR","16.937","3","0","0","0","0","0","1","0.0","0.0","0.0","0.0","0.0","0.0","0.33","0.13","0.04","25.12","8.37","0.0","0.0","0.0","0.0","0.0","2.39","0.31","11.16","13.18","39.71","50.06","-46.15","0.0","0","2","0","0","0.0","0","0","0.0","0","1","0.0","8","23","34.78"
"","Noah Sedore","LW","ER","16.556","3","0","0","0","0","0","2","0.0","0.0","0.0","0.0","0.0","0.0","0.67","0.13","0.04","23.74","7.91","0.0","0.0","0.0","0.0","0.0","5.05","0.34","13.39","12.31","44.02","39.07","-47.06","0.0","0","1","0","0","0.0","0","0","0.0","0","2","0.0","0","0","0.0"
"","Mat Hardwick","RW","NB","17.482","1","0","0","0","0","0","1","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.03","0.03","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-60.0","0.0","0","0","0","0","0.0","0","0","0.0","0","1","0.0","0","0","0.0"
