,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP
1168,Colin Larkin,F,BAK,23.828,16,0,0,2,0,2,15,0.0,0.0,0.0,0.12,0.0,0.12,0.94
1169,Tyler Spezia,F,GR,25.274,8,1,1,0,2,2,7,14.29,0.12,0.12,0.0,0.25,0.25,0.88
1170,Matt Hunwick,D,ROC,33.32,2,0,0,1,0,1,3,0.0,0.0,0.0,0.5,0.0,0.5,1.5
1171,Patrick Eaves,RW,SD,34.374,5,0,0,1,0,1,5,0.0,0.0,0.0,0.2,0.0,0.2,1.0
1172,Slater Koekkoek,D,SYR,24.573,5,0,0,1,0,1,10,0.0,0.0,0.0,0.2,0.0,0.2,2.0
1173,Nate Prosser,D,IA,32.359,8,0,0,1,0,1,6,0.0,0.0,0.0,0.12,0.0,0.12,0.75
1174,Derek Sheppard,D,CHA,24.318,6,0,0,1,0,1,9,0.0,0.0,0.0,0.17,0.0,0.17,1.5
1175,Olivier Galipeau,D,PRO,21.372,5,0,0,1,0,1,5,0.0,0.0,0.0,0.2,0.0,0.2,1.0
1176,Darik Angeli,F,TUC,27.929,4,0,0,1,0,1,3,0.0,0.0,0.0,0.25,0.0,0.25,0.75
1177,Ondrej Vala,D,TEX,20.425,9,0,0,1,0,1,7,0.0,0.0,0.0,0.11,0.0,0.11,0.78
1178,Mike Huntebrinker,F,LV,26.205,20,1,0,0,1,1,20,5.0,0.05,0.0,0.0,0.05,0.05,1.0
1179,Oleg Sosunov,D,SYR,20.425,9,1,0,0,1,1,6,16.67,0.11,0.0,0.0,0.11,0.11,0.67
1180,Petrus Palmu,F,UTI,21.167,12,0,1,0,1,1,13,0.0,0.0,0.08,0.0,0.08,0.08,1.08
1181,Nolan Vesey,C,BAK,23.469,6,0,1,0,1,1,6,0.0,0.0,0.17,0.0,0.17,0.17,1.0
1182,Morgan Adams-Moisan,RW,LAV,21.528,5,1,0,0,1,1,3,33.33,0.2,0.0,0.0,0.2,0.2,0.6
1183,Jake Linhart,D,HER,22.662,5,0,1,0,1,1,1,0.0,0.0,0.2,0.0,0.2,0.2,0.2
