"#","Name","Pos","Team","Age","GP","G","A1","A2","P1","P","G/GP","A1/GP","A2/GP","P1/GP","P/GP"
"","Kale Clague","D","BDN/MJ","19.28","54","11","31","29","42","71","0.2","0.57","0.54","0.78","1.31"
"","Kevin Davis","D","EVT","20.507","71","10","32","23","42","65","0.14","0.45","0.32","0.59","0.92"
"","Josh Paterson","C","SAS","18.651","72","31","11","11","42","53","0.43","0.15","0.15","0.58","0.74"
"","Kyle Topping","C","KEL","17.827","66","22","19","24","41","65","0.33","0.29","0.36","0.62","0.98"
"","Joachim Blichfeld","LW","POR","19.165","56","24","17","15","41","56","0.43","0.3","0.27","0.73","1.0"
"","Nolan Yaremko","LW","TC","19.332","70","22","19","15","41","56","0.31","0.27","0.21","0.59","0.8"
"","Jared Legien","LW","REG/VIC","19.037","61","23","17","10","40","50","0.38","0.28","0.16","0.66","0.82"
"","Calen Addison","D","LET","17.43","68","11","28","26","39","65","0.16","0.41","0.38","0.57","0.96"
"","Joe Gatenby","D","KAM","20.337","72","13","26","20","39","59","0.18","0.36","0.28","0.54","0.82"
"","Peyton Krebs","LW","KTN","16.636","67","17","22","15","39","54","0.25","0.33","0.22","0.58","0.81"
"","Riley Sutter","RW","EVT","17.892","68","25","14","14","39","53","0.37","0.21","0.21","0.57","0.78"
"","Josh Maser","LW","PG","18.659","71","28","11","10","39","49","0.39","0.15","0.14","0.55","0.69"
"","Sean Richards","LW","EVT","18.752","64","20","19","10","39","49","0.31","0.3","0.16","0.61","0.77"
"","Dylan Cozens","C","LET","16.597","57","22","16","15","38","53","0.39","0.28","0.26","0.67","0.93"
"","Noah Philp","C","SEA","19.042","71","14","24","12","38","50","0.2","0.34","0.17","0.54","0.7"
"","Dennis Cholowski","D","POR/PG","19.582","69","14","23","29","37","66","0.2","0.33","0.42","0.54","0.96"
"","Ryan Chyzowski","LW","MH","17.339","72","21","16","15","37","52","0.29","0.22","0.21","0.51","0.72"
"","Grayson Pawlenchuk","LW","RD","20.485","72","18","19","15","37","52","0.25","0.26","0.21","0.51","0.72"
"","Ryan Peckford","C","MJ/VIC","18.536","73","20","17","12","37","49","0.27","0.23","0.16","0.51","0.67"
"","Isaac Johnson","LW","TC","18.642","68","17","20","11","37","48","0.25","0.29","0.16","0.54","0.71"
"","Quinn Benjafield","RW","KAM","19.617","69","19","17","11","36","47","0.28","0.25","0.16","0.52","0.68"
"","Ethan McIndoe","LW","SPO","18.152","71","21","15","6","36","42","0.3","0.21","0.08","0.51","0.59"
"","Eric Florchuk","C","VIC/SAS","17.681","71","16","19","14","35","49","0.23","0.27","0.2","0.49","0.69"
"","Emil Oksanen","RW","REG","18.974","58","16","19","13","35","48","0.28","0.33","0.22","0.6","0.83"
"","Colton Veloso","RW","KTN","20.219","71","25","10","12","35","47","0.35","0.14","0.17","0.49","0.66"
"","Matthew Wedman","C","SEA","18.311","72","17","18","12","35","47","0.24","0.25","0.17","0.49","0.65"
"","Mark Kastelic","C","CGY","18.516","71","23","12","10","35","45","0.32","0.17","0.14","0.49","0.63"
"","Linden McCorrister","LW","BDN","19.477","59","20","15","8","35","43","0.34","0.25","0.14","0.59","0.73"
"","Nick Chyzowski","C","KAM","20.285","72","20","14","12","34","46","0.28","0.19","0.17","0.47","0.64"
"","Regan Nagy","RW","VIC/PA","20.348","57","25","9","11","34","45","0.44","0.16","0.19","0.6","0.79"
"","Sami Moilanen","RW","SEA","18.648","50","22","12","11","34","45","0.44","0.24","0.22","0.68","0.9"
"","Tristin Langan","LW","MJ","18.752","70","16","18","8","34","42","0.23","0.26","0.11","0.49","0.6"
"","Gary Haden","C","MH","18.645","70","17","17","8","34","42","0.24","0.24","0.11","0.49","0.6"
"","Tristen Nielsen","C","CGY","17.561","49","19","15","1","34","35","0.39","0.31","0.02","0.69","0.71"
"","Ryan Jevne","RW","MH","19.439","69","20","13","14","33","47","0.29","0.19","0.2","0.48","0.68"
"","Kirby Dach","C","SAS","16.649","52","7","26","13","33","46","0.13","0.5","0.25","0.63","0.88"
"","Riley Stotts","LW","SC/CGY","17.695","69","19","14","11","33","44","0.28","0.2","0.16","0.48","0.64"
"","Luc Smith","C","KAM","19.653","62","21","12","11","33","44","0.34","0.19","0.18","0.53","0.71"
"","Luke Coleman","LW","CGY","19.018","72","15","18","6","33","39","0.21","0.25","0.08","0.46","0.54"
"","Reese Johnson","RW","RD","19.185","72","23","10","6","33","39","0.32","0.14","0.08","0.46","0.54"
"","Bryce Kindopp","RW","EVT","18.256","72","24","9","3","33","36","0.33","0.12","0.04","0.46","0.5"
"","Cameron Hausinger","RW","KTN","18.675","70","21","11","11","32","43","0.3","0.16","0.16","0.46","0.61"
"","Ryan Hughes","C","POR","18.139","46","17","15","9","32","41","0.37","0.33","0.2","0.7","0.89"
"","Jake Leschyshyn","C","REG","18.519","64","18","14","8","32","40","0.28","0.22","0.12","0.5","0.62"
"","Andrei Grishakov","LW","VIC/CGY","18.333","69","19","13","7","32","39","0.28","0.19","0.1","0.46","0.57"
"","Cale Fleury","D","REG/KTN","18.823","68","12","19","20","31","51","0.18","0.28","0.29","0.46","0.75"
"","Igor Martynov","LW","VIC","18.656","63","18","13","12","31","43","0.29","0.21","0.19","0.49","0.68"
"","Brogan O'Brien","C","PG","20.091","52","17","14","10","31","41","0.33","0.27","0.19","0.6","0.79"
"","Parker AuCoin","LW","TC","19.13","61","19","12","9","31","40","0.31","0.2","0.15","0.51","0.66"
"","Chase Wouters","C","SAS","17.602","72","18","12","21","30","51","0.25","0.17","0.29","0.42","0.71"
