"#","Name","Pos","Team","Age","GP","G","A1","A2","P1","P","Sh","Sh%","G/GP","A1/GP","A2/GP","P1/GP","P/GP","Sh/GP","xG","xG/GP","eTOI","eTOI/GP","eG/60","eA1/60","eA2/60","eP1/60","eP/60","eSh/60","exG/60","QoT TOI","QoC TOI","QoT GF%","QoC GF%","GF%Rel","GF%","GF","GA","HD G","HD Sh","HD Sh%","MD G","MD Sh","MD Sh%","LD G","LD Sh","LD Sh%","FOW","FOT","FOW%"
"","Theo Rochette","C","CHI","16.567","47","5","5","7","10","17","58","8.62","0.11","0.11","0.15","0.21","0.36","1.23","4.94","0.11","552.27","11.75","0.54","0.54","0.76","1.09","1.85","6.3","0.54","14.21","13.75","45.16","52.36","5.66","51.11","23","22","1","11","9.09","2","9","22.22","2","38","5.26","246","541","45.47"
"","Cedric Desruisseaux","LW","DRU","18.536","51","9","1","7","10","17","120","7.5","0.18","0.02","0.14","0.2","0.33","2.35","10.45","0.2","559.03","10.96","0.97","0.11","0.75","1.07","1.82","12.88","1.12","13.93","13.71","65.61","44.47","9.33","72.92","35","13","1","16","6.25","5","27","18.52","3","77","3.9","7","16","43.75"
"","Jeremy Fortin","LW","CHI","19.187","53","6","4","6","10","16","60","10.0","0.11","0.08","0.11","0.19","0.3","1.13","3.83","0.07","655.61","12.37","0.55","0.37","0.55","0.92","1.46","5.49","0.35","13.73","14.02","44.12","54.4","-9.98","39.34","24","37","3","8","37.5","3","7","42.86","0","45","0.0","312","530","58.87"
"","Jacob Gaucher","C","VDO","17.52","57","7","3","5","10","15","65","10.77","0.12","0.05","0.09","0.18","0.26","1.14","5.86","0.1","681.24","11.95","0.62","0.26","0.44","0.88","1.32","5.72","0.52","14.74","14.09","37.67","51.63","-2.46","34.33","23","44","3","21","14.29","1","4","25.0","3","40","7.5","483","934","51.71"
"","Yohan Plamondon","LW","SNB","18.618","39","5","5","4","10","14","61","8.2","0.13","0.13","0.1","0.26","0.36","1.56","5.08","0.13","474.67","12.17","0.63","0.63","0.51","1.26","1.77","7.71","0.64","14.31","14.1","34.38","52.08","8.62","36.84","21","36","1","12","8.33","0","10","0.0","4","39","10.26","6","18","33.33"
"","Cole Rafuse","RW","BAT","19.694","54","5","5","3","10","13","67","7.46","0.09","0.09","0.06","0.19","0.24","1.24","5.92","0.11","720.8","13.35","0.42","0.42","0.25","0.83","1.08","5.58","0.49","14.21","14.25","35.98","52.85","-7.37","24.1","20","63","5","15","33.33","0","7","0.0","0","45","0.0","260","488","53.28"
"","William Champagne","C","BAT","17.117","56","7","3","3","10","13","61","11.48","0.12","0.05","0.05","0.18","0.23","1.09","3.5","0.06","623.86","11.14","0.67","0.29","0.29","0.96","1.25","5.87","0.34","13.67","13.71","32.15","52.38","4.23","32.2","19","40","2","7","28.57","3","5","60.0","2","49","4.08","100","266","37.59"
"","Marcel Barinka","C","HAL","17.482","40","6","4","2","10","12","38","15.79","0.15","0.1","0.05","0.25","0.3","0.95","2.69","0.07","423.96","10.6","0.85","0.57","0.28","1.42","1.7","5.38","0.38","14.5","13.8","64.88","44.49","-4.54","60.53","23","15","2","6","33.33","3","8","37.5","1","24","4.17","42","80","52.5"
"","Thomas Ethier","LW","BLB/BAC","18.927","55","8","2","0","10","10","94","8.51","0.15","0.04","0.0","0.18","0.18","1.71","8.95","0.16","632.5","11.5","0.76","0.19","0.0","0.95","0.95","8.92","0.85","13.84","13.71","49.07","50.4","-16.26","45.45","25","30","2","14","14.29","1","17","5.88","5","63","7.94","1","4","25.0"
"","Samuel Naud","RW","ROU","18.916","52","6","3","5","9","14","64","9.38","0.12","0.06","0.1","0.17","0.27","1.23","4.24","0.08","532.48","10.24","0.68","0.34","0.56","1.01","1.58","7.21","0.48","13.14","13.34","68.03","46.79","-8.24","64.29","27","15","3","8","37.5","2","10","20.0","1","46","2.17","1","4","25.0"
"","Isiah Campbell","LW","CAP","17.772","48","6","3","4","9","13","72","8.33","0.12","0.06","0.08","0.19","0.27","1.5","7.58","0.16","536.1","11.17","0.67","0.34","0.45","1.01","1.45","8.06","0.85","14.17","13.78","56.68","49.63","-7.93","51.06","24","23","4","16","25.0","2","13","15.38","0","43","0.0","147","293","50.17"
"","Gabriel Denis","C","SHA","17.857","50","4","5","4","9","13","40","10.0","0.08","0.1","0.08","0.18","0.26","0.8","4.27","0.09","587.49","11.75","0.41","0.51","0.41","0.92","1.33","4.09","0.44","13.97","13.85","32.59","51.48","-10.59","24.64","17","52","1","10","10.0","1","7","14.29","2","23","8.7","287","551","52.09"
"","Kieran Craig","LW","GAT","17.079","49","4","5","2","9","11","54","7.41","0.08","0.1","0.04","0.18","0.22","1.1","4.38","0.09","530.05","10.82","0.45","0.57","0.23","1.02","1.25","6.11","0.5","13.7","13.66","44.08","48.57","-3.9","40.91","18","26","2","8","25.0","2","9","22.22","0","37","0.0","12","23","52.17"
"","William Rouleau","C","ROU","17.681","48","3","6","2","9","11","36","8.33","0.06","0.12","0.04","0.19","0.23","0.75","2.85","0.06","423.91","8.83","0.42","0.85","0.28","1.27","1.56","5.1","0.4","12.7","13.13","65.18","44.55","-7.17","66.67","18","9","1","3","33.33","1","7","14.29","1","26","3.85","59","130","45.38"
"","Max-Antoine Melancon","RW","SHA","17.492","42","4","5","2","9","11","32","12.5","0.1","0.12","0.05","0.21","0.26","0.76","2.53","0.06","457.0","10.88","0.53","0.66","0.26","1.18","1.44","4.2","0.33","13.72","13.84","33.57","54.98","-6.06","27.08","13","35","1","4","25.0","2","6","33.33","1","22","4.55","5","16","31.25"
"","Daniil Berestnev","C","VDO","17.131","56","2","7","1","9","10","79","2.53","0.04","0.12","0.02","0.16","0.18","1.41","5.58","0.1","605.94","10.82","0.2","0.69","0.1","0.89","0.99","7.82","0.55","14.05","13.39","34.29","53.74","-1.72","34.69","17","32","0","7","0.0","2","11","18.18","0","61","0.0","46","147","31.29"
"","Mathieu Samson","RW","BAT/SHA","17.802","34","1","8","1","9","10","30","3.33","0.03","0.24","0.03","0.26","0.29","0.88","1.46","0.04","400.25","11.77","0.15","1.2","0.15","1.35","1.5","4.5","0.22","13.43","13.49","30.55","53.73","1.09","26.09","12","34","0","3","0.0","0","3","0.0","1","24","4.17","0","1","0.0"
"","Anthony Boucher","C","SNB","20.225","33","5","4","0","9","9","63","7.94","0.15","0.12","0.0","0.27","0.27","1.91","5.16","0.16","431.16","13.07","0.7","0.56","0.0","1.25","1.25","8.77","0.72","13.86","13.82","32.06","55.54","-4.85","27.27","15","40","1","8","12.5","2","8","25.0","2","47","4.26","85","168","50.6"
"","Christophe Farmer","RW","CHI","17.607","31","6","3","0","9","9","22","27.27","0.19","0.1","0.0","0.29","0.29","0.71","1.76","0.06","324.85","10.48","1.11","0.55","0.0","1.66","1.66","4.06","0.33","13.58","13.48","44.06","46.44","-9.99","38.46","10","16","2","6","33.33","0","3","0.0","4","13","30.77","1","2","50.0"
"","Metis Roelens","C","GAT","18.152","54","4","4","8","8","16","45","8.89","0.07","0.07","0.15","0.15","0.3","0.83","4.54","0.08","658.38","12.19","0.36","0.36","0.73","0.73","1.46","4.1","0.41","14.5","14.07","47.57","48.22","7.24","50.75","34","33","2","9","22.22","0","6","0.0","2","30","6.67","200","390","51.28"
"","Parker Bowman","LW","RIM","19.187","54","3","5","5","8","13","48","6.25","0.06","0.09","0.09","0.15","0.24","0.89","2.95","0.05","487.72","9.03","0.37","0.62","0.62","0.98","1.6","5.91","0.36","13.47","13.48","62.15","48.13","-4.19","61.29","19","12","2","8","25.0","0","3","0.0","1","37","2.7","78","162","48.15"
"","Alexandre Couture","LW","VDO","18.399","57","5","3","4","8","12","62","8.06","0.09","0.05","0.07","0.14","0.21","1.09","5.63","0.1","696.71","12.22","0.43","0.26","0.34","0.69","1.03","5.34","0.48","14.57","14.03","37.05","53.87","-9.04","29.58","21","50","3","13","23.08","0","10","0.0","2","39","5.13","127","282","45.04"
"","Thomas Caron","LW","QUE","18.046","29","5","3","4","8","12","29","17.24","0.17","0.1","0.14","0.28","0.41","1.0","2.27","0.08","400.18","13.8","0.75","0.45","0.6","1.2","1.8","4.35","0.34","14.82","14.43","49.06","49.9","1.16","45.0","18","22","2","8","25.0","2","5","40.0","1","16","6.25","0","3","0.0"
