"#","Name","Pos","Team","Age","GP","G","A1","A2","P1","P","Sh","Sh%","G/GP","A1/GP","A2/GP","P1/GP","P/GP","Sh/GP"
"","Ryan O'Reilly","F","FGO","18.486","38","11","6","2","17","19","73","15.07","0.29","0.16","0.05","0.45","0.5","1.92"
"","Igor Larionov","F","MUS","20.061","22","7","10","2","17","19","48","14.58","0.32","0.45","0.09","0.77","0.86","2.18"
"","Blais Richartz","LW","TC/OMA","18.229","42","7","10","1","17","18","79","8.86","0.17","0.24","0.02","0.4","0.43","1.88"
"","Lynden Breen","F","CIL","17.293","43","10","6","12","16","28","91","10.99","0.23","0.14","0.28","0.37","0.65","2.12"
"","Matthew DeMelis","F","YNG","19.289","39","9","7","10","16","26","65","13.85","0.23","0.18","0.26","0.41","0.67","1.67"
"","Max Crozier","D","SF","18.407","41","8","8","10","16","26","82","9.76","0.2","0.2","0.24","0.39","0.63","2.0"
"","Ryan Savage","F","MUS/OMA","18.459","41","11","5","8","16","24","108","10.19","0.27","0.12","0.2","0.39","0.59","2.63"
"","John Spetz","RD","CHI","18.79","42","5","11","5","16","21","76","6.58","0.12","0.26","0.12","0.38","0.5","1.81"
"","Cole Caufield","LW","USA","17.618","17","12","4","5","16","21","71","16.9","0.71","0.24","0.29","0.94","1.24","4.18"
"","Trevor Zegras","C","USA","17.49","16","6","10","5","16","21","39","15.38","0.38","0.62","0.31","1.0","1.31","2.44"
"","Jordan Steinmetz","LW","SC","19.68","42","8","8","4","16","20","60","13.33","0.19","0.19","0.1","0.38","0.48","1.43"
"","Josh Lopina","C","LIN","17.577","45","10","6","3","16","19","70","14.29","0.22","0.13","0.07","0.36","0.42","1.56"
"","Cole Quisenberry","F","CHI","19.486","43","9","7","3","16","19","56","16.07","0.21","0.16","0.07","0.37","0.44","1.3"
"","Tristan Ashbrook","RW","LIN","20.167","34","12","4","3","16","19","83","14.46","0.35","0.12","0.09","0.47","0.56","2.44"
"","Robert Herrman","F","GB","19.502","34","10","5","6","15","21","78","12.82","0.29","0.15","0.18","0.44","0.62","2.29"
"","Colby Ambrosio","C","TC","16.107","40","11","4","5","15","20","80","13.75","0.28","0.1","0.12","0.38","0.5","2.0"
"","Aleksi Peltonen","F","OMA","20.271","24","8","7","5","15","20","32","25.0","0.33","0.29","0.21","0.62","0.83","1.33"
"","Caleb Rule","RW","LIN","19.582","40","12","3","3","15","18","77","15.58","0.3","0.07","0.07","0.38","0.45","1.93"
"","Nicholas Zabaneh","F","GB","17.471","39","10","5","3","15","18","73","13.7","0.26","0.13","0.08","0.38","0.46","1.87"
"","Alex Gaffney","F","MUS","16.225","40","12","3","2","15","17","50","24.0","0.3","0.07","0.05","0.38","0.42","1.25"
"","Craig Needham","F","YNG","19.461","43","11","4","1","15","16","46","23.91","0.26","0.09","0.02","0.35","0.37","1.07"
"","Ryan Sullivan","F","SF","18.525","43","8","6","9","14","23","66","12.12","0.19","0.14","0.21","0.33","0.53","1.53"
"","Josh Boyer","C","MAD","18.941","43","9","5","6","14","20","119","7.56","0.21","0.12","0.14","0.33","0.47","2.77"
"","Blake Bride","F","SF","20.4","43","9","5","6","14","20","58","15.52","0.21","0.12","0.14","0.33","0.47","1.35"
"","Austin Heidemann","F","GB","19.22","41","12","2","5","14","19","89","13.48","0.29","0.05","0.12","0.34","0.46","2.17"
"","Michael Mancinelli","C","DM/FGO","17.216","41","8","6","4","14","18","63","12.7","0.2","0.15","0.1","0.34","0.44","1.54"
"","Sam Renlund","LW","DM","18.448","38","9","5","4","14","18","60","15.0","0.24","0.13","0.11","0.37","0.47","1.58"
"","Jagger Joshua","F","MUS","19.467","39","7","7","4","14","18","57","12.28","0.18","0.18","0.1","0.36","0.46","1.46"
"","Ryan Drkulec","F","WAT","17.98","43","8","6","4","14","18","62","12.9","0.19","0.14","0.09","0.33","0.42","1.44"
"","Tyler Spott","LD","GB","18.245","43","4","10","3","14","17","79","5.06","0.09","0.23","0.07","0.33","0.4","1.84"
"","Tyler Carpenter","C","OMA","18.051","43","9","5","3","14","17","73","12.33","0.21","0.12","0.07","0.33","0.4","1.7"
"","Tyler Gratton","F","CIL/FGO","19.111","39","10","4","2","14","16","62","16.13","0.26","0.1","0.05","0.36","0.41","1.59"
"","Paul Maust","F","GB","20.23","35","11","3","2","14","16","71","15.49","0.31","0.09","0.06","0.4","0.46","2.03"
"","Ian Malcolmson","RW","SC","19.628","42","7","7","2","14","16","67","10.45","0.17","0.17","0.05","0.33","0.38","1.6"
"","Colton Kalezic","C","TC","19.154","35","10","4","1","14","15","34","29.41","0.29","0.11","0.03","0.4","0.43","0.97"
"","Noah Prokop","F","GB","18.667","42","10","4","1","14","15","78","12.82","0.24","0.1","0.02","0.33","0.36","1.86"
"","James McIsaac","F","MUS","19.382","39","7","7","1","14","15","52","13.46","0.18","0.18","0.03","0.36","0.38","1.33"
"","Derek Contessa","RW","DBQ","19.538","44","8","6","1","14","15","89","8.99","0.18","0.14","0.02","0.32","0.34","2.02"
"","J.D. Greenway","LD","DBQ","20.386","41","5","8","12","13","25","98","5.1","0.12","0.2","0.29","0.32","0.61","2.39"
"","Luke Johnson","D","SC","19.688","24","2","11","9","13","22","26","7.69","0.08","0.46","0.38","0.54","0.92","1.08"
"","Keaton Pehrson","D","TC","19.765","45","4","9","8","13","21","85","4.71","0.09","0.2","0.18","0.29","0.47","1.89"
"","Jack Hughes","C","USA","17.339","13","2","11","7","13","20","57","3.51","0.15","0.85","0.54","1.0","1.54","4.38"
"","Xander Lamppa","F","WAT","18.377","41","5","8","6","13","19","55","9.09","0.12","0.2","0.15","0.32","0.46","1.34"
"","Matthew Barnaby","F","YNG/CHI","20.373","39","6","7","5","13","18","41","14.63","0.15","0.18","0.13","0.33","0.46","1.05"
"","Devlin McCabe","RW","LIN/SC","18.256","45","7","6","5","13","18","73","9.59","0.16","0.13","0.11","0.29","0.4","1.62"
"","Christian Sarlo","F","CHI","17.213","31","10","3","5","13","18","48","20.83","0.32","0.1","0.16","0.42","0.58","1.55"
"","Harrison Roy","C","CR/OMA","18.662","39","8","5","3","13","16","73","10.96","0.21","0.13","0.08","0.33","0.41","1.87"
"","Liam Robertson","F","YNG","18.339","42","7","6","3","13","16","51","13.73","0.17","0.14","0.07","0.31","0.38","1.21"
"","Logan WIll","F","OMA","18.254","38","6","7","3","13","16","49","12.24","0.16","0.18","0.08","0.34","0.42","1.29"
"","Benito Posa","F","MUS/CIL/GB","19.664","38","7","6","2","13","15","41","17.07","0.18","0.16","0.05","0.34","0.39","1.08"
"","Jan Kern","C","OMA","19.138","31","6","7","2","13","15","34","17.65","0.19","0.23","0.06","0.42","0.48","1.1"
"","Michael Colella","F","TC/LIN/OMA","19.261","38","6","7","2","13","15","56","10.71","0.16","0.18","0.05","0.34","0.39","1.47"
"","Tyler Paquette","RW","DM","17.495","43","6","7","1","13","14","54","11.11","0.14","0.16","0.02","0.3","0.33","1.26"
"","Benji Eckerle","LW","TC","18.976","40","5","8","1","13","14","58","8.62","0.12","0.2","0.03","0.33","0.35","1.45"
"","Matthew Barbolini","C","LIN","18.289","39","5","8","1","13","14","51","9.8","0.13","0.21","0.03","0.33","0.36","1.31"
"","Mike Kesselring","RD","DM/FGO","18.673","47","4","8","8","12","20","85","4.71","0.09","0.17","0.17","0.26","0.43","1.81"
"","Liam Dennison","D","YNG","19.603","41","3","9","8","12","20","64","4.69","0.07","0.22","0.2","0.29","0.49","1.56"
"","Christoffer Bjork","F","MUS/FGO","18.916","41","5","7","8","12","20","55","9.09","0.12","0.17","0.2","0.29","0.49","1.34"
"","Khristian Acosta","RW","TC","20.365","41","6","6","7","12","19","59","10.17","0.15","0.15","0.17","0.29","0.46","1.44"
"","Hunter Skinner","D","MUS/LIN","17.38","37","4","8","6","12","18","51","7.84","0.11","0.22","0.16","0.32","0.49","1.38"
"","Kaden Bohlsen","C","DM/FGO","17.679","39","9","3","5","12","17","61","14.75","0.23","0.08","0.13","0.31","0.44","1.56"
"","Nick Leitner","D","GB","20.417","42","3","9","5","12","17","69","4.35","0.07","0.21","0.12","0.29","0.4","1.64"
"","Dalton Messina","F","YNG","20.466","38","5","7","4","12","16","43","11.63","0.13","0.18","0.11","0.32","0.42","1.13"
"","Verners Egle","LW","DBQ","19.291","43","8","4","4","12","16","75","10.67","0.19","0.09","0.09","0.28","0.37","1.74"
"","Ryan Johnson","D","SF","17.145","35","5","7","3","12","15","41","12.2","0.14","0.2","0.09","0.34","0.43","1.17"
"","Thomas Bordeleau","F","USA","17.539","21","9","3","3","12","15","60","15.0","0.43","0.14","0.14","0.57","0.71","2.86"
"","Ian Murphy","RW","TC","19.445","45","5","7","2","12","14","62","8.06","0.11","0.16","0.04","0.27","0.31","1.38"
"","Michael Gildon","LW","USA","17.235","15","8","4","2","12","14","24","33.33","0.53","0.27","0.13","0.8","0.93","1.6"
"","Alex Turcotte","C","USA","17.55","8","6","6","2","12","14","22","27.27","0.75","0.75","0.25","1.5","1.75","2.75"
"","Lucas Herrmann","C","MAD","18.122","34","7","5","1","12","13","78","8.97","0.21","0.15","0.03","0.35","0.38","2.29"
"","Hank Sorensen","D","WAT","20.28","40","6","5","14","11","25","99","6.06","0.15","0.12","0.35","0.28","0.62","2.48"
"","Jack O'Leary","RW","CR","18.467","35","6","5","8","11","19","44","13.64","0.17","0.14","0.23","0.31","0.54","1.26"
"","Brendan Budy","F","TC","18.276","19","6","5","8","11","19","44","13.64","0.32","0.26","0.42","0.58","1.0","2.32"
"","Logan Britt","D","LIN","19.595","44","4","7","5","11","16","55","7.27","0.09","0.16","0.11","0.25","0.36","1.25"
"","Chase McLane","C","TC","18.399","23","5","6","5","11","16","35","14.29","0.22","0.26","0.22","0.48","0.7","1.52"
"","Albin Nilsson","C","SC","19.992","42","5","6","4","11","15","59","8.47","0.12","0.14","0.1","0.26","0.36","1.4"
"","Chad Hillebrand","F","CIL","19.647","36","7","4","3","11","14","44","15.91","0.19","0.11","0.08","0.31","0.39","1.22"
"","Chris Giroday","D","GB","17.755","38","8","3","3","11","14","65","12.31","0.21","0.08","0.08","0.29","0.37","1.71"
"","Kevin Lombardi","RW","SC","20.093","39","6","5","2","11","13","48","12.5","0.15","0.13","0.05","0.28","0.33","1.23"
"","Kyle Haskins","F","WAT","18.579","41","7","4","2","11","13","77","9.09","0.17","0.1","0.05","0.27","0.32","1.88"
"","Carson Bantle","LW","MAD","16.646","43","7","4","1","11","12","63","11.11","0.16","0.09","0.02","0.26","0.28","1.47"
"","Jake Crespi","RW","TC","19.765","18","8","3","1","11","12","46","17.39","0.44","0.17","0.06","0.61","0.67","2.56"
"","Josh Groll","F","CHI","17.101","37","6","5","0","11","11","52","11.54","0.16","0.14","0.0","0.3","0.3","1.41"
"","Brett Berard","F","USA","16.597","21","5","6","0","11","11","37","13.51","0.24","0.29","0.0","0.52","0.52","1.76"
"","Mason Palmer","D","WAT","19.82","45","2","8","11","10","21","63","3.17","0.04","0.18","0.24","0.22","0.47","1.4"
"","Sebastian Dirven","D","CIL","20.233","42","6","4","7","10","17","57","10.53","0.14","0.1","0.17","0.24","0.4","1.36"
"","Oliver MacDonald","F","MUS","17.854","36","5","5","6","10","16","53","9.43","0.14","0.14","0.17","0.28","0.44","1.47"
"","Chaz Smedsrud","LW","MAD","20.282","43","7","3","5","10","15","76","9.21","0.16","0.07","0.12","0.23","0.35","1.77"
"","Cam York","LD","USA","17.375","17","3","7","5","10","15","39","7.69","0.18","0.41","0.29","0.59","0.88","2.29"
"","Kristof Papp","LW","MAD","17.219","39","5","5","4","10","14","64","7.81","0.13","0.13","0.1","0.26","0.36","1.64"
"","Alex Mella","LW","MAD","19.565","42","7","3","4","10","14","75","9.33","0.17","0.07","0.1","0.24","0.33","1.79"
"","Kyler Grundy","F","GB","18.407","41","3","7","4","10","14","43","6.98","0.07","0.17","0.1","0.24","0.34","1.05"
"","Jordan Power","D","LIN","17.257","41","2","8","3","10","13","65","3.08","0.05","0.2","0.07","0.24","0.32","1.59"
"","Steve Agrogianis","F","LIN","19.688","41","2","8","3","10","13","36","5.56","0.05","0.2","0.07","0.24","0.32","0.88"
"","Ryder Rolston","C","USA","16.874","17","7","3","2","10","12","40","17.5","0.41","0.18","0.12","0.59","0.71","2.35"
"","Brian Silver","D","OMA","17.857","43","6","4","1","10","11","51","11.76","0.14","0.09","0.02","0.23","0.26","1.19"
"","Justin Lee","D","LIN/FGO","18.506","43","4","5","9","9","18","95","4.21","0.09","0.12","0.21","0.21","0.42","2.21"
"","Owen Power","D","CHI","15.814","39","7","2","6","9","15","48","14.58","0.18","0.05","0.15","0.23","0.38","1.23"
"","Travis Mitchell","D","OMA","18.807","39","3","6","6","9","15","90","3.33","0.08","0.15","0.15","0.23","0.38","2.31"
"","AJ Drobot","F","FGO","20.422","41","6","3","4","9","13","54","11.11","0.15","0.07","0.1","0.22","0.32","1.32"
"","Henry Thrun","LD","USA","17.512","17","4","5","4","9","13","18","22.22","0.24","0.29","0.24","0.53","0.76","1.06"
"","Patrick Guzzo","F","WAT","16.8","42","3","6","3","9","12","40","7.5","0.07","0.14","0.07","0.21","0.29","0.95"
"","John Beecher","LW","USA","17.446","16","4","5","3","9","12","26","15.38","0.25","0.31","0.19","0.56","0.75","1.62"
"","Grant Anderson","D","OMA","19.001","43","4","5","3","9","12","54","7.41","0.09","0.12","0.07","0.21","0.28","1.26"
"","Jonny Russell","RW","DM","20.622","25","5","4","2","9","11","45","11.11","0.2","0.16","0.08","0.36","0.44","1.8"
"","Noah Weber","LW","MAD","20.581","42","6","3","2","9","11","86","6.98","0.14","0.07","0.05","0.21","0.26","2.05"
"","Joseph Dunlap","F","CIL","18.793","42","7","2","2","9","11","82","8.54","0.17","0.05","0.05","0.21","0.26","1.95"
"","Luke Mylymok","F","GB","16.961","43","3","6","2","9","11","50","6.0","0.07","0.14","0.05","0.21","0.26","1.16"
"","Matthew Beniers","F","USA","15.861","21","5","4","2","9","11","48","10.42","0.24","0.19","0.1","0.43","0.52","2.29"
"","Ross Mitton","RW","LIN/FGO","18.196","42","6","3","1","9","10","57","10.53","0.14","0.07","0.02","0.21","0.24","1.36"
"","Jordan Tonelli","C","CR","18.21","37","2","7","1","9","10","34","5.88","0.05","0.19","0.03","0.24","0.27","0.92"
"","Sean Farrell","LW","USA","16.868","17","5","4","1","9","10","22","22.73","0.29","0.24","0.06","0.53","0.59","1.29"
"","Ty Smilanic","F","USA","16.652","20","5","4","1","9","10","58","8.62","0.25","0.2","0.05","0.45","0.5","2.9"
"","Solag Bakich","F","WAT","20.685","19","8","1","1","9","10","34","23.53","0.42","0.05","0.05","0.47","0.53","1.79"
"","Judd Caulfield","RW","USA","17.492","17","2","6","10","8","18","16","12.5","0.12","0.35","0.59","0.47","1.06","0.94"
"","James Marooney","D","WAT","19.083","45","1","7","9","8","17","81","1.23","0.02","0.16","0.2","0.18","0.38","1.8"
"","Ryan Carmichael","D","LIN/FGO","19.538","42","4","4","5","8","13","57","7.02","0.1","0.1","0.12","0.19","0.31","1.36"
"","Ethan Szmagaj","D","WAT","16.991","45","1","7","5","8","13","36","2.78","0.02","0.16","0.11","0.18","0.29","0.8"
"","Jacob Semik","LD","DBQ","18.516","41","1","7","5","8","13","70","1.43","0.02","0.17","0.12","0.2","0.32","1.71"
"","Max Sasson","F","CR","18.026","43","6","2","4","8","12","45","13.33","0.14","0.05","0.09","0.19","0.28","1.05"
"","Samuli Niinisaari","D","LIN","20.096","45","4","4","4","8","12","57","7.02","0.09","0.09","0.09","0.18","0.27","1.27"
"","Cam McDonald","D","MUS","16.542","39","3","5","4","8","12","47","6.38","0.08","0.13","0.1","0.21","0.31","1.21"
"","Ruben Rafkin","D","TC","16.685","31","2","6","4","8","12","27","7.41","0.06","0.19","0.13","0.26","0.39","0.87"
"","Connor Caponi","F","WAT","18.489","41","8","0","4","8","12","66","12.12","0.2","0.0","0.1","0.2","0.29","1.61"
"","Kyle Looft","LD","CR","20.219","28","1","7","4","8","12","43","2.33","0.04","0.25","0.14","0.29","0.43","1.54"
"","Andrei Bakanov","LW","CR","16.301","36","3","5","3","8","11","34","8.82","0.08","0.14","0.08","0.22","0.31","0.94"
"","Mitchell Miller","RD","CR","16.737","35","3","5","3","8","11","62","4.84","0.09","0.14","0.09","0.23","0.31","1.77"
