"#","Name","Pos","Team","Age","GP","G","A1","A2","P1","P","Sh","Sh%","G/GP","A1/GP","A2/GP","P1/GP","P/GP","Sh/GP","xG","xG/GP","HD G","HD Sh","HD Sh%","MD G","MD Sh","MD Sh%","LD G","LD Sh","LD Sh%","FOW","FOT","FOW%"
"","Vincent Tremblay-Lapalme","RW","CHI","18.506","64","0","0","0","0","0","2","0.0","0.0","0.0","0.0","0.0","0.0","0.03","0.18","0.0","0","0","0.0","0","0","0.0","0","2","0.0","2","5","40.0"
"","Dallas Maurovic","C","CHI","18.38","4","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0.0","0","0","0.0","0","0","0.0","0","0","0.0"
"","Zachary Lavigne","LW","CHI","18.848","44","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0.0","0","0","0.0","0","0","0.0","1","3","33.33"
"","Alexis Gaboury-Potvin","RW","CHI","18.519","28","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0.0","0","0","0.0","0","0","0.0","0","0","0.0"
"","Felix-Antoine Marcotty","RW","CHI","16.745","59","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0.0","0","0","0.0","0","0","0.0","1","3","33.33"
"","Olivier Mathieu","LW","QUE","17.555","66","0","0","0","0","0","1","0.0","0.0","0.0","0.0","0.0","0.0","0.02","0.13","0.0","0","0","0.0","0","1","0.0","0","0","0.0","0","0","0.0"
"","Austin Eastman","LW","QUE","20.362","18","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0.0","0","0","0.0","0","0","0.0","0","0","0.0"
"","Olivier Garneau","LW","QUE","19.154","67","0","0","0","0","0","1","0.0","0.0","0.0","0.0","0.0","0.0","0.01","0.02","0.0","0","0","0.0","0","0","0.0","0","1","0.0","5","7","71.43"
"","Andrew Coxhead","C","QUE","17.43","68","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0.0","0","0","0.0","0","0","0.0","2","6","33.33"
"","Louis-Filip Cote","LW","QUE","18.374","68","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0.0","0","0","0.0","0","0","0.0","0","0","0.0"
"","Pierrick Dube","RW","QUE","16.688","39","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0.0","0","0","0.0","0","0","0.0","0","0","0.0"
