,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP,xG,xG/GP,eTOI,eTOI/GP,eG/60,eA1/60,eA2/60,eP1/60,eP/60,eSh/60,exG/60,QoT TOI,QoC TOI,QoT GF%,QoC GF%,GF%Rel,GF%,GF,GA,HD G,HD Sh,HD Sh%,MD G,MD Sh,MD Sh%,LD G,LD Sh,LD Sh%,FOW,FOT,FOW%
97,Blake Murray,C,SBY,33.394,111,33,14,14,47,61,190,34.35,0.6,0.25,0.26,0.8400000000000001,1.1,3.4299999999999997,21.46,0.39,1419.98,25.61,2.8,1.18,1.19,3.9699999999999998,5.15,16.07,1.81,27.240000000000002,28.27,101.74000000000001,105.5,4.96,105.46000000000001,84,75,8,29,51.96,8,38,42.78,17,123,28.060000000000002,493,957,103.4
98,Greg Meireles,RW,KIT,38.41,110,26,17,18,43,61,206,24.64,0.47,0.31,0.32,0.78,1.11,3.75,24.39,0.45,1478.24,26.880000000000003,2.0700000000000003,1.35,1.4700000000000002,3.43,4.890000000000001,16.64,1.9900000000000002,29.41,28.73,100.14,98.99,9.31,103.2,84,79,10,37,53.57,5,47,25.669999999999998,11,122,18.060000000000002,590,1163,100.64
99,DJ Busdeker,RW,SAG,36.948,121,22,27,12,49,61,260,17.62,0.38,0.45999999999999996,0.2,0.8400000000000001,1.05,4.29,29.25,0.49,1558.53,25.7,1.7799999999999998,2.17,0.97,3.95,4.92,20.05,2.26,28.89,28.04,102.05000000000001,99.57,6.46,107.09,83,73,3,38,13.64,6,51,24.080000000000002,13,171,16.41,99,214,92.55000000000001
100,Damien Giroux,C,SAG,36.071999999999996,122,30,14,17,44,61,178,35.08,0.51,0.23,0.27,0.74,1.01,2.91,21.84,0.36,1509.88,24.68,2.51,1.1400000000000001,1.33,3.63,4.96,14.18,1.75,29.59,28.189999999999998,101.53999999999999,99.49000000000001,9.030000000000001,108.6,84,73,8,35,45.07,10,39,51.09,12,104,26.79,617,1267,97.03
101,Luke Burghardt,LW,NB,39.691,95,26,20,15,46,61,192,23.86,0.47,0.43,0.29,0.9,1.19,3.83,22.099999999999998,0.44,1324.76,27.02,2.05,1.92,1.26,3.9699999999999998,5.23,16.93,1.96,31.119999999999997,28.25,102.03999999999999,96.04,31.86,123.4,81,60,7,36,41.67,9,40,24.32,10,116,13.8,274,558,96.38
102,Jake Durham,RW,FLNT,37.885,126,28,21,12,49,61,190,27.4,0.47000000000000003,0.33,0.19,0.8099999999999999,1.0,3.0700000000000003,19.509999999999998,0.32,1582.6100000000001,25.35,2.08,1.5899999999999999,0.9,3.6799999999999997,4.58,14.350000000000001,1.47,29.32,28.21,76.57,102.47999999999999,3.11,77.15,76,116,9,26,63.75,7,41,29.09,12,123,19.41,93,216,83.52000000000001
103,Shane Bulitka,LW/C,SBY,37.375,122,19,24,18,43,61,130,30.77,0.31,0.4,0.29000000000000004,0.71,1.01,2.11,14.36,0.23,1449.24,23.689999999999998,1.6099999999999999,2.02,1.51,3.63,5.15,10.66,1.16,27.689999999999998,28.14,101.03999999999999,100.81,28.74,121.44,97,67,4,20,45.83,2,25,11.76,13,85,31.68,534,963,108.92
104,Olivier Garneau,LW,QUE/RIM,9.827,121,30,18,12,48,60,197,7.568,0.128,0.073,0.048,0.202,0.25,0.825,5.65,0.092,398.732,6.608,0.582,0.335,0.225,0.915,1.14,3.738,0.425,7.24,6.852,29.607,24.307,2.22,30.012,96,65,13,46,13.59,5,39,6.745,12,112,5.36,84,209,20.185
105,Alex-Olivier Voyer,RW,RIM/SHE,9.467,111,26,20,14,46,60,231,5.412,0.118,0.09,0.062,0.208,0.27,1.04,5.345,0.095,365.182,6.575,0.518,0.405,0.29,0.925,1.215,4.702,0.438,7.018,6.815,28.123,24.135,0.912,28.858,87,66,7,30,9.21,7,40,7.5,12,161,3.818,160,308,25.662
106,MacKenzie Entwistle,RW,HAM/GUE/HAM,37.348,93,25,22,13,47,60,193,26.16,0.54,0.47,0.28,1.02,1.29,4.15,21.98,0.47,1324.74,28.57,2.27,2.0,1.17,4.26,5.44,17.48,1.9900000000000002,29.939999999999998,28.29,106.03,101.56,8.28,112.3,87,69,8,34,48.61,4,38,23.3,13,121,22.04,285,583,96.17
107,Sam Miletic,LW,NIAG/LDN,20.367,63,25,18,16,43,59,173,14.45,0.4,0.29,0.25,0.68,0.94,2.75,21.52,0.34,1023.71,16.25,1.47,1.05,0.94,2.52,3.46,10.14,1.26,14.84,14.22,54.67,49.87,17.21,63.79,74,42,6,30,20.0,5,18,27.78,14,125,11.2,10,24,41.67
108,Kody Clark,RW/C,OTT,54.774,106,21,22,16,43,59,188,38.65,0.89,0.43000000000000005,0.79,1.32,2.1,6.53,18.56,0.78,1409.3500000000001,41.57,3.75,1.91,3.3099999999999996,5.66,8.99,27.919999999999998,3.3,46.84,41.15,166.85000000000002,151.38,23.650000000000002,185.39,90,61,5,29,81.67,2,32,10.0,14,127,23.02,13,32,80.69999999999999
109,Mathias Laferriere,C,CAP,8.859,123,20,24,15,44,59,187,5.232,0.085,0.098,0.062,0.185,0.248,0.77,4.572,0.073,386.215,6.335,0.387,0.465,0.29,0.852,1.142,3.63,0.358,6.918,6.838,25.34,24.435,-0.562,25.255,85,82,6,25,11.805,2,27,3.845,12,135,4.398,507,1104,22.818
110,Brandon Skubel,RW,DRU,9.228,116,21,22,16,43,59,168,6.375,0.09,0.095,0.068,0.188,0.258,0.728,4.11,0.07,345.122,5.968,0.458,0.467,0.35,0.925,1.277,3.638,0.358,7.025,6.778,31.018,23.452,-1.41,30.623,94,59,9,28,16.282,5,31,8.298,7,109,3.428,54,132,19.728
111,Alex Barre-Boulet,C,BLB,20.320999999999998,65,28,19,12,47,59,212,13.21,0.43,0.29,0.18,0.72,0.91,3.26,20.62,0.32,1064.99,16.38,1.58,1.07,0.68,2.65,3.32,11.94,1.16,14.63,13.61,59.2,51.19,4.9,60.95,64,41,7,25,28.0,5,32,15.62,16,155,10.32,364,703,51.78
112,Cedric Ralph,C/LW,GUE,38.301,123,31,17,10,48,58,158,38.400000000000006,0.49,0.29000000000000004,0.17,0.78,0.96,2.56,22.07,0.36,1517.6100000000001,24.57,2.4,1.43,0.86,3.83,4.6899999999999995,12.49,1.74,28.82,27.94,95.78,102.16,-7.640000000000001,92.75999999999999,79,93,10,30,66.66,8,40,40.4,13,88,29.520000000000003,71,125,116.71
113,Felix Bibeau,C,ROU,9.481,114,21,19,18,40,58,281,3.738,0.092,0.082,0.08,0.175,0.255,1.235,6.36,0.11,365.13,6.422,0.43,0.39,0.37,0.82,1.192,5.768,0.52,6.928,6.815,32.775,23.76,5.025,35.845,94,37,5,34,7.465,9,40,11.25,7,207,1.723,911,1607,28.338
114,Alexander Katerinakis,RW,BLB,9.946,106,26,18,13,44,57,212,6.307,0.122,0.085,0.062,0.21,0.27,0.995,4.48,0.082,354.977,6.688,0.548,0.397,0.277,0.945,1.222,4.432,0.378,6.9,6.895,25.127,26.34,1.287,26.042,70,70,11,28,21.945,3,35,4.195,12,149,4.037,58,124,31.548
115,Vladislav Kotkov,LW/RW,CHI,9.093,114,30,17,10,47,57,230,6.773,0.132,0.072,0.045,0.205,0.252,1.005,5.57,0.098,377.95,6.638,0.602,0.332,0.2,0.935,1.135,4.542,0.44,6.922,6.818,24.055,24.99,7.545,28.74,79,59,12,30,19.442,6,36,9.522,12,164,3.555,6,21,13.942
116,Cole Tymkin,RW,LDN,37.894999999999996,108,22,25,10,47,57,123,34.89,0.42,0.47000000000000003,0.19,0.8899999999999999,1.08,2.31,13.98,0.27,1298.45,24.14,2.04,2.3200000000000003,0.9299999999999999,4.359999999999999,5.300000000000001,11.4,1.29,28.78,28.39,111.69,98.19,2.87,115.0,82,58,9,27,63.34,7,27,50.0,6,69,17.39,3,6,50.0
117,Simon Lafrance,C,VIC/VDO/VIC,9.713,118,30,15,12,45,57,233,6.432,0.13,0.062,0.053,0.19,0.245,1.01,5.085,0.082,400.032,6.91,0.562,0.28,0.225,0.84,1.068,4.37,0.378,7.11,6.858,23.102,26.365,0.942,25.362,78,76,6,27,10.795,8,34,11.93,16,172,4.658,436,991,21.982
118,Pavel Gogolev,RW/LW,PBO/GUE/PBO,36.143,100,33,16,8,49,57,234,25.14,0.59,0.37,0.15,0.96,1.1099999999999999,4.74,25.14,0.53,1454.27,28.9,2.41,1.55,0.62,3.97,4.59,19.73,2.19,27.939999999999998,27.83,93.00999999999999,99.8,2.26,97.74000000000001,82,86,9,31,56.67,10,33,54.78,14,170,14.99,8,22,89.41
119,Dawson Mercer,RW,DRU,8.192,117,28,18,10,46,56,192,7.122,0.122,0.078,0.042,0.2,0.242,0.832,4.465,0.075,330.625,5.668,0.63,0.408,0.225,1.037,1.263,4.332,0.405,6.877,6.7,30.85,23.498,0.478,31.952,86,48,6,40,6.547,11,38,13.115,11,114,5.308,189,385,24.765
120,Louis-Filip Cote,LW,QUE/QUE/ROU,9.437,104,23,23,10,46,56,191,6.255,0.128,0.13,0.058,0.258,0.315,0.97,4.07,0.08,306.045,6.062,0.607,0.62,0.268,1.23,1.498,4.765,0.4,7.275,6.865,28.798,25.55,6.818,34.892,68,32,6,23,12.878,13,32,20.312,4,136,1.535,105,218,24.02
121,Filip Zadina,RW,HAL,17.802,57,33,14,9,47,56,182,18.13,0.58,0.25,0.16,0.82,0.98,3.19,24.66,0.43,914.53,16.04,2.17,0.92,0.59,3.08,3.67,11.94,1.62,14.22,13.54,54.66,51.32,11.23,60.0,72,48,9,29,31.03,7,27,25.93,17,126,13.49,15,28,53.57
122,Darian Pilon,LW,SBY,38.909,114,25,21,10,46,56,178,28.979999999999997,0.44,0.36,0.16999999999999998,0.81,0.98,3.0999999999999996,17.68,0.30000000000000004,1348.49,23.630000000000003,2.26,1.8599999999999999,0.8699999999999999,4.12,4.98,15.75,1.5499999999999998,27.42,28.36,101.78999999999999,103.64,20.169999999999998,114.36,79,59,10,24,80.0,5,27,33.55,10,127,16.97,72,153,93.74000000000001
123,Semyon Der-Arguchintsev,C,PBO,34.999,117,13,19,24,32,56,142,18.23,0.22,0.31,0.43000000000000005,0.53,0.96,2.4,12.46,0.21,1503.57,25.71,1.03,1.46,2.0,2.49,4.48,11.24,0.97,28.43,28.08,93.50999999999999,100.07,2.2700000000000005,93.11,83,95,2,11,36.67,3,25,23.33,8,106,15.08,704,1425,98.99000000000001
124,Cedric Pare,C,SNB/RIM,9.571,117,18,23,14,41,55,183,4.965,0.078,0.1,0.062,0.178,0.235,0.782,4.678,0.08,357.945,6.115,0.382,0.485,0.298,0.865,1.165,3.835,0.392,6.812,6.808,25.48,25.315,3.975,28.795,83,65,7,31,9.642,3,34,4.285,8,118,3.488,920,1592,29.018
125,Gera Poddubnyi,C,ER,37.539,121,24,19,12,43,55,235,20.29,0.4,0.33,0.2,0.73,0.9299999999999999,3.92,22.02,0.37,1557.63,25.869999999999997,1.85,1.4700000000000002,0.92,3.3200000000000003,4.25,18.12,1.7,28.95,28.14,91.02000000000001,100.77000000000001,-6.489999999999999,83.61,70,96,7,33,42.22,7,37,37.65,10,165,12.030000000000001,372,774,92.83
126,Otto Somppi,C,HAL,19.675,59,14,23,18,37,55,93,15.05,0.24,0.39,0.31,0.63,0.93,1.58,14.09,0.24,844.33,14.31,0.99,1.63,1.28,2.63,3.91,6.61,1.0,14.72,13.55,54.71,49.8,10.62,62.07,72,44,5,25,20.0,1,13,7.69,8,55,14.55,560,981,57.08
127,Carson MacKinnon,C/LW,RIM,9.311,122,21,16,18,37,55,176,6.04,0.088,0.065,0.075,0.152,0.227,0.718,3.535,0.057,346.445,5.712,0.458,0.348,0.39,0.8,1.19,3.825,0.308,7.022,6.775,31.072,24.152,-3.908,28.55,70,53,9,27,16.62,7,28,12.7,5,121,1.87,264,562,24.2
128,Ethan Keppen,LW,FLNT,33.98,121,29,20,6,49,55,239,23.38,0.48000000000000004,0.33999999999999997,0.1,0.8300000000000001,0.9299999999999999,3.9800000000000004,21.79,0.37,1527.01,25.39,2.21,1.48,0.47,3.7,4.17,18.65,1.68,28.630000000000003,28.1,78.6,103.63,12.69,85.53999999999999,77,97,8,31,57.33,9,40,44.86,12,168,13.2,7,19,43.75
