,Unnamed: 0,#,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP
1048,705,,William Pelletier,LW,RFD,23.754,8,3,0,4,3,7,16,18.75,0.38,0.0,0.5,0.38,0.88,2.0
377,579,,Gerald Mayhew,RW,IA,23.708,17,6,1,0,7,7,30,20.0,0.35,0.06,0.0,0.41,0.41,1.76
569,628,,Keith Aulie,D,STK/CLE,27.264,57,2,3,2,5,7,38,5.26,0.04,0.05,0.04,0.09,0.12,0.67
32,667,,Alex Krushelnyski,LW,BNG,25.838,43,3,1,3,4,7,39,7.69,0.07,0.02,0.07,0.09,0.16,0.91
264,663,,Dan Kelly,D,SJ,27.333,53,1,3,3,4,7,46,2.17,0.02,0.06,0.06,0.08,0.13,0.87
665,706,,Mat Clark,D,SA,25.914,38,1,2,4,3,7,29,3.45,0.03,0.05,0.11,0.08,0.18,0.76
433,756,,Jakub Kindl,D,SPR,29.597,13,1,1,5,2,7,25,4.0,0.08,0.08,0.38,0.15,0.54,1.92
689,625,,Matt Tennyson,D,CHA,26.399,9,3,2,2,5,7,29,10.34,0.33,0.22,0.22,0.56,0.78,3.22
671,704,,Matt Bailey,C,STK,25.449,17,2,1,4,3,7,24,8.33,0.12,0.06,0.24,0.18,0.41,1.41
674,633,,Matt Buckles,F,SPR,21.367,9,3,2,2,5,7,12,25.0,0.33,0.22,0.22,0.56,0.78,1.33
151,664,,Brian Hart,RW,SYR,22.807,33,3,1,3,4,7,50,6.0,0.09,0.03,0.09,0.12,0.21,1.52
1010,577,,Tyler Barnes,RW,RFD,26.588,25,4,3,0,7,7,24,16.67,0.16,0.12,0.0,0.28,0.28,0.96
983,603,,Tony Cameranesi,F,TOR,23.094,31,4,2,1,6,7,59,6.78,0.13,0.06,0.03,0.19,0.23,1.9
572,632,,Kelly Zajac,C,HER,28.277,9,4,1,2,5,7,9,44.44,0.44,0.11,0.22,0.56,0.78,1.0
1038,602,,Vinnie Hinostroza,C,RFD,22.454,15,3,3,1,6,7,35,8.57,0.2,0.2,0.07,0.4,0.47,2.33
834,660,,Reece Willcox,D,LV,22.492,48,3,1,3,4,7,41,7.32,0.06,0.02,0.06,0.08,0.15,0.85
317,627,,Duncan Siemens,D,SA,23.023000000000003,73,2,3,2,5,7,71,2.82,0.03,0.04,0.03,0.07,0.1,0.97
14,630,,Adam Pardy,D,MIL,32.466,31,3,2,2,5,7,33,9.09,0.1,0.06,0.06,0.16,0.23,1.06
173,601,,Cam Darcy,C,SYR,22.541,34,3,3,1,6,7,40,7.5,0.09,0.09,0.03,0.18,0.21,1.18
11,661,,Adam Krause,C,WBS,25.011,14,3,1,3,4,7,19,15.79,0.21,0.07,0.21,0.29,0.5,1.36
441,626,,Jan Kostalek,D,MB,21.577,60,2,3,2,5,7,71,2.82,0.03,0.05,0.03,0.08,0.12,1.18
625,631,,Luke Gazdic,LW,ALB,27.144,37,1,4,2,5,7,31,3.23,0.03,0.11,0.05,0.14,0.19,0.84
1059,576,,Zac Rinaldo,LW,PRO,26.254,29,5,2,0,7,7,34,14.71,0.17,0.07,0.0,0.24,0.24,1.17
403,665,,Hunter Warner,D,IA,20.986,52,2,2,3,4,7,28,7.14,0.04,0.04,0.06,0.08,0.13,0.54
343,666,,Erik Karlsson,LW,CHA,22.136,42,0,4,3,4,7,32,0.0,0.0,0.1,0.07,0.1,0.17,0.76
337,629,,Eric Robinson,F,MIL/SPR,26.317,41,1,4,2,5,7,37,2.7,0.02,0.1,0.05,0.12,0.17,0.9
583,578,,Kevin Lynch,C,SYR,25.4,37,5,2,0,7,7,50,10.0,0.14,0.05,0.0,0.19,0.19,1.35
618,674,,Logan Shaw,RW,SD/SPR,23.946,15,4,0,2,4,6,34,11.76,0.27,0.0,0.13,0.27,0.4,2.27
91,758,,Ben Betker,D,BAK,21.963,30,1,1,4,2,6,26,3.85,0.03,0.03,0.13,0.07,0.2,0.87
836,675,,Reid Gardiner,RW,WBS,20.658,23,3,1,2,4,6,31,9.68,0.13,0.04,0.09,0.17,0.26,1.35
94,639,,Ben Marshall,D,PRO,24.044,14,2,3,1,5,6,26,7.69,0.14,0.21,0.07,0.36,0.43,1.86
604,636,,Kyle MacKinnon,C,SD,28.885,21,2,3,1,5,6,22,9.09,0.1,0.14,0.05,0.24,0.29,1.05
902,605,,Scott Mayfield,D,BRI,23.921,23,3,3,0,6,6,54,5.56,0.13,0.13,0.0,0.26,0.26,2.35
624,759,,Lukas Bengtsson,D,WBS,22.423,16,1,1,4,2,6,25,4.0,0.06,0.06,0.25,0.12,0.38,1.56
319,707,,Dustin Stevenson,D,TEX,27.094,59,2,1,3,3,6,64,3.12,0.03,0.02,0.05,0.05,0.1,1.08
323,634,,Dylan Sadowy,RW,GR,20.455,38,4,1,1,5,6,51,7.84,0.11,0.03,0.03,0.13,0.16,1.34
237,672,,Colin Markison,RW,BRI,24.11,28,2,2,2,4,6,27,7.41,0.07,0.07,0.07,0.14,0.21,0.96
783,912,,Oleg Yevenko,D,CLE,25.651,49,0,0,6,0,6,29,0.0,0.0,0.0,0.12,0.0,0.12,0.59
503,710,,Jonathan Racine,D,SYR/STJ,23.302,55,1,2,3,3,6,40,2.5,0.02,0.04,0.05,0.05,0.11,0.73
