,Unnamed: 0,#,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP
739,878,,Miles Koules,RW,ONT/CLE,22.226,9,1,0,0,1,1,6,16.67,0.11,0.0,0.0,0.11,0.11,0.67
154,948,,Brian Ward,C,ALB,24.586,8,0,0,1,0,1,4,0.0,0.0,0.0,0.12,0.0,0.12,0.5
414,868,,Jacob Doty,RW,CHI,23.242,4,0,1,0,1,1,1,0.0,0.0,0.25,0.0,0.25,0.25,0.25
759,909,,Nick DeSimone,D,SJ,21.818,4,1,0,0,1,1,7,14.29,0.25,0.0,0.0,0.25,0.25,1.75
445,933,,Jared Nightingale,D,CHI,33.953,12,0,0,1,0,1,5,0.0,0.0,0.0,0.08,0.0,0.08,0.42
436,941,,James Melindy,D,SD,22.763,3,0,0,1,0,1,0,0.0,0.0,0.0,0.33,0.0,0.33,0.0
422,929,,Jake Baker,D,MB,25.164,15,0,0,1,0,1,11,0.0,0.0,0.0,0.07,0.0,0.07,0.73
749,876,,Nate Thompson,C,SD,31.946,3,0,1,0,1,1,6,0.0,0.0,0.33,0.0,0.33,0.33,2.0
714,885,,Michael Sdao,D,IA,27.204,2,1,0,0,1,1,2,50.0,0.5,0.0,0.0,0.5,0.5,1.0
935,934,,Steve McParland,RW,CHI/BNG,25.588,6,0,0,1,0,1,5,0.0,0.0,0.0,0.17,0.0,0.17,0.83
715,895,,Michael Spacek,C,MB,19.436,4,0,1,0,1,1,5,0.0,0.0,0.25,0.0,0.25,0.25,1.25
847,940,,Rob Hamilton,D,SPR,22.705,6,0,0,1,0,1,8,0.0,0.0,0.0,0.17,0.0,0.17,1.33
497,889,,John Stevens,C,BRI,22.415,8,0,1,0,1,1,6,0.0,0.0,0.12,0.0,0.12,0.12,0.75
87,865,,Austin Watson,C,MIL,24.674,3,1,0,0,1,1,4,25.0,0.33,0.0,0.0,0.33,0.33,1.33
614,886,,Libor Hajek,D,SYR,18.612,8,1,0,0,1,1,8,12.5,0.12,0.0,0.0,0.12,0.12,1.0
607,944,,Kyle Schempp,C,BRI,22.673,11,0,0,1,0,1,9,0.0,0.0,0.0,0.09,0.0,0.09,0.82
626,939,,Luke Green,D,MB,18.675,4,0,0,1,0,1,0,0.0,0.0,0.0,0.25,0.0,0.25,0.0
1063,888,,Zach O'Brien,RW,BNG,24.214,1,1,0,0,1,1,2,50.0,1.0,0.0,0.0,1.0,1.0,2.0
1062,927,,Zach Nastasiuk,RW,GR,21.465,7,0,0,1,0,1,6,0.0,0.0,0.0,0.14,0.0,0.14,0.86
591,932,,Klas Dahlbeck,D,CHA,25.197,6,0,0,1,0,1,14,0.0,0.0,0.0,0.17,0.0,0.17,2.33
1052,862,,Yan-Pavel Laplante,LW,UTI,21.399,13,0,1,0,1,1,7,0.0,0.0,0.08,0.0,0.08,0.08,0.54
650,943,,Mark Friedman,D,LV,20.726,1,0,0,1,0,1,1,0.0,0.0,0.0,1.0,0.0,1.0,1.0
560,870,,Kale Kessy,LW,MB,23.781,16,0,1,0,1,1,5,0.0,0.0,0.06,0.0,0.06,0.06,0.31
1037,890,,Vinni Lettieri,C,HFD,21.608,9,0,1,0,1,1,12,0.0,0.0,0.11,0.0,0.11,0.11,1.33
556,891,,Justin Kloos,F,IA,22.793000000000006,9,1,0,0,1,1,13,7.69,0.11,0.0,0.0,0.11,0.11,1.44
663,874,,Mason Marchment,LW,TOR,21.246,9,1,0,0,1,1,11,9.09,0.11,0.0,0.0,0.11,0.11,1.22
63,900,,Angelo Miceli,C,TEX,22.544,1,0,1,0,1,1,1,0.0,0.0,1.0,0.0,1.0,1.0,1.0
1025,863,,Tyrell Goulbourne,LW,LV,22.637,24,1,0,0,1,1,16,6.25,0.04,0.0,0.0,0.04,0.04,0.67
680,866,,Matt Irwin,D,MIL,28.797,4,0,1,0,1,1,16,0.0,0.0,0.25,0.0,0.25,0.25,4.0
1,884,,A.J. Jenks,C,IA,26.221,7,1,0,0,1,1,10,10.0,0.14,0.0,0.0,0.14,0.14,1.43
684,942,,Matt Luff,RW,ONT,19.365,2,0,0,1,0,1,2,0.0,0.0,0.0,0.5,0.0,0.5,1.0
78,911,,Anton Rodin,RW,UTI,25.818,3,0,1,0,1,1,3,0.0,0.0,0.33,0.0,0.33,0.33,1.0
920,945,,Sheldon Brookbank,D,CLE,35.951,6,0,0,1,0,1,3,0.0,0.0,0.0,0.17,0.0,0.17,0.5
532,871,,Josh Wesley,D,CHA,20.436,9,1,0,0,1,1,14,7.14,0.11,0.0,0.0,0.11,0.11,1.56
687,937,,Matt Roy,D,ONT,21.545,8,0,0,1,0,1,16,0.0,0.0,0.0,0.12,0.0,0.12,2.0
694,904,,Matthew Phillips,RW,STK,18.445,1,0,1,0,1,1,4,0.0,0.0,1.0,0.0,1.0,1.0,4.0
1003,861,,Troy Stecher,D,UTI,22.443,4,0,1,0,1,1,8,0.0,0.0,0.25,0.0,0.25,0.25,2.0
404,936,,Ian Brady,D,RCH,22.319000000000006,2,0,0,1,0,1,1,0.0,0.0,0.0,0.5,0.0,0.5,0.5
729,883,,Mike McNamee,C,SYR,23.896,12,0,1,0,1,1,12,0.0,0.0,0.08,0.0,0.08,0.08,1.0
333,947,,Eric Boulton,LW,BRI,40.08,2,0,0,1,0,1,2,0.0,0.0,0.0,0.5,0.0,0.5,1.0
308,902,,Dmitry Sokolov,RW,IA,18.423,2,1,0,0,1,1,6,16.67,0.5,0.0,0.0,0.5,0.5,3.0
878,931,,Ryan Murphy,D,CHA,23.461,7,0,0,1,0,1,9,0.0,0.0,0.0,0.14,0.0,0.14,1.29
253,881,,Cory Ward,C,SYR,23.398000000000003,2,0,1,0,1,1,2,0.0,0.0,0.5,0.0,0.5,0.5,1.0
864,894,,Ryan Collins,D,CLE,20.362,5,0,1,0,1,1,9,0.0,0.0,0.2,0.0,0.2,0.2,1.8
828,879,,Quentin Shore,C,ONT,22.311,13,1,0,0,1,1,10,10.0,0.08,0.0,0.0,0.08,0.08,0.77
788,896,,Ondrej Vala,D,TEX,18.426,3,0,1,0,1,1,6,0.0,0.0,0.33,0.0,0.33,0.33,2.0
330,935,,Emil Johansson,D,PRO,20.362,6,0,0,1,0,1,8,0.0,0.0,0.0,0.17,0.0,0.17,1.33
303,899,,Deven Sideroff,RW,SD,19.423,3,0,1,0,1,1,2,0.0,0.0,0.33,0.0,0.33,0.33,0.67
220,908,,Clayton Stoner,D,SD,31.571,3,1,0,0,1,1,2,50.0,0.33,0.0,0.0,0.33,0.33,0.67
329,907,,Emerson Etem,RW,SD,24.25,1,1,0,0,1,1,2,50.0,1.0,0.0,0.0,1.0,1.0,2.0
778,901,,Noah Rod,LW,SJ,20.274,2,0,1,0,1,1,4,0.0,0.0,0.5,0.0,0.5,0.5,2.0
358,860,,Frank Hora,D,CLE,20.291,3,0,1,0,1,1,1,0.0,0.0,0.33,0.0,0.33,0.33,0.33
266,892,,Danick Gauthier,LW,MB,24.896,2,1,0,0,1,1,3,33.33,0.5,0.0,0.0,0.5,0.5,1.5
893,893,,Samuel Girard,D,MIL,18.347,6,1,0,0,1,1,5,20.0,0.17,0.0,0.0,0.17,0.17,0.83
225,897,,Cody Wydo,LW,WBS,25.471,3,1,0,0,1,1,3,33.33,0.33,0.0,0.0,0.33,0.33,1.0
360,946,,Frankie Simonelli,D,BAK,23.88,6,0,0,1,0,1,7,0.0,0.0,0.0,0.17,0.0,0.17,1.17
772,898,,Niki Petti,C,STJ,20.091,4,1,0,0,1,1,2,50.0,0.25,0.0,0.0,0.25,0.25,0.5
363,864,,Fredrik Claesson,D,BNG,23.809,9,0,1,0,1,1,8,0.0,0.0,0.11,0.0,0.11,0.11,0.89
918,875,,Shawn Szydlowski,RW,CLE,26.114,7,1,0,0,1,1,6,16.67,0.14,0.0,0.0,0.14,0.14,0.86
344,930,,Esa Lindell,D,TEX,22.317,2,0,0,1,0,1,4,0.0,0.0,0.0,0.5,0.0,0.5,2.0
819,869,,Phil DeSimone,C,UTI,29.495,8,1,0,0,1,1,15,6.67,0.12,0.0,0.0,0.12,0.12,1.88
798,903,,Patrick McCarron,D,GR,22.092,1,0,1,0,1,1,2,0.0,0.0,1.0,0.0,1.0,1.0,2.0
617,928,,Linus Arnesson,D,PRO,21.985,20,0,0,1,0,1,21,0.0,0.0,0.0,0.05,0.0,0.05,1.05
318,905,,Dustin Gazley,RW,HER,27.951,3,1,0,0,1,1,5,20.0,0.33,0.0,0.0,0.33,0.33,1.67
327,910,,Elgin Pearce,LW,MB,24.606,3,0,1,0,1,1,2,0.0,0.0,0.33,0.0,0.33,0.33,0.67
365,938,,Gabriel Carlsson,D,CLE,19.702,3,0,0,1,0,1,4,0.0,0.0,0.0,0.33,0.0,0.33,1.33
280,906,,Dante Salituro,RW,CLE,19.833,5,1,0,0,1,1,4,25.0,0.2,0.0,0.0,0.2,0.2,0.8
1022,1041,,Tyler Soy,C,SD,23.595,2,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.5
877,1034,,Ryan Mantha,D,BAK,20.244,2,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0
273,1047,,Daniel Fick,D,SA,25.071,2,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.5
1024,981,,Tylor Spink,C,GR/MIL/ALB,23.708,5,0,0,0,0,0,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1026,1057,,Tyson Fawcett,RW,RCH,23.272,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
272,1017,,Daniel Doremus,RW,SYR,24.901,1,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
194,964,,Chase Lang,RW,IA,20.006,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
350,1055,,Evan Polei,LW,BAK,20.573,1,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,2.0
1021,992,,Tyler Sikura,LW,IA,24.329,16,0,0,0,0,0,20,0.0,0.0,0.0,0.0,0.0,0.0,1.25
677,958,,Matt Finn,D,BRI,22.558000000000003,2,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,1.5
542,998,,Justin Agosta,D,HER/ALB/SA,25.936,3,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.33
68,1040,,Anthony Florentino,D,RCH,21.627,5,0,0,0,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.8
670,960,,Matt  Willows,RW,SJ,25.148000000000003,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
882,1021,,Ryan Segalla,D,WBS,21.714,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1012,1016,,Tyler Ganly,D,CHA,22.486,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
531,1061,,Josh Leivo,LW,TOR,23.308000000000003,5,0,0,0,0,0,11,0.0,0.0,0.0,0.0,0.0,0.0,2.2
1008,971,,Ty Stanton,D,TOR,21.317,3,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.33
527,1029,,Josh Healey,D,STK,22.18,2,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0
524,1003,,Josh Brittain,LW,CHI,26.7,2,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.5
255,1004,,Craig Wyszomirski,D,ONT,23.984,3,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.67
547,950,,Justin Falk,D,RCH,27.929,10,0,0,0,0,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.5
39,1071,,Alexandre Goulet,LW,RCH,20.447,3,0,0,0,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,1.33
669,961,,Matia Marcantuoni,C,TUC,22.563,7,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.29
577,1073,,Kevin  Lough,D,BNG,24.534,1,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3,1005,,Aaron Harstad,D,TEX,24.387,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
324,1052,,Dylan Zink,D,WBS,23.938,1,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,2.0
854,1068,,Robin Press,D,RFD,21.736,9,0,0,0,0,0,13,0.0,0.0,0.0,0.0,0.0,0.0,1.44
629,967,,Luke Pither,C,UTI,27.39,1,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
12,1046,,Adam Musil,C,CHI,19.475,2,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.5
599,1033,,Kyle Capobianco,D,TUC,19.091,4,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.25
592,1031,,Kole Sherwood,RW,CLE,19.647,2,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,1.5
855,980,,Rocco Carzo,F,BRI,26.21,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
831,1038,,Radovan Bondra,RW,RFD,19.634,5,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.4
589,1051,,Kevin Schulze,D,WBS,23.382,1,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
586,1072,,Kevin Raine,D,CHA,23.302,13,0,0,0,0,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.62
17,1069,,Adam Pleskach,RW,MB,28.192,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
584,1007,,Kevin Morris,LW,SYR,23.776,2,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.5
25,970,,Alex Biega,D,UTI,28.45,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
347,1054,,Evan Campbell,C,BAK,23.543000000000006,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1050,996,,Willie Corrin,D,TOR,25.126,4,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.5
570,965,,Kellan Lain,C,BAK,27.097,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,1001,,Alex Gudbranson,D,TOR,22.035,4,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.5
1045,1030,,Will Merchant,LW,TEX,22.675,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
297,1037,,Dennis Yan,LW,SYR,19.423,3,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.67
866,954,,Ryan Culkin,D,STK,22.752,19,0,0,0,0,0,25,0.0,0.0,0.0,0.0,0.0,0.0,1.32
332,976,,Eric Baier,D,RCH,28.474,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,990,,Alex Wall,D,UTI,25.873,2,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0
523,1009,,Josh Atkinson,D,CHI,23.943,2,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0
295,1050,,Dennis Cholowski,D,GR,18.582,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
818,1032,,Phil Brewer,RW,MB,26.432,2,0,0,0,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,2.0
551,1014,,Justin Hamonic,D,SA,22.585,3,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.33
42,977,,Alexis Loiseau,C,BNG,22.678,3,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.67
370,989,,Garrett Meurs,RW,MIL,23.675,1,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
516,975,,Jordan Smotherman,LW,SPR,30.35,5,0,0,0,0,0,9,0.0,0.0,0.0,0.0,0.0,0.0,1.8
1001,1039,,Troy Crema,RW,RCH,21.298,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
387,959,,Guillaume Gelinas,D,IA,23.256,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
439,986,,Jamie Doornbosch,D,BNG,26.621,8,0,0,0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.75
780,1010,,Nolan La Porte,RW,IA,24.367,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
450,962,,Jason Fram,D,SJ,21.399,2,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0
904,1018,,Scott Savage,D,CLE,21.432,3,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.33
786,993,,Olivier Labelle,RW,SYR,31.171,6,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.5
155,974,,Brock Higgs,C,PRO,24.367,2,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.5
458,1026,,Jeff Taylor,D,WBS,22.426,6,0,0,0,0,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.83
941,968,,Steven Swavely,C,LV,24.784,16,0,0,0,0,0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.62
149,969,,Brian Ferlin,RW,PRO,24.285,2,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0
463,1049,,Jesse Gabrielle,LW,PRO,19.247,1,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,2.0
465,966,,Jesse Mychan,LW,SA,24.206,5,0,0,0,0,0,7,0.0,0.0,0.0,0.0,0.0,0.0,1.4
470,1062,,Jiri Fronk,RW,MB,22.604,1,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,2.0
958,982,,Teddy Doherty,D,SPR,22.393,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
475,983,,Joe Faust,D,TEX,24.836,4,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.75
216,1002,,Christian Hilbrich,LW,WBS,24.187,6,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.5
430,955,,Jake Marchment,C,SJ,21.326,4,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.5
962,978,,Thomas Frazee,C,SA,26.462,6,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.33
914,1006,,Shane Conacher,RW,TOR,22.396,3,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.67
924,1015,,Spencer Asuchak,LW,PRO,24.816,3,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.67
768,979,,Nick Sorkin,RW,WBS/SD,25.287,8,0,0,0,0,0,9,0.0,0.0,0.0,0.0,0.0,0.0,1.12
177,1044,,Carson Soucy,D,IA,24.137,3,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.67
411,1011,,Jack Nevins,LW,IA,22.993,1,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,2.0
916,1066,,Shawn O'Donnell,RW,MIL,28.302,6,0,0,0,0,0,7,0.0,0.0,0.0,0.0,0.0,0.0,1.17
776,997,,Nikolas Brouillard,D,TOR,21.605,1,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,3.0
762,1067,,Nick Mattson,D,RFD,24.893,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
165,972,,Brycen Martin,D,RCH,20.354,18,0,0,0,0,0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.56
913,953,,Shane Bakker,C,PRO,28.847,2,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0
172,1056,,Cam Braes,C,STK,25.676,1,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,2.0
205,1012,,Chris LeBlanc,RW,BNG,23.009,6,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.33
206,1036,,Chris Martenet,D,TEX,19.973,3,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.33
393,956,,Harrison Ruopp,D,SJ,23.499,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
166,952,,Bryn Chyzyk,LW,RFD,23.861,2,0,0,0,0,0,5,0.0,0.0,0.0,0.0,0.0,0.0,2.5
899,949,,Scott Harrington,D,CLE,23.519,2,0,0,0,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,2.0
478,1042,,Joe Houk,D,TEX,26.3,1,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,2.0
520,951,,Joseph Cramarossa,LW,SD,23.888,2,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0
96,1028,,Ben Storm,LW,SA,22.465,7,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.43
107,995,,Boyd Gordon,C,LV,32.91,6,0,0,0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,1.0
986,988,,Travis Brown,D,SJ,22.506,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,1064,,Bobby Shea,D,RCH,26.158,10,0,0,0,0,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.5
988,1059,,Travis Ewanyk,C,TEX,23.467,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
501,973,,Jonathan Carlsson,D,RFD,28.113000000000003,2,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0
505,1024,,Jordan Boucher,LW,BNG,22.566,9,0,0,0,0,0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.78
507,991,,Jordan Henry,D,RCH,30.593000000000004,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
982,999,,Tommy Thompson,RW,HFD,25.925,3,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0
508,1058,,Jordan Hill,D,MB,27.524,6,0,0,0,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.67
509,1053,,Jordan Kyrou,C,CHI,18.366,1,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
995,1048,,Trevor Mingoia,RW,SA,24.66,2,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.5
195,1043,,Chaz Reddekopp,D,ONT,19.705,3,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0
890,1020,,Sam Kurker,RW,ALB,22.44,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
999,1060,,Triston Grant,LW,BNG,32.619,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
500,1023,,Jonas Siegenthaler,D,HER,19.362,7,0,0,0,0,0,10,0.0,0.0,0.0,0.0,0.0,0.0,1.43
492,987,,John McCarron,RW,STJ,24.417,3,0,0,0,0,0,5,0.0,0.0,0.0,0.0,0.0,0.0,1.67
133,1000,,Brendan O'Donnell,F,TEX,24.225,6,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.17
125,1063,,Brandon McNally,LW,SD,24.603,2,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0
965,1022,,Tim Clifton,C,SJ,24.318,8,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.38
966,1019,,Tim Daly,D,MB,24.622,2,0,0,0,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,2.0
790,1070,,Parker Wotherspoon,D,BRI,19.061,4,0,0,0,0,0,7,0.0,0.0,0.0,0.0,0.0,0.0,1.75
378,1025,,Givani Smith,RW,GR,18.549,3,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.67
128,1013,,Brant  Harris,RW,BRI,26.938,3,0,0,0,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,1.33
724,1008,,Mike Cazzola,LW,BNG,25.526,3,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.33
123,985,,Brandon MacLean,LW,STJ,29.033,2,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0
113,1027,,Brady Shaw,LW,SA,23.954,6,0,0,0,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.67
121,1045,,Brandon Gignac,F,ALB,18.856,2,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0
723,984,,Mike Brown,RW,CLE,31.229,11,0,0,0,0,0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.91
485,963,,Joel Rechlicz,RW,BAK,29.257,15,0,0,0,0,0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.6
717,994,,Mikael  Tam,D,BAK,25.391,2,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,1.5
243,1065,,Colton Saucerman,D,HER/SPR,24.365,5,0,0,0,0,0,7,0.0,0.0,0.0,0.0,0.0,0.0,1.4
246,957,,Connor Crisp,LW,STJ,22.44,7,0,0,0,0,0,8,0.0,0.0,0.0,0.0,0.0,0.0,1.14
1073,1035,,Ziyat Paigin,D,BAK,21.602,5,0,0,0,0,0,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0
