"#","Name","Pos","Team","Age","GP","G","A1","A2","P1","P","Sh","Sh%","G/GP","A1/GP","A2/GP","P1/GP","P/GP","Sh/GP","xG","xG/GP","eTOI","eTOI/GP","eG/60","eA1/60","eA2/60","eP1/60","eP/60","eSh/60","exG/60","QoT TOI","QoC TOI","QoT GF%","QoC GF%","GF%Rel","GF%","GF","GA","HD G","HD Sh","HD Sh%","MD G","MD Sh","MD Sh%","LD G","LD Sh","LD Sh%","FOW","FOT","FOW%"
"","Chiwetin Blacksmith","LW","GAT","19.297","22","0","2","3","2","5","19","0.0","0.0","0.09","0.14","0.09","0.23","0.86","3.49","0.16","248.73","11.31","0.0","0.48","0.72","0.48","1.21","4.58","0.84","17.93","17.72","49.63","51.35","11.11","50.0","9","9","0","1","0.0","0","3","0.0","0","15","0.0","4","15","26.67"
"","Skylar Strumas","D","SHE/VDO","19.551","49","0","2","3","2","5","43","0.0","0.0","0.04","0.06","0.04","0.1","0.88","1.44","0.03","860.19","17.55","0.0","0.14","0.21","0.14","0.35","3.0","0.1","16.6","17.93","46.19","52.91","-12.82","33.33","30","60","0","2","0.0","0","1","0.0","0","40","0.0","0","0","0.0"
"","Renat Dadadzhanov","D","SHA","17.26","27","0","2","3","2","5","6","0.0","0.0","0.07","0.11","0.07","0.19","0.22","0.17","0.01","406.94","15.07","0.0","0.29","0.44","0.29","0.74","0.88","0.03","15.66","16.82","54.03","49.9","0.29","54.84","17","14","0","0","0.0","0","0","0.0","0","6","0.0","0","0","0.0"
"","Karl Boudrias","D","RIM","16.458","39","0","2","2","2","4","30","0.0","0.0","0.05","0.05","0.05","0.1","0.77","1.19","0.03","529.67","13.58","0.0","0.23","0.23","0.23","0.45","3.4","0.13","16.93","16.57","45.31","49.84","-4.07","39.39","13","20","0","1","0.0","0","0","0.0","0","29","0.0","0","1","0.0"
"","Alexandre Drapeau","D","QUE","19.562","49","2","0","2","2","4","32","6.25","0.04","0.0","0.04","0.04","0.08","0.65","1.65","0.03","712.42","14.54","0.17","0.0","0.17","0.17","0.34","2.7","0.14","17.47","17.49","41.97","52.61","-12.63","34.78","16","30","0","2","0.0","0","0","0.0","2","30","6.67","0","3","0.0"
"","Edouard Michaud","C","SHE","18.982","13","1","1","2","2","4","25","4.0","0.08","0.08","0.15","0.15","0.31","1.92","1.83","0.14","153.69","11.82","0.39","0.39","0.78","0.78","1.56","9.76","0.72","17.24","17.19","44.04","52.76","3.12","41.67","5","7","0","3","0.0","0","1","0.0","1","21","4.76","16","37","43.24"
"","Luke Henman","C","BLB","16.381","6","1","1","2","2","4","5","20.0","0.17","0.17","0.33","0.33","0.67","0.83","0.63","0.1","84.91","14.15","0.71","0.71","1.41","1.41","2.83","3.53","0.44","16.77","16.82","54.43","43.24","26.62","85.71","6","1","0","1","0.0","1","1","100.0","0","3","0.0","17","44","38.64"
"","Alex Lavoie","D","SHA/MON","17.602","19","1","1","2","2","4","8","12.5","0.05","0.05","0.11","0.11","0.21","0.42","0.46","0.02","278.71","14.67","0.22","0.22","0.43","0.43","0.86","1.72","0.1","16.53","18.06","42.94","55.96","-17.82","24.0","6","19","0","0","0.0","0","0","0.0","1","8","12.5","0","0","0.0"
"","Christian Wejse","C","BLB","17.783","23","2","0","1","2","3","17","11.76","0.09","0.0","0.04","0.09","0.13","0.74","0.97","0.04","240.08","10.44","0.5","0.0","0.25","0.5","0.75","4.25","0.24","16.78","16.83","53.55","49.34","-26.09","38.46","5","8","0","1","0.0","0","0","0.0","2","16","12.5","115","189","60.85"
"","Joseph Mizzi","D","CAP","18.41","4","1","1","0","2","2","8","12.5","0.25","0.25","0.0","0.5","0.5","2.0","0.65","0.16","73.26","18.31","0.82","0.82","0.0","1.64","1.64","6.55","0.53","17.31","17.38","45.38","54.24","-9.52","42.86","3","4","0","0","0.0","0","1","0.0","1","7","14.29","0","1","0.0"
"","Ethan Crossman","LW","QUE","17.512","24","1","1","0","2","2","22","4.55","0.04","0.04","0.0","0.08","0.08","0.92","1.2","0.05","229.57","9.57","0.26","0.26","0.0","0.52","0.52","5.75","0.31","16.34","15.95","40.34","42.45","18.65","62.5","5","3","0","1","0.0","1","3","33.33","0","18","0.0","3","6","50.0"
"","Jamie Clavet","LW","RIM","19.349","2","0","2","0","2","2","1","0.0","0.0","1.0","0.0","1.0","1.0","0.5","0.13","0.06","31.2","15.6","0.0","3.85","0.0","3.85","3.85","1.92","0.24","17.15","19.09","44.88","51.29","20.0","100.0","2","0","0","0","0.0","0","0","0.0","0","1","0.0","0","0","0.0"
"","Samuel Beck","RW","VIC","17.914","17","1","1","0","2","2","13","7.69","0.06","0.06","0.0","0.12","0.12","0.76","1.93","0.11","200.37","11.79","0.3","0.3","0.0","0.6","0.6","3.89","0.58","18.11","17.86","51.9","49.94","-4.51","52.94","9","8","0","3","0.0","1","4","25.0","0","6","0.0","0","0","0.0"
"","Caleb Rich","LW","HAL","17.011","28","0","2","0","2","2","14","0.0","0.0","0.07","0.0","0.07","0.07","0.5","1.36","0.05","254.11","9.08","0.0","0.47","0.0","0.47","0.47","3.31","0.32","15.58","16.6","43.33","50.01","-20.43","27.27","3","8","0","0","0.0","0","3","0.0","0","11","0.0","7","25","28.0"
"","John Warren","LW","SNB","19.68","4","2","0","0","2","2","13","15.38","0.5","0.0","0.0","0.5","0.5","3.25","2.32","0.58","68.03","17.01","1.76","0.0","0.0","1.76","1.76","11.47","2.05","15.61","17.09","56.52","54.06","-15.13","37.5","3","5","1","4","25.0","0","2","0.0","1","7","14.29","1","1","100.0"
"","Jeremy Laframboise","C","QUE","16.698","23","2","0","0","2","2","19","10.53","0.09","0.0","0.0","0.09","0.09","0.83","0.75","0.03","226.68","9.86","0.53","0.0","0.0","0.53","0.53","5.03","0.2","16.42","17.01","41.04","50.46","-24.0","20.0","2","8","0","1","0.0","1","1","100.0","1","17","5.88","36","98","36.73"
"","Charles Farmer","RW","VDO","17.643","7","2","0","0","2","2","5","40.0","0.29","0.0","0.0","0.29","0.29","0.71","0.5","0.07","78.37","11.2","1.53","0.0","0.0","1.53","1.53","3.83","0.38","15.26","16.08","42.69","49.35","-14.05","40.0","2","3","1","1","100.0","1","1","100.0","0","3","0.0","1","1","100.0"
"","Gerald Blackmore","RW","MON","17.008","8","1","0","4","1","5","7","14.29","0.12","0.0","0.5","0.12","0.62","0.88","0.52","0.06","113.19","14.15","0.53","0.0","2.12","0.53","2.65","3.71","0.27","17.28","17.56","30.94","56.22","36.66","53.33","8","7","0","1","0.0","0","1","0.0","1","5","20.0","10","19","52.63"
"","Hunter Drew","D","CHA","17.903","42","0","1","2","1","3","38","0.0","0.0","0.02","0.05","0.02","0.07","0.9","1.48","0.04","577.16","13.74","0.0","0.1","0.21","0.1","0.31","3.95","0.15","17.24","17.19","57.2","46.3","0.89","56.82","25","19","0","1","0.0","0","2","0.0","0","35","0.0","1","1","100.0"
"","Vincent Martineau","D","SNB/RIM","17.375","28","0","1","2","1","3","23","0.0","0.0","0.04","0.07","0.04","0.11","0.82","0.66","0.02","433.12","15.47","0.0","0.14","0.28","0.14","0.42","3.19","0.09","16.76","17.72","53.56","50.57","-16.99","40.54","15","22","0","0","0.0","0","0","0.0","0","23","0.0","0","0","0.0"
"","Ilya Putintsev","RW","MON","18.686","8","0","1","2","1","3","4","0.0","0.0","0.12","0.25","0.12","0.38","0.5","0.46","0.06","92.16","11.52","0.0","0.65","1.3","0.65","1.95","2.6","0.3","16.38","17.3","38.58","51.98","6.07","40.0","4","6","0","0","0.0","0","1","0.0","0","3","0.0","0","0","0.0"
"","Dominic Cormier","LW","RIM","17.139","27","0","1","2","1","3","17","0.0","0.0","0.04","0.07","0.04","0.11","0.63","1.27","0.05","281.84","10.44","0.0","0.21","0.43","0.21","0.64","3.62","0.27","16.16","17.27","42.59","51.78","-16.19","35.0","7","13","0","2","0.0","0","0","0.0","0","15","0.0","2","4","50.0"
"","Cedric Chouinard","D","ROU","17.92","6","1","0","2","1","3","9","11.11","0.17","0.0","0.33","0.17","0.5","1.5","0.21","0.03","111.1","18.52","0.54","0.0","1.08","0.54","1.62","4.86","0.11","16.99","17.81","58.77","47.54","-36.67","33.33","4","8","0","0","0.0","0","0","0.0","1","9","11.11","0","0","0.0"
"","Jacob Hudson","C","MON","15.787","10","0","1","2","1","3","3","0.0","0.0","0.1","0.2","0.1","0.3","0.3","0.39","0.04","112.11","11.21","0.0","0.54","1.07","0.54","1.61","1.61","0.21","16.89","17.48","31.62","56.35","-3.99","25.0","3","9","0","0","0.0","0","1","0.0","0","2","0.0","33","74","44.59"
"","Nick Gosse","RW","RIM","16.485","42","1","0","2","1","3","21","4.76","0.02","0.0","0.05","0.02","0.07","0.5","2.42","0.06","404.81","9.64","0.15","0.0","0.3","0.15","0.44","3.11","0.36","16.92","17.59","42.25","51.01","-32.59","16.67","4","20","0","4","0.0","0","6","0.0","1","11","9.09","1","3","33.33"
"","Alexandre Lafreniere","RW","SNB","17.325","13","1","0","2","1","3","10","10.0","0.08","0.0","0.15","0.08","0.23","0.77","0.44","0.03","123.02","9.46","0.49","0.0","0.98","0.49","1.46","4.88","0.21","15.86","17.87","52.63","52.45","-4.32","50.0","3","3","0","0","0.0","1","2","50.0","0","8","0.0","7","17","41.18"
"","Guillaume Desmarais","LW","BLB/DRU","15.762","35","1","0","1","1","2","45","2.22","0.03","0.0","0.03","0.03","0.06","1.29","3.79","0.11","364.39","10.41","0.16","0.0","0.16","0.16","0.33","7.41","0.62","16.44","18.22","43.91","50.69","-20.71","22.22","4","14","1","5","20.0","0","6","0.0","0","34","0.0","0","3","0.0"
"","Olivier Schingh-Gomez","D","SHE","18.982","12","1","0","1","1","2","10","10.0","0.08","0.0","0.08","0.08","0.17","0.83","0.22","0.02","189.63","15.8","0.32","0.0","0.32","0.32","0.63","3.16","0.07","17.73","18.27","47.59","55.35","-31.06","21.05","4","15","0","0","0.0","0","0","0.0","1","10","10.0","0","0","0.0"
"","Maxime Collin","LW","BLB","16.641","9","1","0","1","1","2","4","25.0","0.11","0.0","0.11","0.11","0.22","0.44","0.63","0.07","83.01","9.22","0.72","0.0","0.72","0.72","1.45","2.89","0.46","16.59","17.08","54.74","43.98","27.54","75.0","3","1","1","2","50.0","0","0","0.0","0","2","0.0","26","67","38.81"
"","Danyck Calgaro","LW","VIC/BAC","18.64","36","0","1","1","1","2","41","0.0","0.0","0.03","0.03","0.03","0.06","1.14","1.78","0.05","390.27","10.84","0.0","0.15","0.15","0.15","0.31","6.3","0.27","15.49","17.11","41.96","49.03","-16.17","32.0","8","17","0","1","0.0","0","3","0.0","0","37","0.0","4","9","44.44"
"","Alex Plamondon","C","SHA","16.923","9","0","1","1","1","2","4","0.0","0.0","0.11","0.11","0.11","0.22","0.44","0.11","0.01","86.31","9.59","0.0","0.7","0.7","0.7","1.39","2.78","0.08","15.3","15.84","48.39","46.18","-23.79","40.0","2","3","0","0","0.0","0","0","0.0","0","4","0.0","1","5","20.0"
"","Gabriel Denis","C","SHA","15.858","10","0","1","1","1","2","8","0.0","0.0","0.1","0.1","0.1","0.2","0.8","0.51","0.05","115.12","11.51","0.0","0.52","0.52","0.52","1.04","4.17","0.27","17.93","17.84","62.74","48.71","-10.42","50.0","4","4","0","1","0.0","0","0","0.0","0","7","0.0","20","38","52.63"
"","Jeremy Leveille","RW","ROU","18.265","2","0","1","0","1","1","0","0.0","0.0","0.5","0.0","0.5","0.5","0.0","0.0","0.0","19.6","9.8","0.0","3.06","0.0","3.06","3.06","0.0","0.0","14.34","13.88","67.15","35.42","50.0","100.0","1","0","0","0","0.0","0","0","0.0","0","0","0.0","0","0","0.0"
"","Gabriel Bettez","D","SNB","18.749","2","1","0","0","1","1","3","33.33","0.5","0.0","0.0","0.5","0.5","1.5","0.09","0.05","36.36","18.18","1.65","0.0","0.0","1.65","1.65","4.95","0.15","14.47","17.54","54.06","56.04","20.0","50.0","2","2","0","0","0.0","0","0","0.0","1","3","33.33","0","0","0.0"
"","Noah Bushnell","RW","CHI","19.297","20","1","0","0","1","1","12","8.33","0.05","0.0","0.0","0.05","0.05","0.6","1.21","0.06","176.25","8.81","0.34","0.0","0.0","0.34","0.34","4.08","0.41","16.4","14.97","47.59","50.72","-22.42","25.0","1","3","0","2","0.0","1","2","50.0","0","8","0.0","3","5","60.0"
