"#","Name","Pos","Team","Age","GP","G","A1","A2","P1","P","Sh","Sh%","G/GP","A1/GP","A2/GP","P1/GP","P/GP","Sh/GP","xG","xG/GP","eTOI","eTOI/GP","eG/60","eA1/60","eA2/60","eP1/60","eP/60","eSh/60","exG/60","QoT TOI","QoC TOI","QoT GF%","QoC GF%","GF%Rel","GF%","GF","GA","HD G","HD Sh","HD Sh%","MD G","MD Sh","MD Sh%","LD G","LD Sh","LD Sh%","FOW","FOT","FOW%"
"","Jason Horvath","D","SHA","18.478","45","0","6","4","6","10","53","0.0","0.0","0.13","0.09","0.13","0.22","1.18","1.88","0.04","819.86","18.22","0.0","0.44","0.29","0.44","0.73","3.88","0.14","16.65","17.65","38.16","54.25","-0.48","34.04","32","62","0","0","0.0","0","3","0.0","0","50","0.0","0","0","0.0"
"","Xavier Cormier","C","QUE/SHA","17.295","47","3","3","4","6","10","30","10.0","0.06","0.06","0.09","0.13","0.21","0.64","2.29","0.05","579.25","12.32","0.31","0.31","0.41","0.62","1.04","3.11","0.24","16.93","17.45","42.34","53.2","-16.48","32.69","17","35","2","6","33.33","1","5","20.0","0","19","0.0","137","290","47.24"
"","Vincent Tremblay-Lapalme","RW","CHI","19.505","40","0","6","3","6","9","46","0.0","0.0","0.15","0.07","0.15","0.23","1.15","4.47","0.11","535.78","13.39","0.0","0.67","0.34","0.67","1.01","5.15","0.5","17.32","17.72","44.04","56.96","-22.28","32.61","15","31","0","10","0.0","0","6","0.0","0","30","0.0","174","336","51.79"
"","Roddie Sandilands","D","CAP/SHA","19.256","46","2","4","3","6","9","39","5.13","0.04","0.09","0.07","0.13","0.2","0.85","0.96","0.02","852.17","18.53","0.14","0.28","0.21","0.42","0.63","2.75","0.07","16.77","18.28","37.95","55.12","-16.15","26.0","26","74","0","0","0.0","1","1","100.0","1","38","2.63","0","0","0.0"
"","Alex DeGagne","D","SHA","18.582","47","2","4","3","6","9","44","4.55","0.04","0.09","0.06","0.13","0.19","0.94","1.06","0.02","858.02","18.26","0.14","0.28","0.21","0.42","0.63","3.08","0.07","16.4","18.1","35.52","54.08","-5.1","32.35","33","69","1","1","100.0","0","1","0.0","1","42","2.38","0","0","0.0"
"","Olivier Crete-Belzile","D","SHE","18.035","52","2","4","3","6","9","68","2.94","0.04","0.08","0.06","0.12","0.17","1.31","2.22","0.04","964.22","18.54","0.12","0.25","0.19","0.37","0.56","4.23","0.14","17.41","17.98","53.3","53.96","-16.54","38.32","41","66","0","1","0.0","0","2","0.0","2","65","3.08","0","0","0.0"
"","Ostap Safin","RW","HAL","19.592","10","2","4","3","6","9","15","13.33","0.2","0.4","0.3","0.6","0.9","1.5","0.83","0.08","155.79","15.58","0.77","1.54","1.16","2.31","3.47","5.78","0.32","18.59","17.82","64.9","42.92","-2.15","63.16","12","7","0","0","0.0","0","2","0.0","2","13","15.38","0","0","0.0"
"","Yan-Cedric Gaudreault","RW","BAT","18.579","27","5","1","2","6","8","48","10.42","0.19","0.04","0.07","0.22","0.3","1.78","3.42","0.13","405.7","15.03","0.74","0.15","0.3","0.89","1.18","7.1","0.51","16.19","17.27","34.85","49.96","1.02","30.43","14","32","4","8","50.0","1","3","33.33","0","37","0.0","85","193","44.04"
"","Frederyck Janvier","C","RIM","16.019","23","3","3","2","6","8","31","9.68","0.13","0.13","0.09","0.26","0.35","1.35","2.76","0.12","281.32","12.23","0.64","0.64","0.43","1.28","1.71","6.61","0.59","16.79","16.54","62.06","49.51","15.71","73.91","17","6","1","5","20.0","1","2","50.0","1","24","4.17","1","3","33.33"
"","Miguel Tourigny","D","BLB","16.597","15","3","3","2","6","8","31","9.68","0.2","0.2","0.13","0.4","0.53","2.07","1.34","0.09","319.06","21.27","0.56","0.56","0.38","1.13","1.5","5.83","0.25","15.91","17.87","42.38","55.57","4.53","39.53","17","26","0","0","0.0","1","4","25.0","2","27","7.41","0","0","0.0"
"","Mathieu Gagnon","C","ROU","17.377","38","3","3","1","6","7","22","13.64","0.08","0.08","0.03","0.16","0.18","0.58","1.52","0.04","394.96","10.39","0.46","0.46","0.15","0.91","1.06","3.34","0.23","14.65","16.73","64.3","42.02","-16.0","52.0","13","12","1","2","50.0","0","4","0.0","2","16","12.5","136","285","47.72"
"","Darick Louis-Jean","D","GAT","17.772","49","1","5","1","6","7","43","2.33","0.02","0.1","0.02","0.12","0.14","0.88","1.09","0.02","739.42","15.09","0.08","0.41","0.08","0.49","0.57","3.49","0.09","16.29","17.34","47.95","51.66","-13.53","35.85","19","34","0","2","0.0","0","0","0.0","1","41","2.44","0","0","0.0"
"","Alexandre Pellerin","RW","GAT","17.164","45","2","4","1","6","7","39","5.13","0.04","0.09","0.02","0.13","0.16","0.87","1.87","0.04","482.28","10.72","0.25","0.5","0.12","0.75","0.87","4.85","0.23","18.11","17.92","44.64","53.11","-15.56","30.0","9","21","0","4","0.0","1","8","12.5","1","27","3.7","4","7","57.14"
"","Samuel Dickner","LW","QUE","18.766","27","3","3","1","6","7","34","8.82","0.11","0.11","0.04","0.22","0.26","1.26","2.8","0.1","405.75","15.03","0.44","0.44","0.15","0.89","1.04","5.03","0.41","18.35","17.76","48.06","52.99","-17.07","32.5","13","27","0","4","0.0","1","8","12.5","2","22","9.09","0","1","0.0"
"","Connor LePage","LW","GAT","16.989","31","5","1","1","6","7","26","19.23","0.16","0.03","0.03","0.19","0.23","0.84","3.08","0.1","302.47","9.76","0.99","0.2","0.2","1.19","1.39","5.16","0.61","19.37","17.77","47.71","55.43","18.93","64.29","9","5","3","6","50.0","2","4","50.0","0","16","0.0","6","15","40.0"
"","Cole Edwards","RW","CHA","18.344","40","4","2","0","6","6","53","7.55","0.1","0.05","0.0","0.15","0.15","1.32","5.08","0.13","458.22","11.46","0.52","0.26","0.0","0.79","0.79","6.94","0.67","16.66","17.02","49.89","52.19","-22.63","32.35","11","23","2","10","20.0","1","11","9.09","1","32","3.12","28","61","45.9"
"","Logan Chisholm","LW","BAT","17.104","17","2","3","7","5","12","28","7.14","0.12","0.18","0.41","0.29","0.71","1.65","2.77","0.16","302.37","17.79","0.4","0.6","1.39","0.99","2.38","5.56","0.55","19.49","17.86","32.62","49.14","10.6","42.11","16","22","2","6","33.33","0","7","0.0","0","15","0.0","44","120","36.67"
"","Felix-Antoine Drolet","D","BAT","18.322","51","2","3","6","5","11","51","3.92","0.04","0.06","0.12","0.1","0.22","1.0","1.82","0.04","998.33","19.58","0.12","0.18","0.36","0.3","0.66","3.07","0.11","15.87","17.76","33.96","54.64","6.06","34.21","39","75","0","3","0.0","0","2","0.0","2","46","4.35","0","0","0.0"
"","Alexandre Joncas","D","SHE","17.484","35","1","4","6","5","11","28","3.57","0.03","0.11","0.17","0.14","0.31","0.8","0.81","0.02","703.13","20.09","0.09","0.34","0.51","0.43","0.94","2.39","0.07","16.91","17.81","51.47","53.01","-13.46","43.68","38","49","0","1","0.0","0","2","0.0","1","25","4.0","0","0","0.0"
"","Alexis Sansfacon","D","BAT/HAL","19.521","53","1","4","4","5","9","55","1.82","0.02","0.08","0.08","0.09","0.17","1.04","2.07","0.04","922.46","17.4","0.07","0.26","0.26","0.33","0.59","3.58","0.13","16.29","17.27","38.85","49.66","-13.58","32.22","29","61","1","2","50.0","0","2","0.0","0","51","0.0","0","0","0.0"
"","Tristan Pelletier","LW","CHI","17.427","41","3","2","4","5","9","49","6.12","0.07","0.05","0.1","0.12","0.22","1.2","2.45","0.06","472.18","11.52","0.38","0.25","0.51","0.64","1.14","6.23","0.31","17.31","17.73","45.21","53.24","-8.93","40.62","13","19","2","7","28.57","0","2","0.0","1","40","2.5","0","4","0.0"
