,Name,Team,G,A1,A2,P1,Distance from Centroid
47,Duncan Penman,SAG/MISS,2,2,5,4,0.45508726831153934
48,Jacob Golden,ER/LDN,3,7,5,10,0.45578387831954503
49,Reid Valade,KIT,3,7,5,10,0.45578387831954503
50,Jake Partridge,BAR/PBO,1,3,2,4,0.4562855990941116
51,Jack Phibbs,FLNT,5,4,1,9,0.46011407686305766
52,Cameron Peters,NB,2,2,2,4,0.4632971909874704
53,Nolan Seed,OS,1,2,4,3,0.46525022535208715
54,Zack Malik,NB/SBY,1,2,3,3,0.4679434374537608
55,Luke Moncada,NB,7,6,3,13,0.4746735380017002
56,Marko Jakovljevic,SAR,0,3,4,3,0.4764877054616279
57,Kyle Gentles,KIT,0,5,5,5,0.4804902253662245
58,Sam Rhodes,BAR,8,2,3,10,0.48179769167238823
59,Justin McCombs,SAR,3,3,1,6,0.482416300430015
60,Danny Katic,SAG,6,4,6,10,0.4865326337110632
61,Marcus Gillard,ER,0,5,2,5,0.4882732043335031
62,Payton Vescio,HAM/NB,0,5,2,5,0.4882732043335031
63,DJ King,HAM,2,4,1,6,0.4883564965691751
64,Roman Pucek,SSM,4,1,2,5,0.48966625256500057
65,Zachary Jackson,HAM,2,5,1,7,0.4912455353287343
66,Adrien Beraldo,KGN/PBO,8,5,3,13,0.49619678379732457
67,Eric Guest,KIT,3,6,6,9,0.49730739307844607
68,Mark Woolley,GUE/OS,2,1,4,3,0.5021457278374956
69,Dylan Robinson,OSH,2,1,4,3,0.5021457278374956
70,Jacob Murray,KGN,2,1,4,3,0.5021457278374956
71,Daniel Walker,NB,6,1,2,7,0.504322513043923
72,Anthony Aguanno,GUE/KGN,2,6,6,8,0.5167711489784812
73,Robert Calisti,SSM,2,3,1,5,0.5207000461192807
74,Filip Reisnecker,MISS,4,2,1,6,0.5227181144374526
75,Igor Chibrikov,OS,1,2,5,3,0.5243867745510727
76,Kelton Hatcher,SAR,5,2,1,7,0.5245130456190662
77,Quinn Yule,OTT,6,5,1,11,0.5263056014366505
78,Ian Blacker,OSH,1,2,2,3,0.5315273790894494
79,Braden Henderson,NB,1,5,1,6,0.5390120310561299
80,Ben Garagan,HAM/WSR,5,0,3,5,0.5406030213531257
81,Theo Hill,SAR,3,2,1,5,0.5427769134432274
82,William Portokalis,MISS,3,2,1,5,0.5427769134432274
83,Matthew Maggio,OTT,3,2,1,5,0.5427769134432274
84,Ryan O'Bonsawin,SBY,3,2,1,5,0.5427769134432274
85,Anthony Tabak,SAR/SBY,1,8,3,9,0.5522869705740439
86,Chase Campbell,KIT/WSR,8,5,2,13,0.5565622537654402
87,Joseph Mack,ER,9,4,4,13,0.5575567786493962
88,Sean Allen,WSR,1,1,4,2,0.5711822454327455
89,Ryan Wells,MISS,3,7,6,10,0.5721010981196409
90,Tim Fleischer,HAM,7,7,4,14,0.5724279293864878
91,John Parker-Jones,PBO,1,3,1,4,0.5768742043167759
92,Johnathon Schaefer,NIAG,2,7,6,9,0.5837942152063792
93,Nikita Okhotyuk,OTT,1,8,5,9,0.6008588241291714
94,Zach Poirier,GUE/OS,9,4,5,13,0.6077773264541887
95,Andrew Perrott,LDN/OS,3,4,7,7,0.6118349945898107
96,Evan Vierling,FLNT,5,8,5,13,0.6151087695580115
97,Ryan Barbosa,MISS,3,5,7,8,0.6191881190810561
98,Matt McNamara,PBO,3,5,7,8,0.6191881190810561
99,William Ennis,OSH,3,5,7,8,0.6191881190810561
100,Zachary Roberts,GUE/OS,8,3,1,11,0.6240946309833129
101,Jonah De Simone,NIAG,3,1,1,4,0.6260628140528147
102,Holden Wale,SSM,3,3,7,6,0.6330535308523993
103,Conor Ali,HAM/KGN,0,3,6,3,0.6364942838106953
104,Cole Cameron,KIT/NB,0,3,6,3,0.6364942838106953
105,Ashton Reesor,SAR,2,4,7,6,0.6375918394595604
106,Michael Bianconi,FLNT,1,2,1,3,0.6380506675704839
107,Zack Terry,GUE,1,2,1,3,0.6380506675704839
108,William Lochead,LDN,6,4,7,10,0.6459966965854395
109,Charlie Callaghan,MISS,0,1,4,1,0.6508457893227795
110,Reagan O'Grady,SAG,10,3,4,13,0.6513957968179163
111,Hakon Nilsen,FLNT,2,3,7,5,0.6626913489949361
112,Victor Hadfield,BAR,2,0,5,2,0.6706043952926755
113,Lev Starikov,WSR,2,0,2,2,0.6762027213665119
114,Peter Fleming,BAR,4,2,0,6,0.6773909745680631
115,Sergey Popov,LDN/OS,7,8,3,15,0.68594872728397
116,Owen Gilhula,SBY,4,9,5,13,0.7044774524418875
117,Nathan Allensen,BAR,4,9,5,13,0.7044774524418875
118,Cade Robinson,OS,7,7,6,14,0.7111667696182835
119,Cullen McLean,SSM,5,8,1,13,0.7144830043116726
120,Ryan O'Rourke,SSM,7,8,5,15,0.7256280625296503
121,Adam Varga,MISS,4,7,0,11,0.7315918625128451
122,Frank Jenkins,HAM,1,0,2,1,0.7331921329794447
123,Nicholas Canade,MISS,5,9,5,14,0.7360166401881407
124,Luke Bignell,BAR,9,5,1,14,0.7402046052445529
125,Camaryn Baber,SAG,6,9,4,15,0.7428869696018435
126,Evan Brand,KGN,0,4,0,4,0.7471517481049811
127,Ian Derungs,KGN,9,7,3,16,0.7476160963316009
128,Harrison Caines,NB,8,4,7,12,0.7498129579721602
129,Emmett Gordon,KGN,0,0,3,0,0.7599955603463848
130,Shawn Spearing,PBO,2,0,1,2,0.7627826820588662
131,Paul Larabie,KGN,2,0,1,2,0.7627826820588662
132,C.J. Clarke,FLNT/MISS,10,6,4,16,0.7629737872595415
133,Liam Van Loon,HAM,8,2,7,10,0.7670057988281753
134,Alex Johnston,SSM,7,1,7,8,0.7675429953218321
135,Mason Howard,NIAG,1,2,0,3,0.7698915246009431
136,Brendan Kischnick,ER,1,2,0,3,0.7698915246009431
137,Hudson Wilson,OTT,2,9,6,11,0.7711951451295659
138,Pacey Schlueting,NB,0,3,0,3,0.7767340091165598
139,Reilly Webb,SAG,1,10,4,11,0.7841705915686361
140,Brendan Hoffmann,ER,10,3,1,13,0.7841985503104557
141,Jack Duff,ER,3,8,7,11,0.7895245383069439
142,Alex Turko,LDN,3,5,8,8,0.790587541480636
143,Lucas Peric,OTT,3,5,8,8,0.790587541480636
144,Dennis Golovatchev,KGN,2,1,0,3,0.792732943334415
145,Matthieu Franche,OSH,2,1,0,3,0.792732943334415
146,Joseph Rupoli,KIT/OSH,0,0,2,0,0.8007143971553609
147,Mitchell Russell,NB/OS,11,4,5,15,0.8085880096267719
148,Arber Xhekaj,KIT,1,0,1,1,0.8137309159226954
149,Graham Dickerson,KIT,1,0,1,1,0.8137309159226954
150,Austin Osmanski,PBO,3,6,8,9,0.8182585810593234
151,Ryan Bangs,FLNT,1,1,7,2,0.8276057791597837
152,Hayden Davis,SAG,1,4,8,5,0.8388036953237941
153,Chris Playfair,WSR,10,7,3,17,0.841534085787109
154,Curtis Egert,SAR,12,3,3,15,0.8633145801748978
155,Kallaway Mercer,KGN,2,0,0,2,0.876048928607382
156,Danyk Drouin,OSH,2,0,0,2,0.876048928607382
157,Cameron Hough,KGN,0,1,0,1,0.8943575509500596
158,Nick Wong,KGN/OSH,12,3,5,15,0.8951661817844752
159,Chad Denault,PBO,9,6,0,15,0.9029818134532099
160,Max Grondin,SAG/PBO,11,5,1,16,0.9191124329048543
161,Jacob Winterton,FLNT,10,8,3,18,0.931226892383616
162,Rory Kerins,SSM,9,9,3,18,0.9486625876462349
163,Nico Gross,OSH,3,5,9,8,0.9631720512335478
164,David Maier,NB,3,12,4,15,1.0397783517626076
165,Christopher Cameron,BAR,0,6,9,6,1.0493755057351017
166,James Hardie,MISS,14,4,2,18,1.123556099788206
167,Mathew Hill,BAR,2,1,10,3,1.2324154002549867
168,Cameron Butler,PBO,16,5,2,21,1.3672077035358858
169,Jacob Tortora,BAR,16,7,1,23,1.5100044302636453
