,Name,Team,G,A1,A2,P1,Cluster,Distance from Centroid
178,Richard Whittaker,MISS,9,11,6,20,0,0.5607048133761872
179,Tyler Burnie,KGN,6,12,8,18,0,0.4417062021376428
180,Nathan Staios,WSR,7,11,8,18,0,0.31614520889486114
181,Kaleb Pearson,OS,11,9,5,20,0,0.7414096037808567
182,Drake Pilon,SBY,9,9,7,18,0,0.3808544245960137
183,Paul Cotter,LDN,8,11,5,19,0,0.7357405804193792
184,Jacob Paquette,KGN/NIAG,4,8,12,12,0,0.8288359013573586
185,Matthew Timms,LDN,1,13,10,14,0,0.9062489651475152
186,Erik Cermak,PBO,8,9,7,17,0,0.4071294918807897
187,Aidan Brown,BAR,12,5,7,17,0,0.7415941589936176
188,Bradey Johnson,NIAG,9,8,7,17,0,0.4386266179119731
189,Luke Burghardt,NB,7,10,7,17,0,0.4305703861606408
190,Jacob Tortora,BAR,16,7,1,23,2,1.5100044302636453
191,Isaac Nurse,HAM,14,6,4,20,0,1.0960865995298448
192,Danial Singer,ER,15,6,3,21,0,1.2815175733484827
193,Mason Millman,SAG,3,7,13,10,0,1.076518562501856
194,Markus Phillips,GUE/OS,4,9,10,13,0,0.6119124787280665
195,Jordan Frasca,WSR,9,7,7,16,0,0.5245980420034273
196,Cameron Butler,PBO,16,5,2,21,2,1.3672077035358858
197,Jake Goldowski,SAG,12,5,6,17,0,0.8411827331181918
198,Hunter Holmes,FLNT,8,10,5,18,0,0.7238411564679851
199,Tye Kartye,SSM,3,9,10,12,0,0.7151241181747019
200,Drew Hunter,NIAG,4,8,10,12,0,0.6729701989436779
201,Cam Hillis,GUE,10,5,7,15,0,0.7244883221241672
202,Simon Rose,NB,3,12,7,15,0,0.7594986033243073
203,Dalton Duhart,BAR/LDN,11,6,5,17,0,0.8722310702866127
204,Michael Vukojevic,KIT,3,11,8,14,0,0.6771430200776757
205,Ryan Stepien,SAG/KIT,8,6,8,14,0,0.5798789494514639
206,Donovan Sebrango,KIT,7,5,10,12,0,0.7449831997078431
207,Matt Hotchkiss,KGN,6,7,8,13,0,0.5897575195938077
208,Alex Gritz,ER,10,4,7,14,0,0.8413507605268408
209,Justin MacPherson,KIT,3,8,10,11,0,0.7720597576649351
210,Jacob Winterton,FLNT,10,8,3,18,2,0.931226892383616
211,Rory Kerins,SSM,9,9,3,18,2,0.9486625876462349
212,Carter Robertson,OS,3,8,10,11,0,0.7720597576649351
213,Chris Playfair,WSR,10,7,3,17,2,0.841534085787109
214,Ryan O'Rourke,SSM,7,8,5,15,2,0.7256280625296503
215,C.J. Clarke,FLNT/MISS,10,6,4,16,2,0.7629737872595415
216,James Hardie,MISS,14,4,2,18,2,1.123556099788206
217,Louka Henault,WSR,2,11,7,13,0,0.8383832794072719
218,Kurtis Henry,ER,6,6,8,12,0,0.6962439084679675
219,Mitchell Russell,NB/OS,11,4,5,15,2,0.8085880096267719
220,Cade Robinson,OS,7,7,6,14,2,0.7111667696182835
221,Jakob Brahaney,KGN,5,9,6,14,0,0.7245739845542488
222,Nick Wong,KGN/OSH,12,3,5,15,2,0.8951661817844752
223,Harrison Caines,NB,8,4,7,12,2,0.7498129579721602
224,Tyson Foerster,BAR,7,3,9,10,0,0.9840163199410292
225,Nicholas Canade,MISS,5,9,5,14,2,0.7360166401881407
226,Ian Derungs,KGN,9,7,3,16,2,0.7476160963316009
227,David Maier,NB,3,12,4,15,2,1.0397783517626076
228,Camaryn Baber,SAG,6,9,4,15,2,0.7428869696018435
229,Cole Fraser,PBO,4,5,10,9,0,0.9492335755514468
230,Theo Calvas,NB/SAR,1,10,7,11,0,0.9487345629090965
231,Jack Duff,ER,3,8,7,11,2,0.7895245383069439
232,Grayson Ladd,WSR,2,6,10,8,0,1.0250398480787326
233,Owen Gilhula,SBY,4,9,5,13,2,0.7044774524418875
234,Curtis Egert,SAR,12,3,3,15,2,0.8633145801748978
235,Nathan Allensen,BAR,4,9,5,13,2,0.7044774524418875
236,Zach Poirier,GUE/OS,9,4,5,13,2,0.6077773264541887
237,Tim Fleischer,HAM,7,7,4,14,2,0.5724279293864878
238,Sergey Popov,LDN/OS,7,8,3,15,2,0.68594872728397
239,Evan Vierling,FLNT,5,8,5,13,2,0.6151087695580115
240,Liam Van Loon,HAM,8,2,7,10,2,0.7670057988281753
241,William Lochead,LDN,6,4,7,10,2,0.6459966965854395
242,Hudson Wilson,OTT,2,9,6,11,2,0.7711951451295659
243,Nico Gross,OSH,3,5,9,8,2,0.9631720512335478
244,Austin Osmanski,PBO,3,6,8,9,2,0.8182585810593234
245,Reagan O'Grady,SAG,10,3,4,13,2,0.6513957968179163
246,Joseph Mack,ER,9,4,4,13,2,0.5575567786493962
247,Max Grondin,SAG/PBO,11,5,1,16,2,0.9191124329048543
248,Danny Katic,SAG,6,4,6,10,2,0.4865326337110632
249,Luke Moncada,NB,7,6,3,13,2,0.4746735380017002
250,Lucas Peric,OTT,3,5,8,8,2,0.790587541480636
251,Alex Turko,LDN,3,5,8,8,2,0.790587541480636
252,Adrien Beraldo,KGN/PBO,8,5,3,13,2,0.49619678379732457
253,Avery Hayes,HAM,6,6,4,12,2,0.38669163753748514
254,Merrick Rippon,OTT,5,7,4,12,2,0.43810953371616024
255,Ryan Wells,MISS,3,7,6,10,2,0.5721010981196409
256,Peter Stratis,SBY,5,4,6,9,2,0.4462493937230327
257,Luke Bignell,BAR,9,5,1,14,2,0.7402046052445529
258,Reid Valade,KIT,3,7,5,10,2,0.45578387831954503
259,Chad Denault,PBO,9,6,0,15,2,0.9029818134532099
260,Eric Guest,KIT,3,6,6,9,2,0.49730739307844607
261,Emmett Serensits,SBY,4,5,6,9,2,0.4473130020172982
262,Alex Johnston,SSM,7,1,7,8,2,0.7675429953218321
263,Jacob Golden,ER/LDN,3,7,5,10,2,0.45578387831954503
264,Dawson Baker,KGN,8,4,3,12,2,0.453927959270802
265,Chase Campbell,KIT/WSR,8,5,2,13,2,0.5565622537654402
266,Matt McNamara,PBO,3,5,7,8,2,0.6191881190810561
267,William Ennis,OSH,3,5,7,8,2,0.6191881190810561
268,Ryan Barbosa,MISS,3,5,7,8,2,0.6191881190810561
269,Christopher Cameron,BAR,0,6,9,6,2,1.0493755057351017
270,Kyle McDonald,WSR,4,7,4,11,2,0.3986871779137333
271,Mitchell Brewer,OSH,4,7,4,11,2,0.3986871779137333
272,Reilly Webb,SAG,1,10,4,11,2,0.7841705915686361
273,Johnathon Schaefer,NIAG,2,7,6,9,2,0.5837942152063792
274,Nikita Okhotyuk,OTT,1,8,5,9,2,0.6008588241291714
275,Anthony Aguanno,GUE/KGN,2,6,6,8,2,0.5167711489784812
276,Jack Thompson,SBY,5,4,5,9,2,0.2820953715757866
277,Colton Kammerer,SAR,4,4,6,8,2,0.4299014975549384
278,Andrew Perrott,LDN/OS,3,4,7,7,2,0.6118349945898107
279,Brendan Hoffmann,ER,10,3,1,13,2,0.7841985503104557
280,Cullen McLean,SSM,5,8,1,13,2,0.7144830043116726
281,Jacob LeGuerrier,SSM,5,5,4,10,2,0.20627521342043612
282,Isaac Langdon,KIT,5,5,4,10,2,0.20627521342043612
283,Daniel D'Amato,ER,4,7,3,11,2,0.40182677150569585
284,Ashton Reesor,SAR,2,4,7,6,2,0.6375918394595604
285,Sam Rhodes,BAR,8,2,3,10,2,0.48179769167238823
286,Daniel Bukac,NIAG,3,4,6,7,2,0.44016398338714297
287,Ty Collins,GUE,3,7,3,10,2,0.38952344610815154
288,Holden Wale,SSM,3,3,7,6,2,0.6330535308523993
289,Daniil Chayka,GUE,5,4,4,9,2,0.14510024648694242
290,Hayden Davis,SAG,1,4,8,5,2,0.8388036953237941
291,Mathew Hill,BAR,2,1,10,3,2,1.2324154002549867
292,Griffin Wilson,OS,4,4,5,8,2,0.2554497501785539
293,Trenton Bourque,OS,4,4,4,8,2,0.08204180478497497
294,Hakon Nilsen,FLNT,2,3,7,5,2,0.6626913489949361
295,Isaak Phillips,SBY,3,4,5,7,2,0.27236668213557974
296,Anthony DeMeo,SSM/SBY,3,5,4,8,2,0.1571997411259211
297,Kyle Harris,FLNT,6,4,2,10,2,0.35311916732139037
298,Quinn Yule,OTT,6,5,1,11,2,0.5263056014366505
299,Blake McConville,SBY,3,6,3,9,2,0.26784975603638533
300,Zachary Roberts,GUE/OS,8,3,1,11,2,0.6240946309833129
301,Anthony Tabak,SAR/SBY,1,8,3,9,2,0.5522869705740439
302,Cameron Supryka,HAM/PBO,1,6,4,7,2,0.36326025962724035
303,Jake Gravelle,HAM,3,3,5,6,2,0.31717238508029016
304,Riley Piercey,BAR,2,4,5,6,2,0.3261363252970391
305,Andrew Bruder,NIAG,4,5,2,9,2,0.2967626398953479
306,Mike Petizian,KIT,4,5,2,9,2,0.2967626398953479
307,Jackson Doherty,OS,4,5,2,9,2,0.2967626398953479
308,Jack Hanley,GUE,3,4,4,7,2,0.12513949178270733
309,Brett Jacklin,SSM,3,5,3,8,2,0.1650001426542731
310,Brendan Sellan,ER,3,5,3,8,2,0.1650001426542731
311,Adam Varga,MISS,4,7,0,11,2,0.7315918625128451
312,Navrin Mutter,HAM,4,3,4,7,2,0.164084771033224
313,Lucas Rowe,FLNT/KGN/LDN,2,5,3,7,2,0.2306178272582506
314,Jack Phibbs,FLNT,5,4,1,9,2,0.46011407686305766
315,Luke Drewitt,KGN,1,6,3,7,2,0.3667032924454373
316,Alexandre Hogue,SAR,4,4,2,8,2,0.2698044481914767
317,Liam Stevens,HAM,5,2,3,7,2,0.2949175160845659
318,Cameron Tolnai,OTT,2,4,4,6,2,0.2187262799581853
319,Josh Wainman,HAM,1,5,4,6,2,0.31604285694551315
320,Ryan Martin,ER,3,2,5,5,2,0.4030875992931241
321,Kyle Gentles,KIT,0,5,5,5,2,0.4804902253662245
322,Cole Resnick,OSH,5,2,3,7,2,0.2949175160845659
323,Ryan Bangs,FLNT,1,1,7,2,2,0.8276057791597837
324,Duncan Penman,SAG/MISS,2,2,5,4,2,0.45508726831153934
325,Conor Ali,HAM/KGN,0,3,6,3,2,0.6364942838106953
326,Daniel Walker,NB,6,1,2,7,2,0.504322513043923
327,Cole Cameron,KIT/NB,0,3,6,3,2,0.6364942838106953
328,Zayde Wisdom,KGN,3,3,3,6,2,0.2111584551692971
329,Zachary Jackson,HAM,2,5,1,7,2,0.4912455353287343
330,Riley Coome,LDN,1,3,4,4,2,0.37700525912663474
331,Kyle Bollers,OSH,1,4,3,5,2,0.3252507119444726
332,Ian Martin,KGN/NIAG,1,4,3,5,2,0.3252507119444726
333,Jake Uberti,NIAG,2,3,3,5,2,0.28808148898796426
334,Ben Garagan,HAM/WSR,5,0,3,5,2,0.5406030213531257
335,Thomas Stevenson,WSR,1,4,3,5,2,0.3252507119444726
336,Kelton Hatcher,SAR,5,2,1,7,2,0.5245130456190662
337,Patrick Brown,NB,2,4,2,6,2,0.3374978045497152
338,Igor Chibrikov,OS,1,2,5,3,2,0.5243867745510727
339,Nolan Seed,OS,1,2,4,3,2,0.46525022535208715
340,Jacob Murray,KGN,2,1,4,3,2,0.5021457278374956
341,Mark Woolley,GUE/OS,2,1,4,3,2,0.5021457278374956
342,Dylan Robinson,OSH,2,1,4,3,2,0.5021457278374956
343,Marko Jakovljevic,SAR,0,3,4,3,2,0.4764877054616279
344,Manuel Alberg,OS,1,3,3,4,2,0.38032388023238156
345,Braden Henderson,NB,1,5,1,6,2,0.5390120310561299
346,Marcus Gillard,ER,0,5,2,5,2,0.4882732043335031
347,Victor Hadfield,BAR,2,0,5,2,2,0.6706043952926755
348,Payton Vescio,HAM/NB,0,5,2,5,2,0.4882732043335031
349,DJ King,HAM,2,4,1,6,2,0.4883564965691751
350,Roman Pucek,SSM,4,1,2,5,2,0.48966625256500057
351,Filip Reisnecker,MISS,4,2,1,6,2,0.5227181144374526
352,Justin McCombs,SAR,3,3,1,6,2,0.482416300430015
353,Zack Malik,NB/SBY,1,2,3,3,2,0.4679434374537608
354,Sean Allen,WSR,1,1,4,2,2,0.5711822454327455
355,William Portokalis,MISS,3,2,1,5,2,0.5427769134432274
356,Cameron Peters,NB,2,2,2,4,2,0.4632971909874704
357,Jake Partridge,BAR/PBO,1,3,2,4,2,0.4562855990941116
358,Theo Hill,SAR,3,2,1,5,2,0.5427769134432274
359,Peter Fleming,BAR,4,2,0,6,2,0.6773909745680631
360,Robert Calisti,SSM,2,3,1,5,2,0.5207000461192807
361,Matthew Maggio,OTT,3,2,1,5,2,0.5427769134432274
362,Ryan O'Bonsawin,SBY,3,2,1,5,2,0.5427769134432274
363,Jonah De Simone,NIAG,3,1,1,4,2,0.6260628140528147
364,John Parker-Jones,PBO,1,3,1,4,2,0.5768742043167759
365,Ian Blacker,OSH,1,2,2,3,2,0.5315273790894494
366,Charlie Callaghan,MISS,0,1,4,1,2,0.6508457893227795
367,Lev Starikov,WSR,2,0,2,2,2,0.6762027213665119
368,Evan Brand,KGN,0,4,0,4,2,0.7471517481049811
369,Michael Bianconi,FLNT,1,2,1,3,2,0.6380506675704839
370,Zack Terry,GUE,1,2,1,3,2,0.6380506675704839
371,Frank Jenkins,HAM,1,0,2,1,2,0.7331921329794447
372,Shawn Spearing,PBO,2,0,1,2,2,0.7627826820588662
373,Emmett Gordon,KGN,0,0,3,0,2,0.7599955603463848
374,Paul Larabie,KGN,2,0,1,2,2,0.7627826820588662
375,Dennis Golovatchev,KGN,2,1,0,3,2,0.792732943334415
376,Matthieu Franche,OSH,2,1,0,3,2,0.792732943334415
377,Mason Howard,NIAG,1,2,0,3,2,0.7698915246009431
378,Brendan Kischnick,ER,1,2,0,3,2,0.7698915246009431
379,Pacey Schlueting,NB,0,3,0,3,2,0.7767340091165598
380,Joseph Rupoli,KIT/OSH,0,0,2,0,2,0.8007143971553609
381,Graham Dickerson,KIT,1,0,1,1,2,0.8137309159226954
382,Arber Xhekaj,KIT,1,0,1,1,2,0.8137309159226954
383,Danyk Drouin,OSH,2,0,0,2,2,0.876048928607382
384,Kallaway Mercer,KGN,2,0,0,2,2,0.876048928607382
385,Cameron Hough,KGN,0,1,0,1,2,0.8943575509500596
